id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1281912296361660416,2020-07-11 11:24:42,26085,1379,Mais de  70000 vidas perdidas. . ‘ Sai daí . Eu disse não. O que você não entendeu?’  . Solidariedade às vítimas da covid e do racismo.  Oremos.
1280958191984160768,2020-07-08 20:13:26,13819,866,"Parabéns a todos os cientistas pelo seu dia. Em tempos de pandemia , persistam na  busca da verdade baseada em fatos e que nos  libertem das trevas da ignorância e das fakenews que manipulam e  induzem à morte . Oito de Julho. Dia nacional da ciência!!!"
1250865865270145024,2020-04-16 19:17:16,128420,6471,"de planejar o enfrentamento da pandemia do coronavírus, o grande desafio que o nosso sistema de saúde está por enfrentar."
1250865865270145024,2020-04-16 19:17:16,128420,6471,"de planejar o enfrentamento da pandemia do coronavírus, o grande desafio que o nosso sistema de saúde está por enfrentar."
1246527984921718786,2020-04-04 20:00:05,14565,1634,"A ação estratégica para cadastramento de profissionais e acadêmicos de saúde visando ao enfrentamento 🇧🇷 do coronavírus já superou 340 mil inscrições ✅! Inscrições seguem abertas! 
👉🏾Acadêmicos
https://t.co/sOyu4uflKy

👉🏾Profissionais 
https://t.co/qjkp4CqWj2"
1246466967361519619,2020-04-04 15:57:37,24501,2022,"LACEN do Pará recebe extratora automática. Com isso, passará a realizar mais de 200 amostras de coronavirus por dia. Mais um importante legado para o SUS! https://t.co/04MrvjHYf5"
1246245769159507969,2020-04-04 01:18:40,22712,2635,"O Governo @jairbolsonaro destinou mais R$ 9,4 bilhões ✅ para fortalecer a rede pública de saúde no enfrentamento ao coronavírus. Os recursos serão usados pelo SUS 🇧🇷para aquisição de novos testes, medicamentos e equipamentos para a rede hospitalar. https://t.co/IfJDG5SbdQ"
1245702398850600961,2020-04-02 13:19:30,17678,2922,"Lançamos um edital para que estudantes de medicina, enfermagem, fisioterapia e farmácia possam ajudar no enfrentamento 🚨ao coronavírus. Por meio da ação “O Brasil conta comigo”,  os 🇧🇷participantes poderão ter direito à bolsa de até R$ 1.045,00. https://t.co/c0bcEXkF0Y."
1245390826831777796,2020-04-01 16:41:26,17910,2959,"Todas as ações necessárias para o combate ao coronavírus estão sendo adotadas. É muito importante evitar as notícias falsas (fake news). Estamos lidando com a vida de seres humanos, com as nossas vidas! Nossa união é fundamental para vencermos esse mal! 🇧🇷🤝 https://t.co/WfGpoV4edE"
1245149286158995457,2020-04-01 00:41:38,28840,4467,"Ações integradas, união e patriotismo! Somos uma nação vencedora! Juntos venceremos o coronavírus! https://t.co/mZDE78PkWy"
1244815836608630786,2020-03-31 02:36:37,25508,3564,"Nesta semana, concluiremos a distribuição de 40 milhões de  Equipamentos de Proteção Individual (EPIs) para profissionais de saúde no combate ao coronavírus, reforçando os estoques de 🇧🇷 estados e municípios. Saiba mais: https://t.co/FROe1HCXNj"
1244293984941416451,2020-03-29 16:02:58,12879,2799,"As instituições, empresas e cidadãos 🇧🇷que desejarem fazer doações para combate ao coronavírus deverão observar o chamamento público:
https://t.co/3Mn28p41ec
O objeto da doação deverá estar livre e desembaraçado. Para agendar, envie e-mail para: juntoscontracovid19@saude.gov.br."
1244293984941416451,2020-03-29 16:02:58,12879,2799,"As instituições, empresas e cidadãos 🇧🇷que desejarem fazer doações para combate ao coronavírus deverão observar o chamamento público:
https://t.co/3Mn28p41ec
O objeto da doação deverá estar livre e desembaraçado. Para agendar, envie e-mail para: juntoscontracovid19@saude.gov.br."
1244289241141645315,2020-03-29 15:44:07,6600,1448,Esse é um serviço importante para apoiar os profissionais de saúde 🇧🇷 no combate ao coronavírus. https://t.co/IycXHewXyq
1243627487738896384,2020-03-27 19:54:33,22612,4789,"Temos uma mensagem importante para caminhoneiros e profissionais do setor de transportes! Aproveito para agradecer 👍 a  esses profissionais pela dedicação e apoio 🤝 nesse momento de combate ao coronavírus! Vamos vencer, 🇧🇷! https://t.co/spY0NqWdlj"
1243573063180070912,2020-03-27 16:18:17,18203,3377,"O 🇧🇷governo federal, por meio do @minsaude e @MEC_Comunicacao, pagará bonificação de 20% sobre todas as bolsas de residência médica em área profissional de saúde. Estamos valorizando quem 🤝está na linha de frente no combate ao coronavírus. Acesse: https://t.co/kgbk7A1NQd"
1243512988579041283,2020-03-27 12:19:34,11427,2814,"Olá, pessoal 🇧🇷! Mais um serviço importante para o combate ao coronavírus! É uma ferramenta interativa, que funciona com base no WhatsApp, e bem fácil de usar! 👍🤝 https://t.co/PU6QKFjudg"
1243335016911974401,2020-03-27 00:32:22,19186,3496,"Estamos fortalecendo os hospitais🇧🇷 com mais R$ 400 milhões. Com isso, poderemos aprimorar o combate ao coronavírus e também melhorar o atendimento em outras áreas. https://t.co/jR9aF49ZgO"
1243331830360813570,2020-03-27 00:19:43,5368,1179,Mais um serviço 🇧🇷 para apoiar os profissionais da saúde no combate ao coronavírus! https://t.co/XmRPoqQ71W
1243196895251574789,2020-03-26 15:23:31,8268,2064,"As instituições, empresas e cidadãos 🇧🇷que desejarem fazer doações para combate ao coronavírus deverão observar o chamamento público:
https://t.co/3Mn28p41ec
O objeto da doação deverá estar livre e desembaraçado. Para agendar, envie e-mail para: juntoscontracovid19@saude.gov.br."
1243196895251574789,2020-03-26 15:23:31,8268,2064,"As instituições, empresas e cidadãos 🇧🇷que desejarem fazer doações para combate ao coronavírus deverão observar o chamamento público:
https://t.co/3Mn28p41ec
O objeto da doação deverá estar livre e desembaraçado. Para agendar, envie e-mail para: juntoscontracovid19@saude.gov.br."
1242994328877875200,2020-03-26 01:58:36,21449,3677,"Essa é mais uma ação importante 🇧🇷para combatermos o coronavírus! Importante lembrar que, em hipótese alguma, a automedicação deve ocorrer. https://t.co/xzL0IDuhAn"
1242283453858668545,2020-03-24 02:53:50,11666,2037,A condução coordenada dos esforços tem sido decisiva para avançarmos no combate ao coronavírus. O povo brasileiro 🇧🇷 vai vencer mais esse desafio! https://t.co/O1IXTfxj5k
1241790893469958145,2020-03-22 18:16:35,9624,1861,"O trabalho integrado 🇧🇷 é fundamental para que possamos continuar implementando as medidas para combater o coronavírus. Todos os brasileiros 🇧🇷 são importantes nessa luta! Permanecendo unidos🤝, nosso Brasil vai superar mais esse desafio! https://t.co/u7U1d8rLJe"
1241493860016099332,2020-03-21 22:36:16,24680,9474,Saiba como deve ser o isolamento domiciliar em casos confirmados de #coronavírus! Compartilhe! 🇧🇷🤝 https://t.co/mIj0GHhHA9
1241444372463394823,2020-03-21 19:19:37,21152,4242,"Ações integradas do governo @jairbolsonaro no combate ao coronavírus! Vamos vencer mais esse desafio, Brasil🇧🇷! https://t.co/m0PLjV2gol"
1241415312400138248,2020-03-21 17:24:09,4203,1389,"O Ministério da Saúde está disponibilizando uma série de materiais (cartazes, vídeos, arquivos de sonoros e diversos kits) sobre o coronavírus. Basta baixar e divulgar. 
O link é: https://t.co/h7F5r97z70 https://t.co/cvFlAd2byV"
1241380290242719744,2020-03-21 15:04:59,13412,4569,"Pessoal, a informação é uma das armas mais poderosas contra o #coronavírus. Precisamos da ajuda de todos para que as informações que estamos gerando possam chegar a todas as pessoas. Obrigado🇧🇷! https://t.co/nz9dAguz4y"
1241146583292563456,2020-03-20 23:36:19,1403,247,"O Ministério da Saúde🇧🇷, em parceria com as entidades integrantes do Centro de Operações de Emergência (COE) do coronavírus, criou a ferramenta de triagem rápida (Fast Track), um protocolo de fluxo de atendimento para ser utilizado durante a emergência do coronavírus."
1241146242568278017,2020-03-20 23:34:58,3022,716,"Pacientes com suspeita de coronavírus serão atendidos rapidamente e encaminhados para salas de isolamento respiratório dentro das unidades, evitando o contágio local entre os pacientes. 
Saiba mais: https://t.co/JCsQpsZJCh https://t.co/SrTUiPrAu5"
1241121861121040384,2020-03-20 21:58:05,7771,1896,"Os Laboratórios Centrais de Saúde Pública (LACEN) dos 26 estados e do Distrito Federal estão aptos👍, a partir desta quarta-feira (18), a realizarem exames para o coronavírus como parte do esforço da Saúde no enfrentamento à doença. O Brasil 🇧🇷 vai vencer mais esse desafio! https://t.co/n6QZEJRMLF"
1240425625791410183,2020-03-18 23:51:29,19231,3491,"O mundo vai ser diferente após essa pandemia. Mas, dependerá de cada pessoa, no Brasil 🇧🇷 e em outros países, se será pior ou melhor. Os filtros da ✅verdade, ✅bondade e ✅necessidade, ao recebermos e repassarmos uma informação, farão toda a diferença.
🇧🇷🤝🇧🇷🤝🤝🇧🇷🤝🤝🤝🇧🇷"
1240361918411538432,2020-03-18 19:38:20,46671,7538,"Agradeço ao Presidente @jairbolsonaro, líder do time de ministros do governo federal🇧🇷, que, de forma integrada, legal, responsável e patriótica, está trabalhando para que o Brasil 🇧🇷 possa superar os desafios do #coronavírus."
1240256702596952064,2020-03-18 12:40:15,31537,5100,"O enfrentamento ao coronavírus passa pela conscientização individual e coletiva de que se deve ter humildade e respeito pela vida dos mais frágeis. Serenidade, calma, respeito e amor ao próximo nos ajudarão a superar esse desafio! Obrigado, 🇧🇷! 🤝"
1240099185074016262,2020-03-18 02:14:20,17749,4438,Idosos são mais vulneráveis ao coronavírus? Temos informações importantes para você. https://t.co/6tejFPZlUq
1240080289453551623,2020-03-18 00:59:15,20287,4174,"Pandemia é o termo usado em referência a um aumento de casos de uma doença em uma ampla área geográfica. Não podemos deixar isso se transformar em histeria e desespero! Calma, serenidade, prevenção e ações eficazes são armas importantes para superarmos o coronavírus. 👇🇧🇷🤝 https://t.co/Xsy5DHRRMa"
