id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1310608198949376002,2020-09-28 15:51:59,69,23,"""Within 2 weeks of WHO learning of the first cases of the novel coronavirus, 🇨🇳 shared the genetic sequences with WHO &amp; the wider 🌍. Working with our partner lab in 🇩🇪, Charite University we published the 1st instructions on how to build a validated #COVID19 PCR test""-@DrTedros"
1308379517837246465,2020-09-22 12:16:00,220,107,"Smokeless tobacco including chewing or vaping, is responsible for roughly 2⃣0⃣0⃣,0⃣0⃣0⃣ deaths from coronary heart disease every year.

A new WHO brief explains 👉https://t.co/ezRQnvdnL1"
1305791487121264640,2020-09-15 08:52:05,210,103,"😷 Masks during #COVID19: Who should wear them, when and how

#coronavirus https://t.co/wCCaZu79PB"
1304068326025506816,2020-09-10 14:44:51,33,16,"""In January, within two weeks of the first cases being reported to WHO, we published the first protocol for PCR testing for the new #coronavirus. 

Since then, millions of tests have been produced, and already rapid tests are now starting to be used""-@DrTedros #COVID19"
1300461839332126723,2020-08-31 15:53:58,125,81,"""At the same time, no country can just pretend the #COVID19 pandemic is over. 
The reality is that this coronavirus spreads easily, it can be fatal to people of all ages &amp; most people remain susceptible.""-@DrTedros"
1291410066839658499,2020-08-06 16:25:27,612,365,"😷 Masks during #COVID19: Who should wear them, when and how

#coronavirus

https://t.co/bVnTKUcBfQ"
1291389418436284425,2020-08-06 15:03:24,38,17,"""While health has often been viewed as a cost, the first coronavirus pandemic in history has shown how critical health investment is to national security. 

And universal health coverage is essential to our collective global health security""-@DrTedros #COVID19 #HealthForAll"
1285556193595990021,2020-07-21 12:44:15,1781,713,#COVID19 home caregivers should identify surfaces touched frequently by the person with suspected or confirmed #coronavirus and clean &amp; disinfect them daily. https://t.co/wS7b4crDyX
1285532703555760128,2020-07-21 11:10:55,101,37,"WHO Health Alert 🚨 on #COVID19 is also on @messenger

👉https://t.co/2sTfInZ8nj

Get accurate information about #coronavirus! 

#TakeCareBeforeYouShare https://t.co/JWsv9cm9y0"
1285300038546186243,2020-07-20 19:46:23,144,40,"Share the “Do the Five to stop the spread of #coronavirus” filter and stickers with your friends on @Snapchat 👻!

And subscribe to WHO on Snapchat
👉🏼 https://t.co/qvnBMC1mFF #COVID19 https://t.co/5sSpgVltNT"
1285198628496310272,2020-07-20 13:03:25,221,86,"To fight #COVID19 misinformation, WHO has collaborated with @Twitter, @Facebook, @instagram, @LinkedIn, @Snapchat, @tiktok_us, @Pinterest, @YouTube to direct people to WHO or national health institutions when searching for coronavirus information ℹ️. https://t.co/HZeYzLJkML"
1283745181779591169,2020-07-16 12:47:56,918,594,"😷 How to wear a medical mask safely: Do’s and don’ts

More: https://t.co/4odGgqxAKP

#COVID19 #coronavirus https://t.co/yXFCgPxa6d"
