id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1310690530725171202,2020-09-28 21:19:08,9,6,"❓Dúvidas sobre as normas de segurança sanitária para a votação com o novo coronavírus? A infectologista da #Fiocruz Marilia Santini participou de live do @TSEjusbr para esclarecer sobre o assunto. #Eleições2020

➡️Assista ao vídeo: 
https://t.co/ODQ5wosM6o"
1310618521332854787,2020-09-28 16:33:00,8,2,"Segunda-feira é o momento de montar a agenda dos eventos que você vai assistir🖥️ ao longo da semana.

📍As informações sobre nossos eventos ficam no Portal da Fiocruz: https://t.co/bygMsnx1tk

#fiocruz #covid19 #eventosonline https://t.co/1XCabuHE7q"
1310191960410394631,2020-09-27 12:18:00,14,7,"Ciclo de debates #observatoriocovid19: seis meses de pandemia.

▶️ https://t.co/4EDDgKzMM9

#COVID19 #Fiocruz https://t.co/nF71FEH6SV"
1310191960410394631,2020-09-27 12:18:00,14,7,"Ciclo de debates #observatoriocovid19: seis meses de pandemia.

▶️ https://t.co/4EDDgKzMM9

#COVID19 #Fiocruz https://t.co/nF71FEH6SV"
1308467588234719232,2020-09-22 18:05:57,16,4,"Começando agora 👇🏾👇🏾👇🏾👇🏾

#canalsaude #Fiocruz #VacinaOxford #covid19 https://t.co/bQ8Q3bEMR9"
1306208714194591746,2020-09-16 12:30:00,15,7,"➡️Para além da pandemia: atuações e possibilidades de ser favela no Rio de Janeiro

📆16/9, 15h

Assista aqui:
https://t.co/AaK38yC1FI https://t.co/Q1x2Y4ptjw"
1304517025511899142,2020-09-11 20:27:50,86,10,"AFN Acessibilidade da semana👋🏾: #Fiocruz lança pesquisa sobre papel da Saúde da Família na pandemia, dispositivo portátil de teste molecular para #Covid19,  e eventos abordam os impactos da pandemia para os direitos humanos.

⤵️ https://t.co/yj07NtSvHY"
1304406533585985537,2020-09-11 13:08:46,16,8,"Comitê da #Fiocruz vai discutir saúde indígena e pandemia. 

Anota na agenda:
🕕 16/9, 10h
📍 https://t.co/wY6b99Y2wp https://t.co/21tM0ES1HV"
1302969117490675713,2020-09-07 13:57:00,30,16,"Não perca!

➡️ https://t.co/mGlH2vZRU8

#COVID19 #Fiocruz #observatoriocovid19 https://t.co/4cvR6rhTTj"
1302602199697162240,2020-09-06 13:39:00,19,9,"🧓🏽👴🏽 Se você cuida de uma pessoa idosa, seja um familiar, vizinho ou amigo, ou se atua como cuidador(a) de forma remunerada, participe da pesquisa sobre a pandemia e como a #covid19 vem afetando seu trabalho.

👉Responda aqui:
https://t.co/8HvwjCvieC https://t.co/zlWGydSOYC"
1302602199697162240,2020-09-06 13:39:00,19,9,"🧓🏽👴🏽 Se você cuida de uma pessoa idosa, seja um familiar, vizinho ou amigo, ou se atua como cuidador(a) de forma remunerada, participe da pesquisa sobre a pandemia e como a #covid19 vem afetando seu trabalho.

👉Responda aqui:
https://t.co/8HvwjCvieC https://t.co/zlWGydSOYC"
1302224209079275520,2020-09-05 12:37:00,22,7,"#unidoscontraacovid19 👩🏾‍🤝‍👨🏽

👀👇🏿
https://t.co/mqsUoBCaqs https://t.co/y2f1VAYbrE"
1301504674512728065,2020-09-03 12:57:49,10,3,"Uma das principais ações do programa ""Unidos contra a Covid-19"" foi o aumento da capacidade de testagem.

❕Confira: https://t.co/mqsUoBTLP2

#unidoscontraacovid19 #fiocruz #COVID19 https://t.co/lhnnHIhFar"
1301196185194180610,2020-09-02 16:32:00,3,2,"A live semanal da plataforma Cidades em Movimento vai abordar o trabalho dos Agentes Comunitários de Saúde nos tempos de pandemia de #COVID19.

➡️Assista aqui: https://t.co/j7Z3EEAPWP https://t.co/Klw0fVxyxI"
1300420655276601344,2020-08-31 13:10:19,12,4,"Conhece o ""Unidos contra a Covid-19""? 🤔

É um programa criado pela #fiocruz 🏰 para unir esforços das esferas público e privada em prol do combate à doença.

➡️Saiba mais: https://t.co/lnwsbL0jmm

#unidoscontraacovid19 #covid19 #cooperação #solidariedade https://t.co/tKEv0kwFiq"
1298006668689772550,2020-08-24 21:18:00,11,5,"#pesquisa
#saúdepública
#covid19
#unidoscontraacovid
#Fiocruz 🏰

🧐 https://t.co/1zh4b4LsIV https://t.co/23TuavNwEO"
1297909349818535939,2020-08-24 14:51:17,6,0,"@minsaude O governador do Ceará, Camilo Santana, também destacou a importância do SUS e complementou: ""A pandemia mostrou o espírito de solidariedade que os brasileiros têm, a Unidade de Apoio ao Diagnóstico da #COVID19 é um esforço conjunto entre iniciativa privada e poder público"". https://t.co/PWZuv0TWnZ"
1297906116790292482,2020-08-24 14:38:26,2,0,"""É muito importante estarmos aqui e presenciarmos o Sistema Único de Saúde e a sua capilarização. A resposta que o SUS deu à pandemia será reconhecida no mundo"", afirmou o ministro interino da Saúde, Eduardo Pazuello.

#COVID19 @minsaude https://t.co/BgkCEnmoME"
1297151282231119873,2020-08-22 12:39:00,19,7,"O programa ""Unidos contra a Covid-19"" já contou com a colaboração de empresas e pessoas de todo o Brasil 🇧🇷.

👉No site estão as informações sobre o programa: https://t.co/1zh4b533At

#FIOCRUZ #COVID19 #unidoscontraacovid https://t.co/a5UR03dseb"
1296591091030880256,2020-08-20 23:33:00,30,8,"Criado pela Fiocruz para juntar esforços no combate à pandemia, o programa Unidos Contra a Covid-19 conta com o apoio das esferas pública e privada.

🧐Saiba como é possível ajudar: https://t.co/lnwsbLhUdU

#fiocruz #covid19 #unidoscontraacovid https://t.co/btOlAnUWb7"
1296591091030880256,2020-08-20 23:33:00,30,8,"Criado pela Fiocruz para juntar esforços no combate à pandemia, o programa Unidos Contra a Covid-19 conta com o apoio das esferas pública e privada.

🧐Saiba como é possível ajudar: https://t.co/lnwsbLhUdU

#fiocruz #covid19 #unidoscontraacovid https://t.co/btOlAnUWb7"
1296434514479153154,2020-08-20 13:10:49,148,13,"O destaque do AFN Acessibilidade👋🏿 da semana é o aumento da capacidade nacional de testagem para o novo coronavírus com a inauguração da uma Unidade de Apoio ao Diagnóstico da #Covid19 no campus Manguinhos da #Fiocruz, no Rio de Janeiro.

❕Assista aqui:
https://t.co/3BsEkUcysV"
1296071044109934592,2020-08-19 13:06:31,10,5,"Acompanhe agora o lançamento do projeto ""Conexão Saúde: de olho na Covid"", um modelo para o enfrentamento da pandemia em favelas e territórios populares
#Fiocruz #COVID19

📌Assista aqui: 
https://t.co/v8W3tpcXVa"
1295384578564251653,2020-08-17 15:38:45,38,18,"Lançamento de projeto de combate à pandemia de #COVID19 nas favelas nesta quarta (19/8). Modelo de vigilância, coordenado pela #Fiocruz, inclui telemedicina, testagem e rastreamento.

⏰19/8, 10h
❗https://t.co/grZPYelxlS

@redesdamare @dadosdobem @SASBrasil4x4 https://t.co/hEfTTUz80t"
1294612050530824192,2020-08-15 12:29:00,20,7,"Unidos contra a #Covid19 é o programa criado pela #Fiocruz 🏰para fortalecer ações de combate à pandemia.

👉🏽 Saiba mais:
https://t.co/mqsUoBCaqs https://t.co/YfDKReJpZv"
1294303769627373577,2020-08-14 16:04:00,7,4,"Os painéis de indicadores📊 da pandemia de Covid-19 são tema de webinar que acontece na próxima segunda-feira (17/8), a partir das 10h.

👉Para assistir: https://t.co/Ru5hSHFlp7

#Fiocruz
#COVID19 https://t.co/8T6MhQMaUg"
1293558860888842240,2020-08-12 14:44:00,18,6,"A live desta semana da plataforma Cidades em Movimento vai abordar o trabalho dos agentes comunitários frente à pandemia de #COVID19

⏱12/8, 15h
📍 https://t.co/j2y15Y0CGm https://t.co/MiNQfp8l9u"
1292822752014020615,2020-08-10 13:58:58,11,1,"""A Fiocruz vem atuando nos testes moleculares, em ações educacionais, com pesquisa, uma vez que ainda há muitas perguntas sem resposta, frente a essa pandemia que aflige nosso país e o mundo"", afirmou a presidente da #Fiocruz, Nísia Trindade Lima. https://t.co/s4FbOazILS"
1292820972563771393,2020-08-10 13:51:53,109,12,"Acontece agora na #Fiocruz a cerimônia de início das operações da Unidade de Apoio ao Diagnóstico da #COVID19.
""A testagem é fundamental em todas as etapas do controle da pandemia, por isso a Fiocruz faz essa entrega hoje"", disse a presidente da Fundação, Nísia Trindade Lima. https://t.co/5Ch5N6QU5z"
1291862255559151618,2020-08-07 22:22:18,15,6,"A #FIOCRUZ participou do projeto Resenha de Favela #Comigo, do @YouTubeBrasil com o @KondZilla, para levar informações da #covid19 aos jovens de periferias.

👉🏾Conheça o projeto e assista ao primeiro vídeo: https://t.co/hEzlT2NVWN

#seliganocorona #fiocruztájunto #resenhadefavela https://t.co/b28iibiKPT"
1291862255559151618,2020-08-07 22:22:18,15,6,"A #FIOCRUZ participou do projeto Resenha de Favela #Comigo, do @YouTubeBrasil com o @KondZilla, para levar informações da #covid19 aos jovens de periferias.

👉🏾Conheça o projeto e assista ao primeiro vídeo: https://t.co/hEzlT2NVWN

#seliganocorona #fiocruztájunto #resenhadefavela https://t.co/b28iibiKPT"
1289204499437907973,2020-07-31 14:21:19,16,4,"O secretário Especial de Produtividade, Emprego e Competitividade do @MinEconomia, Carlos Alexandre Da Costa, está hoje na #Fiocruz para conhecer mais o acordo de produção da vacina contra a #covid19. https://t.co/f59wYEcafh"
1288927260330860550,2020-07-30 19:59:40,151,21,"A possível volta às aulas em meio à pandemia de #COVID19 é o destaque do AFN Acessibilidade desta semana. Confira as notícias da #Fiocruz na Língua Brasileira de Sinais (Libras), com áudio e legenda em português.

https://t.co/wYKk9hBe4j"
1283889316637310976,2020-07-16 22:20:41,74,9,"Última notícias da #Fiocruz, na Língua Brasileira de Sinais👋 (Libras) e com áudio e legendas em português.
#covid19 #HIV #prep #tabagismo #controledotabaco #amianto #saúdeocupacional #afnacessibilidade 

Assista aqui: https://t.co/hastCSRuwg"
1282768722760011777,2020-07-13 20:07:50,28,9,"Curso de Saúde Mental e Atenção Psicossocial na #covid19 terá quatro aulas ao vivo!

#saúdemental #Fiocruz #cursosnaFiocruz https://t.co/olqE8QN3l1"
1280952864085590017,2020-07-08 19:52:16,80,12,"Pesquisa para verificar a presença do novo coronavírus no esgoto; a #Fiocruz no #Minecraft; um mapeamento dos efeitos da pandemia de #covid19 em adolescentes e outros assuntos no AFN #Acessibilidade da semana. As notícias estão em #Libras.

https://t.co/CgTI44MbuL"
1280952864085590017,2020-07-08 19:52:16,80,12,"Pesquisa para verificar a presença do novo coronavírus no esgoto; a #Fiocruz no #Minecraft; um mapeamento dos efeitos da pandemia de #covid19 em adolescentes e outros assuntos no AFN #Acessibilidade da semana. As notícias estão em #Libras.

https://t.co/CgTI44MbuL"
