id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1296783101264302080,2020-08-21 12:15:59,29920,4493,O número de mortes diárias por covid-19 só perde para o número de depósitos em dinheiro na contra de F. Bolsonaro.  E os dois números não chocam mais ninguém. Triste.
1293861163441303552,2020-08-13 10:45:14,8426,1814,"Isso não é crime de responsabilidade? “Falta insumo para caso grave de covid em 22 estados e DF; cloroquina sobra”. 
 https://t.co/xRh9DwkgW7 via @UOLNoticias @UOL"
1286997016711700481,2020-07-25 12:09:34,5125,338,"Meus sentimentos à família do ex-deputado federal José Mentor, vítima do covid-19. Parlamentar destacado na luta pelos direitos dos trabalhadores. Uma pena."
1284094717534363654,2020-07-17 11:56:52,1990,429,"Sete ex-ministros da Saúde: “Que o governo federal assuma suas responsabilidades intransferíveis! Que o Ministério da Saúde seja devolvido à saúde pública! Que se ponha fim à omissão no enfrentamento da pandemia!”
https://t.co/nIl9KR09Fn"
1279434313080201216,2020-07-04 15:18:05,3160,526,"‘Uma loucura', diz ex-presidente colombiano Juan Manuel Santos (centro-direita) e Nobel da Paz sobre ações de Bolsonaro na pandemia. Ele acha que os presidentes da região deveriam chamar Bolsonaro ""à sensatez"". 
https://t.co/AsUQepInlu"
1277761411326844928,2020-06-30 00:30:34,1131,231,"Pisos possíveis do bolsonarismo:
7% dos brasileiros acreditam que a terra é plana (DataFolha)
13% dos brasileiros acreditam que não houve ditadura durante o regime militar (DataFolha);
18% dos brasileiros acreditam que a cloroquina cura covid-19 (Ipsos).
https://t.co/i0oWh8LXIA"
1270059401563516928,2020-06-08 18:25:32,9199,1077,"Se os governadores são os responsáveis pelas mortes por covid-19, por que Bolsonaro esconde criminosamente os dados? Só que não. O STF decidiu que as autoridades são corresponsáveis em matéria de saúde pública."
1269426577579937793,2020-06-07 00:30:55,55922,7349,Só há duas maneiras de melhorarmos os números da pandemia: escondendo os óbitos ou afastando Bolsonaro. Quantos crimes ele precisará cometer para encararmos a verdade? Temos um fascista na presidência!
1266518721520074752,2020-05-29 23:56:08,15396,2346,"Sem ministro e sem secretário de vigilância em saúde, país atinge 27,9 mil mortos por covid-19. Neste ritmo, em 15 dias seremos o 2° país em número total de mortos. Enquanto isso, Bolsonaro luta pela (impunidade de) sua família."
1266113890292846593,2020-05-28 21:07:29,23168,2363,"O Brasil concentra 25% das mortes por covid no mundo, em 24h, e Bolsonaro preocupado com Edgard Corona, Vírus da Havan etc. Triste país."
1263956445734764545,2020-05-22 22:14:34,103778,18002,"“Tem que vender essa porra (Banco do Brasil) logo” (Guedes).
“Aproveitar a pandemia para ir passando a boiada (destruição da Amazônia)” (Salles)
“Eu, por mim, botava esses vagabundos todos na cadeia. Começando no STF” (Weintraub)
Baita equipe!!"
1262731663429242880,2020-05-19 13:07:43,7926,1222,"A diferença entre uma mulher porreta e um banana: 
Por reação ao coronavírus, primeira-ministra da Nova Zelândia é a mais popular em 100 anos @estadao:  https://t.co/JKBw6rkBY7"
1258503289445978115,2020-05-07 21:05:40,6695,1494,"Vexame: Editorial da revista científica The Lancet, a mais importante na área médica do mundo, classifica Bolsonaro como ""a maior ameaça à resposta do Brasil à covid-19"" e sugere que ele mude sua conduta ou seja ""o próximo a sair"". https://t.co/b6tij2rmGb"
1257812852116783113,2020-05-05 23:22:07,5086,1027,"Horas antes da divulgação do recorde de mortes (600), WSJ noticiava estudo de que o Brasil já tinha se tornado o epicentro global da pandemia. https://t.co/Ntw8h2U1FH"
1249780526136864768,2020-04-13 19:24:31,2818,295,"Fernando Haddad concede entrevista às 16h45, nesta segunda-feira, ao canal CNN Brasil. Ele vai tratar da conjuntura política e da crise do coronavírus. #EquipeHaddad"
1248035943896023041,2020-04-08 23:52:11,19294,1859,Bolsonaro precisou de três semanas para se solidarizar com as famílias das vítimas do coronavírus no Brasil.
1245717209873293315,2020-04-02 14:18:21,4765,742,"MP da Morte foi substituída pela MP do Coma. Coma não induzido, mas inadvertidamente produzido. Vai ser difícil a economia se recuperar depois da pandemia. Perda de renda da classe média, seguida de crise nos serviços. Oposição precisa apresentar alternativa urgente!"
1245444869830725632,2020-04-01 20:16:10,4528,1122,Política alucinada de Bolsonaro corta bolsa de pesquisa de cientista que estudava o novo coronavírus.  https://t.co/xeF39WL4uI
1244966754436202497,2020-03-31 12:36:19,1527,363,"O governo precisa cuidar de quem cuida. Faltam insumos para proteger os profissionais de saúde que estão na linha de frente do combate à pandemia.  
https://t.co/24VI7HH2UI"
1243330163959619585,2020-03-27 00:13:05,14666,2713,"Bolsonaro sugere que, como o brasileiro já vive no esgoto e não pega nada, ele deve ser imune ao coronavírus! Retire-se, Bolsonaro! https://t.co/GPuYxuFbTe"
1241811149961732101,2020-03-22 19:37:04,9206,1332,"DESCOBRIRAM: 
Para presidente da Eurasia, Bolsonaro é líder mundial mais ineficaz na resposta a coronavírus @estadao:  https://t.co/BsiMjZWQeL"
1241710096926867456,2020-03-22 12:55:31,91897,11812,Itália importa guerrilheiros contra o coronavírus: médicos cubanos. https://t.co/8xGtkP8Fbi
1241009920058839042,2020-03-20 14:33:16,5717,1610,Crueldade ilimitada: Governo corta 158 mil famílias do Bolsa Família em meio a covid-19; 61% são do NE @UOLNoticias @UOL https://t.co/rL8VipTMVC
1240600483879956480,2020-03-19 11:26:19,3840,634,Atitude que deveria nos inspirar!Combate ao coronavírus sela cooperação entre israelenses e palestinos https://t.co/zb2iR9pEQF
1240248854416687104,2020-03-18 12:09:04,13727,2114,"Médicos cubanos se dizem prontos e felizes para atuar contra o coronavírus. Obrigado, companheiros, pela humildade e solidariedade!! https://t.co/QUaSUtIcKg via @UOLNoticias @UOL"
1238072168388481025,2020-03-12 11:59:41,19741,2540,"O maior problema do coronavírus é logístico: velocidade de propagação e tempo de internação nos casos mais graves. Sem governo, como estamos, tudo se tornará mais difícil por semanas ou meses."
1141783151942832128,2019-06-20 19:01:31,2788,505,"“Nacionalismo míope à existência de problemas globais- como a degradação ambiental, as migrações ou as pandemias- somado a alinhamentos automáticos a governantes estrangeiros, na base ideológica, podem isolar o Brasil e condená-lo à insignificância.”
https://t.co/q1JUhfJEL5"
