id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1311634289184956416,2020-10-01 11:49:18,6656,1323,"Fica a pergunta: presidente @jairbolsonaro, por que o senhor desviou a finalidade de R$7,5 MILHÕES doados para compra de testes de Covid-19 e repassou o dinheiro para o projeto de sua esposa Michelle no auge da pandemia?"
1311277392766349313,2020-09-30 12:11:07,665,80,"Em plena pandemia, com 36,5mil infectados e quase 200 mortos dentro dos presídios, o Ministério da Saúde quer diminuir as equipes de saúde prisionais. Os profissionais que já atendem 1,2mil detentos passariam a atender 2,7mil. No Brasil não existe pena de morte, Pazuello! ABSURDO"
1310928237426606080,2020-09-29 13:03:42,2352,247,"Bolsonaro não quer trabalhar. Mais uma vez ele foge à responsabilidade e coloca a culpa nos outros. Cabe ao presidente propor uma solução pra continuidade da renda básica. Cabe a ele conduzir o país na pandemia, mas ele, como sempre, lava as mãos. É o pior presidente do mundo."
1310753622574202880,2020-09-29 01:29:50,4108,404,O mundo acaba de chegar a 1 milhão de mortos por Covid. O Brasil é o 2º país com mais óbitos: passamos de 142 mil. Toda solidariedade aos familiares das vítimas. A pandemia não acabou e Bolsonaro continua tratando essa crise com descaso e deboche com a vida dos brasileiros.
1310328958198657037,2020-09-27 21:22:23,3921,189,"Ter esse jogo foi um dos maiores absurdos que já vi. Aliás, para a CBF não existe pandemia."
1309147099095805954,2020-09-24 15:06:05,991,119,"Combater a desigualdade tem que ser dever de TODOS, ministro da Educação. Aliás, sabe quanto seu governo investiu para garantir internet nas escolas públicas pra que alunos possam assistir às aulas online na pandemia? NADA! Destruir a educação é projeto político de Bolsonaro."
1308550802093506562,2020-09-22 23:36:37,9492,1163,"Não, Bolsonaro, você nunca se empenhou em combater a pandemia. Desde o início você minimizou o vírus, chamou de ""gripezinha"", que só os fracos pegariam, desrespeitou as recomendações sanitárias, provocou aglomeração, estimulou que brasileiros não usassem máscara. Canalha!"
1308547800863473665,2020-09-22 23:24:42,2457,310,Bolsonaro falou na ONU que seu desgoverno deu assistência a famílias indígenas com comida e prevenção à Covid. Mas a verdade é que ele vetou a obrigação do governo de garantir acesso à água potável e leitos aos índios na pandemia. Bolsonaro é um cara de pau mesmo!
1305654798092558336,2020-09-14 23:48:56,3091,300,"Depois de meses de experiência, Pazuello mostrou sua ineficiência em combater a  pandemia, qualidade necessária pra fazer parte do desgoverno Bolsonaro. Foi efetivado."
1305650286242009090,2020-09-14 23:31:00,9708,1072,"URGENTE! Bolsonaro decide efetivar Pazuello como ministro da Saúde. Estamos vivendo a maior crise sanitária do país com uma pandemia que já matou mais de 132 mil brasileiros, e o Ministério da Saúde segue tomado por militares, a maioria sem experiência na área. Desgoverno!"
1304500311931973633,2020-09-11 19:21:25,3698,381,Quase 130 mil brasileiros mortos por Covid e o pior presidente do mundo tá aí dizendo que o Brasil foi um dos países que menos sofreu com a pandemia. Francamente! Bolsonaro é o responsável por essa crise e nem sequer tem a humanidade de se solidarizar com as famílias das vítimas!
1304098015347646465,2020-09-10 16:42:50,67,5,"Amanhã participarei da live ""Educação em tempos de pandemia"" do @congemfoco. Acompanhem! https://t.co/RlknTuVc4v"
1303741832640311296,2020-09-09 17:07:29,1,0,"@jullyocarvalho Pra evitar desentendimentos. Nossa posição sempre foi contrária à reabertura dos escolas enquanto não superarmos a pandemia. Isso é colocar a vida dos alunos, educadores e das famílias em risco."
1303740586663575552,2020-09-09 17:02:32,583,71,"Não podemos pensar na volta às aulas sem o controle da pandemia, planejamento, testagem em massa e rastreamento dos infectados. Os lugares que adotaram essas medidas conseguiram conter o contágio e as mortes. Esse é o caminho pra uma reabertura segura e responsável. #VoltaÀsAulas"
1303739788768481288,2020-09-09 16:59:22,1,0,"@jullyocarvalho É sobre isso que estamos falando. Não podemos pensar na reabertura das escolas sem o controle da pandemia. Não podemos colocar crianças, educadores e suas famílias em risco. Salvar vidas é prioridade."
1303738825324273665,2020-09-09 16:55:32,4,0,"@hologr4m5 É sobre isso que falo, Alberto. Não podemos pensar na reabertura das escolas sem o controle da pandemia. Não é o momento para isso. Preservar vidas tem que ser prioridade."
1302977628257820674,2020-09-07 14:30:49,3342,275,"Bolsonaro, um país independente não ignora uma pandemia que já matou mais de 126 mil pessoas. Um país independente não atenta contra a Saúde pública. Criminoso!"
1302671852083580931,2020-09-06 18:15:46,12928,1848,"Muitos achavam que assistiríamos saques de pessoas pobres durante a pandemia. Mas, assistimos o banqueiro saqueando os pobres. Paulo Guedes reduziu o salário mínimo e o valor do auxílio emergencial."
1301996840431296512,2020-09-04 21:33:31,5291,502,"Se lembram da pandemia da Itália? Na época, Bolsonaro disse que a doença iria passar. Hoje nós passamos a Itália em nº de mortes por milhão de habitantes. Tivemos todo esse tempo pra nos prevenir, mas o presidente é incompetente. Toda solidariedade aos familiares das vítimas."
1301968237710790656,2020-09-04 19:39:51,744,105,Bolsonaro é um genocida e atenta contra a saúde pública. Pedir para o menino tirar a máscara em meio a uma pandemia que já matou quase 125 mil brasileiros é estimular que a população não se proteja da doença. É criminoso! Bolsonaro é o pior presidente do mundo. https://t.co/pYAImuAux8
1301197077150666752,2020-09-02 16:35:32,0,0,"@O_Victorino Combater a corrupção não tem que ser só na pandemia, mas sempre. Assim fizemos com Cabral, Eduardo Cunha, Flávio Bolsonaro... (vários apoiados pelos Bolsonaros). Isso sim é lutar contra corrupção. O que adianta falar de penas maiores e apoiar Salles e esse governo?"
1301155134831984645,2020-09-02 13:48:53,3,0,"@julianoalbuque Combater a corrupção não tem que ser só na pandemia, mas SEMPRE! Assim fizemos com Cabral, Eduardo Cunha, Flávio Bolsonaro... (vários apoiados pelos Bolsonaros). Isso sim é lutar contra corrupção. O que adianta falar de penas maiores e apoiar Salles e esse governo? Hipocrisia!"
1300907174546284547,2020-09-01 21:23:34,400,80,"VIVA A LUTA INDÍGENA! Famílias pataxós da Aldeia Novos Guerreiros, na Bahia, estão ameaçadas de serem expulsas de suas terras. Isso é grave e ILEGAL pq contraria a decisão do STF, que proibiu a reintegrações de posse durante a pandemia. Todo nosso apoio aos pataxós! #LutaPataxo"
1300895847547375617,2020-09-01 20:38:34,3406,538,"O governo de Bolsonaro usa dinheiro público pra fazer propaganda antivacina, disseminando desinformação e insegurança em plena pandemia que já matou mais de 121 mil brasileiros. Além de ser incapaz de salvar vidas, Bolsonaro espalha o medo. É o pior presidente do mundo."
1300844544859222017,2020-09-01 17:14:42,14890,1781,"Bolsonaro é o pior presidente do mundo na pandemia. Não salvou vidas, ignorou os profissionais de saúde. Agora, temos a maior queda do PIB nos últimos 25 anos. Desumano e incompetente !!"
1300837590581612546,2020-09-01 16:47:04,4184,556,"Em vez de pagar melhores salários aos profissionais de Saúde, que estão trabalhando incansavelmente nesta pandemia pra salvar vidas, Crivella usa DINHEIRO PÚBLICO para bancar sua milícia política. CRIMINOSO! https://t.co/J7gVial5Cq"
1300411571542339585,2020-08-31 12:34:13,13802,2060,Você sabia que a fortuna de 42 bilionários brasileiros cresceu US$ 34 bilhões só durante a pandemia? Os super-ricos pagam pouquíssimos impostos. Nós queremos taxar a fortuna desse 1% dos brasileiros pra reduzir os impostos pagos pelos pobres e classe média.
1300089428287934464,2020-08-30 15:14:08,12383,1661,Vocês sabem o quanto Bolsonaro investiu para garantir internet nas escolas públicas para que nossas crianças estudem e assistam aulas online durante a pandemia? Nem um centavo! Bolsonaro está acabando com o futuro do nosso país.
1299064513535369216,2020-08-27 19:21:30,527,83,"Famílias pataxós da Aldeia Novos Guerreiros, na Bahia, estão sendo expulsas ILEGALMENTE de suas terras. Isso é muito grave e contraria a decisão do STF, que proibiu a reintegrações de posse durante a pandemia. Todo apoio à luta indígena!"
1298697237602738182,2020-08-26 19:02:04,4712,555,Hoje completamos 102 dias sem ministro da Saúde em plena pandemia que já vitimou mais de 115 mil brasileiros. Não há prova maior de que este governo é genocida.
