id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1294351932530626560,2020-08-14 19:15:23,541,145,"3 O governador Zema, em vez de negociar uma solução pacífica, para evitar um despejo em massa e violento em meio à pandemia da Covid 19, jogou sua polícia contra o povo. #SalveQuilombo #DespejoZero @MST_Oficial (...)"
1284195809131728897,2020-07-17 18:38:34,2574,676,"CISTERNAS QUE SALVAM VIDAS
Programa do governo do PT, construção de reservatórios dágua para o povo nordestino garante comida na mesa mesmo com a pandemia.
Leia a reportagem do El Pais no link
https://t.co/R0Zqw6fE07 https://t.co/Hx2dd9Y8gz"
1281250030574280704,2020-07-09 15:33:06,1036,295,"O BRASIL ESTÁ NO EPICENTRO MUNDIAL DA FOME
Estudo da Oxfam denuncia que descaso dos governos na ajuda aos trabalhadores fará a fome matar mais do que a pandemia./
Leia o estudo da Oxfam no link
https://t.co/evAyMG5hef https://t.co/t1Hb0HQ2mA"
1278397148690886656,2020-07-01 18:36:46,583,75,"4/O capitalismo de plataformas impõe uma forma brutal de exploração. As companhias que controlam o setor aumentaram seus lucros em 85%, enquanto os entregadores perderam renda, pela concorrência excessiva, e hoje se arriscam o tempo todo à contaminação pelo coronavírus.(...)"
1276226209853116416,2020-06-25 18:50:14,2426,394,"5/Ação criminosa e perversa, pois a água está sendo essencial no enfrentamento do covid19, e será fundamental contra qualquer vírus que no futuro nos ameace. A água não pode ter dono. É bem público que a todos pertence e por todos deve ser usufruída."
1276226206447394816,2020-06-25 18:50:13,2105,303,"3/O PSDB liderou a aprovação da nova lei. Só a bancada do PT votou contra por unanimidade. O saneamento é essencial para oferecer vida segura e saudável à população. Significa fortalecer a saúde pública, que a crise do covid19 mostrou que só pelo Estado pode ser garantida a todos"
1275852613091811335,2020-06-24 18:05:41,331,91,"#AoVivo Brasil, Bolsonaro e a catástrofe do #coronavirus - com Jeremy Corbyn &amp; Dilma Rousseff. 

Aqui com tradução simultânea https://t.co/zNB79ulnq4"
1275852346636079104,2020-06-24 18:04:38,650,183,"#AoVivo Brasil, Bolsonaro e a catástrofe do #coronavirus - com Jeremy Corbyn &amp; Dilma Rousseff https://t.co/E40hRXVBvH"
1270471492594282501,2020-06-09 21:43:02,232,38,"#AoVivo Debate sobre as mulheres e a pandemia, a convite do deputado @EdegarPretto Assista! https://t.co/wDo2QGh3yE"
1269039285430337538,2020-06-05 22:51:57,1958,288,"Carlos Lessa, presente! É triste que o país sofra a perda de um economista de inteligência rara e de imenso coração, justamente quando enfrentamos os fantasmas de um autoritarismo que deixou tantas marcas e feridas, em meio a uma pandemia que faz dele outra entre 32 mil vítimas. https://t.co/85DJOxwYcU"
