id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1309603863251558402,2020-09-25 21:21:06,114,11,"Realizamos hoje nossa reunião semanal de avaliação do Decreto Estadual relativo à pandemia do coronavírus. A partir da próxima segunda-feira (28) alguns espaços e atividades ficam autorizados a funcionar, tais como: https://t.co/gzN7JA1kA5"
1309603863251558402,2020-09-25 21:21:06,114,11,"Realizamos hoje nossa reunião semanal de avaliação do Decreto Estadual relativo à pandemia do coronavírus. A partir da próxima segunda-feira (28) alguns espaços e atividades ficam autorizados a funcionar, tais como: https://t.co/gzN7JA1kA5"
1309229471757672453,2020-09-24 20:33:25,81,5,"Participei nesta tarde da 27ª reunião semanal do Comitê Estadual de Enfrentamento ao Coronavírus, que reúne 29 órgãos e instituições cearenses para acompanhar e discutir o processo de enfrentamento à Covid no estado. Nossos profissionais de saúde apresentaram dados da pandemia... https://t.co/MO2PLZ9RpU"
1308858662413361152,2020-09-23 19:59:57,191,4,"Estive reunido hoje, em Brasília, com o ministro da Saúde, Eduardo Pazuello, e equipe. Acompanhado do nosso secretário Dr. Cabeto, conversamos sobre as ações realizadas no Ceará no enfrentamento à pandemia do coronavírus, e agradecemos pelo apoio dado... https://t.co/zjMIb7zgLR"
1308858662413361152,2020-09-23 19:59:57,191,4,"Estive reunido hoje, em Brasília, com o ministro da Saúde, Eduardo Pazuello, e equipe. Acompanhado do nosso secretário Dr. Cabeto, conversamos sobre as ações realizadas no Ceará no enfrentamento à pandemia do coronavírus, e agradecemos pelo apoio dado... https://t.co/zjMIb7zgLR"
1307984559104045056,2020-09-21 10:06:34,845,147,"A educação do Ceará foi citada como referência na revista inglesa The Economist, uma das mais importantes publicações do mundo. A matéria, que retrata as dificuldades do ensino na América Latina neste momento de pandemia, coloca o estado como exceção no país com as ações... https://t.co/7dRo1cPTmZ"
1306550631457533953,2020-09-17 11:08:39,93,9,"Os profissionais de saúde que atuam no enfrentamento à pandemia de Covid contam com mais uma ferramenta lançada pelo Governo do Estado para dar suporte nesse combate à doença: o aplicativo iSUS, desenvolvido pela Escola de Saúde Pública em parceria com a Funcap... https://t.co/jgMDoIiT9x"
1306194352276938752,2020-09-16 11:32:56,89,7,"... A refinaria deverá ser instalada na área da Zona de Processamento de Exportação (ZPE), no Pecém. Mesmo em um momento de pandemia, seguimos trabalhando firmes para atrair novos investimentos para o estado e, com isso, aumentar a geração de empregos para os cearenses. https://t.co/7ddYymfxoO"
1305466523688087552,2020-09-14 11:20:48,49,3,"... para atender inicialmente pacientes com a Covid-19, e que agora serão utilizados para tratamento de outras enfermidades. O hospital ainda conta com outros 10 leitos de UTI exclusivos para pacientes com coronavírus..."
1304510875076755457,2020-09-11 20:03:23,150,11,"Tivemos hoje nossa reunião semanal de avaliação do Decreto Estadual relativo à pandemia do coronavírus. A partir da próxima segunda-feira (14), com a entrada do Cariri, todas as regiões do Ceará estarão na 4ª e última fase do Plano de Retomada Econômica... https://t.co/zNl50y9GWw"
1304510875076755457,2020-09-11 20:03:23,150,11,"Tivemos hoje nossa reunião semanal de avaliação do Decreto Estadual relativo à pandemia do coronavírus. A partir da próxima segunda-feira (14), com a entrada do Cariri, todas as regiões do Ceará estarão na 4ª e última fase do Plano de Retomada Econômica... https://t.co/zNl50y9GWw"
1304437333593337857,2020-09-11 15:11:10,102,2,"... Deixo meus sentimentos de pesar aos familiares e amigos das 8.666 pessoas que perderam a vida no estado. Reforço que a pandemia ainda não acabou. Precisamos manter a atenção, sempre com uso de máscara e evitando aglomerações, para evitar que haja aumento no número de casos."
1304125135885135872,2020-09-10 18:30:36,80,3,"Participo agora da 26ª reunião semanal do Comitê Estadual de Enfrentamento ao Coronavírus, que reúne 29 órgãos e instituições para acompanhar e discutir o processo de enfrentamento à Covid no Ceará Nossos profissionais de saúde apresentaram os dados completos da pandemia... https://t.co/BrkCZ99KBU"
1303808602818465793,2020-09-09 21:32:49,50,1,"... A alteração permitirá a criação de uma equipe técnica permanente para a elaboração e execução de projetos de maior envergadura, além da gestão de recursos do Fundo. Neste ano, o FDID apoiou o Estado em ações de enfrentamento ao coronavírus. Agradeço ao MPCE pela parceria. https://t.co/PPF0LCgCEk"
1302577886193422336,2020-09-06 12:02:23,73,9,"... Volto a insistir que a pandemia não acabou. Continua fazendo muitas vítimas. 8.565 pessoas já perderam a vida para a doença no CE. Neste fim de semana tem circulado imagens de aglomerações, que preocupam muito. Muita gente sem máscara e desrespeitando as regras sanitárias..."
1301109483607818240,2020-09-02 10:47:28,69,5,"... Temos agido sempre com o máximo de rigor e transparência no enfrentamento à pandemia. Juntos, estamos superando este momento difícil."
