id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1311396978350268416,2020-09-30 20:06:18,68,6,"Pela 2ª vez, dados do IJSN mostram que o ES alcançou em agosto 6.166 empregos formais. Foram 24.463 admissões e 18.297 desligamentos. O indicador é resultado da nossa gestão de risco na pandemia. Avançamos, de forma responsável, com plano de convivência no momento adequado."
1311243779874136064,2020-09-30 09:57:33,63,7,"Hoje, lançaremos o cadastro na Lei Aldir Blanc, no ES. Com aporte de R$ 30 milhões, o objetivo é promover ações para garantir uma renda emergencial para trabalhadores da Cultura e espaços culturais durante o período da pandemia. Cerca de 7 mil pessoas serão beneficiadas. https://t.co/8f4bV7hoSk"
1309853592044658688,2020-09-26 13:53:26,191,14,Entregamos hoje mais 40 leitos de UTI no hospital Dorio Silva. Antes da pandemia o hospital tinha 165 leitos. Agora temos 229 e desses 94 são de UTI. Legado permanente que estamos deixando para os capixabas. #otrabalhonaopara https://t.co/tuhjS2pNfA
1307267365206401024,2020-09-19 10:36:42,321,28,"Estamos vencendo a Covid! O novo mapa de risco que entra em vigor nesta segunda (21) traz 75 cidades em risco baixo e 3 em risco moderado. É importante seguirmos os protocolos de saúde, pois a pandemia não acabou. https://t.co/0O16kMcUmC"
1304151384271589376,2020-09-10 20:14:54,66,7,"O comércio varejista no Espírito Santo cresceu 8,7% em julho de 2020 comparado com julho de 2019. Um desempenho superior à média brasileira, que é de 5,5%. Resultado do trabalho responsável e equilibrado da gestão de risco da pandemia no ES. Fonte: Dados do IBGE. https://t.co/cMwG2iopjV"
1299677197779849216,2020-08-29 11:56:05,111,28,"A nova Matriz de Convivência com a pandemia entra em vigor nesta segunda, assim como o novo Mapa de Risco. 2 municípios estão em risco alto (S Mateus e Piuma), 51 no moderado e 25 no baixo. O ES segue em queda nos óbitos e precisamos seguir os protocolos para zerar esse número. https://t.co/fyST2C7Up3"
1286310256327483392,2020-07-23 14:40:38,24,1,"@JMarcosSeidel E desde quando a ausência de comorbidade garantiu a sobrevivência à doença? Quem faz uso politiqueiro da pandemia é quem se disfarça na ignorância para atacar a ciência e as autoridades sanitárias. E esse, não sou eu."
1286244442400268288,2020-07-23 10:19:06,354,18,Recebo com muita tristeza a notícia do falecimento do Prefeito Paulo Márcio. Mais uma vida interrompida pelo coronavírus. Desejo que seus familiares e amigos encontrem em Deus o conforto diante deste momento de tamanha dor.
1282737737494417408,2020-07-13 18:04:43,138,14,"Para amenizar os efeitos econômicos causados pela pandemia, o @Banestes_SA já concedeu mais de R$ 200 milhões em novos créditos e cerca de R$ 567 milhões em reparcelamentos. Um importante instrumento para estimular a recuperação mais acelerada dos que estão sendo mais afetados."
1280504218374283264,2020-07-07 14:09:30,114,14,"Em uma semana em que um morador de rua foi brutalmente queimado e perdeu a vida, estamos dando sinal claro de apoio a população em situação de rua através do repasse de um milhão de reais para V.Velha, Cariacica e Cachoeiro para acolhimento a essa população no período da pandemia https://t.co/nKtckLy0iZ"
