id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1309522664059535362,2020-09-25 15:58:27,254,27,"Na entrevista coletiva desta sexta-feira, mostrei que a ocupação hospitalar com casos de coronavírus continua caindo no Maranhão. Chegamos a ter na rede estadual 1.700 pessoas internadas simultaneamente, hoje temos cerca de 300. https://t.co/5VDEaECRcZ"
1309499998523006982,2020-09-25 14:28:23,546,55,"Hoje editei nova medida AMPLIANDO parcelamentos e descontos quanto ao ICMS devido até julho de 2020. E o nosso Plano Emergencial de Empregos passou de R$ 200 milhões de investimentos. Desde sempre, cuidamos da saúde e da economia, no enfrentamento ao coronavírus"
1309300308540035072,2020-09-25 01:14:53,201,34,"Teremos entrevista coletiva nesta sexta-feira, 10h. Farei análise sobre a pandemia do coronavírus e anúncio de novas medidas. Todos podem acompanhar &gt;&gt; https://t.co/5YqCM2iDYB"
1309300308540035072,2020-09-25 01:14:53,201,34,"Teremos entrevista coletiva nesta sexta-feira, 10h. Farei análise sobre a pandemia do coronavírus e anúncio de novas medidas. Todos podem acompanhar &gt;&gt; https://t.co/5YqCM2iDYB"
1307659193814528001,2020-09-20 12:33:41,3223,348,"Meu artigo desta semana é uma homenagem ao meu pai, uma das vítimas do terrível coronavírus. Mais uma vez e sempre, minha solidariedade a todas as famílias diretamente atingidas pela doença. https://t.co/4756dwayY8"
1307152037508001792,2020-09-19 02:58:26,654,61,"Ocupação hospitalar em queda no Maranhão, quanto a casos derivados do coronavírus. E seguimos na luta diária &gt;&gt; https://t.co/1D95dGwRIM"
1306916471101173760,2020-09-18 11:22:22,3822,591,"Muito grave o represamento de atendimentos no INSS. Problema é anterior à pandemia e se agravou. Em todas as áreas, Bolsonaro produz desastres administrativos. Consequência de viver em campanha eleitoral e não exercer as tarefas de gestão."
1306785128950247426,2020-09-18 02:40:28,163,36,"Nesta sexta-feira, 10h, entrevista coletiva sobre a pandemia do coronavírus. Farei análise dos números. E anunciarei novas medidas sanitárias e de estímulo econômico. https://t.co/V1ur64tNEu"
1306785128950247426,2020-09-18 02:40:28,163,36,"Nesta sexta-feira, 10h, entrevista coletiva sobre a pandemia do coronavírus. Farei análise dos números. E anunciarei novas medidas sanitárias e de estímulo econômico. https://t.co/V1ur64tNEu"
1305540108079321088,2020-09-14 16:13:12,1356,143,"Como estamos fazendo desde abril, mantemos a distribuição de cestas básicas para reduzir os impactos sociais da calamidade do coronavírus. Infelizmente, querem cometer o imenso erro de cortar o auxílio emergencial de R$ 600, em um momento ainda muito difícil da pandemia. https://t.co/9hqKu2cyII"
1305540108079321088,2020-09-14 16:13:12,1356,143,"Como estamos fazendo desde abril, mantemos a distribuição de cestas básicas para reduzir os impactos sociais da calamidade do coronavírus. Infelizmente, querem cometer o imenso erro de cortar o auxílio emergencial de R$ 600, em um momento ainda muito difícil da pandemia. https://t.co/9hqKu2cyII"
1304029080153718784,2020-09-10 12:08:55,260,38,Opção de teste para coronavírus destinada a idosos e gestantes &gt;&gt;&gt; https://t.co/1q7BxRGEzU
1301702034169659394,2020-09-04 02:02:04,117,15,"Coletiva de Imprensa sobre coronavírus no Maranhão. Nesta sexta, 10h. Todos podem acompanhar pelas redes sociais &gt;&gt; https://t.co/9PqPuZIKAS"
1300766774338768899,2020-09-01 12:05:40,5600,820,"BOLSONARO chegou ao seu primeiro trilhão. R$ 1 TRILHÃO de DEFICIT. Foi provocado em grande parte pelo coronavírus. Mas a pergunta da hora é: qual a estratégia econômica para fazer crescer o PIB, com responsabilidade ? Não há. Esse é o problema."
1299797385774800898,2020-08-29 19:53:40,6923,760,Minha solidariedade e profundo respeito às famílias das mais de 120.000 pessoas que morreram no Brasil em decorrência do coronavírus. E aos milhões de doentes. O nosso país é um dos mais atingidos por essa tragédia. Sigo na luta diária para reduzir essas perdas e sofrimentos.
1298721860805263361,2020-08-26 20:39:55,430,60,"Ricarte Almeida e Luiz Júnior compuseram essa música, utilizando também a Canção do Tamoio, de Gonçalves Dias. Me mandaram como um gesto de fraternidade. Compartilho com todos, especialmente com os que perderam pais e mães na luta contra o coronavírus.  https://t.co/CMSj4ctEin"
1297829400831053824,2020-08-24 09:33:36,41776,2319,"“Não chores, meu filho; 
Não chores, que a vida 
É luta renhida:
Viver é lutar.
A vida é combate,
Que os fracos abate, 
Que os fortes, os bravos 
Só pode exaltar.” Na quinta-feira, eu e meu pai recitamos juntos Gonçalves Dias. Hoje ele morreu, aos 88 anos, vítima de coronavírus."
1296811490599669760,2020-08-21 14:08:47,978,64,"Na segunda-feira, vamos divulgar o resultado do Inquérito Sorológico realizado em todas as regiões do Maranhão. Acreditamos que, quanto mais dados, melhor será o combate ao coronavírus. Seguimos nessa luta em proteção às famílias do nosso Estado."
1296793577884913664,2020-08-21 12:57:36,287,27,Convido a que acompanhem pelas minhas redes sociais e do @GovernoMA entrevista coletiva sobre o combate ao coronavírus no Maranhão. Começando em 10 minutos.
1295500395259797507,2020-08-17 23:18:58,547,42,"Atendendo ao convite de  ⁦@henrybugalho⁩, opinei sobre temas como responsabilidades diante do coronavírus, plano de empregos, entre outros. Convido a que assistam &gt;&gt;  https://t.co/tZ4Baq3Mfk"
1294277705907744768,2020-08-14 14:20:26,921,98,"Maranhão se mantém entre os estados AZUIS, ou seja, aqueles em que há DIMINUIÇÃO das mortes em face do coronavírus. Porém, diminuição da pandemia não significa a sua eliminação. Precisamos manter o cumprimento das NORMAS SANITÁRIAS, com união e responsabilidade. https://t.co/hF2B8ckUAU"
1294277705907744768,2020-08-14 14:20:26,921,98,"Maranhão se mantém entre os estados AZUIS, ou seja, aqueles em que há DIMINUIÇÃO das mortes em face do coronavírus. Porém, diminuição da pandemia não significa a sua eliminação. Precisamos manter o cumprimento das NORMAS SANITÁRIAS, com união e responsabilidade. https://t.co/hF2B8ckUAU"
