id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1311653393971191810,2020-10-01 13:05:13,272,29,"Escala de pagamento dos servidores: o salário integral das áreas da Saúde e Segurança, que atuam na linha de frente do combate ao coronavírus, será depositado dia 9/10, juntamente com a 1ª parcela das demais categorias, no valor de R$ 2 mil. No dia 21/10, pagaremos a 2ª parcela."
1311411615259144192,2020-09-30 21:04:28,274,16,"Os dados do novo Cadastro Geral de Empregados e Desempregados (Caged), foram divulgados pelo Ministério da Economia. Logo que a pandemia começou, priorizamos as vidas. Agora estamos trabalhando para recuperarmos os empregos perdidos e que custaram a dignidade de tantas famílias"
1311411613371691009,2020-09-30 21:04:28,1052,87,"Mesmo com a crise provocada pela pandemia, Minas Gerais foi o 2º estado que mais gerou empregos em agosto. Tivemos um saldo positivo de 28.339 vagas formais, graças a retomada gradual e segura dos segmentos econômicos, com o plano Minas Consciente."
1311346458260639744,2020-09-30 16:45:33,54,3,"🔺️Por fim, recordo que em seis meses de pandemia, já repassamos cerca de R$ 1,2 bilhão para estruturar a assistência de saúde nos municípios mineiros."
1311346456138264578,2020-09-30 16:45:33,52,2,"🔺️Em toda a região Centro-Oeste, foram entregues 71 equipamentos, sendo 62 ventiladores invasivos, sete bipaps e dois cardioversores para o fortalecimento da rede de saúde durante a pandemia."
1311307112769892353,2020-09-30 14:09:13,196,11,"Estive hoje em Campo Belo, município que recebeu do @governomg, no decorrer da pandemia, dez respiradores para o tratamento da Covid-19. Além dos aparelhos que já equiparam a Santa Casa de Misericórdia, o município também recebeu outros 15 aparelhos doados pela @FIEMGoficial. https://t.co/WmcrcjnRFl"
1310991027646484481,2020-09-29 17:13:12,194,8,"Agora, buscamos uma retomada econômica segura, seguindo todos os protocolos necessários e monitorando diariamente a situação da pandemia no estado. Por isso, peço aos mineiros que continuem se protegendo. Usem máscara!"
1310991022181281793,2020-09-29 17:13:11,539,34,"1 milhão de mortos pela covid-19 no mundo. Não consigo imaginar a dor da perda dos amigos e familiares dessas vítimas. A pandemia não acabou e a nossa batalha continua. Apesar das perdas que tivemos no estado, Minas Gerais hoje tem o melhor desempenho do país na pandemia."
1310991022181281793,2020-09-29 17:13:11,539,34,"1 milhão de mortos pela covid-19 no mundo. Não consigo imaginar a dor da perda dos amigos e familiares dessas vítimas. A pandemia não acabou e a nossa batalha continua. Apesar das perdas que tivemos no estado, Minas Gerais hoje tem o melhor desempenho do país na pandemia."
1310677120683778048,2020-09-28 20:25:51,422,32,"Em outra linha de enfrentamento à crise gerada pela pandemia, Minas Gerais receberá do @govbr mais R$ 6,2 milhões para a compra de alimentos de pequenos produtores rurais. O anuncio deste recurso foi feito hoje pelo ministro da Cidadania (@MinCidadania), Onix Lorenzoni. https://t.co/masdTqQ4gq"
1310629999829975042,2020-09-28 17:18:36,59,5,"Isso se dá, por exemplo, na pandemia da Covid-19, em que todos os gastos, compras e ações são disponibilizados. E temos a oportunidade de termos aqui já um primeiro passo concreto, que é a assinatura do protocolo de intenções para a criação da Rede Mineira de Integridade"
1308499879971426307,2020-09-22 20:14:16,94,5,"O @governomg vai atuar na captação de mesários voluntários na capital e no interior, auxílio na vistoria e manutenção dos locais de votação, apoio logístico e segurança. Também isentamos o ICMS das operações de doações de materiais de prevenção à covid-19 para Justiça Eleitoral. https://t.co/62I7HdVV9Q"
1306607080724455425,2020-09-17 14:52:58,24,1,"Dos 1.830 novos leitos de UTI viabilizados em todo o Estado desde o início da pandemia, 132 estão na macrorregião de Saúde Norte. Antes, eram 121 unidades na localidade, número que passou agora para 253. Hoje, o Estado conta com 3.902 UTIs na rede pública."
1304529688442925057,2020-09-11 21:18:09,249,23,- @recordnews ao vivo: “Agimos rápido no início da pandemia. Conseguimos postergar o pico da curva de contaminação. Minas hoje tem a MENOR taxa de óbitos do Brasil. Quase dobramos os leitos de UTI. Estamos conduzindo com muita competência.” #equipezema
1304513827061592064,2020-09-11 20:15:07,109,8,"Ao todo, 977 mil famílias, dos 853 municípios, serão beneficiadas. Creio que o benefício será muito útil para complementar a renda neste tempo difícil provocado pela pandemia."
1303357123481436162,2020-09-08 15:38:48,1272,116,200 mil vencedores da covid-19 em Minas Gerais! 🙏 https://t.co/pivMAekZhp
1301128470655889413,2020-09-02 12:02:55,143,7,"Os recursos para quitação dos salários são oriundos do repasse emergencial da União a estados e municípios, para compensar as perdas de arrecadação e os gastos extras decorrentes da pandemia do coronavírus."
1301128470655889413,2020-09-02 12:02:55,143,7,"Os recursos para quitação dos salários são oriundos do repasse emergencial da União a estados e municípios, para compensar as perdas de arrecadação e os gastos extras decorrentes da pandemia do coronavírus."
1300947773752213504,2020-09-02 00:04:54,8,1,@adolfobh @Rodrigo13099193 Não é demagogia. O objetivo é divulgar as instituições para que mais pessoas possam ajudar. Nesta pandemia a situação está mais difícil ainda. Abraços
1300946434729144320,2020-09-01 23:59:35,52,0,"@jpereira1985 Concordo. Por isso, nunca divulguei. Mas, neste momento de pandemia, as instituições estão precisando muito de ajuda. Divulgando a lista, acredito que posso incentivar outras pessoas a ajudarem também. Abraços!"
1300801336229888000,2020-09-01 14:23:00,259,12,"Agora, na Secretaria de Saúde para mais uma reunião com integrantes do Comitê para atualizações da pandemia em Minas. https://t.co/F5ETRYSoZz"
1300574313750450178,2020-08-31 23:20:54,968,27,"Hoje é um dia muito especial. Minha tia-avó, Lourdes Zema está completando 98 anos!

Parabéns, tia, que hoje e sempre você receba lindas bençãos em sua vida e continue com essa simpatia e vitalidade. 🧡

📸 (registro feito antes da pandemia) https://t.co/FNIk4WhHfr"
1299702062079447048,2020-08-29 13:34:53,573,47,"Giro pelo Estado:

Entrega de respiradores em Uberaba para fortalecer o sistema de saúde no combate à covid-19. https://t.co/DwWawEN1ou"
1299406097963507712,2020-08-28 17:58:50,194,11,"Minas Gerais está lutando de forma consciente! Por isso, apresenta a menor taxa de óbito pela covid-19 por 100 mil habitantes do Brasil. Qualificamos a rede de saúde pública de Minas Gerais: Já são quase 4 mil leitos de UTI. Antes da pandemia, o Estado contava com 2.072 unidades"
1299406097963507712,2020-08-28 17:58:50,194,11,"Minas Gerais está lutando de forma consciente! Por isso, apresenta a menor taxa de óbito pela covid-19 por 100 mil habitantes do Brasil. Qualificamos a rede de saúde pública de Minas Gerais: Já são quase 4 mil leitos de UTI. Antes da pandemia, o Estado contava com 2.072 unidades"
1299406095623032834,2020-08-28 17:58:49,174,10,"Organizamos um conjunto de medidas de enfrentamento à pandemia, focado na estruturação de leitos de UTI e de enfermaria para o tratamento de pacientes da doença. Desde o início da pandemia, dobramos o número de leitos de UTI na região, que antes eram 65 e agora somam 130."
1299350201841455105,2020-08-28 14:16:43,329,17,"O Corpo de Bombeiros retomou as buscas pelas 11 joias ainda não encontradas em Brumadinho. Os militares em campo seguem um protocolo aprovado pela Secretaria de Saúde, resguardando as práticas de proteção ao enfrentamento da covid-19. Seguimos empenhados na missão! 
(📸 de 2019) https://t.co/hOPnc7epKs"
1299132380452708353,2020-08-27 23:51:10,410,29,"O @governomg homenageia as mais de 5.000 vidas perdidas para a covid-19 no estado e os profissionais de saúde da linha de frente iluminando o Palácio da Liberdade e o Auditório JK com a cor verde, cor de esperança e renovação, pelas próximas três noites. Dias melhores virão 🍀 https://t.co/6hGbSX76wG"
1298631028983115776,2020-08-26 14:38:59,1405,156,"Participando, ao lado do presidente @jairbolsonaro , da cerimônia da retomada de produção do Alto-Forno 1 da Usiminas. A estrutura de transformação do minério, para a produção de aço, teve as atividades interrompidas em abril diante da queda de demanda provocada pela pandemia. https://t.co/y8JUJmlB2l"
1298020887057371139,2020-08-24 22:14:30,356,21,"- @CNNBrasil ao vivo: “A pandemia não acabou. Não podemos relaxar. Lamento muito os óbitos em Minas. Ainda assim, temos a menor taxa de mortalidade do Brasil. Tomamos ações ágeis, como postergar nossa curva para fortalecer o sistema de saúde. Aumentamos em 80% os leitos de UTI.”"
1296097189308108805,2020-08-19 14:50:24,118,8,"Minas na luta contra a covid-19:

- 83% crescimento de leitos (2.072, em fevereiro, para 3.801 em agosto) 

- 79% leitos de enfermaria (11.625, em fevereiro, para 20.862)"
1296097187819134981,2020-08-19 14:50:24,127,9,"Aqui recordo que do total de 1.729 novos leitos de UTI viabilizados em todo o Estado desde o início da pandemia, 530 estão na macrorregião Centro."
1296097184178479105,2020-08-19 14:50:23,362,34,"Mais uma ação que demonstra o nosso comprometimento com a vida dos mineiros e a eficiência do Estado no combate ao coronavírus. Estou em Itabira, para entregar 19 equipamentos que irão ampliar a capacidade de atendimento a pacientes da Covid-19. https://t.co/Vl01Y5si07"
1295880166246420480,2020-08-19 00:28:02,1347,100,"Agradeço a ANEEL pela decisão de suspender o aumento previsto na conta de luz deste ano, que era de 4,27%, e por conceder o desconto de 0,82% para os consumidores de linhas de baixa tensão, como as residências. Mais uma medida excepcional para o enfrentamento da pandemia em Minas"
1293968455989895168,2020-08-13 17:51:35,840,74,"Já estou em Brasília de Minas, na região Norte do Estado! Aqui, entrego 10 respiradores invasivos e 10 monitores para o Hospital Municipal Senhora Santana. Mais uma entrega de aparelhos que irão ampliar a capacidade de atendimento a pacientes da covid-19 no município e região. https://t.co/FydOVVX5eq"
1293669036153286656,2020-08-12 22:01:48,270,32,"... entre elas a Comissão de Direitos Humanos da OAB e o Conselho Estadual de Direitos Humanos, solicitando a suspensão do cumprimento da liminar enquanto durar a pandemia. Como o pedido não foi aceito, a reintegração determinada pela justiça passou a ser cumprida nesta quarta."
1293644473239511041,2020-08-12 20:24:11,176,27,"A @sedesemg  informa que solicitou a suspensão do cumprimento da ordem judicial para reintegração de posse da área, durante a pandemia. Além disso, presta apoio técnico aos gestores da assistência social do município de Campo do Meio para atendimento às famílias. https://t.co/eI8tpqIimc"
1292963592426393600,2020-08-10 23:18:37,182,6,"Fomos um dos estados que mais distribuíram cestas básicas para o enfrentamento da pandemia. Foram 146 mil kits distribuídos em mais de 800 municípios, com o apoio da Polícia Militar e da Defesa Civil e do setor privado."
1292962930988900352,2020-08-10 23:15:59,620,42,"Devido a pandemia, anunciei a ampliação da Bolsa Merenda para mais 86 mil famílias mineiras, durante setembro e outubro. Inicialmente, o programa que foi constituído para atender crianças de família de extrema pobreza, passa agora a atender também famílias da faixa de pobreza."
1292883689236500481,2020-08-10 18:01:06,399,20,"Zelar pelo dinheiro público é gastar da melhor maneira possível. Esse é meu compromisso. Compramos os respiradores mais baratos do país, ampliamos os leitos de UTI em mais de 80%. Os dados mostram. Minas tem realizado um bom desempenho frente a pandemia."
1292250980252151808,2020-08-09 00:06:57,529,33,100 mil vidas perdidas para a Covid-19 no Brasil. Meu luto em respeito aos familiares que perderam seus entes queridos nessa pandemia. https://t.co/wRC9jsybxn
1291787903228686336,2020-08-07 17:26:51,89,4,Estado e municípios seguem trabalhando juntos na luta contra o coronavírus.
1291787899076317186,2020-08-07 17:26:50,200,12,"Agendas de combate ao coronavírus em Minas Gerais. Acabo de chegar no município de Três Pontas, na região Sul do Estado, para fortalecer o atendimento hospitalar aos pacientes do coronavírus na cidade. https://t.co/a8NwaZKbDl"
1291427232494374912,2020-08-06 17:33:40,539,54,"Mais uma ação social que vai impactar a vida dos mineiros: anunciei a suspensão do aumento anual da energia elétrica em 2020. Para que o desconto entre em vigor, é necessária autorização da Aneel. A medida também irá beneficiar os empreendedores duramente atingidos pela pandemia. https://t.co/hdhepj6XwF"
1291141771871891456,2020-08-05 22:39:21,214,17,"O Dia Nacional da Saúde, principalmente em meio à uma pandemia, é uma oportunidade de favorecer o diálogo sobre os cuidados com a saúde de cada pessoa. https://t.co/cjWAR5Ds5p"
1290385102959239168,2020-08-03 20:32:37,1886,144,"- @CNNBrasil : “68% dos leitos de UTIs em Minas estão ocupados. Temos um bom colchão de segurança. 32% dos leitos estão vagos. Minas vem conduzindo a pandemia de forma exemplar. A nossa curva apresentou uma inclinação mínima, bem menor que a de outros estados”. #equipezema"
1290383385018474497,2020-08-03 20:25:47,370,31,"- @CNNBrasil ao vivo. 
Retomada da economia: “Minas é o Estado com a menor taxa de mortalidade do Brasil. As medidas tomadas desde o início da pandemia foram eficientes. Agora, como estamos passando por um platô, é hora de aprimorar os critérios, com total segurança” #equipezema"
1290065403666808833,2020-08-02 23:22:15,2286,205,"Uma boa notícia para começar a semana. Hoje, Minas Gerais ultrapassou a marca de 100 mil vencedores da Covid-19. Desde o início da pandemia, adotamos uma série de medidas para garantir a estrutura necessária de atendimento aos pacientes da doença. https://t.co/vog9Ux3G6H"
1289229081846767616,2020-07-31 15:59:00,1751,161,"Notícia boa para os mineiros: Minas Gerais tem a menor taxa de óbitos pela Covid-19 do país. Vencemos mais uma batalha, mas a luta continua. Estamos trabalhamos com muito afinco para minimizar os efeitos dessa pandemia no estado. 

Vai passar! 🙏 https://t.co/ZbN29dA1IJ"
1288847363830882304,2020-07-30 14:42:11,347,33,Lançamos as novas regras do plano Minas Consciente. Os critérios foram desenvolvidos para atender as necessidades específicas dos municípios. O novo protocolo considerou uma consulta pública e pretende se adequar ao momento da pandemia no estado: https://t.co/arCSfKPlVF
1287870765044383744,2020-07-27 22:01:32,402,35,"A estruturação do sistema de saúde para garantir atendimento aos pacientes do coronavírus é uma das medidas mais importantes para preservar vidas. Por isso, ampliamos em 100% as UTIs no estado. Esse resultado é fruto de um trabalho eficiente, que prioriza a saúde dos mineiros. https://t.co/ycF1IxSh5h"
1287082233875111941,2020-07-25 17:48:12,830,42,"Hoje, 25 de julho, é o Dia do Motorista. Agradeço a todos os motoristas do Brasil, que se esforçam dia e noite para que o país siga no caminho do progresso. Mesmo vivendo uma pandemia, graças a eles não faltam alimentos, medicamentos e abastecimento para nós. 
Grandes guerreiros!"
1286677470251552769,2020-07-24 14:59:48,108,9,Trabalho sério. Medidas preventivas. Foco no resultado. É por isso que Minas Gerais é exemplo na condução da pandemia. Temos os melhores resultados do país. Apresentamos hoje a 2ª menor taxa de letalidade em comparação aos demais estados brasileiros. Quero preservar vidas.
1286676731261267970,2020-07-24 14:56:52,128,6,"Os aparelhos vão possibilitar a abertura de leitos de UTIs para ampliar a capacidade de atendimento a pacientes da covid-19 no município e região. Em 4 meses de pandemia, o Estado já repassou pouco mais de R$ 1 bilhão para estruturar a assistência de saúde nos municípios mineiros"
1286676731261267970,2020-07-24 14:56:52,128,6,"Os aparelhos vão possibilitar a abertura de leitos de UTIs para ampliar a capacidade de atendimento a pacientes da covid-19 no município e região. Em 4 meses de pandemia, o Estado já repassou pouco mais de R$ 1 bilhão para estruturar a assistência de saúde nos municípios mineiros"
1286676444459020290,2020-07-24 14:55:44,351,32,"Meu foco é trabalhar por Minas! Por isso, quero ampliar ao máximo a assistência à saúde dos mineiros na pandemia. Já estou em Coronel Fabriciano, no Vale do Aço, para entregar 10 respiradores que irão equipar o Hospital Dr. José Maria de Morais. https://t.co/bmC4WwgBdx"
1286090718570782720,2020-07-23 00:08:16,738,48,"Medidas certas, resultados eficientes: Minas Gerais apresenta um dos melhores desempenhos do Brasil no combate ao coronavírus. Os dados mostram que as medidas preventivas tomadas desde o início da pandemia foram cruciais para preservar a saúde do povo mineiro. https://t.co/Qt9HwnCXsI"
1286090718570782720,2020-07-23 00:08:16,738,48,"Medidas certas, resultados eficientes: Minas Gerais apresenta um dos melhores desempenhos do Brasil no combate ao coronavírus. Os dados mostram que as medidas preventivas tomadas desde o início da pandemia foram cruciais para preservar a saúde do povo mineiro. https://t.co/Qt9HwnCXsI"
1285311257424400387,2020-07-20 20:30:58,311,31,"Para fortalecer ainda mais a assistência à saúde dos mineiros neste momento de pandemia, o Ministério da Saúde habilitou 1.018 leitos de Hospitais de Pequeno Porte (HPP) de Minas Gerais, num total de R$ 18.324 milhões de recursos repassados ao Estado. https://t.co/3MifgYyzfv"
1285245229751316481,2020-07-20 16:08:36,1670,182,"O Ministério da Saúde habilitou hoje 1.018 leitos de enfermaria em Minas Gerais, em 26 cidades. Esse é mais um esforço do Governo de Minas junto à União para o enfrentamento à covid."
1285206242852589568,2020-07-20 13:33:40,1177,62,Minha solidariedade e meu carinho aos familiares das 2.000 pessoas que tiveram suas vidas interrompidas pelo coronavírus em Minas. Lamento muito também os mais de 79 mil óbitos no Brasil causados por essa doença tão perigosa e imprevisível.
1284586828901867520,2020-07-18 20:32:21,226,29,"Você conhece o aplicativo Saúde Digital MG? Ele está disponível gratuitamente, para todos os mineiros, como mais uma ferramenta no combate à Covid-19. 

Baixe no seu aparelho Android ou iOS.

#appsaudedigitalmg #covid19 #coronavirus #saudemg https://t.co/3XKRf3vZvO"
1284586828901867520,2020-07-18 20:32:21,226,29,"Você conhece o aplicativo Saúde Digital MG? Ele está disponível gratuitamente, para todos os mineiros, como mais uma ferramenta no combate à Covid-19. 

Baixe no seu aparelho Android ou iOS.

#appsaudedigitalmg #covid19 #coronavirus #saudemg https://t.co/3XKRf3vZvO"
1284081922671509511,2020-07-17 11:06:02,1205,108,- @radioitatiaia : Tivemos uma redução na ocupação de UTIs. Nosso número é de 68%. Minas conduz bem o combate à pandemia. Somos o 3º estado com menor índice de letalidade  do Brasil. Peço aos mineiros que não relaxem. Vamos nos cuidar e vencer essa guerra juntos. #equipezema
