id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1311271045614235650,2020-09-30 11:45:54,135,28,"Com uma gestão firme e eficiente, nos tornamos o estado que mais investiu em saúde no #Brasil e assim temos enfrentado o novo coronavírus e tantos outros desafios diante da maior crise sanitária e econômica que o país já enfrentou. #Bahia https://t.co/ZgngLbMUcC"
1309506130973020160,2020-09-25 14:52:45,21,6,"Ainda entregamos 80 barracas de Feira para a prefeitura, através da Campanha Viva Feira da @sdrbahia, para o novo mercado municipal. Esses equipamentos beneficiarão 80 famílias e ajudará o município a adequar o espaço da feira respeitando as normas de enfrentamento da #covid19. https://t.co/Ln31PNhqbA"
1308094478226468870,2020-09-21 17:23:21,27,8,"Já que a pandemia ainda tem nos obrigado a manter o distanciamento social, a visita no ambiente virtual é uma oportunidade de conhecer um pouco da história geológica do nosso estado e este patrimônio cultural baiano. Acessem https://t.co/6E0DyfUKNd e saibam mais! #Bahia"
1308043993012469760,2020-09-21 14:02:44,46,5,"Aproveitei a visita à cidade para vistoriar o campus da Uneb, que, por causa da pandemia, segue fechado. Todos nós, governo, sociedade e, sobretudo, as famílias, precisamos estar unidos em prol da valorização da educação e da cultura. #Ipiaú #Bahia https://t.co/yyjZ3m9Akp"
1306689430619594761,2020-09-17 20:20:12,76,9,Vamos encaminhar ao @trebahia informações técnicas e sugerir protocolos sanitários para assegurar que a campanha eleitoral e a votação deste ano não provoquem o avanço da pandemia do novo #coronavírus na #Bahia.
1306689430619594761,2020-09-17 20:20:12,76,9,Vamos encaminhar ao @trebahia informações técnicas e sugerir protocolos sanitários para assegurar que a campanha eleitoral e a votação deste ano não provoquem o avanço da pandemia do novo #coronavírus na #Bahia.
1306550433478045698,2020-09-17 11:07:52,43,4,"Já poderia ter conquistado essa marca antes, mas por causa da pandemia, precisamos interromper as viagens e o contato com as pessoas que eu tanto gosto. #Bahia"
1305825211372232704,2020-09-15 11:06:06,53,6,"A foto sem máscara e com abraço é antiga, antes da pandemia, portanto os cuidados continuam. #UseMascara e nada de aglomerações! #Bahia"
1304845724606238720,2020-09-12 18:13:58,170,34,"Com a pandemia, cuidar da mente também é essencial, principalmente a dos pacientes com #Covid19 e dos profissionais da linha de frente. Durante o #SetembroAmarelo, a Equipe de Psicologia do Hospital Espanhol realiza a ação ""Setembro Transforma Dor"", com três frentes de atuação. https://t.co/rigUduwce0"
1304425054558720003,2020-09-11 14:22:22,39,11,"Após inauguração do novo Hospital do Câncer em #Juazeiro, estou ao vivo falando sobre investimentos na área da #saúde e ações para enfrentamento da pandemia de #Covid19 em coletiva de imprensa. Acompanhe no #Facebook: https://t.co/1MPhf5Mxrb"
