id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1311439709655175168,2020-09-30 22:56:06,0,0,"@WalterPinto1 @tah_viapiana O retorno às aulas presenciais será optativo, cabendo a escolha aos responsáveis pelo aluno. As instituições ficam obrigadas a manter a oferta de ensino remoto enquanto perdurarem os efeitos da pandemia no Pará. #EquipeHB"
1309175568626311168,2020-09-24 16:59:13,7,0,"Entre eles a redução das desigualdades socioeconômicas, as questões ambientais e a pandemia COVID-19.

A agenda reuniu representantes de vários governos e instituições subnacionais internacionais, mas pelo Brasil, apenas os estados do Pará e São Paulo participaram do evento."
1308922584394801153,2020-09-24 00:13:57,5,0,"@edsonhajr Desde o início da pandemia, o Governo do Estado tem priorizado a vida da população. Estruturou a rede de saúde pública, viabilizando a ampliação de leitos clínicos de UTI, abrindo hospitais de campanha, distribuindo medicamentos e máscaras à população."
1308035073640366082,2020-09-21 13:27:18,1,0,@ferradorthiago @equatorial_pa O Governo do Estado garantiu a suspensão dos cortes de energia durante três meses nesta pandemia. Agora é necessário procurar a concessionária e negociar.#EquipeHB
1307695222235836417,2020-09-20 14:56:51,0,0,"@AlcicleaCarval1 @GovernoPara Desde o início da pandemia, o Governo do Estado prioriza as vidas. Estruturou a rede pública, viabilizando a ampliação de leitos clínicos e de UTI, abrindo hospitais de Campanha, distribuindo medicamentos e máscaras à população. Além disso, disponibilizou atendimento a pacientes"
1306573254577008640,2020-09-17 12:38:33,1,0,@mvpsantos Não existe 'libera geral'. O Governo sempre deixou claro que a pandemia ainda existe e que todas as medidas de prevenção continuam obrigatórias.
1305964883947720709,2020-09-15 20:21:06,0,0,"@AuxiliadoraFig8 @cosanpa Até o momento, o Governo adiantou a 1ª parcela do 13º apenas aos servidores aposentados e pensionistas, para reduzir os impactos da pandemia.Entretanto, o Estado tem reunido esforços e garantido que os salários dos servidores sejam pagos em dia."
1305879437012074496,2020-09-15 14:41:34,7,0,"@BRENOXVII O Estado reitera que o retorno às atividades presenciais é opcional, cabendo a escolha aos responsáveis pelo aluno. As instituições ficam obrigadas a manter a oferta de ensino remoto enquanto perdurarem os efeitos da pandemia no Pará. #EquipeHB"
1305863688000339968,2020-09-15 13:38:59,0,0,"@CabocodoMarajo @YouTube @SECTET_PA região do Pará com o maior número de pessoas fora da escola ou analfabetas. Por conta da pandemia, o início das aulas foram adiados, a Secretaria avalia um novo calendário para o recomeço das atividades com segurança. #EquipeHB"
1304880534858981376,2020-09-12 20:32:17,6,0,"@Leiska Os servidores do grupo de risco estão autorizados a retornar ao trabalho, nos seguintes casos: quando tenham contraído covid-19, passado o período de isolamento médico e não estejam mais com o vírus ativo;"
1304763067079819265,2020-09-12 12:45:31,42,1,"Assinamos a autorização para início da execução do Programa de Aquisição de Alimentos (PAA). Esse importante programa, faz parte das ações de enfrentamento de emergência decorrente do coronavírus. https://t.co/Hi0ZzasvTC"
1304030910380150788,2020-09-10 12:16:11,0,0,"@oifelipemelo O Governo sempre se preocupou com a economia durante a pandemia. Prova disto, é que foi o segundo estado do país que mais gerou emprego no período."
1303794444458758144,2020-09-09 20:36:33,1,0,"@PattyRipardo Com o intuito de alavancar a atividade econômica do turismo, o Governo do Estado, por meio da Setur, lançou o plano “Abre Caminho”. A iniciativa visa retomar os negócios no atual cenário da pandemia, com protocolos sanitários de reabertura dos estabelecimentos. #EquipeHB"
1303342337846898690,2020-09-08 14:40:02,13,1,"O Governo do Estado tem trabalhado constantemente no combate à pandemia, por isso, ficamos gratos com o desígnio do Papa em ofertar esses equipamentos. #BoraTrabalhar"
1303342335120596996,2020-09-08 14:40:02,19,1,"Guizzetti chega hoje em Santarém em missão do Papa Francisco, para doação de ventiladores pulmonares para o tratamento e terapia intensiva de pacientes contaminados pela covid-19. A comitiva vai realizar visitas aos nossos hospitais e então, efetivar a doação. https://t.co/XnLcaza4r8"
1301952924353003520,2020-09-04 18:39:00,0,0,"@vandoyes O Governo do Estado reitera que o retorno às atividades presenciais será optativo, cabendo a escolha dos responsáveis pelo aluno. As instituições ficam obrigadas a manter a oferta de ensino remoto enquanto perdurarem os efeitos da pandemia no Pará. #EquipeHB"
1301255636840255490,2020-09-02 20:28:14,0,0,"@cassioffaial O Governo do Estado reitera que o retorno às atividades presenciais será optativo, cabendo a escolha dos responsáveis pelo aluno. As instituições ficam obrigadas a manter a oferta de ensino remoto enquanto perdurarem os efeitos da pandemia no Pará. #EquipeHB"
1300952910130548736,2020-09-02 00:25:18,1,0,"@AnaMari44344149 O Estado reitera que o retorno será optativo, cabendo a escolha ao responsáveis pelo aluno. As instituições ficam obrigadas a manter a oferta de ensino remoto enquanto perdurarem os efeitos da pandemia no Pará. #EquipeHB"
1300807419824680965,2020-09-01 14:47:11,0,0,"@PAULOSFARIA O Estado reitera que o retorno às atividades presenciais será optativo, cabendo a escolha aos responsáveis pelo aluno. As instituições ficam obrigadas a manter a oferta de ensino remoto enquanto perdurarem os efeitos da pandemia no Pará. #EquipeHB"
