id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1302173578981519362,2020-09-05 09:15:49,6168,1303,"3. Mais informações de ações do Governo Federal contra a covid-19 ignoradas por muitos. @minsaude . 

Link em nosso canal no YouTube: https://t.co/152kml4lDZ https://t.co/BqDO8TcP0e"
1299314665391095810,2020-08-28 11:55:30,41713,6401,"- ELEIÇÕES MUNICIPAIS:

- Decidi não participar, no 1° turno, nas eleições para prefeitos em todo o Brasil.

- Tenho muito trabalho na presidência e, tal atividade, tomaria todo meu tempo num momento de pandemia e retomada da nossa economia."
1298602885710741505,2020-08-26 12:47:09,14522,2885,"- A Economia do Brasil na pandemia.

. Link em nosso canal no YouTube: https://t.co/g26Gn1HiNr"
1297572158361735168,2020-08-23 16:31:24,39352,9773,"- OMS em 21/agosto: ""a pandemia é a prova de que saúde e economia são inseparáveis.""

- Desde março alertei que tínhamos 2 graves problemas, o vírus e o desemprego, e que ambos deveriam ser tratados simultaneamente.

. Link no YouTube: https://t.co/if6xJ9YzUY https://t.co/xN7Urjt7mz"
1293476873650003968,2020-08-12 09:18:12,4428,960,6. Prazo de validade das Carteiras do Idoso é prorrogado até janeiro de 2021. Resolução da Comissão Intergestores Tripartite do SUAS tem como foco a prevenção da transmissão do coronavírus. @MinCidadania . Mais informações: https://t.co/ThSb5Gr9l5 https://t.co/MDo5akkACv
1293475260633841666,2020-08-12 09:11:48,19312,3755,1. @govbr reforça assistência a indígenas durante a crise do coronavírus. Cerca de 1 milhão de itens entre equipamentos e insumos já foram enviados aos 34 DSEI do país. @DHumanosBrasil @minsaude @DamaresAlves . Detalhes: https://t.co/N1rlasg908 https://t.co/c2IqE4Pcdc
1292523099930468352,2020-08-09 18:08:15,13463,2732,"- Quanto à pandemia, não faltaram recursos, equipamentos e medicamentos para estados e municípios. Não se tem notícias, ou seriam raras, de filas em hospitais por falta de leitos UTIs ou respiradores."
1292522930279260160,2020-08-09 18:07:35,35850,7139,"- No Reino Unido, o Departamento de Saúde estima que 16 mil pessoas morreram das mais diversas formas, por não terem acesso ao Sistema de Saúde, devido à pandemia, enquanto 25 mil morreram de Covid-19. https://t.co/MknDb9c8NY"
1290944689051508736,2020-08-05 09:36:13,6674,1444,"4- Os Ministérios @DHumanosBrasil , da @DefesaGovBr , da @minsaude  e demais órgãos envolvidos trabalham 24h por dia para atender a população em todo o Brasil neste período de covid-19. Siga suas redes sociais e sempre obtenha mais informações: https://t.co/kHwYnllrRH https://t.co/nAfmio5ohh"
1286240518683471872,2020-07-23 10:03:31,35650,6855,A. O governo Bolsonaro zera imposto de importação de equipamentos de energia solar. As resoluções publicadas no Diário Oficial da União surgem após sequência de isenções no mesmo sentido de cerca de 539 itens ligados ao combate do covid-19. @MinEconomia @minsaude @govbr https://t.co/djVq1j8wRU
1284868356496121856,2020-07-19 15:11:02,3924,955,2. Mais ações desta semana do @govbr no enfrentamento à pandemia da Covid19 e destaques ministeriais. Mais detalhes são encontrados nas redes sociais da @casacivilbr : https://t.co/vn95yuQ807 https://t.co/FMJIxYeJab
1283353669140979716,2020-07-15 10:52:12,5558,1182,"2- O prazo de cadastramento de bolsistas para o Programa de Combate a Epidemias foi prorrogado. O programa é voltado para pesquisas à prevenção e ao combate a surtos, endemias, epidemias e pandemias e destinará 2,6 mil bolsas. @CAPES_Oficial . Saiba mais: https://t.co/IA1jeGfH8V https://t.co/Sw1FDHX0sw"
1282986120997986304,2020-07-14 10:31:42,27399,5393,"A. Zeradas tarifas de mais 34 insumos usados no combate à covid-19. Ao todo, ja somam 549 medicamentos, equipamentos e maquinário relacionados. @MinEconomia / @minsaude . Detalhes: https://t.co/XUxX9Lv2UN https://t.co/ztj6tjRvwu"
1282319015302529025,2020-07-12 14:20:52,12429,2256,C- A realidade do futuro de cada família brasileira deve ser despolitizada da pandemia. Os números reais dessa guerra brevemente aparecerão.
1280107624982360065,2020-07-06 11:53:35,12351,2317,"D- Em meio à crise mundial, o Brasil dá sinais de retomada, trabalhando para atrair investimentos mundiais e empregos. Assim como em 2019, quando retomamos a confiança e investimentos recordes. Somos um dos países que + investiu na pandemia e um dos que + salvam vidas. https://t.co/ByNQdSs7Wt"
1280107063943856129,2020-07-06 11:51:21,4905,1058,"C- Desde o início da pandemia do coronavírus, o @minsaude já contratou 6.622 médicos para reforçar o atendimento à população nos postos de saúde de 2.127 municípios e 21 Distritos Sanitários Especiais Indígenas (DSEIs). @min_direitoshumanos @damaresalvesoficial1 . https://t.co/lZFFd2rweO"
1280107063943856129,2020-07-06 11:51:21,4905,1058,"C- Desde o início da pandemia do coronavírus, o @minsaude já contratou 6.622 médicos para reforçar o atendimento à população nos postos de saúde de 2.127 municípios e 21 Distritos Sanitários Especiais Indígenas (DSEIs). @min_direitoshumanos @damaresalvesoficial1 . https://t.co/lZFFd2rweO"
1279715301823844353,2020-07-05 09:54:38,10098,1890,"4- Capacidade de testagem RT-PCR para Covid-19 na Rede Nacional de Laboratórios de Saúde Pública aumentou 869% desde o início da pandemia. O resultado de profissionais trabalhando, muitos funcionando 24 horas/dia, 7 dias por semana, e da disponibilidade de insumos e equipamentos. https://t.co/kGGRj2OS7I"
1279008585226354691,2020-07-03 11:06:24,9302,1645,"B- Mais de 2,6 mil Instituições de Longa Permanência para Idosos em estados e municípios receberão ajuda financeira do Governo Federal para adotarem medidas de dignidade e enfrentamento de possíveis casos de covid-19. @DamaresAlves / @tvbrasilgov . https://t.co/Bnv1uevgW1 https://t.co/jSE5OANTEi"
1278642125492584448,2020-07-02 10:50:13,3945,876,"2- O @bndes aprovou financiamento de R$ 55,97 milhões para aquisição de mais testes sorológicos IgM e IgC de detecção do covid-19, além dos anunciados na nossa timeline diariamente. https://t.co/M9YBzMzsEJ"
1277718918824628224,2020-06-29 21:41:43,12744,1966,"17. Hospital Universitário  de Brasília avança em pesquisa dos efeitos da covid-19 durante a gestação.

18. Chegada do 27o voo fretado pelo Governo Federal com insumos. País já recebeu 165 milhões de máscaras cirúrgicas e do tipo N95. @MInfraestrutura"
1277717890020577280,2020-06-29 21:37:38,4203,982,"7. Número de recuperados supera os 697.500 brasileiros. @minsaude 

8. 4.523 respiradores entregues em todas as regiões do país. @MInfraestrutura 

9. R$ 251,4 milhões para reforçar centros de atendimento em 767 municípios.

10. 8.940 leitos exclusivos para covid-19 habilitados"
1277540631661903873,2020-06-29 09:53:16,61849,9763,"- Por causa da pandemia o pai não pode ir à formatura do filho na PE.
- Mas o jovem recebeu sua boina em casa. https://t.co/5FpFVClIqS"
1277255861229019136,2020-06-28 15:01:42,4523,1051,"2- O Governo Federal amplia testes de testagem do covid-19. Os Profissionais de saúde e segurança pública que também apresentem ou não sintomas poderão ser testados. Com a expansão, 45,6 milhões de pessoas serão analisadas. Mais a caminho! Detalhes: @minsaude @secomvc https://t.co/AnFtyxjTOj"
1277004693181530113,2020-06-27 22:23:39,4369,865,"F. Anunciadas medidas de prevenção e controle do covid-19 em frigoríficos e indústrias de laticínios; @Mapa_Brasil @TerezaCrisMS 

G. Conselho Nacional de Trânsito autoriza realização de aulas remotas;"
1277004103114162180,2020-06-27 22:21:18,24057,4411,"- Mais ações do @govbr (19 a 26 de junho)

A. @CAPES_Oficial seleciona 31 projetos de pesquisa para o combate ao coronavírus;

B. 44,5 mil kits de higiene e limpeza distribuídos para comunidades indígenas; @DHumanosBrasil @DamaresAlves"
