id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1311621532729434115,2020-10-01 10:58:36,289,18,🙏 #SPcontraOcoronavírus https://t.co/GHdto5yLeW
1311413464313757696,2020-09-30 21:11:49,730,57,"Assinamos contrato com a Sinovac para garantir 46 milhões de doses da Coronavac até dezembro. Apenas com a vacina poderemos voltar à normalidade. Aqui, não mediremos esforços para salvar vidas. Estamos cada dia mais próximos de vencer a guerra contra o coronavírus. https://t.co/1u4QogmJj7"
1311359575669575683,2020-09-30 17:37:41,962,90,Data histórica para o Estado de São Paulo e para nossa luta contra o coronavírus! 🙏 https://t.co/MuPuvjp3DH
1311267149135179776,2020-09-30 11:30:25,430,23,"Bom dia, pessoal. Embora os indicadores da pandemia continuem a cair no Estado de São Paulo, ainda não vencemos a COVID-19. Agradeço a todos que estão respeitando as medidas de prevenção. 🙏 https://t.co/O4vIgJmBQV"
1310878586715467777,2020-09-29 09:46:24,304,22,"O Estado de São Paulo apresentou nova queda significativa de casos, internações e óbitos de coronavírus. Destaque para a 10ª semana consecutiva na queda de pacientes internados, o que representa um sinal inequívoco de que a doença está regredindo em nosso Estado. https://t.co/9mm6JiA5hJ"
1310660017297731585,2020-09-28 19:17:53,217,11,"Transparência no processo de produção da Coronavac, a vacina que representa nossa esperança no combate ao coronavírus. 🙏 https://t.co/oYIPh0Cf4Q"
1309990990019727360,2020-09-26 22:59:25,204,5,Salvar vidas é nossa principal missão nessa pandemia. Assista o vídeo e sinta um pouco dessa emoção.
1309573316919914496,2020-09-25 19:19:44,180,10,"Todos os equipamentos do hospital serão doados para entidades assistenciais e unidades de saúde do Estado. Reforço, no entanto, que a pandemia ainda representa uma ameaça à vida das pessoas. Fundamental que a população siga respeitando as medidas de prevenção."
1309573311765065729,2020-09-25 19:19:42,494,25,"Com o declínio da pandemia em todo o Estado, fecharemos o Hospital de Campanha do Ibirapuera. Após cinco meses de atividades, quase 3.200 pacientes de 106 cidades diferentes receberam atendimento no local. A unidade foi fundamental para desafogar a rede pública de saúde."
1309454819057377281,2020-09-25 11:28:52,423,22,"Bom dia, pessoal. Compartilho artigo que escrevi para o jornal Estadão sobre o Instituto Butantan e a mobilização realizada para dar início à produção da Coronavac aqui em São Paulo o quanto antes. A vacina simboliza nossa maior esperança na luta contra o coronavírus. 🙏 https://t.co/QW7gz6uArw"
1309226361677139968,2020-09-24 20:21:03,159,11,"Início das obras da segunda etapa do VLT em Santos. Ampliação esperada há muitos anos pela população da Baixada Santista. Mesmo com a pandemia, nenhuma obra em SP foi paralisada ou adiada. Investir em transporte público é garantir mais qualidade de vida para a população. https://t.co/gI9EX1DaTy"
1309197095472160770,2020-09-24 18:24:45,38,0,Os recursos foram utilizados para a abertura de 350 leitos exclusivos aos pacientes com coronavírus e para auxíliar o trabalho das prefeituras.
1309197092133494787,2020-09-24 18:24:45,69,2,"Durante as agendas que cumprimos na Baixada Santista, também destacamos as ações de apoio aos municípios da região no enfrentamento da pandemia. Foram 159 respiradores enviados e repasses que somam o valor de R$ 47 milhões. https://t.co/22RglxFkKI"
1308788946642571266,2020-09-23 15:22:55,130,11,"Na coletiva de imprensa de hoje, traremos importantes anúncios sobre a Coronavac, vacina contra o coronavírus em desenvolvimento pelo Instituto Butantan em parceria com o laboratório Sinovac. Acompanhe! #Transparência #GovernoSP https://t.co/OipGc4okAZ"
1308415565728567298,2020-09-22 14:39:14,155,11,"Atingimos a marca de 1 milhão e 450 mil cestas do programa Alimento Solidário distribuídas. Cada unidade é capaz de alimentar uma família de até quatro pessoas durante o mês. Ajuda significativa para quem vive em situação de extrema vulnerabilidade social, agravada pela pandemia. https://t.co/n8WYTWuZfr"
1308185021103079425,2020-09-21 23:23:08,190,7,"Lançamos hoje o programa Motofretista Seguro. São Paulo agradece a dedicação dos profissionais que ganham a vida em cima de uma motocicleta, realizando entregas durante a pandemia para permitir que as demais pessoas possam cumprir o isolamento social. Confira detalhes no vídeo. https://t.co/nzUJknhRSN"
