id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1267835297729036288,2020-06-02 15:07:44,4,1,"Segundo webinar live para discutir soluções para o pós-pandemia. 

📅 Data: 04/06
⏰ Horário: 17h
💻 Plataforma: Zoom e Youtube
📝 Inscrições: https://t.co/kawfpBjmKr https://t.co/1WaI0281Ae"
1252670085652795397,2020-04-21 18:46:36,2,0,"Nesse momento de crise, por causa dessa pandemia, são eles, os nossos policiais encarregados de manter a ordem, de evitar aglomerações e também de ajudar a orientar as pessoas nessa hora tão difícil.

#Tocantins"
1248318135708647424,2020-04-09 18:33:30,22,3,"Acompanhei nesta manhã, no estoque regulador da Saúde,  a organização dos kits de EPIs contra o coronavírus que vamos distribuir para todo o Estado. https://t.co/BhxIKma67t"
1245802382526734338,2020-04-02 19:56:48,1,0,"Foi determina redução de despesas por conta de queda na arrecadação.

Precisamos nos readequar para conseguir reduzir ao máximo os impactos econômicos e estas iniciativas vão contribuir para que o Estado se recupere o mais rápido possível quando esta pandemia passar."
1242926935740690432,2020-03-25 21:30:48,14,3,"4- Agradeço o trabalho que os nossos caminhoneiros exercem, principalmente neste período de pandemia,na qual o abastecimento de alimentos e materiais de saúde são fundamentais. Sem eles, nada seria possível. Os senhores enfrentam com dignidade e coragem dia e noite nas estradas."
1242810582191034368,2020-03-25 13:48:27,239,46,"NOTA 
O Tocantins seguirá firme no propósito de manter a população livre do novo Coronavírus e conta com a parceria dos demais Poderes,dos municípios, órgãos de controle e, principalmente,com a população.
Juntos, vamos vencer a guerra contra o coronavírus.
https://t.co/IGXsevWuPG"
1242541851841826817,2020-03-24 20:00:37,8,0,"Sei das dificuldades que enfrentam, mas garanto a todos que não estão só. 
Contem comigo para mais essa luta. Obrigado pela confiança e vamos juntos combater essa pandemia."
1242493649792962565,2020-03-24 16:49:05,67,8,"Boa tarde a todos! Entendendo a dificuldade que nosso povo tocantinense passa diante dessa pandemia, determinei a suspensão no corte de água e energia por falta de pagamento. https://t.co/UfC09KPbWa"
1242120857935364103,2020-03-23 16:07:44,12,4,"Nossas esquipes estão trabalhando para que nosso Estado seja minimamente afetado por essa #pandemia, mas reforço o pedido para que todos façam sua parte. 
Juntos vamos superar tudo isso! #HigienizemAsMãos #EvitemAglomerações https://t.co/r7OfQ6It58"
1241563816619659264,2020-03-22 03:14:15,21,2,"Agradeço também ao presidente da Assembleia Legislativa do Tocantins e a todos os Deputados que destinaram emendas para ajudar nesse momento difícil que o nosso Estado passa. #covid_19 
#Tocantins https://t.co/3fJbYHhEKl"
1241431675730571271,2020-03-21 18:29:10,12,1,"Hoje começaram as entregas de cestas básicas para as pessoas da região. Informo também que na sequência o Governo do Estado vai atender as pessoas impactadas pela pandemia. 

Reforçamos o pedido para que se protejam e evitem aglomerações.

#Tocantins"
1240985623915384833,2020-03-20 12:56:43,21,8,👉O Governo do Tocantins intensificou as ações de combate ao novo #coronavírus e tem tratado toda a situação de forma transparente para que a população se mantenha informada sobre os verdadeiros fatos sobre a doença. ✔️ https://t.co/8D1J7Qkwcc
1240403899779092483,2020-03-18 22:25:09,12,2,ATENÇÃO! Decretei situação de emergência no Tocantins em razão da pandemia do novo Coronavírus https://t.co/sf0Zg8kZ0C
1238562088618004481,2020-03-13 20:26:27,78,22,"Visando a prevenção ao #coronavírus, determinei a suspensão, pelo período de 16 a 20 de março de 2020, de todas as atividades educacionais nas unidades escolares da Rede Pública Estadual de Ensino e na @unitins. ↪ https://t.co/aVGnYK9HU1"
