id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1308170843583807488,2020-09-21 22:26:48,5,2,"Novamente, mais de 120 mil alunos serão beneficiados com este importante programa, que reforça a alimentação neste período sem aulas presenciais por causa da pandemia. https://t.co/ARwZVYn3ww"
1306612929215725576,2020-09-17 15:16:12,41,7,"Torço para que o prefeito Clécio, que testou positivo para o novo coronavírus, tenha uma rápida recuperação.

Os números da pandemia estão diminuindo, mas ainda é importante que todos se mantenham atentos. Todo cuidado é importante."
1306612929215725576,2020-09-17 15:16:12,41,7,"Torço para que o prefeito Clécio, que testou positivo para o novo coronavírus, tenha uma rápida recuperação.

Os números da pandemia estão diminuindo, mas ainda é importante que todos se mantenham atentos. Todo cuidado é importante."
1301514255469088771,2020-09-03 13:35:54,2,1,"O Refis foi criado para que os empreendedores possam parcelar seus débitos fiscais de ICMS com redução de juros e multas. Neste momento de pandemia, o programa é fundamental para a recuperação da economia do Amapá."
1301289879524069381,2020-09-02 22:44:18,4,2,"Essa é mais uma medida social que vai garantir o reforço alimentar às famílias tradicionais, especialmente aquelas que estão em situação de vulnerabilidade por conta da pandemia. https://t.co/RHWJSFzVPK"
1301289871252901888,2020-09-02 22:44:16,7,5,Hoje acompanhei a chegada de cerca de 1.500 cestas básicas que serão distribuídas nas regiões quilombolas do Amapá para assistência e reforço alimentar no enfrentamento à covid-19. https://t.co/LilMWgv7Gk
1296469160785063939,2020-08-20 15:28:29,11,6,"A 4ª etapa do programa Merenda em Casa, que totaliza 480 mil kits, segue por todas as escolas do Estado. Hoje, estive em Santana acompanhando a entrega dos alimentos que estão garantindo a assistência aos estudantes no enfrentamento à pandemia. https://t.co/MdZHgfeFdQ"
1295522292227878914,2020-08-18 00:45:58,23,9,"Juntamente com o comitê científico de enfrentamento ao novo coronavírus, avaliamos o relatório da 33ª semana epidemiológica, que aponta um quadro preocupante de aumento das internações de média e alta complexidade. https://t.co/dFc3m8X1zA"
1295385457296052225,2020-08-17 15:42:14,8,4,"Essas ações serão realizadas nas 396 escolas de todo o Estado e fazem parte das medidas de assistência e enfrentamento à pandemia. Toda a aquisição dos alimentos foi feita no comércio local, fomentando a economia e beneficiando a comunidade. https://t.co/EXg1HOs9xk"
1293592427844993025,2020-08-12 16:57:23,7,1,"O futuro do desenvolvimento socioeconômico pós-pandemia foi debatido nesta quarta-feira, em uma reunião do Consórcio da Amazônia Legal com o Conselho do Setor Empresarial Brasileiro. https://t.co/5eynu0Lcu7"
1291823632877002752,2020-08-07 19:48:49,6,3,"É muito importante para nosso trabalho manter a população, a imprensa e o governo federal bem informados do que estamos realizando no enfrentamento à pandemia aqui no Amapá. O resultado é o espelho do nosso empenho em continuar divulgando os dados com a maior clareza."
1291823629479694340,2020-08-07 19:48:48,10,4,"Gente, olha só: somos destaque entre os primeiros lugares no ranking de transparência sobre a covid-19 no Brasil. O índice é divulgado pela Open Knowledge Brasil (OKBR), instituição que é referência na análise da dados sobre a pandemia no país. https://t.co/jnHWpVFRFh"
1291823629479694340,2020-08-07 19:48:48,10,4,"Gente, olha só: somos destaque entre os primeiros lugares no ranking de transparência sobre a covid-19 no Brasil. O índice é divulgado pela Open Knowledge Brasil (OKBR), instituição que é referência na análise da dados sobre a pandemia no país. https://t.co/jnHWpVFRFh"
1291501817667506180,2020-08-06 22:30:02,4,1,"Quero dar boas-vindas a todos e destacar que, em tempos de pandemia, o momento é de reinventar, usar a criatividade e buscar mais oportunidades, deixando um legado para nossa terra."
1288997102606069765,2020-07-31 00:37:12,10,0,"Não podemos, de maneira nenhuma, permitir que nossas medidas de flexibilização coloquem em risco os esforços de todos no combate à pandemia até o momento."
1288893279673745408,2020-07-30 17:44:39,10,1,"Seguimos cumprindo o que determina a responsabilidade fiscal, apesar dos desafios impostos pela pandemia, e promovendo a transparência e a integração das instituições públicas do Amapá."
1288491864375668737,2020-07-29 15:09:34,4,4,"Todos os municípios amapaenses serão atendidos. As escolas vão entrar em contato para organizar as entregas, tudo sem aglomerações e respeitando todas as diretrizes de proteção contra o coronavírus. (4/4)"
1288491859954860032,2020-07-29 15:09:33,4,2,"Com todos os desafios causados pela pandemia, a compra materiais para estudo acaba ficando em segundo plano no orçamento de muitas famílias. Cada kit contém: 3 cadernos universitários, 1 calculadora de bolso, 4 canetas esferográficas, 1 grafite; 1 lápis e 1 régua. (2/4) https://t.co/NSsDlfrpRU"
1286981372947701760,2020-07-25 11:07:24,23,3,"A tradicional Festa de São Tiago, comemora 243 anos de um jeito diferente. O calor humano, tão presente e acolhedor de Mazagão Velho, este ano ficou apenas na saudade e nos gestos de carinho da porta de casa, por conta pandemia. https://t.co/CPoV4rFD15"
1286743479444484096,2020-07-24 19:22:06,30,8,"Recebemos a visita institucional do  Ministro da Defesa @DefesaGovBr, general Fernando Azevedo, e, acompanhado do presidente do Congresso Nacional, @davialcolumbre, apresentamos parte trabalho realizado em parceria com as Forças Armadas no combate à covid-19. https://t.co/uFwJBC7Fq6"
1286457604789673984,2020-07-24 00:26:08,6,2,"Não podemos colocar a vida de nossas crianças e adolescentes em risco, tampouco perder todo trabalho e esforço dedicado no combate à pandemia."
1286457600352169985,2020-07-24 00:26:07,5,0,"Juntamente com o comitê científico de combate ao coronavírus foi possível demonstrar que os indicadores apontam um cenário desfavorável para o retorno das aulas presenciais, seja no âmbito municipal, estadual e particular."
1286457597181272068,2020-07-24 00:26:07,12,4,"Informação e diálogo são ferramentas que ganham ainda mais importância em tempos de pandemia. Por isso, apresentamos hoje o relatório epidemiológico a representantes do sindicato de escolas privadas e da Alap, deputado Charly Jhones e Seed-Ap. https://t.co/2Zw7ZM2pYL"
1285624605030391813,2020-07-21 17:16:06,5,3,"Mesmo durante a pandemia, nossas equipes vem se preparando para o Criança Alfabetizada. Os professores receberam formação online para qualificação e para melhorar as práticas seguindo as diretrizes do programa. (3/4)"
1285336967157370886,2020-07-20 22:13:08,5,4,"Cuidem-se e vamos todos colaborar para que essa fase passe mais rápido. Enquanto não houver vacina, prevenir é o melhor remédio contra a covid-19.

#JuntosContraOCorona"
1285336961151049729,2020-07-20 22:13:06,15,4,"Gente, é muito importante que todos sigam as recomendações de distanciamento social e que os cuidados de higiene e limpeza sejam mantidos. Não esqueçam, também, de um item indispensável para este ""novo normal"": a máscara é uma barreira poderosa contra o coronavírus. https://t.co/i3uGvrdqbv"
1284277401833308162,2020-07-18 00:02:47,8,1,"São 4 unidades para o SAMU, 3 para Macapá, 2 para Santana, 2 para Laranjal do Jari, 2 para Oiapoque e 1 para cada um dos demais municípios amapaenses. A divisão levou em consideração as necessidades de cada região, incluindo dados técnicos sobre a situação da pandemia. (3/5) https://t.co/pAcMbBoeXb"
1283482639786225669,2020-07-15 19:24:41,8,5,"Nosso objetivo é alcançar a classificação verde, reduzindo o risco de proliferação da covid-19 para o mais baixo possível. O trabalho em conjunto com a sociedade e os prefeitos continua. Faça a sua parte, respeite as medidas sanitárias e de distanciamento social. (5/5)"
1283482628671275008,2020-07-15 19:24:39,22,8,"Assinei, na noite de ontem, terça-feira, o decreto que prorroga até o dia 31 de julho as medidas de isolamento que estão vigentes em todo o Estado. Estamos há mais de 100 dias combatendo o coronavírus e o momento é de cautela. (1/5) https://t.co/gRQIpiXbcN"
1282817647336448000,2020-07-13 23:22:15,15,6,"A decisão sobre qualquer flexibilização está nas mãos dos municípios. Demos passos importantes, mas ainda não vencemos a pandemia e não temos outra saída senão continuar seguindo todas as medidas de segurança, caso contrário, podemos jogar fora todo o esforço feito até agora."
1282817630093574145,2020-07-13 23:22:11,30,8,"Desde o início da pandemia, todas as medidas de enfrentamento ao coronavírus adotadas pelo Estado, são baseadas em dados científicos. 

Hoje me reuni em videoconferência com os prefeitos amapaenses para apresentar o novo relatório epidemiológico,referente às duas últimas semanas. https://t.co/nhnNuc2JHq"
1282817630093574145,2020-07-13 23:22:11,30,8,"Desde o início da pandemia, todas as medidas de enfrentamento ao coronavírus adotadas pelo Estado, são baseadas em dados científicos. 

Hoje me reuni em videoconferência com os prefeitos amapaenses para apresentar o novo relatório epidemiológico,referente às duas últimas semanas. https://t.co/nhnNuc2JHq"
1281043263949090817,2020-07-09 01:51:29,25,3,"Vários órgãos e instituições do Amapá estão, gradualmente, retornando ao trabalho presencial. Foi pensando em uma volta segura ao trabalho que estamos disponibilizando 400 testes rápidos para a covid-19 ao TRE-AP. https://t.co/jCc8DBj6gZ"
1280615697882767360,2020-07-07 21:32:29,5,1,"O serviço funcionando 24 horas, para mais agilidade e segurança nos procedimentos médicos. Mais um trabalho de aprimoramento constante para continuarmos enfrentando essa pandemia. (3/3) https://t.co/Sh3GgYu5a4"
1280615692581117958,2020-07-07 21:32:28,24,6,"Gente, mais uma ação para melhorarmos o cuidado aos pacientes com coronavírus. Estamos disponibilizando 4 ambulâncias para o serviço específico nos centros de atendimento, um dos veículos é uma Unidade de Suporte Avançado, para realizar atendimentos de maior complexidade. (1/3) https://t.co/3KejkClL5Q"
1280182201615888384,2020-07-06 16:49:56,8,3,"Além de todo o trabalho das nossas equipes do governo, o engajamento da sociedade tem sido essencial para que a nossa terra continue dando exemplo para o resto do país. Apesar de todas as dificuldades que tivemos desde o início, estamos conseguindo vencer o coronavírus. (4/4)"
1280182196771438592,2020-07-06 16:49:55,35,13,"Enquanto alguns Estados registraram aumento de casos no último mês de junho - como a Bahia, com aumento assustador de 145,2% - conseguimos reduzir os números da pandemia no Amapá. (1/4) https://t.co/HB0IlOX80N"
1279132701795254285,2020-07-03 19:19:35,6,1,"Com o nosso comitê científico e epidemiológico de enfrentamento ao novo coronavírus, seguimos analisando informações sobre o avanço da doença para tomadas de decisão. Enquanto isso, peço que todos continuem respeitando as medidas da quarentena. Fiquem em casa o máximo possível."
1279132699370958848,2020-07-03 19:19:35,18,4,"Um resultado que representa bem o trabalho que estamos realizando. O último relatório epidemiológico indicou estabilização da pandemia na maior parte do Amapá e isso é visível no crescimento do nº de recuperados, já ultrapassando o nº de infectados ainda acometidos pela covid-19. https://t.co/OOywOX95oo"
1279132699370958848,2020-07-03 19:19:35,18,4,"Um resultado que representa bem o trabalho que estamos realizando. O último relatório epidemiológico indicou estabilização da pandemia na maior parte do Amapá e isso é visível no crescimento do nº de recuperados, já ultrapassando o nº de infectados ainda acometidos pela covid-19. https://t.co/OOywOX95oo"
