id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1309873139879489537,2020-09-26 15:11:07,37,8,Seguimos com a redução de óbitos por coronavírus no Piauí. É muito grande a diferença entre os números da última semana e do que foi o pico da doença no nosso estado. Mas peço a todos que sigam vigilantes. A luta ainda não acabou! https://t.co/00SJBR5dx5
1309574323087302660,2020-09-25 19:23:43,24,2,"Máquinas circulando, técnicos controlando o trânsito e os serviços de drenagen, eletrificação, remoção de solos moles e terraplenagem sendo executados dentro do prazo estipulado após a pandemia. https://t.co/wi71UGNCys"
1308872092079861760,2020-09-23 20:53:19,44,7,"O Piauí é o segundo estado do país com maior percentual de testes realizados para a Covid-19, segundo Pesquisa realizada pelo IBGE. Isso é fruto de muito trabalho, planejamento e seriedade no trato à pandemia. Nosso programa Busca Ativa foi crucial para chegarmos nesse resultado."
1307862813390577667,2020-09-21 02:02:48,99,8,"Pela primeira vez em muitos meses, o Piauí registrou apenas uma morte por coronavírus em 24 horas. Cada perda é dura para os familiares e para o Piauí. Mas eu acredito que estamos vencendo esta luta."
1305996734104035328,2020-09-15 22:27:40,106,26,"Boa notícia! Iniciamos uma nova etapa no combate ao coronavírus. O Piauí, pelo Consórcio Nordeste, participa da fase de aquisição da vacina da Covid-19. Ainda teremos uma fase de testes do Comitê Científico e, depois da aprovação, iniciaremos a produção na nossa região. https://t.co/IR6urCcnpU"
1298301438028918784,2020-08-25 16:49:18,78,5,"O Piauí é exemplo no combate ao coronavírus! Em pesquisa feita pelo IPEA, Instituto de Pesquisa Econômica Aplicada, o nosso estado figura na primeira colocação, entre todos os estados da federação que adotaram medidas governamentais para conter a Covid-19."
1294055964342128647,2020-08-13 23:39:18,74,5,"Jovens, fiz teste hoje para Covid-19 pelo método sorológico de quimioluminescência, que apresentou negativo para IgM e positivo para IgG. Isso significa que já tive contato com o novo coronavírus, adquiri anticorpos e não mais transmito o vírus para terceiros."
1293542017360973827,2020-08-12 13:37:04,17,2,"Ontem, em Brasília, tratei sobre a pauta federativa e a luta dos estados contra o coronavírus. Com o governador do Distrito Federal, Ibaneis Rocha, e representantes do Consórcio Nordeste, debatemos sobre as vacinas em teste e a logística para a vacinação em massa no Brasil. https://t.co/yN9ghbReVQ"
1293223871848620032,2020-08-11 16:32:52,29,4,"O Piauí sendo destaque no combate ao coronavírus! O Monitora Covid-19 e o Busca Ativa estão sendo nossos grandes aliados na luta contra a doença, priorizando o atendimento precoce para salvar vidas. O reconhecimento só nos motiva a trabalhar ainda mais. Vamos vencer! https://t.co/sDyvKcRFvB"
1292238870118125571,2020-08-08 23:18:49,132,16,"100 mil. 100 mil brasileiros. 100 mil vidas perdidas. Repito para que ninguém esqueça. Não são números, são pessoas, nossos irmãos e irmãs que perderam a vida para a Covid-19. Meus sentimentos aos familiares. E um apelo: protejam-se. A pandemia não acabou."
1290690936377409536,2020-08-04 16:47:53,14,2,"E ressalto: a pandemia não acabou! O cuidado de cada um é importante para todos. Estamos vivendo um “novo normal”, com muitas regras sim, mas sempre pensando na saúde e vida de todos os piauienses."
1289576559406272514,2020-08-01 14:59:45,7,5,"É importante que tenhamos esse parâmetro da população infectada e índice de transmissão da Covid-19 no Piauí. Recebam nossos pesquisadores, que estarão devidamente identificados, e nos ajudem no combate ao coronavírus."
1289576556596285441,2020-08-01 14:59:44,24,8,"Jovens, a partir desta segunda-feira teremos mais uma etapa de pesquisa sorológica de infectados pelo coronavírus. Equipes compostas por pesquisadores e profissionais de saúde estarão em campo em 12 municípios, aplicando testes rápidos e coletando informações. https://t.co/ZQesQxvhlr"
1289329623923167232,2020-07-31 22:38:31,38,7,"Juntos, conseguimos não só evitar o colapso na saúde como aumentar em 3 vezes o número de leitos disponíveis no interior do Piauí. É uma marca importante que, com a sua contribuição, fazendo sua parte, é ainda mais significativa para vencermos o coronavírus! https://t.co/Xq6h0ww4tW"
1289196775610310656,2020-07-31 13:50:38,343,41,"É muito difícil receber notícias de que profissionais da linha de frente perderam a vida para o novo coronavírus. São cidadãos que deram a vida em uma luta árdua, incansável e em prol dos outros. Nas últimas horas, o Piauí perdeu dois médicos que levaram o juramento até o fim."
1288959819823620099,2020-07-30 22:09:03,12,2,"Seguimos com a nossa retomada gradual, obedecendo os protocolos sanitários necessários. Mas é preciso nos adaptarmos ao novo normal e lembrarmos daqueles que trabalham incansavelmente no combate ao coronavírus! https://t.co/0jdGYmcoGd"
1285324613950541830,2020-07-20 21:24:02,15,2,"Busca Ativa em Piripiri! A integração que alcançamos entre os municípios e o Estado é fundamental nesta luta contra o coronavírus. As prefeituras foram aderindo e, sob a coordenação da Sesapi, mais de 90% das cidades piauienses já possuem o programa. Vamos vencer! https://t.co/EO8BTNx2VT"
1284991311368663043,2020-07-19 23:19:37,70,6,"O Piauí ontem foi destaque em isolamento social, tivemos o melhor número dentre os estados da federação. Com o esforço da população controlaremos o nível de transmissibilidade do coronavírus, sairemos dessa situação e voltaremos à normalidade em breve. Venceremos! https://t.co/xTJ3WVXInT"
1284953002240073728,2020-07-19 20:47:23,80,5,"Em meio a tantos afazeres e responsabilidades nesta pandemia, hoje tive a oportunidade de curtir um pouco a família. Eles são o meu porto seguro e os netos, nem se fala. São a minha alegria. Brinquei um pouco com eles e agradeci a Deus pela nossa saúde. https://t.co/67Y7PKx0c2"
1284241015856037893,2020-07-17 21:38:12,49,9,Vamos manter o isolamento nesse final de semana para ajudar na reabertura. Conseguimos ficar entre os estados mais responsáveis em isolamento no último final de semana. Conto com a sua ajuda para repetirmos o feito. Vamos vencer o coronavírus! https://t.co/d8GzYHM1FM
1283414389467553792,2020-07-15 14:53:29,21,2,"Já baixou o Monitora Covid-19? Ele é um grande aliado na descoberta precoce da doença, com médicos monitorando os sintomas que você apresenta. No vídeo, o depoimento de quem já usou e aprovou! Vamos utilizar as ferramentas disponíveis para nos ajudar no combate ao coronavírus. https://t.co/5FKZgXC1fZ"
1283112642324963328,2020-07-14 18:54:27,6,2,"A meta principal é detectar casos de coronavírus nos primeiros dias de infecção, para que haja um tratamento precoce e efetivo. Assim, vidas são salvas! https://t.co/lV5WOkL3B4"
1281750654751518720,2020-07-11 00:42:24,35,3,Lembrem-se: esta é uma luta de todos. O isolamento é uma proteção para você e para os outros. Estarmos em um processo de retomada não significa que a pandemia acabou. O “novo normal” precisa da consciência de cada um.
1280178330982023175,2020-07-06 16:34:33,22,2,"Final de semana de ações de combate ao coronavírus intensificadas. Em Parnaíba, nossas equipes realizaram o Busca Ativa e barreiras sanitárias. Fiscalização também na rodoviária e realização de testes na população. Honre o trabalho dos nossos profissionais. Fique em casa! https://t.co/WbZff00bGU"
1279412652930928641,2020-07-04 13:52:01,22,1,"Busca Ativa acontecendo também em Floriano! Fico muito feliz em perceber que quase todos os nossos 224 municípios estão aderindo ao programa. As equipes locais são orientadas pela Sesapi e conseguem levar a iniciativa para todo o Piauí. Juntos, seguimos no combate ao coronavírus. https://t.co/04FcqEMrCJ"
1278810313660522496,2020-07-02 21:58:32,19,7,Vamos falar sobre as ações do Piauí no combate ao coronavírus e a atuação nacional do Consórcio Nordeste. Aguardo vocês! https://t.co/Woc3UF184L
1278739928462000129,2020-07-02 17:18:51,7,1,"Seguimos trabalhando em diversas frentes de combate ao coronavírus e precisamos da sua colaboração. Se puder, fique em casa!"
1278739926268424192,2020-07-02 17:18:50,25,2,"O Hospital de Campanha do Verdão, como todos da nossa rede de saúde, está realizando testes de coronavírus nos profissionais. A medida busca dar mais segurança para o trabalho deles e para os pacientes que são atendidos no hospital. https://t.co/b1e6YIgJFW"
1277602932498800646,2020-06-29 14:00:50,111,6,"Meu agradecimento a você que está respeitando o isolamento social no Piauí! Para aqueles que insistem em descumprir as orientações, um pedido: tenham consciência coletiva. Só saiam se for extremamente necessário. Juntos, cada um fazendo a sua parte, podemos vencer esta pandemia. https://t.co/4ven4wMulI"
1277372089415151617,2020-06-28 22:43:33,71,4,"De Norte à Sul do Piauí, as barreiras sanitárias continuam acontecendo. Não só neste final de semana, que foram intensificadas, mas durante todos estes meses que lutando contra o coronavírus. https://t.co/Oxh9s9UPO8"
1276674229237407744,2020-06-27 00:30:30,49,5,"Não só porque estão determinadas em decreto, mas por pensar também no coletivo. Nós precisamos diminuir a curva de contaminação do coronavírus no nosso estado. Muita gente quer a retomada do comércio."
1276206779412733953,2020-06-25 17:33:01,83,12,Vamos adotar um isolamento mais rígido neste e no próximo final de semana. Este é mais um esforço nosso para aumentarmos o índice de isolamento social e diminuirmos o número de casos de coronavírus no nosso estado. https://t.co/698XMXsBJU
1275806245111332864,2020-06-24 15:01:26,76,5,"Aqueles que insistem em não usar máscaras, conversando próximos, fazendo aglomeração. Digo e repito: a retomada depende da colaboração de cada um. Só assim, obedecendo todas as recomendações, teremos forças para a lutar contra o coronavírus."
1275457458148950016,2020-06-23 15:55:29,105,14,"Novos leitos de UTI instalados em Picos! O Hospital Regional Justino Luz teve sua estrutura e equipamentos completamente renovados para o combate ao coronavírus. A capacidade de atendimento da unidade de saúde foi triplicada, melhorando os serviços oferecidos para a população. https://t.co/xlpYymOMSH"
1275144198799458308,2020-06-22 19:10:42,107,17,"Devido a um aumento na transmissibilidade do coronavírus no Piauí, decidimos prorrogar o isolamento até dia o 6 de julho. Vamos continuar com as etapas de reabertura dos setores autorizados anteriormente. O objetivo maior de todas as medidas é salvar vidas. https://t.co/tPBHRWSHQy"
1275064094274449409,2020-06-22 13:52:24,50,5,"Quero aqui convidar você para participar da nossa live hoje, a partir das 12h30, pelo YouTube e também pelo Instagram. Vamos falar sobre novas medidas para o Piauí em relação ao coronavírus. Juntos venceremos! https://t.co/bVJanwMH80"
1275048421410439169,2020-06-22 12:50:07,28,6,O Programa Busca Ativa é uma das melhores estratégias para combater o coronavírus no Piauí. Você é fundamental para vercermos a Covid-19. Conto com a sua colaboração! https://t.co/2obrRuWTiQ
1274770761568456708,2020-06-21 18:26:48,296,15,"Acabei de receber a notícia de que o prefeito de Teresina, @firmino_filho, testou positivo para o coronavírus. Desejo uma rápida recuperação e muita saúde para você e sua família, prefeito. Deus os abençoe!"
1274077462994079745,2020-06-19 20:31:53,125,24,"Jovens, teremos, mais uma vez, medidas de isolamento social mais rígidas durante o final de semana. Precisamos diminuir o índice de transmissibilidade do coronavírus no Piauí. Conto com a colaboração de vocês na luta contra a doença. https://t.co/gTBu5ZSSWA"
1274048054618918912,2020-06-19 18:35:01,70,4,"Quero agradecer aqui aos prefeitos e prefeitas que seguem colaborando na nossa luta contra o coronavírus. As barreiras sanitárias já demonstraram sua eficácia na fiscalização e controle da importação da doença, e a colaboração das prefeituras sempre foi fundamental nesta medida. https://t.co/cXFZd6CqtV"
1273388068725293058,2020-06-17 22:52:28,6,0,O aplicativo também aconselha quando é necessário procurar uma unidade de saúde. Informação é uma ferramenta fundamental na luta contra o coronavírus.
1273388066250665985,2020-06-17 22:52:28,15,9,"O Monitora Covid-19 é um grande aliado na luta contra o coronavírus. A partir dele, já conseguimos salvar vidas no Piauí! Quando você se cadastra e responde o questionário, dependendo da gravidade da sua situação, vai ter acesso a uma consulta médica gratuita, sem sair de casa. https://t.co/vpwLuDjWuY"
1273326718032515074,2020-06-17 18:48:41,149,14,"Precisa muito sair de casa? Vá de máscara! Além de ser uma obrigação aqui no Piauí, também é uma forma de demonstrar amor e cuidado com você e os outros. A higienização das mãos, o uso do álcool em gel, também são fundamentais na prevenção ao coronavírus. Vamos vencer!"
1271959826571108352,2020-06-14 00:17:09,301,48,"O coronavírus tirou a vida de 25 piauienses nas últimas 24 horas. Vocês conseguem perceber a gravidade do momento em que vivemos? Por favor, sigam as orientações. Só saiam de casa quando necessário, de máscara, usando álcool em gel. Meus pêsames a todos os amigos e familiares."
