id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1306352449230376961,2020-09-16 22:01:09,7,1,"@eduardopazuello contribuiu muito com nosso estado durante a pandemia e conhece bem a complexidade logística e as peculiaridades do Amazonas. Sucesso, general!"
1286042233855254528,2020-07-22 20:55:36,19,1,"Continuamos trabalhando para diminuir os impactos da pandemia em nosso estado. Nesta semana, estamos entregando 10 mil cestas básicas a 200 instituições sociais que atendem famílias em situação de vulnerabilidade social. https://t.co/wDkDEAqOXb"
1278108656605827073,2020-06-30 23:30:24,58,1,"Desde o início da pandemia, nós trabalhamos para salvar vidas. Em nenhum momento houve qualquer determinação minha para qualquer prática ilegal. Sou o principal interessado para que esses fatos sejam apurados e esclarecidos. https://t.co/LnZRtXGYF9"
1275528289868820480,2020-06-23 20:36:57,29,1,"Já entregamos 100 mil kits do Merenda em Casa aos estudantes da rede estadual durante a pandemia. Até sexta feira vamos entregar mais 51,5 mil no interior. https://t.co/nOtMIqRSA8"
1275248529498427394,2020-06-23 02:05:17,26,1,"Desde o começo da pandemia quase triplicamos as UCI’s, Unidades de Cuidados Intermediários, no interior. Eram 49, hoje são 142. Os leitos clínicos saíram de 636 para 832 unidades. Essa ação tem parceria com o @govbr através do @minsaude. https://t.co/k73cGozqe9"
1274495609051983873,2020-06-21 00:13:26,31,4,"Sim, é uma luta brutal contra essa pandemia. Nem assim perdemos a motivação. Seguramos o espírito de equipe de ponta a ponta nesse #Amazonas gigantesco e desafiador. Não acabou, mas já passamos pelo pior momento. Nossa equipe em #Tefé, 522 kms de Manaus. 👇🏼 https://t.co/cribPJwzi3"
1274035736094834689,2020-06-19 17:46:04,14,2,"Alto Solimões, perto da fronteira com a #Colômbia. Lá está nossa equipe da SUSAM levando equipamentos e estrutura pro combate à pandemia. Secretário Cássio Espírito Santo.#Amazonas #fronteira #COVID19 #saude https://t.co/rNpeDJzS4y"
1273353983214735360,2020-06-17 20:37:02,45,5,Hoje 40 leitos de UTI do PS 28 de Agosto foram liberados para atendimentos de rotina. Todos estavam atendendo COVID19.  O PS chegou ter 100% dos leitos de COVID19 ocupados durante a pandemia. É mais um passo no sentido de nos livrarmos dessa crise. É mais uma conquista de equipe. https://t.co/PmEkBppdsY
1273221529791336450,2020-06-17 11:50:42,8,0,Um depoimento realista da ministra Damares ontem em Manaus. A marca de nossa luta para vencer a pandemia e amparar os mais vulneráveis nesse período difícil para todos nós.  #Amazonas #Covid_19 @DamaresAlves https://t.co/pizecZbXPb
1271186523954741248,2020-06-11 21:04:19,9,1,"São 5.107 alunos de 11 escolas estaduais de #Humaitá até vão receber o Merenda em Casa. Com a pandemia, o estado  disponibiliza para os estudantes a merenda que normalmente seria distribuída nas escolas. #Amazonas #Amazônia #COVIDー19 #MerendaEmCasa https://t.co/TAAEvONBAq"
1271183041596096513,2020-06-11 20:50:29,24,5,"Na fronteira com a Colômbia, região de comunidades indígenas, lá está nossa equipe SUSAM com o secretário de interior,  Cássio Espírito Santo, levando UCI’s e cuidados pra nossa gente. #Amazonas #Amazonia #fronteira #saude #COVIDー19 #coronavirus https://t.co/cM0xuO2Q7k"
1270482547139624960,2020-06-09 22:26:58,26,5,"Nesta quarta, 14 mil estudantes de Parintins recebem o Merenda em Casa.  Em Tefé, são mais 10.800 entregas. Esse programa do Governo do Amazonas leva aos estudantes a merenda que seria consumida na escola caso não houvesse pandemia. #Amazonas https://t.co/U168n1oVRE"
1269080818263171074,2020-06-06 01:37:00,27,1,"Hoje em Parintins entregamos três respiradores e um desfibrilador.  Agora são 13 Unidades de Cuidados Intermediários (UCI) no município. E entregamos 280 mil itens de EPI (Equipamento de Proteção Individual), medicamentos e 5 mil testes rápidos para o novo coronavírus. #Parintins https://t.co/KQS5VvVO9f"
1268312809185705984,2020-06-03 22:45:12,17,0,"Dessa vez em Humaitá, distante 697 kms de Manaus, nossa equipe SUSAM levando equipamentos para o combate à pandemia. #ANossaLutaÉPelaVida #Amazonas #COVIDー19 https://t.co/wfmWoNDLvt"
1267780364916981760,2020-06-02 11:29:27,21,1,"Recebi mais um vídeo de nossa equipe SUSAM atuando no interior do Amazonas  em combate à pandemia. Nosso secretário do interior na área de saúde, Cássio Espírito Santo. #Eirunepé #Amazonas #COVIDー19 https://t.co/D94afEW2Kr"
1267770230786396162,2020-06-02 10:49:11,30,1,"Honrando compromisso que assumimos no começo da pandemia, o Estado do Amazonas paga hoje e amanhã os salários de 78.039 servidores ativos. Inativos e aposentados também recebem em dia, nesta terça-feira."
1267308556916854787,2020-06-01 04:14:40,22,4,"Continuamos mandando alimentos para os povos indígenas do Amazonas superarem as dificuldades da pandemia. Oitocentas cestas básicas chegaram às aldeias do rio Canumã, na Terra Indígena Kwatá-Laranjal. Veja fotos e vídeos feitos pelos próprios indígenas. https://t.co/U6lJGg0Dd7"
1266405098638491650,2020-05-29 16:24:38,27,2,"Em Lábrea/AM, nos antecipando e preparando a unidade de saúde para o combate ao coronavírus.  A nossa luta é pela vida. #Amazonas #COVIDー19 https://t.co/1o7jm95cPs"
1263869195932110848,2020-05-22 16:27:52,10,4,"Reportagem da  TV ENCONTRO DAS ÁGUAS sobre nossa ação de combate à pandemia em Tefé, distante 522 kms de Manaus. @nauzilacampos https://t.co/YgK0AOBOcp"
