id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1302041455737925632,2020-09-05 00:30:48,194,48,"Assista e compartilhe! PT, PSOL e PCdoB votaram contra agravar a pena para corruptos que roubam a saúde pública em tempos de pandemia. https://t.co/nFJNMjIOCM"
1301709265002999808,2020-09-04 02:30:48,230,40,"PT, PSOL e PCdoB votaram contra agravar a pena para corruptos que roubam a saúde pública em tempos de pandemia. Assista e compartilhe! https://t.co/nFJNMjIOCM"
1301626843586588672,2020-09-03 21:03:17,113,28,"Assista e compartilhe! PT, PSOL e PCdoB votaram contra agravar a pena para corruptos que roubam a saúde pública em tempos de pandemia. https://t.co/nFJNMjIOCM"
1299429278690537472,2020-08-28 19:30:56,191,37,Assista e compartilhe! A pandemia mostrou algumas coisas: o ódio a Bolsonaro e o preconceito contra a religião. https://t.co/1N2e53Cfp0
1299399068876263424,2020-08-28 17:30:54,313,48,"Em tempo de pandemia, o preconceito contra a religião tem sido manifestado. Saiba como! https://t.co/1N2e53Cfp0"
1299338715412795393,2020-08-28 13:31:04,400,49,O ÓDIO A BOLSONARO E ÀS RELIGIÕES em tempo de pandemia. https://t.co/1N2e53Cfp0
1299157451665702919,2020-08-28 01:30:48,550,78,A pandemia mostrou algumas coisas: o ódio a Bolsonaro e o preconceito contra a religião. https://t.co/1N2e53Cfp0
1299142352108478466,2020-08-28 00:30:48,139,17,"Em tempo de pandemia, o preconceito contra a religião tem sido manifestado. Assista! https://t.co/1N2e53Cfp0"
1299112225735618560,2020-08-27 22:31:05,136,19,O ÓDIO A BOLSONARO E ÀS RELIGIÕES em tempo de pandemia. Assista! https://t.co/1N2e53Cfp0
1299082053133180932,2020-08-27 20:31:11,113,18,Assista e compartilhe! A pandemia mostrou algumas coisas: o ódio a Bolsonaro e o preconceito contra a religião. https://t.co/1N2e53Cfp0
1299074667844718594,2020-08-27 20:01:51,108,22,"Em tempo de pandemia, o preconceito contra a religião tem sido manifestado. Saiba como! https://t.co/1N2e53Cfp0"
1299057507692933121,2020-08-27 18:53:39,147,25,O ÓDIO A BOLSONARO E ÀS RELIGIÕES em tempo de pandemia. https://t.co/1N2e53Cfp0
1298999571260092416,2020-08-27 15:03:26,807,160,O ÓDIO A BOLSONARO E ÀS RELIGIÕES em tempo de pandemia. Vídeo mais tarde! https://t.co/ZKS4NXGbv8
1298440083352190978,2020-08-26 02:00:14,4535,782,"VAMOS LÁ JORNAL O GLOBO ! Para publicar dizendo que fake o vídeo da ameaça do presidente , vocês colocaram na 1ª página on line , a fake da Maju falando que Bolsonaro não prestou solidariedade às vítimas do covid , quando ele fez isto , vocês não falam nada. JORNALISMO PARCIAL !"
1294743013315543041,2020-08-15 21:09:24,2736,409,"MATHEUS LEITÃO! O colunista da veja deve estar vendo muito filme de ficção devido a pandemia. Anda falando um mocado de bobagem sobre o segmento evangélico. É uma prova que ele não entende nada de evangélicos, suas fontes são medíocres para as informações que ele tem dado.SÓ KKKK"
1293360599393538048,2020-08-12 01:36:11,7045,2052,A FAMOSA REUNIÃO DE BOLSONARO COM OS MINISTROS . Bolsonaro esculhambando MORO pela omissão de ver o povo ser algemado na pandemia e não fazer nada. https://t.co/zbWWw4jVDa
1292654760072548353,2020-08-10 02:51:25,7205,1446,"NESSA SEGUNDA ! Vou detonar o jornalismo vagabundo, mentiroso, inescrupuloso da rede globo, veja e folha , atribuindo as 100 mil mortes por covid a Bolsonaro. Esses cínicos que perderam bilhões da mamata do dinheiro público , pensam q enganam o povo brasileiro. AGUARDEM O VÍDEO !"
1286656724536107008,2020-07-24 13:37:22,173,28,"Ontem eu participei de uma live muito esclarecedora com importantes médicos e pastores que falaram sobre os efeitos da pandemia na comunidade cristã e a eficácia do tratamento para a Covid-19. 

Assista em https://t.co/quRPbMDuo8"
1274553555370770432,2020-06-21 04:03:42,14888,3712,"ATENÇÃO POVO BRASILEIRO ! Os ditadores da toga do tribunal de exceção chamado STF , mantém Sara Winter presa. Ameaça e injúria ñ são crimes tipificados para prisão. Soltaram traficantes, bandidos perigosos por causa do covid . Lula com mais de 10 anos de condenação está solto."
1273660973061230592,2020-06-18 16:56:54,21447,4544,"NÃO VOU ME CALAR ! NÃO SOU COVARDE ! Não concordo com os métodos de Sara Winter , mas o q o STF está fazendo com ela é um absurdo ! Soltaram traficantes perigosos devido ao covid, um professor da universidade federal disse q tinha q fuzilar todos da direita. O STF NÃO FEZ NADA!"
1272121901599657984,2020-06-14 11:01:10,130,14,Assista a este vídeo e tire suas conclusões sobre tudo que está sendo feito em relação ao coronavírus! https://t.co/hEYxIXQ4vA
1271910511614009344,2020-06-13 21:01:11,148,22,Assista a este vídeo e tire suas conclusões sobre tudo que está sendo feito em relação ao coronavírus! https://t.co/hEYxIXQ4vA
1271895361355997184,2020-06-13 20:00:59,121,20,Nada como um dia após o outro. Nesse vídeo estou provando que não são as religiões promotoras de coronavírus. https://t.co/hEYxIXQ4vA
1271872666044153858,2020-06-13 18:30:48,143,18,Por que as igrejas não proliferam coronavírus? Saiba por que assistindo a este vídeo. https://t.co/hEYxIXQ4vA
1271286378672742406,2020-06-12 03:41:06,8904,2474,"PORQUE A GRANDE IMPRENSA NÃO DIVULGA OS DADOS DA COVID 19 ,COMO O JORNAL DA BAND? 
Brasil - 32º em casos por milhão de habitantes . 19º por morte em milhão de habitantes. 2º no mundo em recuperação da covid .
Só trazem o número de mortos absoluto, porque o vírus foi politizado."
1269776922399170565,2020-06-07 23:43:04,4117,774,LAMENTO SUA ATITUDE PREFEITO CRIVELLA !  Todos os hospitais do RJ estão vazios em relação a pandemia . O gov Witizel faz uma abertura gradual e você é contra . A decisão do governador passou pelo comitê científico . Concordar só com igreja aberta é demagogia pura . ABSURDO !
1264526888506097670,2020-05-24 12:01:18,1054,207,"Curioso! Por que a imprensa brasileira escondeu as falas de Bolsonaro sobre a questão de ditadura, liberdade de expressão, criminosos soltos na pandemia, o povo sendo algemado na rua. Por que será? Assista a este vídeo. https://t.co/eMGhlM7tl6"
1264351748262633472,2020-05-24 00:25:21,14945,2414,"ESSA É PARA RIR KKKKK! Se tirar o Bolsonaro e o coronavírus do jornal nacional , só sobra o “ BOA NOITE “ 😀😀😀😀😀😀😀"
1263834167726477313,2020-05-22 14:08:41,1999,393,"A FALÊNCIA MORAL DA IMPRENSA BRASILEIRA ! Nenhum editorial, nenhum colunista ou blogueiro e nenhuma notícia ou comentário pela monstruosidade da fala de Lula, ao agradecer as mortes de covid 19 para sustentar sua asneira ideológica , falida e corrupta.VERGONHA MONSTRUOSA !"
1263218745507549185,2020-05-20 21:23:13,3238,665,É UMA PROVA ATRÁS DA OUTRA! A asneira que Lula fala dizendo que ainda bem q tem o coronavírus para desmascarar a agenda liberal . EM Q JORNAL OU REVISTA SE FEZ UMA CRÍTICA SEVERA A ESSE CORRUPTO LOUVANDO O CORONAVÍRUS  PARA APOIAR SUA IDEOLOGIA FRACASSADA ? NENHUM ! VERGONHA !
1262095616622178306,2020-05-17 19:00:18,180,24,Assista e divulgue! Esse vídeo vai ajudar você a fortalecer sua imunidade fisiológica para combater o coronavírus. https://t.co/rU76YEdOqF
1262080530952138752,2020-05-17 18:00:21,239,23,Esse vídeo tem o objetivo de amenizar o pânico e o desespero e ajudar as pessoas a se fortalecerem emocionalmente contra essa pandemia. https://t.co/rU76YEdOqF
1262072938515369984,2020-05-17 17:30:11,173,19,Uma palavra de esperança em tempo de coronavírus. Assista à esse vídeo e se você achar importante compartilhe com outros!https://t.co/rU76YEdOqF
1262068942857801729,2020-05-17 17:14:18,149,13,5 conselhos práticos em tempo de coronavírus. https://t.co/XzTTXByKqx
1262035325075021825,2020-05-17 15:00:43,196,23,5 conselhos práticos em tempo de coronavírus. https://t.co/ZpwX7PJ9j3
