id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1316695313743147009,2020-10-15 11:00:00,5,2,"Hoje é o dia dos professores e no Notícias do Campus a gente conversa com Márcia Angela Aguiar, professora do Departamento de Pedagogia, sobre a importância de comemorar este dia, principalmente em tempos de pandemia e aulas remotas. 
https://t.co/ip2eKEDOHg #diadoprofessor #ufpe https://t.co/s4kSur1kfs"
1313578435462266886,2020-10-06 20:34:38,5,0,"Interessados em participar da oficina sobre alimentação saudável em tempos de pandemia devem se inscrever até quarta-feira (7), on-line. O evento é promovido pela equipe do projeto de extensão Serviço de Educação e Atendimento Nutricional. https://t.co/xgjBNEdMAW #ufpe https://t.co/wJUZ3oMDY8"
1313214879256334336,2020-10-05 20:30:00,2,0,"A situação atual e as lições da pandemia de Covid-19 na América Latina foram abordadas na terceira edição, na última sexta-feira (2), do Agenda UFPE. Confira os detaques: https://t.co/XE8wv9vnvi #ufpe #pandemia https://t.co/5VhungEdzr"
1312162947796545536,2020-10-02 22:50:00,10,0,"HC retoma as cirurgias de transplante renal. O primeiro procedimento pós-pandemia foi realizado entre parentes, na manhã de ontem (1º). https://t.co/c3aKkKmsvL https://t.co/psAlim0wcO"
1312081544153104385,2020-10-02 17:26:32,1,0,"Na última entrevista da série de lives da Ascom, iniciada em 23 de abril, o diretor Laboratório de Imunopatologia Keizo Asami (Lika), José Luiz de Lima Filho, fala sobre a atuação do Lika na pandemia de Covid-19.  https://t.co/cIELB7sq6h #pandemia #ufpe #liveascomufpe"
1311697390886440960,2020-10-01 16:00:02,1,0,"Logo mais, às 16h, a jornalista Vitória Galvão vai conversar, em Live do Instagram da Ascom UFPE, com o diretor do Lika, José Luiz de Lima Filho. O tema é atuação do Lika-UFPE na pandemia de Covid-19. https://t.co/46zhI0fMra   #ufpe #liveufpe #pandemia https://t.co/ZXdbKkMLop"
1311448240244441088,2020-09-30 23:30:00,2,0,"A atuação do Lika-UFPE na pandemia de Covid-19 é o tema da live desta quinta-feira, às 16h, no Instagram. A jornalista Vitória Galvão vai conversar com o diretor do Lika, José Luiz de Lima Filho. Saiba mais: https://t.co/UsccWmdzL3  #ufpe #liveufpe #pandemia https://t.co/oDHlNwfj0H"
1311048104691429376,2020-09-29 21:00:00,3,0,"Uma equipe de docentes, estudantes e pesquisadores da UFPE publicou uma série de livretos digitais sobre temas ligados ao novo coronavírus e à Covid-19. Saiba mais sobre a iniciativa no Notícias do Campus.
https://t.co/KU6SDH7wT2 #coronavírus #livro #ufpe https://t.co/qTqzH5d4Dv"
1310927309029830656,2020-09-29 13:00:00,5,0,"Professor Michel Zaidan Filho lança dois livros sobre política e sensibilidade em tempos de pandemia. Artigos, conferências, comentários e notas já publicados em jornais, blogs e portais têm como tema a crise sanitária, social e política. https://t.co/yv6dLbW3SL #ufpe https://t.co/ARzvoObjZp"
1310534718924832770,2020-09-28 11:00:00,1,0,"Live aborda o tema “Pandemia, Democracia e Gestão de Políticas Públicas: o caso da Saúde”, na próxima terça-feira (29). O debate será no canal do Marco Zero no YouTube. https://t.co/GHMGJU6Q4S #live #pandemia https://t.co/GsSEVJOOYx"
1310340878024802307,2020-09-27 22:09:44,3,1,"Assista à live com o professor Valdir Balbino sobre origem geográfica do novo coronavírus em Pernambuco. O docente é do Departamento de Genética da UFPE e foi entrevistado pela jornalista Vitória Galvão, da Ascom. https://t.co/K15eVjo7Kf"
1309507956841631746,2020-09-25 15:00:01,2,0,"Pós em Turismo da UFPE promove evento sobre turismo pós-pandemia. O evento ocorrerá na próxima segunda-feira (28), de forma remota, através do Google Meet. Confira os detalhes: https://t.co/QvzgDDf6QW #turismo #ufpe https://t.co/fl1h7ee2s5"
1309153116965593089,2020-09-24 15:30:00,5,0,"Daqui a pouco, às 16h, no Instagram da Ascom, a apresentação dos resultados da pesquisa que investiga a origem geográfica e tendências evolutivas do novo coronavírus em Pernambuco.  Participe. https://t.co/2gF5Jo5DCb #liveascomufpe #ufpe #pesquisa https://t.co/5N7Q3tZmSR"
1308914040043745280,2020-09-23 23:40:00,8,1,"Resultados da pesquisa que investiga a origem geográfica e tendências evolutivas do novo coronavírus em Pernambuco serão apresentados na live de amanhã (24), às 16h, no Instagram da Ascom.  https://t.co/2gF5Jo5DCb #liveascomufpe #ufpe #pesquisa https://t.co/PihHdhmawS"
1308783181961728001,2020-09-23 15:00:01,2,0,"Professores da Pós em Ciências Contábeis da UFPE publicam artigo sobre a pandemia da Covid-19. O artigo aponta que, nos países abordados pela pesquisa, há semelhança de problemas e uma variabilidade nas respostas. https://t.co/JVkICddayp #covid19 #ufpe #artigo https://t.co/rjX3dR5C8o"
1308516420343431176,2020-09-22 21:20:00,4,0,"Programa Opinião Pernambuco chega hoje à 100ª edição nestes tempos de pandemia. O jornalista Valdir Oliveira conversa com os médicos Marcos Eugênio Bezerra, neurologista do HC, e Pedro Augusto Sampaio, da Posneuro da UFPE . https://t.co/uWjnZLd6NR #opiniãope #televisão #ufpe https://t.co/pSOlRui83R"
1308128866356080641,2020-09-21 19:40:00,4,1,Programas Fora da Curva e Saúde é o Tema divulgam programação da semana. Entre os temas abordados estão o balanço da pandemia e a reforma administrativa do governo federal. Saiba mais: https://t.co/AFc7CCg7Po #foradacurva #ufpe https://t.co/vbDQ1d8hbJ
1308013107885813760,2020-09-21 12:00:01,1,0,"Evento on-line discute Ensino Superior de Ciências Contábeis em tempo de pandemia na terça-feira (22). A live ocorrerá das 15h às 17h e o link de acesso será disponibilizado no dia do evento, pela manhã https://t.co/BoxOe9fx11 #ufpe https://t.co/qfWNYRAfb0"
1307061839591743488,2020-09-18 21:00:01,9,0,"Professores e alunos de escola pública publicam o cordel ""A história do coronavírus para as crianças do futuro” em parceria com professora da UFPE. https://t.co/XwyS9khNoh https://t.co/Ht0VpgvQIA"
1306548458174648325,2020-09-17 11:00:01,5,0,Manual orienta cientistas para colaboração e divulgação científica durante pandemia. Cartilha é produzida pelo INCTEthnobio e Laboratório de Ecologia e Evolução de Sistemas Socioecológicos (LEA). https://t.co/ABzuK7WbIZ #manual #ufpe https://t.co/STOwpnVaZH
1306315923255631873,2020-09-16 19:36:00,5,0,Estudantes de pós-graduação têm até sexta-feira (18) para preencher formulário sobre condições de vida durante a pandemia. O preenchimento do formulário tem caráter consultivo. https://t.co/2jtU7MjjNZ  Saiba mais: https://t.co/b5NGzHiGUD #ufpe #pósgraduação #questionário https://t.co/Cq75XOL1vp
1305967122229551104,2020-09-15 20:30:00,2,0,"Programa Saúde é o Tema realiza balanço da pandemia de Covid-19 em live amanhã (16)
Haverá reprise nas Rádios Universitária FM (99.9 MHz) e Paulo Freire AM (820 KHz), nos dias 22 e 24, às 11h e às 21h20. https://t.co/Ei2Ojnsizh #ufpe https://t.co/wfCqDp0gl2"
1305461290077319170,2020-09-14 11:00:00,4,1,"Pós em Saúde Coletiva promove seminário sobre regulação em saúde no contexto da pandemia de Covid-19, na segunda-feira (21), a partir das 14h, através do Google Meet. Saiba mais: https://t.co/h9pRupNzTQ #saúdecoletiva #ufpe https://t.co/qXMVjbhMXA"
