id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1316853381542088710,2020-10-15 21:28:06,4,0,Projeto Entre Elas debate a saúde da mulher durante a pandemia em seu 4º encontro https://t.co/6JvE3tkM5p
1312097047449923584,2020-10-02 18:28:08,1,0,Trabalho presencial e saúde mental durante pandemia é o tema do Rotas Pedagógicas no dia 6 https://t.co/M0xS6I4R0n
1311395457105645569,2020-09-30 20:00:16,25,5,"Sabemos que a pandemia forçou todo mundo a se distanciar, mas queremos que você saiba que mesmo de longe, estamos juntos! 💛🤗
Se você é estudante e tá precisando de atendimento psicológico, procure a Pró-reitoria de Assuntos Estudantis pelo e-mail cbvu@furg.br. https://t.co/WVa9G96dKy"
1310647495802970113,2020-09-28 18:28:08,0,0,"Live do AVA Formação debate bem-estar na pandemia nesta terça, 29 https://t.co/F7j9p54cXW"
1310639488838897664,2020-09-28 17:56:19,0,0,Inscrições abertas para webinário “EJA em tempos de pandemia” https://t.co/2tBJYRXJZc
1309484871086206978,2020-09-25 13:28:16,0,0,Webinário Entre Nosotros reflete o ensino de espanhol para crianças na pandemia  https://t.co/LHeeueLdrz
1308760104175644678,2020-09-23 13:28:19,1,0,Projeto de extensão sobre Artes Visuais na pandemia promove oficinas  https://t.co/ADNdMiMCC9
1308065919869091841,2020-09-21 15:29:52,2,1,Pesquisa da FURG vai avaliar o impacto da pandemia na saúde mental da população https://t.co/CIYLOCcRqp
1305860937639956482,2020-09-15 13:28:03,2,1,Arquipélago de memórias cria cápsula do tempo sobre pandemia de Covid-19 https://t.co/GYLQc02m2A
1303747042943143937,2020-09-09 17:28:12,1,0,Grupo de Empreendedorismo Social da FURG promove lives em tempos de pandemia https://t.co/89p3uwvseU
1295427265958948864,2020-08-17 18:28:22,2,0,Encontro do AVA Formação debaterá bem-estar psicológico na pandemia https://t.co/fX6C4WikkV
1293252886357585926,2020-08-11 18:28:10,3,0,Docentes de Psicologia da FURG participam de elaboração de materiais da Fiocruz sobre saúde mental e pandemia https://t.co/jeb8AEdm3I
1292875402751483910,2020-08-10 17:28:11,2,0,Pesquisadores fazem levantamento de hábitos alimentares do brasileiro durante a pandemia https://t.co/AS0T3PyHy2
1290685952269090823,2020-08-04 16:28:05,3,1,Projeto AVA Formação discute bibliotecas digitais e SIB na pandemia https://t.co/ZiBpVEY7oB
1288579145522438152,2020-07-29 20:56:23,2,0,Inscrições abertas para capacitação sobre saúde mental na pandemia https://t.co/kTeYkBo8Cz
1287832177426731008,2020-07-27 19:28:12,4,1,Projeto AVA Formação discute bibliotecas digitais e SIB na pandemia https://t.co/EiSJXflNtb
1285944800437514241,2020-07-22 14:28:26,1,0,Curso de Relações Internacionais debate saúde mental em tempos de pandemia https://t.co/HbUTU5NGmn
1285567327321423872,2020-07-21 13:28:30,2,0,Lives do FMCafé trazem impacto da pandemia na universidade e oportunidades na área de cultura  https://t.co/gOjmq1zx9k
1282750762909601793,2020-07-13 18:56:28,3,0,"Pesquisa para servidores sobre impactos da pandemia está disponível até sábado, 18 https://t.co/yQ1q1R38pw"
1278779559928889351,2020-07-02 19:56:20,2,0,Progep lança pesquisa para servidores sobre impactos da pandemia https://t.co/jU2EL2Awvx
1276643472552988679,2020-06-26 22:28:17,4,1,"Territórios de aprendizagem em tempos de pandemia: formação para professores da FURG inicia na terça, 30 https://t.co/FLousz58BS"
1275095211992104960,2020-06-22 15:56:03,1,0,Progep estabelece procedimento para acolhimento psicossocial durante pandemia https://t.co/YMy8CknM8r
1273261217973485569,2020-06-17 14:28:25,5,2,Para onde vai a arte após a pandemia? https://t.co/IQvpwCVC5D
1272611871573630976,2020-06-15 19:28:08,2,0,Imef realiza formação com docentes sobre tempos de pandemia https://t.co/b3VbshKEkP
1270784836446425091,2020-06-10 18:28:09,2,0,Progep lança quiz sobre conhecimentos acerca do coronavírus https://t.co/ehXyRH2jeD
1270452618528272387,2020-06-09 20:28:02,2,0,C3 Live abordará bioinformática como ferramenta no combate ao coronavírus https://t.co/cfkBv9Y8dw
1270042387558084608,2020-06-08 17:17:56,34,27,"A saúde da comunidade universitária é a nossa prioridade nessa pandemia. Por isso, precisamos da ajuda de vocês! 💚

Até 13 de junho, um questionário estará disponível em https://t.co/SizssjYohu. Participe e ajude a FURG no planejamento para a retomada das atividades acadêmicas! https://t.co/C3LdL4niLD"
1269999631938838528,2020-06-08 14:28:02,2,0,Questionário online avalia impacto da pandemia entre professores da FURG https://t.co/I2EWwKH7wS
1268972876310417414,2020-06-05 18:28:04,5,0,Docente da FURG publica pesquisa sobre demandas psicológicas em período de luto durante a pandemia https://t.co/jSB0Nyyhn8
1268202909138812931,2020-06-03 15:28:30,72,63,FURG lança questionário online para avaliar impacto da pandemia entre estudantes https://t.co/1FBGC3O13W
1266088899518005248,2020-05-28 19:28:11,1,0,Startups e empresas incubadas desenvolvem ações para combater impactos da pandemia https://t.co/a80vOiN0nH
1266006721555771392,2020-05-28 14:01:38,6,2,"🔴 Hoje teremos uma live promovida pelo Centro de Ciências Computacionais da FURG com o tema ""PampaNerds: modelagem e simulação do avanço da pandemia de Covid-19 no Rio Grande do Sul"".

É às 17h30 em https://t.co/camxfYgaLO

Conheça o projeto PampaNerds: https://t.co/htgbU05MWE https://t.co/fVyx455CCR"
1263899444849840135,2020-05-22 18:28:04,4,1,Ações da FURG contra o coronavírus estão disponíveis em podcast e vídeo na internet https://t.co/GS2kmsFiAS
1263839152723890188,2020-05-22 14:28:29,2,0,DAC promove ações virtuais durante pandemia https://t.co/VR1LeXKwh1
1263476787545333768,2020-05-21 14:28:35,1,0,Boletim semanal da FURGFM traz informações sobre a pandemia do coronavírus https://t.co/5B57TZL3eH
1263468709928206339,2020-05-21 13:56:29,1,0,PPG em Ciências da Saúde divulga questionário sobre hábitos na pandemia https://t.co/3LcYsHZUXp
1263131466533416962,2020-05-20 15:36:24,2,0,Escola de Engenharia projeta Ventilador tipo VDP para combater pandemia https://t.co/9TBWz3v94Y
1262814290651815936,2020-05-19 18:36:03,4,0,Ligas acadêmicas da FURG auxiliam estudantes em tempos de pandemia https://t.co/xpq1AxQbnQ
1260954158343114753,2020-05-14 15:24:33,3,1,PPG em Ciências da Saúde divulga questionário sobre hábitos na pandemia https://t.co/PFsuQ4iSv1
1260908051495878657,2020-05-14 12:21:20,6,0,O impacto da pandemia e isolamento social na vida dos intercambistas https://t.co/CcbvBn3Rt2
1260666395630669829,2020-05-13 20:21:05,2,0,Soluções tecnológicas auxiliam comerciantes durante pandemia https://t.co/zxj4O8gurY
1260221059099435008,2020-05-12 14:51:28,12,4,"No Dia do Enfermeiro, EEnf segue na linha de frente no combate ao coronavírus https://t.co/EjzUIqqOlU"
1259920071968907271,2020-05-11 18:55:27,1,0,Andifes divulga relatório sobre ações das Ifes em combate ao coronavírus https://t.co/v6uN3rR6jI
1257318837420056581,2020-05-04 14:39:05,17,5,Ação de enfrentamento à pandemia produziu e entregou 1.300 máscaras face shield https://t.co/x9dc2hZgFo
1255959369998532621,2020-04-30 20:37:03,7,0,Reitores da FURG e UFPel participam de live sobre o papel das universidades no combate ao coronavírus https://t.co/YfN0C6W9DZ
1255934740261109766,2020-04-30 18:59:10,3,0,Campus São Lourenço do Sul promove nova ação de combate à pandemia da Covid-19 https://t.co/OXh3wrsk0Q
1255927261414465537,2020-04-30 18:29:27,1,0,Universidades e Institutos federais se manifestam sobre pandemia e reforçam a importância do distanciamento social https://t.co/Bvkk3zEjhV
1255927255903145984,2020-04-30 18:29:26,1,0,FURG e Prefeitura criam serviço TeleCovid-19 para dúvidas e orientações sobre coronavírus https://t.co/3jfuVzxlPB
1255881968950153217,2020-04-30 15:29:29,2,0,Campus São Lourenço do Sul promove nova ação de combate à pandemia da Covid-19 https://t.co/Or6JBPt3vV
1254766541058519041,2020-04-27 13:37:10,10,1,FURG e Prefeitura criam serviço TeleCovid-19 para dúvidas e orientações sobre coronavírus https://t.co/kqtdL8r0st
1253324073272107010,2020-04-23 14:05:19,2,1,Escola de Enfermagem atualiza cartilha sobre coronavírus endereçada ao público infantil https://t.co/tWUXorj27V
1253322082169040896,2020-04-23 13:57:24,2,0,Servidores da FURG publicam artigo sobre os impactos da pandemia do Coronavírus na saúde mental  https://t.co/JsYW4HDd5J
1252286496834564097,2020-04-20 17:22:21,3,1,Serviços de venda pela internet estão disponíveis de modo gratuito para comerciantes e microempresários durante a pandemia https://t.co/kHwWnKjyxk
1251219983876665344,2020-04-17 18:44:25,18,12,"Que tal aproveitar esse #sextou e tirar um tempinho pra cuidar de si mesmo? 💛

Os profissionais da FURG separaram algumas dicas de saúde mental para vocês, venham conferir: https://t.co/gMqlmvDJ0C

#FURGcontraovírus #covid19 #coronavírus #JuntosNoIsolamento #OrgulhoDeSerFURG https://t.co/5EOtARnk5g"
1251178386543775745,2020-04-17 15:59:07,6,1,"""O coronavírus veio reforçar a importância de sentar e conversar com nossos ancestrais"" https://t.co/Vjoqt9lpkR"
1250846211780861955,2020-04-16 17:59:11,4,0,Caic fortalece vínculo entre universidade e comunidade durante a pandemia https://t.co/50QErgOp2l
1247862863189983234,2020-04-08 12:24:25,6,1,Escola de Enfermagem lança material educativo sobre coronavírus voltado ao público infantil https://t.co/69naEcjGss
1247568416434683908,2020-04-07 16:54:23,5,0,Programas de pós-graduação da FURG são contemplados com bolsas da Capes para coronavírus https://t.co/LSwXT6YcDV
1246094185167556608,2020-04-03 15:16:19,24,11,FURG e HU/EBSERH vão realizar quatro mil testes moleculares para diagnóstico do coronavírus em Rio Grande  https://t.co/USU3MrKnsj
1240771576062185473,2020-03-19 22:46:10,16,7,FURG lança Plano de Contingência para o coronavírus https://t.co/SQ2CmcO8im
1238551918491897857,2020-03-13 19:46:03,15,5,Reitoria da FURG emite nota sobre coronavírus https://t.co/Oy4icFH7jY
1238546668120944643,2020-03-13 19:25:11,51,26,Reitoria emite nota com orientações sobre coronavírus https://t.co/USK3jJqfcf
1237710288406876160,2020-03-11 12:01:42,6,2,Diretoria de Atenção à Saúde divulga informações importantes sobre o coronavírus https://t.co/nnQMMCazEX
1234488214980874242,2020-03-02 14:38:20,0,0,Conheça medidas de prevenção contra o novo coronavírus https://t.co/U0RlATtoOt
