id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1316715033997574146,2020-10-15 12:18:22,112,22,"A Ufam gostaria de homenagear e agradecer a todos os professores, que em 2020 precisaram se adaptar aos desafios causados pela pandemia, mas que continuam se empenhando para difundir saberes e contribuir para a formação do futuro da nossa sociedade. Feliz #DiadosProfessores! 👨🏾‍🏫💻 https://t.co/5gDca7hvoN"
1309570623111299074,2020-09-25 19:09:01,38,5,Pesquisador da Ufam integra publicação inédita sobre impactos da pandemia entre os Sateré-Mawé/AM. https://t.co/p7wg3b23nZ https://t.co/Ip8wwnbcqi
1305910788746604545,2020-09-15 16:46:09,78,8,Ufam é a instituição com mais projetos aprovados em edital da Fapeam de combate ao coronavírus. https://t.co/yPSFcRG5m2 https://t.co/yqwz2N3jTQ
1297913042689298433,2020-08-24 15:05:58,15,6,"No dia 27 de agosto, às 17h, a Telessaúde Ufam realizará live com o tema ""Uma visão multidisciplinar na saúde do idoso em tempos de pandemia"". Acompanhe no Facebook ou no canal do Youtube da Telessaúde: https://t.co/jz1HdVJyTF https://t.co/qec8fzOnRO"
1296804442268930048,2020-08-21 13:40:47,16,5,Agroufam divulga resultados do projeto durante a pandemia. https://t.co/mJiqPQKyUx https://t.co/y2mc4bHrBv
1295343873884028929,2020-08-17 12:57:00,10,2,GESECS realiza mais uma edição online do projeto Encontro Aberto sobre mulheres na pandemia. https://t.co/SWDhsZoYOa https://t.co/aEvm0J4Yy6
1293238590898569217,2020-08-11 17:31:21,31,2,"em decorrência da pandemia da covid-19. 
Sobre a execução do Calendário Acadêmico Especial deverá ser elaborado um Calendário Acadêmico Especial 2020/1, onde constará cronograma das atividades a serem realizadas durante o semestre letivo especial. +"
1290380128967708673,2020-08-03 20:12:51,66,21,Atenção! Pesquisa de Adesão ao Programa de Inclusão Digital do MEC/RNP deve ser respondida até 7 de agosto. Os resultados serão utilizados para subsidiar ações de planejamento e reorganização institucional no decorrer e após a pandemia. Acesse os links: https://t.co/f9bPmjdDsg https://t.co/qeawg6uKty
1288882153225412610,2020-07-30 17:00:26,3,3,"Hoje, 30, teremos mais uma live da @telessaude_ufam! Desta vez o tema é ""Panorama dos serviços da Semsa-Manaus em tempos de pandemia"". O evento será às 17h, no Instagram da Telessaúde: https://t.co/8fZrG8flE9 https://t.co/QRPNHX5uMW"
1288553687405780992,2020-07-29 19:15:13,95,28,Ufam promove consulta sobre calendário acadêmico especial. Os resultados da pesquisa serão utilizados para subsidiar ações de planejamento e reorganização institucional no decorrer e após a pandemia de covid-19. https://t.co/bPaaD1EKMs https://t.co/GcK4szIlCq
1286995269624700933,2020-07-25 12:02:38,29,6,Unidade Acadêmica da Ufam em Benjamin Constant (INC) lança nova cartilha em língua Ticuna para orientar as comunidades indígenas do Alto Solimões quanto ao combate do coronavírus. https://t.co/xpEjGGxq1R https://t.co/9tYh4jRvf8
1285280581861941250,2020-07-20 18:29:04,22,2,A 14ª edição do Boletim @AtlasOdsAm - Especial Covid-19 discute trade-off de morbidade e letalidade durante a difusão da pandemia nos municípios amazonenses. https://t.co/Rudcgjwh1v https://t.co/fpK0VT6ra7
1283030405785030658,2020-07-14 13:27:40,13,1,"Departamento de Saúde e Qualidade de Vida divulga vigésima segunda edição de card informativo sobre morte, luto e a vivência desses dois processos em tempos de pandemia, bem como aponta estratégias de acolhimento e cuidado com a saúde mental. https://t.co/O5lR21KE1G https://t.co/GpB65AfrhV"
1282760209988034560,2020-07-13 19:34:01,2,0,"@ocronico @MarcioLira Oi, Rodrigo. Por enquanto o PSE continua suspenso por conta da pandemia, assim como os demais processos e atividades da Ufam. Quando as atividades retornarem a Comissão Permanente de Concursos divulgará um novo cronograma."
1281704473405071360,2020-07-10 21:38:54,5,1,"Ações da Enfrentamento à Covid-19 – Conheça o trabalho do Departamento de Saúde e Qualidade de Vida (DSQV), que oferece serviços online para atender a servidores e terceirizados da Ufam durante a pandemia. https://t.co/wid39aU95k"
1281656839608963072,2020-07-10 18:29:37,24,5,Professor do Instituto de Ciências Exatas (ICE) publica artigos sobre o papel da ciência no combate à pandemia de COVID-19. https://t.co/XFoTKqCpMb https://t.co/fCceEkHRuS
1280917884894658560,2020-07-08 17:33:16,9,1,"Evento do PPGSCA, por videoconferência, expõe os impactos da pandemia no cotidiano da Ufam. https://t.co/wTb4gC2ikI https://t.co/io19QNVhjT"
1279113967378599936,2020-07-03 18:05:09,6,3,Jornalismo Cultural promove painel sobre impactos da pandemia nas comunidades tradicionais. https://t.co/vmsDPRxbb6 https://t.co/xl2a3Gqkyb
1278339106511228929,2020-07-01 14:46:08,21,5,Galeria de Arte da Ufam abre inscrições para exposição virtual sobre pandemia. https://t.co/7UCItdW9pL https://t.co/t2aNvwKjqh
1276281768656736267,2020-06-25 22:31:00,12,7,Ufam oferta serviços gratuitos de atendimento à saúde durante a pandemia. https://t.co/xGCL5xpbFF https://t.co/NmlNGaCpjY
1275169119067942916,2020-06-22 20:49:44,15,2,"Servidores do ISB, em Coari, produzem protetores faciais sustentáveis a partir de garrafas PET para uso no combate ao novo coronavírus. https://t.co/0ODeQaBNQm https://t.co/RdGaV0PYOZ"
1275156618670411779,2020-06-22 20:00:03,11,4,Telessaúde da Ufam firma parceria com empresas para informar sobre pandemia. https://t.co/OUNuOTwucZ https://t.co/O6HgBdjIqA
1275060692597518337,2020-06-22 13:38:53,8,0,"A live da @telessaude_ufam desta semana contará com a presença da enfermeira Isabel Cristina Hernandes, chefe da Divisão de Imunização da Semsa, que falará sobre 'Vacinação em tempos de pandemia'. Será no dia 25, às 17h, no Instagram da Telessaúde: https://t.co/8fZrG8flE9 https://t.co/MRosSQQekh"
1274015754782998528,2020-06-19 16:26:40,2,0,"@aawnline Olá. Não se preocupe, os atrasos na biblioteca durante a pandemia não serão acumulados."
1273974774641934348,2020-06-19 13:43:50,12,1,"A Comissão de Combate ao Assédio Moral da Ufam promove no dia 22 de junho, às 10h (horário de Brasília), live com o tema ""Refletindo o retorno ao trabalho em tempo de pandemia"". O debate estará disponível em https://t.co/b2k2z1WSjz. https://t.co/dxxEdLq2Qz"
1272616717706018817,2020-06-15 19:47:24,3,1,"Entrevista com o Especialista #10 - Dra. Iolete Ribeiro da Silva, Diretora da Faculdade de Psicologia, orienta sobre como preservar a saúde mental durante a pandemia. https://t.co/8sTsmKdJRw https://t.co/wylA5A0Cq6"
1272537345351389186,2020-06-15 14:32:00,21,7,"O Grupo de Estudos Migratórios na Amazônia (Gema), convida para uma conversa online com o tema ""Mulheres e crianças migrantes: Vulnerabilidade e formas de resistência na pandemia"", no próximo dia 18, às 9h (horário de Manaus), no link https://t.co/Ljb5EdHHTY https://t.co/F9XkJMVtec"
1271566908521885699,2020-06-12 22:15:50,73,15,Consumo de remédios caseiros durante a pandemia de covid revela necessidade de investimento em cadeia produtiva de plantas medicinais no Amazonas. https://t.co/SaT3A8kXtL https://t.co/mPLXwNW9o0
1270143852167520259,2020-06-09 00:01:07,19,2,Revista ‘Quarentenas Amazônicas’ aborda a temática indígena e quilombola durante a pandemia. https://t.co/iyu0erFqnE https://t.co/ZYR8kkZPCo
1269977985278529537,2020-06-08 13:02:01,10,1,"Pesquisa do @AtlasOdsAm que relaciona letalidade, mortalidade e Saúde da Família durante a pandemia é destaque no Jornal Nacional. https://t.co/lDqx3zsqk3 https://t.co/BJs11XF83v"
1269010034874298369,2020-06-05 20:55:44,11,0,Reitor destaca papel das Universidades no mundo pós-pandemia durante Websimpósio alusivo ao Dia Mundial do Meio Ambiente. https://t.co/HdAmTThXLJ https://t.co/FDEEEBgyDr
1268614424694263808,2020-06-04 18:43:43,46,4,Projeto Casa da Física aposta em atividades on-line durante pandemia de Covid-19. Acesse: https://t.co/PkANkHfmzL https://t.co/MFKvX5npJR
1267926878041640960,2020-06-02 21:11:39,25,2,ICB realiza Roda de Conversa sobre sustentabilidade na pandemia. https://t.co/EPYbuLIQ02 https://t.co/bZp3krItgy
1265744757864771586,2020-05-27 20:40:41,7,1,ICB promove Roda de Conversa sobre diagnóstico por imagem na pandemia. https://t.co/Bh2lHFapcV https://t.co/MnbyM086zK
1265741530611974145,2020-05-27 20:27:51,17,2,Revista Mundo Amazónico - Edição especial sobre a pandemia está com chamada aberta até dia 21 de junho. https://t.co/eC0ioSix4K https://t.co/fVAhF4l0Q3
1265013727583223810,2020-05-25 20:15:50,16,2,"Entrevista com o Especialista #8 - Dr. Edson Andrade, Pneumologista da Faculdade de Medicina da Ufam, recomenda que pacientes respiratórios crônicos intensifiquem cuidados durante a pandemia de Covid-19. https://t.co/3xGOExuLFO https://t.co/es1KlQYt3H"
1263940410554101763,2020-05-22 21:10:51,16,2,"Ufam promove bate papo sobre comunicação de notícias difíceis em tempos de pandemia no dia 27, às 14h. Mais informações: https://t.co/7B8Hm2r1kt https://t.co/V1QcmrjdDi"
1263613321678336000,2020-05-21 23:31:07,20,6,ISB divulga Nota Técnica sobre impacto do coronavírus no Amazonas. https://t.co/wdw31aF9Nf https://t.co/BiwlFYLphL
1263605559045095425,2020-05-21 23:00:16,42,30,Proeg realiza pesquisa de opinião sobre aulas não presenciais durante a pandemia até dia 31 de maio. https://t.co/FeUhoKAyzy https://t.co/GT0LbrUXka
1263568060981575680,2020-05-21 20:31:16,6,0,Alimentação escolar no Amazonas-CECANE convida entidades executoras do PNAE para compartilhar experiências realizadas durante a pandemia. https://t.co/53SG8M48sd https://t.co/4DqZU1JvmI
