id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1314211655132213248,2020-10-08 14:30:50,2,0,"OUTUBRO ROSA
Alimentação regular e de qualidade e exercícios físicos são importantes na prevenção de várias doenças, inclusive o câncer de mama. O auto exame das mamas é fundamental na detecção precoce desta doença. 
Mesmo em época de pandemia por COVID-19, adotando todas as...+ https://t.co/md7edpxJoi"
1312336755232825344,2020-10-03 10:20:39,2,0,"A SECOM estende submissão ao concurso de brasão/logotipo da UFAPE até a próxima sexta, dia 09/10.

Em virtude do tempo criativo necessário para a produção artística e as dificuldades logísticas que emergem deste contexto de pandemia da COVID-19, a SECOM decide...+ https://t.co/yI0yM5Z008"
1308864584657272834,2020-09-23 20:23:29,3,0,"UFAPE divulga Calendário Acadêmico do PLE 2020.4
Considerando que o cenário de pandemia, causado pelo novo coronavírus (COVID-19), ainda não permite definir quando as atividades acadêmicas presenciais serão retomadas, a Universidade Federal do Agreste de Pernambuco (UFAPE)...+ https://t.co/gyLzpyjx25"
1306657058515808256,2020-09-17 18:11:33,0,0,"No dia 24.09 - Roda de Conversa com o tema ""Saúde Mental na pandemia: vamos conversar sobre estratégias de autocuidado?"" com a participação da professora Dra. Roseane Amorim (UFRPE/UAST) e mediação do psicólogo Diego Guedes (UFAPE)."
1306541197192826881,2020-09-17 10:31:10,0,0,"alusiva ao mês de prevenção ao suicídio (Setembro Amarelo).

Será realizada uma Roda de Conversa com o tema ""Saúde mental na pandemia: vamos conversar sobre estratégias de autocuidado?"" com a participação da Professora Dra. Roseane Amorim (UFRPE/UAST) e mediação do...+"
1306540655792001024,2020-09-17 10:29:01,1,0,"""Sua vida é importante para nós!""
Fique ligado em nossas redes sociais que, em breve, traremos detalhes sobre a Campanha Setembro Amarelo da UFAPE. Mas... olhe só um spoiler que vamos dar 🤭!
Ação 1 - Dia 24.09 - Roda de Conversa com o tema ""Saúde Mental na pandemia:...+ https://t.co/Sa2sqtlEld"
1302035810506678278,2020-09-05 00:08:22,0,0,"que dialogue tanto com os segmentos da comunidade científica quanto com segmentos da sociedade contemporânea.
O cenário de pandemia, que nos impele ao distanciamento social, nos impede de celebrarmos esta data de forma presencial. Não obstante, o fervor de reconhecer o empenho..+"
1288095107766456322,2020-07-28 12:52:59,4,0,"Comunicado aos alunos ingressantes em 2020.2

Informamos que devido à pandemia, por medida de segurança, o calendário acadêmico de 2020.1 está temporariamente suspenso. Em consequência disso, as aulas dos alunos ingressantes em 2020.2 serão postergadas e assim todas as datas...+ https://t.co/3q6aZJB9Wk"
1276526262589292544,2020-06-26 14:42:32,2,2,"Obrigado a todos que ajudaram e contribuíram. Venha doar também e fazer parte dessa ação solidária, ""VOCÊ PODE SALVAR VIDAS!""
Favorite, retweete e comente!
#solidariedade #coronavirus #brasil #ações #futuro #humanidade #ajudaroproximo #cestabasica https://t.co/CGO7Pn2ls6"
1275894418294353920,2020-06-24 20:51:48,2,1,"As atividades do HVU seguem o calendário acadêmico da UFAPE que está, atualmente, suspenso devido à pandemia por COVID-19. Tão logo retomemos a normalidade, o HVU continuará com suas atividades. Certos da compreensão de todos(as). Prof. Almir Chalegre - Diretor HVU https://t.co/TP6mB2q1LG"
1251281384313884679,2020-04-17 22:48:24,10,4,"Para outros esclarecimentos, consultar os informativos coronavirus no site da UFAPE: https://t.co/ZyQKbwk0gb. https://t.co/LajfkNNjxJ"
1250511515784024072,2020-04-15 19:49:13,5,0,"Em meio a toda essa pandemia, muitas famílias são afetas financeiramente.
Pensando no bem de toda a sociedade criamos a UFAPE SOLIDARIA, onde você pode fazer doações e ajudar aqueles que mais tem precisado com cestas básicas. + https://t.co/C6ciDokqcl"
