id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1308063959363325954,2020-09-21 15:22:05,4,0,"O Seminário Científico desta semana terá como convidada a profa. dra. Melissa Markoski para falar sobre a biossegurança em tempos de pandemia da Covid-19.
Será dia 23/09 às 10h30. O link para transmissão pode ser acessado em https://t.co/4ZqxNjpOqH
#covid19 #ufcspa #biosseguranca https://t.co/oplr0fSukf"
1296118562512347138,2020-08-19 16:15:20,2,0,"""A pandemia provocou a renovação e ressignificação da minha profissão""

O professor de Infectologia da UFCSPA, Paulo Behar, é o segundo entrevistado da série UFCSPA contra o Coronavírus.

Leia aqui: https://t.co/54VHYFbgFV https://t.co/VcXy529ImL"
1296103000159789059,2020-08-19 15:13:30,1,0,"Quinta-feira, dia 20/08, às 17h no Facebook e YouTube da UFCSPA, tem o ""Respira e não pira"". Vamos falar sobre atividade física na pandemia com a Drª Luciane Sanchotene Etchepare Daronco.
https://t.co/zNqEcKFkvH
https://t.co/gpzPk3zXwZ https://t.co/DI7ZTzCn9r"
1291410171005198337,2020-08-06 16:25:52,5,2,"Hoje, quinta-feira, temos o ""Respira e não pira"" às 17h no YouTube!
Vamos falar com nossos alunos que estão atuando contra a pandemia da Covid-19, Thaís Fritsch (Enfermagem), Enri Bobsin (Medicina) e Jeisson Borges (Fisioterapia). https://t.co/v6yL69HCyp
#youtube #ufcspa #COVID19 https://t.co/iPuAcsFwK8"
1286394644088094721,2020-07-23 20:15:57,0,0,Respira e não pira - Jornalismo e fake news em tempos de pandemia https://t.co/NcBg3G9Xac via @YouTube
1285647795211378693,2020-07-21 18:48:15,4,1,"Nesta quinta, dia 23/07, teremos uma super live com a jornalista da @GauchaZH, Larissa Roso. Vamos falar de fake news e pandemia. Não perde! Será às 17h no YouTube da UFCSPA https://t.co/SARElwMVrG

#pandemia #fakenews #covid19 #gauchazh https://t.co/zO8PATct9m"
1280878331425165315,2020-07-08 14:56:06,4,1,"Nova live do ""Respira e não pira"" acontece na quinta, dia 09/07, às 16h, pelo canal da UFCSPA no YouTube: https://t.co/zvWRrNX93u
Vamos receber a profa. Cleidilene Magalhães e a psicóloga, coordenadora do NAP, Ana Carolina dos Santos, para falar sobre como estudar na pandemia. https://t.co/jKkXLu6LVn"
1279067382502223872,2020-07-03 15:00:02,0,0,"A Pílula de Humanidades de hoje é sobre o livro ""(Re)nascer em tempos de pandemia"", de Talíria Petrone. Acompanhe novas dicas de obras que nos fazem refletir sobre o que nos torna humanos em https://t.co/A2oPSyxYM6.

#fiqueemcasa #covid19 #saudemental https://t.co/c9PmFwMiWo"
1270032783457562624,2020-06-08 16:39:46,3,0,"Convite da nossa reitora @lupellanda para participar da Marcha Virtual pela Vida que ocorrerá dia 09 de junho: https://t.co/ZJfMW6RaAw

#marchavirtualpelavida #pandemia #COVID19"
1269029852801310723,2020-06-05 22:14:28,4,0,"""Vamos enfrentar isso juntos"" - Reitora Lucia Pellanda @lupellanda fala sobre a UFCSPA e o coronavírus

https://t.co/2x4ljYWDEb

#COVIDー19 #pandemia #universidade #aulas #graduacao #Saude"
1268643621655523331,2020-06-04 20:39:44,9,3,"Várias doações já foram entregues, mas muitas famílias ainda precisam de ajuda. Por isso, se você pode, doe alimentos. Acesse o nosso formulário no link https://t.co/YC7zHuXkoM.
Você pode fazer a diferença!

#doe #juntospodemosmais #doarfazbem #alimentos #pandemia https://t.co/3g4qS3AoQn"
1260239672921513991,2020-05-12 16:05:26,10,2,"Neste Dia Internacional da Enfermagem e do Enfermeiro, gostaríamos de agradecer a estes profissionais pelo trabalho que vem sendo realizado na cansativa e pesada luta contra a pandemia que estamos enfrentando nos últimos meses.

O nosso muito obrigado e um forte abraço! https://t.co/pdfUmW3Uch"
1259879862103400452,2020-05-11 16:15:41,42,11,"A UFCSPA, assim como outras instituições federais públicas, está trabalhando incansavelmente no combate à pandemia causada pelo novo coronavírus.
O portal G1 listou as 46 universidades federais participantes e as principais atividades desenvolvidas.
#ufcspa #universidade #publica https://t.co/Skv25NwJeX"
1258495369698332673,2020-05-07 20:34:12,10,4,"🏠👩‍🔬🦠 Nos dias 9, 10 e 11, será realizada nova etapa de entrevistas e testes rápidos do novo coronavírus. As residências visitadas serão SORTEADAS.

Com @UFPel , @institutoipo e @governo_rs 

#covid19 #coronavirus #pesquisa #fiqueemcasa https://t.co/hm9Kznsy6Q"
1253720091520311296,2020-04-24 16:18:57,14,6,"Entrevistadores da UFCSPA ou de outras universidades irão visitar algumas residências para testar anticorpos para o novo coronavírus. 

Eles estarão de jaleco, luvas e máscaras de proteção e usarão um crachá de identificação. Saiba mais: https://t.co/W9qNukDN8z https://t.co/UBksjZ8PEa"
1252976606848696322,2020-04-22 15:04:36,6,2,"Professores da UFCSPA responderam questões enviadas à GaúchaZH sobre o novo coronavírus. Confira em https://t.co/TD2BO570Tj
#coronavirus #COVID19 #fiqueemcasa #prevencao #duvidas #ufcspa"
1252273879843770370,2020-04-20 16:32:13,2,1,"Mais uma ação da UFCSPA no combate ao coronavírus: Profa. Claudia Thompson da UFCSPA coordena pesquisa para analisar a evolução do Covid-19 em Esteio - RS. São 41 pesquisadores da UFCSPA, da UFRGS, Feevale e Unisinos
#pesquisa #orgulhoufcspa #COVID19 
https://t.co/5l10nX8q2r"
1251177308909600774,2020-04-17 15:54:50,12,8,"A UFCSPA está trabalhando em diferentes ações para combater o novo coronavírus. A lista completa está em https://t.co/9Ne2SZ77ck
Compartilhe para que mais pessoas saibam como nossa universidade não para! 💪💪
#orgulhoufcspa #fiqueemcasa #COVID19 #universidades #Ciencia #Saude https://t.co/rKdCywW3Mz"
1250162729836515328,2020-04-14 20:43:16,3,1,"Que cuidados tomar com cães e gatos durante a pandemia de Covid-19?🐶🐱

Confira: https://t.co/aTsXMQjs4Z

#naocompre #adote #pets #covid19 #coronavirus #cuidados #ufcspa #isolamento https://t.co/r8RACJbDmI"
1249757998291001349,2020-04-13 17:55:00,6,0,"Cuidado com as #fakenews! A profa. Ana Gorini da UFCSPA desmente o boato que tapetes ajudam o vírus Covid-19 a viver mais tempo. #COVID2019 #coronavirusnobrasil 
https://t.co/5mfjWA8iQx"
1248307416493690888,2020-04-09 17:50:55,6,2,"Coronavírus: existe relação entre vinho e vírus?
O professor de Enologia Juliano Garavaglia da UFCSPA desmente boato da internet sobre vinho ser capaz de curar a doença.
https://t.co/2klHMXzy8c

#coronavirus #covid19 #vinho #prevencao #fiqueemcasa"
1248287659698552834,2020-04-09 16:32:24,3,0,"Como é feito o exame para detectar o Covid-19?
O prof. Alessandro Pasqualotto da UFCSPA explica como é feito o exame RT-PCR para detectar a presença do coronavírus nos genes humanos.
#covid19 #coronavirus #ufcspa #rtpcr #exame #saude #ciencia

https://t.co/jyXIPHPSec"
1247574180272451588,2020-04-07 17:17:18,3,0,"Matéria da @GauchaZH com as professoras Ana Gorini e Claudia Bica da UFCSPA: 

Especialistas alertam que sacolas de pano são preferíveis às de plástico no combate ao coronavírus https://t.co/qFj29P2iwN"
1247216234556506112,2020-04-06 17:34:57,4,1,"Material didático de apoio ao ensino de graduação sobre coronavírus da editora SAGAH: https://t.co/76jS6yCsm0
A prof. Liane Rotta da UFCSPA atuou como revisora técnica na produção do material.
Em tempos de #fakenews, o importante é termos fontes confiáveis. Acesse! É gratuito! https://t.co/DE6GJmYXqx"
1246098730056638469,2020-04-03 15:34:23,6,0,"Quem tá trabalhando em casa, levanta a mão? \o 
Aqui vão algumas dicas da Mova - empresa júnior de Fisioterapia da @UFCSPA de como realizar home office 
#homeoffice #FiqueEmCasa #prevencao #coronavirus https://t.co/QZ1PFgMDWL"
1246097241384914944,2020-04-03 15:28:28,5,2,"Informe-se sobre o uso de máscaras contra o Covid-19 com o Alcogélson. Material elaborado pelos alunos do
PPG-Biociências da @UFCSPA #alcoolgel #ciencia #coronavirus https://t.co/tou6sRQarI"
1246096052819767296,2020-04-03 15:23:44,6,1,"O autocuidado neste período é fundamental. Por isso, temos essas dicas do Projeto Girassol da @UFCSPA para todos enfrentarem o isolamento social #fiqueemcasa #covid19 #coronavirus #secuide https://t.co/OQW3czUEFW"
1245740173477937152,2020-04-02 15:49:36,3,2,"Aula disponível online? Temos sim. Uma delas é a com a nossa profa. Claudia Bica: https://t.co/j0Q1zCZX6y
Participe do curso ""Ciência e Covid-19: a importância de análise crítica de evidências durante uma pandemia"". Acesse: https://t.co/tbbKc5UIij"
1245384886535495680,2020-04-01 16:17:49,11,5,"Tem criança em casa? Então, siga as recomendações para a prevenção do coronavírus.
#ficaemcasa #coronavirus #prevencao #ufcspa https://t.co/iyDcPiqXR8"
1243240958726111234,2020-03-26 18:18:37,2,1,Qual a importância da vacinação contra a gripe em tempos de coronavírus? A profa. Ana Gorini da #ufcspa explica neste vídeo: https://t.co/loM94zIQgq #coronavirus #covid19 #vacina #gripe #influenza #ufcspa #saude
1242523897695809537,2020-03-24 18:49:16,11,3,"Lavar as mãos é fundamental para a prevenção contra o coronavírus. Nossa profa. Ana Gorini explica mais sobre essa medida (também disponível em LIBRAS): https://t.co/rkV3ZaHqZk
#laveasmaos #fiqueemcasa #covid19 #prevencao"
1241774920515948545,2020-03-22 17:13:06,6,1,"Acesse https://t.co/sejqx31GvH compartilhe seu apoio!

#FiqueEmCasa #VamosAchatarACurva #coronavirus #covid19 https://t.co/AVcCMEoNYF"
1240980531485040640,2020-03-20 12:36:29,4,0,"Esclarecimentos sobre hidroxicloroquina e cloroquina

@infecto.ufcspa https://t.co/e04F3wYqKo

#coronavirus #covid19 #fiqueemcasa #vamosachataracurva"
1240757510358917121,2020-03-19 21:50:17,0,0,"Central de informações sobre o coronavírus: https://t.co/GUY8SNwPQE
#fiqueemcasa #vamosachataracurva"
1240076682746363905,2020-03-18 00:44:55,9,1,"😷 Portaria altera funcionamento de setores da universidade

Leia a íntegra em https://t.co/A2oPSygnUy

#covid19 #coronavirus #VamosAchatarACurva #FiqueEmCasa"
1239893718787862529,2020-03-17 12:37:53,15,1,"Dicas de prevenção e informações sobre as ações da UFCSPA em relação à pandemia de Covid-19

Leia aqui: https://t.co/C0moFkTC5e https://t.co/hkPOxnnyni"
