id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1313839575232643073,2020-10-07 13:52:19,9,1,"Comandar dois hospitais de ensino no meio de uma pandemia não foi nada fácil. Mas, mesmo com a covid-19,  deu pra inovar e promover uma maior interação entre unidades de saúde e academia. Muita coisa mudou no Complexo Hospitalar da UFC no último ano. Segue o fio. https://t.co/05EqtHObdy"
1310619905763545089,2020-09-28 16:38:30,11,2,"Com muitas ilustrações e linguagem clara e objetiva, e-book ""Saúde da mulher e covid-19"" oferece desde orientações mais gerais sobre o autocuidado que as mulheres devem ter durante a pandemia a questões bem específicas sobre a saúde feminina https://t.co/qXROCrGnI6 https://t.co/R2954DIEVr"
1309181006033948672,2020-09-24 17:20:49,5,0,"Atenção, estudantes e professores da graduação da UFC: será a oportunidade de opinar formalmente sobre a qualidade de seus cursos e, especialmente neste ano, avaliar o desenvolvimento das disciplinas ofertadas remotamente, devido à pandemia de covid-19 https://t.co/zbY7qoqjWU https://t.co/0kdBApfA5p"
1308122952148418561,2020-09-21 19:16:30,2,1,"As três primeiras lives vão tratar sobre práticas de meditação, perdas na pandemia de covid-19, e aprendizagem e virtualidade. Embora voltados aos estudantes da UFC, os encontros também podem ser apreciados pelo público externo. Saiba mais: https://t.co/k1A5uTPbIw https://t.co/BUR3gDbiGW"
1308080900698189825,2020-09-21 16:29:24,4,1,"Agende-se! Na próxima quinta-feira (24), às 17h, o Colégio de Estudos Avançados da UFC realizará a live 2 da série Grandes Temas Avançados, discutindo os ""Desafios pedagógicos em tempos de pandemia"". Acesse no dia e hora do evento pelo link: https://t.co/DCZemcWDsl. https://t.co/XcLClyqsCw"
1304451070807216129,2020-09-11 16:05:45,0,0,"@davicrisostomos @progradufc Boa tarde, Davi. O edital de transferência de outras instituições de ensino superior para a UFC segue suspenso por tempo indeterminado, em razão da necessidade de redimensionamento e adequação das turmas às novas regras sanitárias decorrentes da pandemia de covid-19."
1303744467757871106,2020-09-09 17:17:58,6,1,"Após a implementação do Plano Pedagógico de Emergência (PPE), em virtude da pandemia de covid-19, o Calendário Universitário 2020 mudou. Acesse o link a seguir e confira as mudanças: https://t.co/4rgmyuw2OB https://t.co/3HXV98cpxU"
1300798156637175808,2020-09-01 14:10:22,45,10,O calendário universitário da UFC foi alterado devido à pandemia de covid-19. A proposta aprovada estabelece a data referencial de 23 de novembro para o início do período letivo 2020.2 e de 10 de abril para a conclusão. Veja detalhes: https://t.co/jaLYMJB3Dq https://t.co/OnbqSmciYu
1300782270664638464,2020-09-01 13:07:15,7,1,"A Biblioteca Universitária da UFC informa que, dando prosseguimento às medidas para combater a disseminação do novo coronavírus, foi prorrogado, por mais 30 dias, o prazo de devolução dos materiais que estavam previstos para serem devolvidos em setembro. https://t.co/AiNvhIr3bV https://t.co/mQ7RfgbTuI"
1300466950242480128,2020-08-31 16:14:17,4,2,"Última semana de inscrições! Por conta da pandemia de covid-19, o processo seletivo será integralmente realizado a distância, em três etapas https://t.co/YahgmpSfrF https://t.co/XVjbqN5n4a"
1298594949987008512,2020-08-26 12:15:37,4,0,"Bom dia com utilidade pública! O projeto de extensão Inspira Ação, do Hospital Universitário, traz vídeos baseados nos manuais do programa de tratamento do tabagismo e na relação entre tabagismo e coronavírus. Conheça: https://t.co/z9BTSeW2E7 https://t.co/VzKbXs4Y1N"
1296477944995614721,2020-08-20 16:03:24,4,0,"Daqui a pouco, às 15h, tem lançamento de um e-book super caprichado com orientações sobre a lida na pandemia. Participem pelo Instagram da Pró-Reitoria de Assuntos Estudantis da UFC: https://t.co/Q42Dbkg5C0 https://t.co/1du6IBwLNx"
1296452248848015366,2020-08-20 14:21:17,6,0,"Compartilhemos =) Em alusão à campanha Agosto Dourado, a Pró-Reitoria de Gestão de Pessoas da UFC lançou uma cartilha sobre aleitamento materno na pandemia, com orientações voltadas à saúde do bebê e da lactante e recomendações para a prevenção de doenças. https://t.co/fBcVc8BKnX https://t.co/N29WAozJf5"
1293239576560009216,2020-08-11 17:35:16,58,7,"É a primeira vez no mundo que uma pesquisa, desenvolvida em parceria com o Departamento de Bioquímica e Biologia Molecular da UFC, utiliza peptídeos sintéticos para tentar bloquear a infecção por coronavírus. Confira detalhes: https://t.co/AudtN6Kws7 https://t.co/Re2A7iPZKf"
1291783870933803008,2020-08-07 17:10:49,7,1,"Saiu a primeira edição de 2020 da ""Revista Aval"", publicação da Pós-Graduação em Avaliação de Políticas Públicas da UFC, com possíveis horizontes para a agenda da avaliação das políticas públicas em saúde no contexto da pandemia da covid-19. Confira: https://t.co/Oi9uslSHEU https://t.co/cF1BnC9c2T"
1290395671388991489,2020-08-03 21:14:37,6,0,"Orientações para uma amamentação adequada, manutenção da amamentação no contexto da pandemia de covid-19 e direitos da mulher que amamenta, entre outros, são assuntos levantados pela Maternidade-Escola na Semana Mundial do Aleitamento Materno. Saiba mais: https://t.co/fzTmNXEKQy https://t.co/kmrZsSD6Yl"
1290348984062619655,2020-08-03 18:09:05,5,1,"Desde o início da pandemia, a Administração Superior da UFC garantiu que criaria todos os mecanismos necessários à inclusão da comunidade estudantil nas atividades de conclusão do semestre 2020.1. Confira a íntegra da nota em nosso portal: https://t.co/iCLJkzo4PO https://t.co/sQchkdGTYB"
1289928824411455490,2020-08-02 14:19:32,130,21,"Cearense de Quixeramobim, ex-aluno de Farmácia da UFC, foi destaque internacional nesta semana com pesquisas sobre o novo coronavírus na Universidade de Oxford. Conversamos com Darlan Cândido e adoramos sua história. Assista! https://t.co/dcj4pyjzUf https://t.co/K2Fyl8K3zI"
1289184689937436675,2020-07-31 13:02:36,10,2,Um estudo mapeou os bairros de Fortaleza com maiores taxas de casos suspeitos ou confirmados da doença e ouviu a opinião das pessoas sobre isolamento social; o outro verificou as principais medidas adotadas pelas instituições religiosas em meio à pandemia https://t.co/mfUGz7GeRp https://t.co/qXgi32Yl5F
1287849676784492545,2020-07-27 20:37:44,10,0,"Utilizada a partir da segunda quinzena de março para receber apenas estudantes que porventura adoecessem por contaminação pelo novo coronavírus, a residência universitária 140, no Campus do Benfica, voltou ao seu funcionamento regular https://t.co/Xk1uPPhVo0 https://t.co/R2JaLmVy4c"
1285277228662759424,2020-07-20 18:15:45,5,0,"Liga Acadêmica em Doenças Estigmatizantes da UFC produz vídeos sobre medidas de autocuidado em hanseníase, para auxiliar pessoas acometidas pela doença a ter uma melhor qualidade de vida durante a pandemia de covid-19. Vale a pena assistir! Confira: https://t.co/V4XbLAbb8h https://t.co/n4Fdb4PNq9"
1285210158352805894,2020-07-20 13:49:14,15,2,"Nesta segunda-feira, começou a entrega dos chips de Internet para estudantes dos campi de Fortaleza, na Reitoria. A ação é parte do Plano de Inclusão Digital da UFC no contexto da pandemia. Veja como está sendo o procedimento: https://t.co/VHlQLiNcVB https://t.co/vWhHUA6Myd"
1284200979878105088,2020-07-17 18:59:07,0,0,"@enoughabastard Oie! É o de graduação? Devido à pandemia, o diploma físico só vai estar disponível para entrega após o retorno presencial das atividades administrativas. Enquanto isso, você pode solicitar a certidão de colação de grau, via SIGAA."
1281571601302028288,2020-07-10 12:50:54,22,1,"Atenção, usuários da Biblioteca Universitária: como mais uma medida para auxiliá-los em face à pandemia, não haverá cobrança de multas na devolução das obras atrasadas, considerando o período de janeiro de 2020 até o retorno das atividades presenciais. https://t.co/y8ehFn9vFy https://t.co/j1njv3mwzP"
1281239520495763459,2020-07-09 14:51:20,23,1,"Pesquisa fresquinha na área de comunicação. Em parceria com a USP, o grupo de pesquisa PraxisJor, da UFC, apresentará no dia 14 os resultados de estudo sobre as condições de trabalho entre profissionais de comunicação durante a pandemia. https://t.co/1NCOUMvA1Q https://t.co/1Rxsv2GhAy"
1280479241235304449,2020-07-07 12:30:15,5,1,"Começa nesta terça-feira (7) mais um ciclo de formações on-line com foco nos servidores docentes da UFC. As atividades fazem parte do Plano de Formação Emergencial, elaborado em resposta à pandemia de covid-19. https://t.co/0oTUyAU1AR https://t.co/qMgOH852ER"
1280473836513890306,2020-07-07 12:08:47,14,1,"Projeto de extensão Rede Surdos – CE, da UFC, produz material informativo sobre a pandemia em libras. A ideia é tornar informações de prevenção e cuidados acessíveis ao público surdo. https://t.co/M2GJsDIFiF https://t.co/mFwrvMdi5C"
1280230385696362503,2020-07-06 20:01:24,4,1,"A UFC promove, durante o mês de julho, atividades de formação on-line, no âmbito do Plano de Formação Emergencial do Programa de Apoio e Acompanhamento Pedagógico (PAAP), elaborado em resposta à pandemia de covid-19. https://t.co/0oTUyAU1AR https://t.co/qwJ44bPSMr"
1279122418280337411,2020-07-03 18:38:44,18,2,"Fisioterapeuta registra em fotos as emoções diárias de quem combate o coronavírus no Hospital Universitário Walter Cantídio. Veja as histórias retratadas pelas lentes de Marília Quinderé, que atua há 4 anos no HU. https://t.co/1ctTF7AtWX https://t.co/8dUdOZlKjU"
1278330118251954176,2020-07-01 14:10:25,9,0,"Hoje tem mais um encontro do LivesJor, iniciativa do Curso de Jornalismo da UFC que tem discutido questões da comunicação em meio à pandemia. A transmissão será pelo Youtube. https://t.co/AcIULFvoKU https://t.co/83nt3hBNVk"
1277779397488058373,2020-06-30 01:42:03,54,2,"NOVA PORTARIA: A Pró-Reitoria de Gestão de Pessoas (PROGEP) da UFC informa que apresentará nova proposta de retorno às atividades administrativas presenciais da Instituição, no contexto da pandemia de covid-19. (+)"
1275159353415393282,2020-06-22 20:10:55,9,4,"O Projeto de extensão Movimento, do Departamento de Fisioterapia da UFC, está atendendo, via telefone, pacientes com dores musculoesqueléticas crônicas durante a pandemia de covid-19. O atendimento é aberto ao público. Saiba mais em https://t.co/yKRrOUdpoh https://t.co/YBRgbcVDzr"
1275146964758380544,2020-06-22 19:21:42,1,0,"@giubatista_ Por enquanto não há previsão, diante do cenário da pandemia de covid-19. Quando os programas lançarem os editais, faremos ampla divulgação."
1272664880148107269,2020-06-15 22:58:47,29,4,"Processo seletivo de inclusão digital inscreve até 21 de junho; 6 mil chips de internet móvel serão distribuídos nos campi da UFC na Capital e no Interior
https://t.co/ujITg19DWg
#ufcevocêcontraocoronavírus https://t.co/b5oKurJoeZ"
1272611683119304705,2020-06-15 19:27:23,22,3,"O novo tipo de exame para covid-19 está em andamento e obteve bons resultados em testes-piloto. Os pesquisadores analisaram a nova metodologia em amostras contendo fragmentos de RNA do novo coronavírus, e os resultados foram os mesmos do RT-qPCRA. https://t.co/4muu6tsalg https://t.co/kDePulwmgX"
