id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1316765777165459457,2020-10-15 15:40:00,3,0,"Nesta sexta, 16, os Seminários Virtuais do PPGCSO/UFJF trazem Eliel Benítes (UFGD) e Elizabeth Pissolato (PPGCSO/UFJF) para discutirem a pandemia de Covid-19 e a questão ambiental no Brasil atual. Às 17h30, no Youtube do grupo. https://t.co/7H1GL9agKD"
1314347342573625346,2020-10-08 23:30:00,7,0,"#UFJFempodcasts
Nossa indicação de hoje é o Memorial Podcast, que debate tópicos da história política brasileira, como o papel do Estado no combate à fome, a proteção de pessoas e acervos em tempos de pandemia, entre outros temas.
 
Ouça: https://t.co/mZ9PZIZ1k4"
1314256746248982528,2020-10-08 17:30:00,15,0,"Espaços com densidade populacional excessiva são mais propensos à disseminação do novo coronavírus. Isso ocorre em ambientes urbanos estruturados e em áreas informais da cidade. Estudo cita Centro, São Mateus, Benfica, Nova Era, São Pedro e mais bairros: https://t.co/bygxEZXESQ"
1313238976258609152,2020-10-05 22:05:45,6,0,"A resolução que orienta sobre a utilização excepcional dos laboratórios de pesquisa durante a pandemia de Covid-19. A discussão da proposta havia sido iniciada na última reunião do Conselho, em 2 de outubro. https://t.co/qrPFkzFOZR"
1313184682427572224,2020-10-05 18:30:00,3,0,"O programa, que incentiva estudantes a se capacitarem como educadores, retomou as atividades adiadas por conta da pandemia. Atualmente o Pibid tem parceria com 12 escolas de Juiz de Fora e 144 bolsistas de 12 cursos de licenciatura.

https://t.co/S39rN1hNa4"
1312002420281675778,2020-10-02 12:12:07,11,1,"Nesta pandemia, com o distanciamento social, a Pró-reitoria de Assistência Estudantil oferece serviços on-line de atendimento psicológico, como plantão e grupo sobre ansiedade. Confira as ações: https://t.co/hywxByQ1NL https://t.co/DYUsxSVvxc"
1311412262771527680,2020-09-30 21:07:02,4,0,"O Na Hora do Lanche desta semana conversa com o diretor Ricardo Cristófaro sobre memórias do Mamm, que completa 15 anos. E veja como o Grupo Divulgação lida com a pandemia, em bate-papo com o diretor José Luiz Ribeiro! 
 
Esta edição é nesta quinta, 15h: https://t.co/9DhAA7tptA https://t.co/MldbsFNPix"
1310625319267831809,2020-09-28 17:00:01,5,1,"Seguimos na luta contra o novo coronavírus! Já realizamos mais de 8 mil testes PCR em tempo real, oriundos do Sistema Único de Saúde de 52 municípios das regionais de saúde de Juiz de Fora e Leopoldina.
 
Veja o relatório semanal: https://t.co/zHBxiFMZvG"
1310603650243452928,2020-09-28 15:33:54,4,1,"Os desafios do ensino remoto impostos pela pandemia são muitos, em especial, para estudantes com deficiência.
 
Pais, professores e colegas de turma podem contribuir com os processos envolvidos. Saiba como nesta segunda, às 16h: https://t.co/vxsbczR19T"
1308494445688631296,2020-09-22 19:52:41,19,5,"Resultados de trabalho colaborativo para enfrentar a pandemia:
 
✅ 11.200 litros de sabonete líquido
✅ 8.930 barras de sabão
✅ 66 instituições sociais atendidas
✅ 5 meses de atividade
 
Para isso, foram doados 1.620 litros de óleo. Obrigada!

https://t.co/3pjg5WpYOR"
1306700569873182729,2020-09-17 21:04:27,28,7,"Boletim mostra que pandemia em JF evolui na contramão de outras regiões do Brasil, com aumento de casos e vidas perdidas

1º/9: 4.873 casos confirmados e 162 mortes
15/9: 5.371 casos (+10,2%) e 187 mortes (+15,4%)

Use máscara, proteja-se! 😷

https://t.co/tOqerDoLkG"
1306683018594127880,2020-09-17 19:54:43,3,0,"Daqui a pouco, às 17h, começa palestra com prof. Grigori Chapiro sobre matemática aplicada e seu uso na sociedade, como em projetos da indústria de petróleo e combate à dengue e ao coronavírus. 

Atividade integra Seminário em Engenharia Computacional: https://t.co/kr40VGVecf"
1306303086336630786,2020-09-16 18:45:00,8,1,"O que a educação ambiental pode nos ensinar em tempos de pandemia? Descubra nesta quarta, em live com a professora Angélica Cosenza, da Faculdade de Educação, às 18h: https://t.co/OS9jlQ87mG https://t.co/ub5grNszvU"
1305963733945118724,2020-09-15 20:16:32,6,1,Agora: conversas abordam desafios da Internet frente a contexto de transformação do uso e desenvolvimento da tecnologia durante a pandemia. Assista: https://t.co/U9JAzrBRZi
1305519429200097280,2020-09-14 14:51:01,4,0,"O uso do nome social pode ser solicitado no ato da matrícula. Nesse período de pandemia, o pedido é feito pelo site da Central de Atendimento. Saiba mais: https://t.co/aIKbLwEv1v"
1303856967811817480,2020-09-10 00:45:00,13,7,"Sabemos bem que JF e GV possuem muita gente talentosa e que a pandemia está afetando particularmente a classe artística.

Por isso, lançamos uma oportunidade para você mostrar o seu talento e ainda concorrer a prêmios em dinheiro. Curtiu?! 

Saiba mais: https://t.co/hnPSmh0fZh"
1303460606297673733,2020-09-08 22:30:00,5,0,"Amanhã, às 15h, vai ao ar o Critt Talk sobre dificuldades enfrentadas por empresas devido à pandemia. Na quinta-feira, às 17h, o Critt Live aborda “Planejamento Estratégico e Gestão da Vida”.
Saiba mais: https://t.co/kdKJ26hf3u https://t.co/rJOd8Gy4dC"
1303334742725722113,2020-09-08 14:09:52,2,0,"Hoje no ""Você na Quarentena"" o bolsista do Pideja, Pedro de Abreu, envia uma mensagem aos alunos da EJA. Podemos conferir também o projeto de Ana Clara, aluna de Farmácia, que dá visibilidade a ONGs e outros projetos que atuam nesse contexto de pandemia. Assista: https://t.co/QtTw7EfpHg"
1301941848425017347,2020-09-04 17:55:00,2,0,"Daqui a pouco tem mais uma edição do Na Hora do Lanche, com o trabalho do Arquivo Central sobre cartilha que orienta o atendimento presencial seguro ao público em tempos de pandemia e o projeto de Destinação Voluntária de Corpos da #UFJFGV. Acompanhe aqui: https://t.co/z8TC95g3r0 https://t.co/60P0SXdMm3"
1301867802995896320,2020-09-04 13:00:46,11,4,"Plataforma que mapeia a evolução da pandemia aponta que a Zona da Mata registrou, em média, 191 novos casos e 5 vidas perdidas por dia na 35º semana epidemiológica, de 23 a 29 de agosto.
https://t.co/lXR3f1mQvK"
1301667540935024641,2020-09-03 23:45:00,7,0,"Documento produzido pelo Centro de Direitos Humanos e Empresas (Homa/UFJF) apontou fragilidades no sistema capitalista global acentuadas na pandemia. Evento é nesta sexta, 4, com profissionais relacionados à diplomacia na América Latina.
https://t.co/R8nTDIdPr2"
1301578808219316224,2020-09-03 17:52:24,9,0,"Logo mais, às 17h, a Apes realiza a live 'Arte e cultura em tempos de pandemia"", com o intuito de pensar caminhos da arte e da cultura no atual momento. Entre os convidados está o professor da UFJF e diretor do Cine-Theatro Central, Cacáudio.
https://t.co/qjx0TT6eFD https://t.co/Cjw15DNDu7"
1300584156288692225,2020-09-01 00:00:01,5,2,"No novo “Você na Quarentena”, conheça projeto voluntário de aulas gratuitas para alunos da rede pública na pandemia. 

Tem também um lembrete de que tudo isso vai passar e que dias melhores podem vir! Assista: https://t.co/dEYjBF6SAD"
1300413590122508288,2020-08-31 12:42:15,8,0,"Nesta edição do Boletim Semanal, você fica sabendo sobre as ações do HU/UFJF no combate à pandemia, o portal com manuscritos de Allan Kardec e outros assuntos.
 
Assista: https://t.co/yRtIEzvY9J"
1298995262682099717,2020-08-27 14:46:19,7,2,"De acordo com a nota, a 34ª semana epidemiológica (15 a 22 de agosto) apresentou o maior número de vidas perdidas para a doença e o 7º maior número de casos desde o início da pandemia. Confira os números: https://t.co/BXbIaeFtqp"
1298379626511626241,2020-08-25 22:00:00,32,1,"Atividades acadêmicas e presenciais permanecem suspensas até 27/11 nos dois campi. 

Medida contribui com as ações municipais e estaduais de cuidado e prevenção contra o novo coronavírus: https://t.co/h8CvjTlNRF"
1297327134030147584,2020-08-23 00:17:46,6,0,"Como o excesso de informações pode influenciar a saúde de idosos? Como desenvolver atividades conforme critérios de biossegurança na pandemia? Esses são dois dos assuntos abordados na nova edição do Boletim Semanal. 📺

Assista: https://t.co/kwGAQXG3f9"
1296952723766743040,2020-08-21 23:30:00,8,1,"Doação de cerca de cem litros de álcool em gel vai beneficiar associações de catadores, igrejas e outras instituições de bairro que está entre os que mais sofrem com os efeitos da pandemia, comparado a outras regiões do município. #UFJFGV  https://t.co/EdReD9VRlg"
1296553629957206017,2020-08-20 21:04:08,6,0,"@_MariLeonel @idkwhere_ Olá, o Pism está mantido. Somente a data foi suspensa devido à pandemia. Neste momento, muitas escolas estão sem aula ou com atividades parciais. Uma data ainda será publicada com orientações sobre a seleção. 🙂"
1295884434516987912,2020-08-19 00:45:00,27,4,"Como fazer intercâmbio em meio à pandemia?
Alunos que saíram do país em 2019 e não conseguiram retornar ou tiveram complicações por conta da pandemia contarão seus relatos, em encontro on-line, nesta quarta, 19, às 18h. Saiba mais: https://t.co/GMAwCZMUnq"
1295835361466228736,2020-08-18 21:30:00,6,0,"Eventos do Critt desta semana trarão os temas “Fasten Vita: uma rede de cooperação entre as universidade para combate à Covid-19” e ""Capacitação em tempos de pandemia"". O Talk é nesta quarta, 19, às 15h, e o Critt Live na quinta, 20, às 17h.
https://t.co/mLC1GIBG0R"
