id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1316426067717115911,2020-10-14 17:10:07,1,0,Nesse período de pandemia uma ação como essa fortaleceu a esperança de novos recursos para o salvamento de incontáveis vidas! Parabéns Ramirio é muito obrigada por ser parte da nossa família! Cuidar do seu futuro é nosso melhor presente! 5️⃣4️⃣🎁🎂🎉🥳❤️👏🏼👏🏼👏🏼👏🏼
1308471984590860290,2020-09-22 18:23:26,4,0,"uma forma de se manter financeiramente durante o período de pandemia, além de controlar a ansiedade e levar alegria para outras pessoas através da sua arte! Temos muito orgulho da nossa casa ser um grande celeiro de talentos!"
1275170294521630725,2020-06-22 20:54:24,36,13,Você conhece o Fabrique (Núcleo de Prototipagem e Design da UFMA)?! Pois saiba que ele é responsável por diversas ações incríveis. Uma delas é a fabricação e distribuição de protetores faciais para os profissionais da saúde neste período de pandemia! 🥰👍🏼❤️ https://t.co/f9PWUKx8ZU
1267872039425236993,2020-06-02 17:33:44,10,0,Nesse período de pandemia que assolou o mundo inteiro os produtos representarão a esperança de novos recursos para o salvamento de incontáveis vidas! ♥️
1259950249684217858,2020-05-11 20:55:22,3,0,enfrentamento da pandemia de  COVID-19.  Os convidados de hoje foram as Atléticas de Chapadinha e Pinheiro. Amanhã tem mais!
1255543794898010115,2020-04-29 17:05:42,46,1,"Excedente também pode ser chamado, viu?! Aliás, muitas mensagens nos chegam perguntando pelo SiSU 2020.2. Informamos que essa é uma determinação que deverá ser tomada pelo MEC, dependendo da situação do nosso país frente à pandemia. A vida em primeiro lugar! https://t.co/nQk3ueih14"
1248278575507177478,2020-04-09 15:56:18,66,17,"A intenção é conseguir mais insumos para ajudar também outras instituições. Parabéns a todos os professores, estudantes de Química/Química Industrial e técnicos de laboratório da UFMA que se uniram nessa empreitada contra o coronavírus. Vocês estão salvando vidas! ❤️"
1245405536247570434,2020-04-01 17:39:53,17,0,A nossa intérprete de libras Janaina Frazão também tem um recadinho pra vocês. Todos contra o coronavírus! ❤️🙏🏼 https://t.co/SJ9UjmUGKN
1244676672181415937,2020-03-30 17:23:38,50,6,"A partir de hoje, todas as informações, dúvidas e novidades sobre o coronavírus você encontra nos nossos destaques do Instagram, na seção “UFMA contra a Covid-19”. Porque informação, prevenção e responsabilidade social também é o nosso legado! https://t.co/O4RTeCpNDR"
1242163386655350786,2020-03-23 18:56:44,7,1,"@cah1pricorniana @FlavioDino Essa ação se enquadra no chamamento do MEC para recursos adicionais para planos contra a COVID-19. 
Todos juntos contra o coronavírus!"
1241075595683004416,2020-03-20 18:54:14,42,6,"Dona UFMA Responde 🗣️

O programa de hoje tira as dúvidas sobre a Portaria GR 190/2020-MR em relação às atividades da UFMA devido ao novo coronavírus. https://t.co/wxcGsRBXVU"
1239716829779709952,2020-03-17 00:54:59,361,66,"NOTA DO ESTAGIÁRIO

O coronavírus é real. Reforce isso com a sua família, amigos e vizinhos. Não subestime e previna-se. Evite aglomerações e ""rolês"" desnecessários. Se nós colaborarmos, trabalharmos juntos, podemos passar por isso sem sofrer tanto quanto em outros lugares."
1239611837186015233,2020-03-16 17:57:47,32,6,"Considerando as orientações da OMS, a evolução do quadro nacional, as discussões do Comitê Operativo de Emergência do MEC e da UFMA, e a necessidade de estabelecer ações de proteção em face aos eventos de proliferação e disseminação do coronavírus (SARS-COV-2 /COVID-19) ++"
1239570149902094338,2020-03-16 15:12:08,1505,297,"NOTA OFICIAL:

Comitê Operativo de Emergência de Crise da UFMA suspende as aulas por 30 dias como prevenção ao coronavírus. 

Mais informações em breve."
1238844443500912649,2020-03-14 15:08:26,28,2,"A reunião com a participação do Hospital Universitário e Diretores de Unidades Administrativas para a formação de Comitê Gestor de Crise, com o intuito de estabelecer o plano de contingência inerente à pandemia do novo Coronavírus (COVID-19)."
1238547367453962244,2020-03-13 19:27:58,19,4,"Infectologista do HU-UFMA traz informações sobre o novo coronavírus https://t.co/YASpXknm8a

Parte 1 https://t.co/hrFSMhiPMZ"
