id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1314196180490809344,2020-10-08 13:29:20,0,0,"👥 Live discute o ser mulher no contexto da pandemia

➡️ Saiba mais: https://t.co/tVFvQdAOlC

#UFMT #mulher #pandemia https://t.co/Qav22rIQqG"
1313941214576640004,2020-10-07 20:36:12,3,1,"🥚🐔 Logo mais às 19h10, você confere mais um episódio do programa O Ovo ou a Galinha.

O tema de hoje é: 
Gripe aviária: uma nova pandemia? 

Não perca! 

➡️ É às 19h10, após o Boletim Redação TVU, no canal 2.1 TV Brasil. https://t.co/sgBLeDXeKZ"
1311660715049017349,2020-10-01 13:34:18,4,1,"📢 Projeto divulga informações sobre pandemia a indígenas

➡️ Saiba mais: https://t.co/MZ9VDJYJM0

#UFMT #extensão #indigenas https://t.co/OIYeYAPYTB"
1309604822052753409,2020-09-25 21:24:55,0,0,"👥 Projeto pesquisa influência da pandemia no estilo de vida

A ação será feita nos Câmpus de Cuiabá, Várzea Grande, Sinop e Araguaia. Para participar, basta responder o questionário online.

➡️ Saiba mais: https://t.co/xpiDexyIdt

#UFMT #pesquisa #pandemia https://t.co/z1OIAjut1b"
1294262268830638080,2020-08-14 13:19:05,4,2,"🧪 Fanut produz solução sanitizante no combate ao coronavírus

➡️ Saiba mais: https://t.co/3OkYmw8Chw

#UFMT #covid19 https://t.co/xijtnuwuIe"
1281976648305434626,2020-07-11 15:40:25,11,1,"🔥🚫 Já está valendo o período proibitivo de queimadas na zona rural de Mato Grosso. A medida visa evitar incêndios de grandes proporções no período de seca e, no contexto de pandemia, diminuir a poluição do ar, https://t.co/VEr4zheXo7"
1280862313705242628,2020-07-08 13:52:27,5,1,"🌏 PET Geografia lança material informativo sobre a pandemia

➡️ Confira na íntegra: https://t.co/Nlfs6d51o4

#UFMT #geografia #pandemia https://t.co/inspBAYUYA"
1276188764751175680,2020-06-25 16:21:26,9,7,"📈 MT pode ficar sem leitos de UTI antes do final do mês

➡️ Saiba mais: https://t.co/fBhpe4fb0O

#UFMT #uti #coronavirus #matogrosso https://t.co/siFtzeWPtm"
1275441036387483656,2020-06-23 14:50:14,4,5,"👥 IPES se articulam para potencializar ações durante pandemia

➡️ Saiba mais: https://t.co/5jUaOusYzE
➡️ Página da UFMT sobre a covid-19: https://t.co/SRHcika9D5

#UFMT #UFR #IFMT #Unemat #covid19 #matogrosso #coronavirus https://t.co/z94WEobUU7"
1273012549676666880,2020-06-16 22:00:17,7,0,"🎭 Procev divulga programação cultural da semana

A cada dia, uma novidade será publicada na plataforma, com o objetivo de manter a relação com o público, durante o período de pandemia.

➡️ Confira: https://t.co/BYE2lae33x

#UFMT #cultura https://t.co/VsohwxW9aH"
1272641121840254978,2020-06-15 21:24:22,7,2,"👥 Congresso da Andifes discute reflexos da pandemia

➡️ Saiba mais: https://t.co/AY2n4FNSty

#UFMT #Andifes #universidade #federal https://t.co/8DzzH18RmQ"
1270004364044894208,2020-06-08 14:46:50,15,11,"📊 Pesquisadores da UFMT apresentam dados sobre Covid-19 em site

➡️ Os dados podem ser acessados pelo site https://t.co/Cw9wawli1q.

➡️ Saiba mais: https://t.co/QHeYJL4CcO
➡️ Página da UFMT sobre a covid-19: https://t.co/SRHcijSyLx

#UFMT #covid19 #matogrosso #coronavirus https://t.co/RT6U6AxmWU"
1266421546677125124,2020-05-29 17:30:00,6,1,"🐾 Em tempos de pandemia, os cuidados com a higiene se estendem até os nossos animais de estimação.

Veja como deixar o seu animalzinho livre de vírus com o Prof. e virologista Daniel Moura de Aguiar, da Faculdade de Medicina #Veterinária da #UFMT.

https://t.co/EBjekNUb63"
1263834832741830657,2020-05-22 14:11:19,9,6,"👶 Projeto debate conscientização das crianças sobre a pandemia

➡️ Saiba mais: https://t.co/sxHrcNABkT
➡️ Página da UFMT sobre a covid-19: https://t.co/SRHcijSyLx

#UFMT #psicologia #infância #coronavirus https://t.co/wyy6gRxVZ8"
1261032473191907329,2020-05-14 20:35:45,5,0,"🇪🇨 Estudante produz vídeo sobre coronavirus no Equador

➡️ Saiba mais: https://t.co/zBTSumwYgF
➡️ Página da UFMT sobre a covid-19: https://t.co/SRHcijSyLx

#UFMT #Equador #história #covid19 https://t.co/5q0ZtGbc3D"
1257715756818718721,2020-05-05 16:56:18,8,2,"👥 Consepe se reúne para discutir flexibilização de componentes curriculares durante pandemia

▶️ A reunião acontecerá de modo virtual e poderá ser acompanhada no canal da TVU no YouTube (https://t.co/AR1GiQMjDB)

➡️ Saiba mais: https://t.co/aHzIHqAziE

#UFMT #aulas #calendário https://t.co/8jBqrHppEO"
1255911432669073408,2020-04-30 17:26:33,4,2,"💬 Conversas Virtuais debatem sobre a saúde mental em tempos de pandemia

▶️ Endereço da Live: https://t.co/x3ge1H6X8s
➡️ Notícia completa: https://t.co/IIGkVh1M4L

#UFMT #saude #mental #covid19 https://t.co/zS2yqsunrl"
1255175588710699010,2020-04-28 16:42:35,2,0,"Errata: onde se lê ""corovírus"" leia-se ""coronavírus""."
1255157140991488001,2020-04-28 15:29:16,15,6,"#Sinop
😷 UFMT realiza testes para diagnóstico do novo corovírus na região norte de Mato Grosso

➡️ Saiba mais: https://t.co/PjS4AP1aF3
➡️ Página da UFMT sobre a covid-19: https://t.co/SRHcijSyLx

#UFMT #teste #coronavirus https://t.co/YAymc8UifV"
1254774191439507458,2020-04-27 14:07:34,3,0,"🍊 Acadêmicos da Fanut produzem ações informativas para evitar a disseminação do novo coronavíus

➡️ Confira na íntegra: https://t.co/Zu13V3WYwv
➡️ Página da UFMT sobre a covid-19: https://t.co/SRHcika9D5

#UFMT #alimentação #saúde https://t.co/MteLtrjgU6"
1254072598285213699,2020-04-25 15:39:41,8,4,"❗️Para que os aprovados não precisem sair de casa em busca da documentação, evitando aglomerações em meio à pandemia de Covid-19, a Secretaria de Tecnologia da Informação (STI) preparou um guia sobre como cada um desses documentos podem ser obtidos virtualmente.

#UFMT #matrícula"
