id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1314665702238949376,2020-10-09 20:35:03,12,0,"UFOP, UFMG, UFV e IFMG publicam em conjunto edital de fomento para projetos interinstitucionais de extensão em interface com a pesquisa para promoção dos objetivos de desenvolvimento sustentável da ONU e de enfrentamento à pandemia de Covid-19: https://t.co/IY0pNb2noi https://t.co/8qCV2u5TsK"
1311993090308272128,2020-10-02 11:35:03,0,0,Podcast Curiá estreia episódios sobre a pandemia de Covid-19 na Rádio UFRJ. A ação é destinada ao público infantil e tem como princípio a educação cidadã: https://t.co/dEYts8OVov https://t.co/a2g54KkLnf
1310951230433361920,2020-09-29 14:35:04,2,1,Pesquisa desenvolvida na UFOP avalia impactos da pandemia na alimentação fora de casa.  O projeto tem como objetivo entender como a pandemia da Covid-19 afetou economicamente o consumo e funcionamento de serviços de alimentação comerciais. https://t.co/8IRdr0pDms https://t.co/B23AqCrdjz
1309126711838212104,2020-09-24 13:45:05,1,0,Podcast “Viva Mais” lança novos episódios sobre o impacto da pandemia na economia brasileira e os avanços nas pesquisas que tentam descobrir a vacina contra o Sars-Cov-2. Saiba onde ouvir: https://t.co/DUr3dpjk8f https://t.co/Ob1mPU3nnv
1309093987878404096,2020-09-24 11:35:03,6,1,"Vilões em tempos de pandemia, mas essenciais para a vida na Terra. Virologistas estimam um nonilhão de vírus no planeta, porém menos de 10% daqueles conhecidos por nós podem fazer mal ao ser humano. Entenda a pesquisa:  https://t.co/q8q2Grqwi5 https://t.co/IVgTk1nIuo"
1308419544784998404,2020-09-22 14:55:03,0,0,O Núcleo de Consultoria e Formação em Mediação de Conflitos de Moradia e Locação (NCM/Prace) divulga um panfleto informativo sobre contratos de locação na pandemia. O projeto faz parte do Programa de Direito e Sociedade.  https://t.co/rm2xe7VPI4 https://t.co/80URYiqP8q
1306238988781486081,2020-09-16 14:30:18,1,0,"A 3° edição do Encontro Nacional de Estudantes de Turismo (Enatur) traz o tema ""A transformação da sociedade e a urgência da inovação no turismo"".  Devido ao cenário de pandemia, a edição deste ano vai ser totalmente on-line. https://t.co/8vPEajQ9mV https://t.co/uQAv44ZC0t"
1305829982548172800,2020-09-15 11:25:03,2,0,"Durante a oferta do período letivo especial e suspensão das aulas presenciais em função da pandemia, DCE divulga canal para atender às demandas dos estudantes: https://t.co/SRe6nCSy3E https://t.co/t52KKuncRD"
1305231034192191496,2020-09-13 19:45:03,2,0,"Tem Abrace em Casa (e on-line) amanhã! Criado em 2019 para abrir espaço permanente de cuidado e acolhimento coletivo da comunidade UFOP, o grupo tem se reunido pelo Google Meet durante a pandemia do novo coronavírus: https://t.co/sc30gFyoMB https://t.co/eQXvff50zY"
1304056834928644097,2020-09-10 13:59:12,0,0,"@bethevitas Olá, @bethevitas! Devido à pandemia, os setores da UFOP estão atendendo remotamente. Aqui estão os horários de atendimento por setor da Prograd: https://t.co/s4WQAQVSwz"
