id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1315774507177725954,2020-10-12 22:01:03,40,16,"""Ecopolítica, necropolítica e resistências em tempo de pandemia"" é o tema da segunda edição do Seminário Internacional América Latina-Caribe, que vai acontecer virtualmente, de 27 a 30 de outubro. Inscrições até dia 20, grátis.

Leia no #PortalUFPA👇🏿
https://t.co/Gh0Ob5YPw7 https://t.co/WHEhV3dbkt"
1314630419925676033,2020-10-09 18:14:51,3,2,"Entrevista| O pró-reitor de Ensino da UFPA, Edmar Costa, avalia os diferentes aspectos da implementação do Ensino Remoto Emergencial e explica quais medidas foram tomadas pela Universidade para possibilitar o ensino, mesmo durante a pandemia: https://t.co/uo1nVIzJLn https://t.co/x03MvFOJGg"
1314629541156053000,2020-10-09 18:11:21,0,0,"Sociedade| Para auxiliar no entendimento da atual pandemia, o Grupo de pesquisa “População, Família e Migração na Amazônia” (Ruma) criou o blog História em Quarentena, em que analisa os efeitos de outras epidemias que ocorreram ao longo da história. Link: https://t.co/vOoQFw7l7h https://t.co/Mcpqh4pveJ"
1311759059834613760,2020-10-01 20:05:05,16,0,"""Nestes tempos de muitas “pandemias”, a Faculdade de Serviço Social da UFPA, por meio da Universidade da Pessoa Idosa – Uniterci - se solidariza e homenageia todos os idosos porque, sem eles, o mundo seria mais cinza!""

Luciano Silva Gomes
Professor e coordenador da Uniterci https://t.co/AIsFYvas2D"
1310338508373057537,2020-09-27 22:00:19,21,3,"Neste domingo, 27, é comemorado o Dia Nacional da Doação de Órgãos. No Hospital Universitário Bettina Ferro de Souza (HUBFS), em meio à pandemia de covid-19, os procedimentos continuaram sendo realizados.

Mais informações no #PortalUFPA⬇️
https://t.co/0Em6FCo4CS https://t.co/3d9F9TXJ51"
1309191072413822977,2020-09-24 18:00:49,7,0,"Como será o futuro das festas literárias após a pandemia? Para discutir essa questão, será realizada a live ""Festas Literárias: Tempo presente, tempo futuro! nesta quinta-feira, 24, às 19h, com transmissão pelo Youtube e Facebook.

Leia no #PortalUFPA↩
https://t.co/UB6EysHIxm https://t.co/Cu0420pdsR"
1308466418501980161,2020-09-22 18:01:18,2,1,"Seguem, até 16 de outubro, as inscrições para a Mostra “As Ciências e a Pandemia de Covid-19″. Universidades, entidades e escolas de todo o país estão convidadas a participar enviando seus vídeos sobre a pandemia no Brasil.

Informações no #PortalUFPA🔽
https://t.co/RNDE8RgFw2 https://t.co/n8uXPg86Pu"
1305506728012926980,2020-09-14 14:00:33,18,1,"“A importância socioeconômica do auxílio emergencial como política fiscal anticíclica em tempos de pandemia” é o título do texto produzido pelos professores de economia André Cutrim Carvalho e David Ferreira Carvalho.

Leia no perfil oficial da UFPA no Facebook.

#UFPAtualidades https://t.co/kbu24LvqIq"
1304177945486012420,2020-09-10 22:00:27,18,4,"Hoje é o Dia Mundial de Prevenção ao Suicídio. Segundo a Organização Mundial de Saúde (OMS), a cada 40 segundos, uma pessoa no mundo comete suicídio. O contexto da pandemia da covid-19 pode agravar esse problema.

Saiba onde buscar ajuda no #PortalUFPA↩
https://t.co/z4B6lKnO9T https://t.co/khIGegl8dT"
1300825942143705089,2020-09-01 16:00:47,28,6,"""A profissão do educador físico mostra-se relevante principalmente nesses tempos de pandemia, pois ensinar práticas saudáveis é importante para enfrentar e superar as limitações e restrições impostas pelo distanciamento social"" 

Mônica Rezende. Faculdade de Educação Fisica/UFPA. https://t.co/syQfu8q065"
1296205483502690316,2020-08-19 22:00:44,10,0,"Participe da live que vai debater o futuro dos eventos que aglomeram pessoas no pós-pandemia, na quinta-feira, dia 20 de agosto, às 19 horas. A live é promovida pela organização da Festa Literária Internacional do Xingu.

Informações no #PortalUFPA🔽
https://t.co/1JqUJ8T4MI https://t.co/jLoWe7Z5aA"
1295480746526887936,2020-08-17 22:00:53,9,3,"A pesquisa “Nível de atividade física, qualidade do sono e capacidade para o trabalho de profissionais de saúde atuantes na linha de frente no combate à pandemia de Covid-19” envolve, nesta etapa, os fisioterapeutas.

Informações no #PortalUFPA↩
https://t.co/Du86U6AK0r https://t.co/ANwdjB3B25"
1294393612529213441,2020-08-14 22:01:00,3,1,"Docentes da educação infantil podem participar da pesquisa ""Alfabetização em Rede: uma investigação sobre o ensino remoto da alfabetização na pandemia Covid-19 e sobre a recepção da Política Nacional de Alfabetização (PNA)"".

Leia no #PortalUFPA⬇️
https://t.co/tRErr6uA5G https://t.co/bbuMrRwgwP"
1294031234612551682,2020-08-13 22:01:02,15,3,"Discentes e docentes da UFPA ainda podem participar da pesquisa que objetiva conhecer as condições e a qualidade de acesso à internet durante a pandemia da Covid-19. A pesquisa está disponível pelo SIGAA.

Informações no #PortalUFPA⬇️
https://t.co/I4cTrB2nta https://t.co/TCVigj2lO1"
1293306319093600258,2020-08-11 22:00:29,19,2,"Hoje é  o #diadoestudante! Na UFPA, são quase 53 mil estudantes, que, mesmo com todas as dificuldades do cenário de pandemia atual, fazem da Universidade um espaço onde a ciência se transforma em prol da demanda da população.❤

Leia no #PortalUFPA👇🏿
https://t.co/i438Guxemk https://t.co/xY0EoDRuKs"
1293276192041316353,2020-08-11 20:00:46,4,0,"Os servidores da #UFPA já podem se inscrever no webinário de capacitação do #Capacit, que vai acontecer no dia 13, quinta-feira, das 15h às 17h, com o tema ""Os principais impactos financeiros ao servidor durante a pandemia”.

Informações no #PortalUFPA⬇️
https://t.co/Y0ubPjXB0O https://t.co/jqrEVXBegi"
1292943978866802689,2020-08-10 22:00:40,5,1,"Com o objetivo de coletar informações sobre como os brasileiros estão utilizando a telemedicina, está sendo realizada a pesquisa ""O uso da telemedicina durante a pandemia da Covid-19 no Brasil"". 

Quer participar?

Saiba como no #PortalUFPA ↩
https://t.co/MvOEozaXHW https://t.co/FQh48nk38j"
1292883671670808582,2020-08-10 18:01:02,43,10,"Gabriel Mansur apresenta matéria sobre pandemias. As discussões sobre o número de mortos e os embates políticos em torno das medidas de prevenção fazem parte das pandemias agora e no passado.

Assista!

Leia a matéria no #BeiradoRio
https://t.co/OTBTV0fcFA

Edição: Renan Tavares https://t.co/SXeKFyoNeu"
1291132173748142081,2020-08-05 22:01:12,13,1,"Participe da pesquisa “A percepção da antissepsia entre estudantes universitários da capital paraense em decorrência da pandemia de Covid-19” e ajude a identificar o autocuidado em relação à importância da higienização das mãos.
Entenda no #PortalUFPA👇🏿 
https://t.co/Al1tjW2BF1 https://t.co/bOUc8qEMb1"
1291022054792130563,2020-08-05 14:43:38,1,0,"A data não serve apenas para celebrar o legado de Oswaldo Cruz, na atual conjuntura da pandemia do novo coronavírus (SARS-Covid-2), serve também como um alerta à saúde pública brasileira,⬇️"
1289259846538113024,2020-07-31 18:01:15,9,1,"Não perca o evento on-line “Os desafios do jornalismo na pandemia”, promovido pela Academia Amazônia, laboratório de telejornalismo experimental da UFPA, de 3 a 7 de agosto, com a presença de vários convidados da área.

Informações no #PortalUFPA⬇️
https://t.co/pqvIggtgcd https://t.co/a0DklVg1FB"
1288595471427080193,2020-07-29 22:01:15,19,3,"Termina, na sexta-feira, 31 de julho, o prazo para submissão de trabalhos para compor o e-book intitulado, provisoriamente, como ""60 dias de isolamento: uma interpretação sobre o Viver e Sentir durante a pandemia"". 

Saiba mais no #PortalUFPA↩
https://t.co/XFRjh8r5au https://t.co/wiec2SpC75"
1288534958739464192,2020-07-29 18:00:48,7,2,"Assista a live “Impactos da pandemia da Covid-19 nas empresas de eventos em Belém e novas tendências de eventos”, nesta quinta-feira, 30 de julho, às15h. O evento vai apresentar um relatório inicial acerca do panorama das empresas

Leia no #PortalUFPA ⬇️
https://t.co/7WkEBIRDGb https://t.co/Cs6B8oEYJk"
1287870566351769600,2020-07-27 22:00:45,46,15,"A Proeg realiza pesquisa, via Sigaa, com discentes e docentes da UFPA para conhecer  condições e qualidade de acesso à internet ao longo da pandemia da Covid-19, além do conhecimento sobre plataformas de ensino por meios virtuais. 

Leia no #PortalUFPA↩
https://t.co/soZ42OTBlD https://t.co/hqJ6mHTQZj"
1287752141675823115,2020-07-27 14:10:10,60,8,"A última reunião extraordinária do Consepe para debater as atividades acadêmicas da UFPA em meio à pandemia da covid-19 não teve caráter deliberativo. Na próxima quinta-feira, 30 de julho, às 14h, o debate terá continuidade.

Informações no #PortalUFPA👇🏿
https://t.co/zL2Ftoeeu9 https://t.co/MKsbGZepFZ"
1286755554145243143,2020-07-24 20:10:05,10,1,"Vídeos produzidos dentro da temática da pandemia de covid-19 podem ser enviados para a Fiocruz e, assim, comporem o acervo ""Olhares sobre a Covid-19"". Inscrições até 31 de julho.

Informações completas no #PortalUFPA ⬇️
https://t.co/u9xwjh8Tpw https://t.co/wN5CxNEPrn"
1286300202232688641,2020-07-23 14:00:41,18,2,"Participe do III Colóquio Nacional de Educação, Políticas e Sociedades. “Políticas, educação do campo e pesquisa na Amazônia: desafios em tempo de pandemia”, a partir do dia 28 de julho, de forma virtual, na página do PPGEDUC/UFPA.

Leia no #PortalUFPA⬇️
https://t.co/2N97kbpGmQ https://t.co/neSBlevmSL"
1284548749235228672,2020-07-18 18:01:02,14,1,"Aproximadamente 165 profissionais de enfermagem dos hospitais Bettina Ferro de Souza e João de Barros Barreto participaram de dois cursos em ambiente virtual para continuar o serviço de capacitação neste momento de pandemia.

Leia no #PortalUFPA⬇️
https://t.co/ZvvKvBXqKW https://t.co/woHt6Vobje"
1282313920083001345,2020-07-12 14:00:37,12,5,"Participe da pesquisa que busca identificar e entender os impactos da crise causada pela pandemia de Covid-19 no consumo de carne e peixes. Qualquer residente dos países da América do Sul com mais de 18 anos pode participar.

Leia no #PortalUFPA👇🏿
https://t.co/XmitoyBIir https://t.co/NYX5sV5g6p"
