id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1316142174485057536,2020-10-13 22:22:01,7,1,Estudo da UFPB analisa estratégias de enfrentamento à desinformação na pandemia https://t.co/FquZgC7Sui
1303469354235895808,2020-09-08 23:04:45,1,0,Jornada da UFPB debate empreendedorismo no pós-pandemia e conhecimento em rede https://t.co/r9c2bZRpZi
1301679514171441153,2020-09-04 00:32:34,4,1,UFPB participa de pesquisa nacional sobre alfabetização remota na pandemia https://t.co/MIm9Y8gUFu
1301328116430839815,2020-09-03 01:16:15,19,4,Estudo da UFPB aponta 19 substâncias naturais com potencial anticoronavírus https://t.co/i1Cij9427C
1300940510857756673,2020-09-01 23:36:02,10,1,Minicurso virtual da UFPB mostra como manter otimismo e planejar carreira na pandemia https://t.co/TvVc5x7uFU
1300636144208678913,2020-09-01 03:26:36,7,1,Contaminação da água pelo novo coronavírus é tema de palestra da UFPB https://t.co/kwMCdkHyKC
1292915234068467712,2020-08-10 20:06:27,0,0,"@SabrynaNicoly05 Sabryna, as matrículas e calendários dos períodos de 2020.1 e 2020.2 permanecem suspensos devido à pandemia do novo coronavírus. Novidades serão divulgadas por meio do site e redes sociais da UFPB e pela imprensa."
1291859827468140544,2020-08-07 22:12:39,1,0,"@m1vitinho Victor, as matrículas e períodos eletivos de 2020.1 e de 2020.2 permanecem suspensos por tempo indeterminado, devido à pandemia do novo coronavírus. Novidades serão divulgadas por meio do site e das redes sociais da UFPB e pela imprensa."
1287909617566195718,2020-07-28 00:35:55,5,0,UFPB propõe que residentes façam teleatendimento durante pandemia https://t.co/18u128J8Gv
1286472158361931776,2020-07-24 01:23:58,9,3,Estudo na UFPB analisa efeitos da pandemia na vida de mães pesquisadoras https://t.co/Ogqe6CZkD3
1285587154165477376,2020-07-21 14:47:17,1,0,"@elisvanborges @cabobrancotv Elisvan, não há atendimento telefônico porque estamos cumprindo distanciamento social na UFPB e estamos trabalhando por teletrabalho devido a pandemia. Você deve entrar em contato por e-mail: diretoria@ccen.ufpb.br"
1284297964006060033,2020-07-18 01:24:30,1,0,"@Josivan63967440 Josivan, já estão em pleno funcionamento. O Hospital Universitário da UFPB possui o menor índice de mortalidade pelo novo coronavírus na Paraíba."
1282812418712899587,2020-07-13 23:01:28,0,0,"@marcusjunior1 Marcus, até então, só ocorreram as pré-matrículas do Sisu 2020.1. As matrículas para início do período letivo permanecem suspensas por tempo indeterminado, devido à pandemia do novo coronavírus."
1282739873808617472,2020-07-13 18:13:12,0,0,"@marcusjunior1 Marcus, as pré-matrículas do Sisu 2020.1 na UFPB ocorreram no primeiro trimestre deste ano. Neste momento, estão sendo realizadas as atividades do calendário suplementar, de modo remoto, devido à pandemia. As matrículas permanecem suspensas por tempo indeterminado."
1281188025284923392,2020-07-09 11:26:43,0,0,"@ceunebuloso Devem aguardar. As matrículas regulares estão suspensas e sem previsão de quando irão ocorrer, devido à pandemia do novo coronavírus. Novidades serão divulgadas por meio dos sites e redes sociais da Pró-reitoria de Graduação e da UFPB e pela imprensa."
1279193809264541697,2020-07-03 23:22:25,7,0,Comitês de solidariedade na UFPB apoiam estudantes afetados pela pandemia https://t.co/D1q5S7fzOt
1278845913331568647,2020-07-03 00:20:00,9,3,Projeto da UFPB apoiará pacientes com deficiência no pós-pandemia https://t.co/ok9Rw2dGCo
1277781700907610114,2020-06-30 01:51:12,4,1,UFPB analisa situação da Educação Infantil paraibana na pandemia https://t.co/9c47mDg1nE
1273792893078122502,2020-06-19 01:41:06,13,1,Pesquisadores da UFPB alertam para vulnerabilidade de crianças e adolescentes nordestinos na pandemia https://t.co/v6HTlqUSGX
1270495503420133378,2020-06-09 23:18:27,0,0,"@GioBezerraR A UFPB ainda não definiu quando terão início os períodos letivos de 2020.1 e de 2020.2, devido à pandemia do novo coronavírus. Novidades serão divulgadas por meio dos sites e redes sociais da Pró-reitoria de Graduação e da UFPB e pela imprensa."
1270438277385007105,2020-06-09 19:31:03,0,0,"@GioBezerraR Olá, Giovanna. Infelizmente devido a pandemia nós ainda não temos datas definidas. O calendário acadêmico continua suspenso e será alterado pela PRG. Não iniciamos 2020.1 então é provável que 2020.2 seja mais próximo do que você está pensando."
1268662423373918210,2020-06-04 21:54:26,1,0,"@cialabr Rai, as matrículas regulares estão suspensas e sem previsão de quando irão ocorrer, devido à pandemia do novo coronavírus. Novidades serão divulgadas por meio dos sites e redes sociais da Pró-reitoria de Graduação e da UFPB e pela imprensa."
1268661649881300993,2020-06-04 21:51:22,22,7,Laboratório da UFPB ganha selo de responsabilidade social por estudos sobre pandemia https://t.co/HyFaJhyOZD
1263962249003184129,2020-05-22 22:37:38,18,2,Pesquisador da UFPB propõe mais planejamento urbano no pós-pandemia https://t.co/xErU70AIfu
1262488117380034560,2020-05-18 20:59:57,18,3,"Novo coronavírus se expandiu na Paraíba pela BR-230, diz pesquisador da UFPB https://t.co/LjNykD8Jkq"
1261401356868485125,2020-05-15 21:01:33,13,1,Pesquisadores da UFPB propõem nova normalidade pós-pandemia https://t.co/FZHLknxlAZ
1260968303364919300,2020-05-14 16:20:45,3,0,"Em live, projeto na UFPB debate artes visuais em tempos de pandemia https://t.co/BdSSnmV6K6"
1259940884428316672,2020-05-11 20:18:10,8,2,UFPB reúne 24 pesquisas promissoras sobre novo coronavírus https://t.co/ysW5bPuRwx
1259923023215329280,2020-05-11 19:07:11,5,0,Programa “Ciência em casa” discute objetivos de desenvolvimento sustentável na pandemia https://t.co/Gk5Xy11w4k
1258884972661874688,2020-05-08 22:22:21,7,2,"Consumo de animais selvagens pode ter dado origem ao novo coronavírus, diz pesquisador da UFPB https://t.co/8MPUnywYO4"
1258434436305207297,2020-05-07 16:32:04,23,2,UFPB atinge 16 das 17 metas do MEC contra novo coronavírus https://t.co/rYaWDqzCe9
1258111810248507393,2020-05-06 19:10:04,3,1,"No instagram, Pós em Desenvolvimento e Meio Ambiente debate estratégias para superar pandemia https://t.co/lT1m8ib67d"
1255197811995541506,2020-04-28 18:10:53,3,0,Professores da UFPB orientam atuação das equipes de atenção básica na pandemia https://t.co/aHTx0SM2HK
1254912099714838529,2020-04-27 23:15:34,5,0,Pesquisadora da UFPB alerta para treinamento das equipes de saúde em pandemias https://t.co/SMWOAvNKvS
1254858275750686725,2020-04-27 19:41:41,4,0,Projeto na UFPB prepara setor de turismo para o pós-pandemia https://t.co/OouWXH12qp
1239677568158236674,2020-03-16 22:18:59,52,25,UFPB suspende aulas presenciais para evitar contaminação do novo coronavírus https://t.co/OQ5aSGy45p
1239283605962186752,2020-03-15 20:13:31,24,10,UFPB cancela eventos e Reitora convoca reunião emergencial para discutir coronavírus https://t.co/Hy9rIqHzT1
1238233138230431745,2020-03-12 22:39:20,6,0,UFPB cria comissão de prevenção ao novo coronavírus https://t.co/fm7BWC2Dv1
1233513349293408262,2020-02-28 22:04:34,6,0,Especialista da UFPB esclarece tudo sobre novo coronavírus segunda (2) https://t.co/zuBdrwXgCx
