id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1310660721877962757,2020-09-28 19:20:41,29,4,Quer saber como estudar na Federal? Projeto da UFPR ensina formas de ingresso e apoia estudantes na pandemia https://t.co/ktHgJNx22v
1310650563097436162,2020-09-28 18:40:19,11,3,“Haverá contraindicação da vacina do coronavírus para gestantes?”: cientistas da UFPR respondem novas dúvidas da sociedade sobre Covid-19 https://t.co/4z3yk6yq5t
1295352063837298688,2020-08-17 13:29:33,12,1,Quer conversar sobre nutrição na pandemia? Projeto da UFPR abre canal on-line de acolhimento às quintas-feiras https://t.co/NI7jcz4q7j
1287798234312781829,2020-07-27 17:13:19,16,1,Sistema criado pelo Laboclima da UFPR alerta sobre tempo que favorece novo coronavírus no Paraná https://t.co/WiMzxDZ1Dn
1287787184444116992,2020-07-27 16:29:25,14,3,UFPR lança edital de fluxo contínuo para empréstimo de computadores a estudantes durante a pandemia https://t.co/kgcfVNKx2B
1282708138299478016,2020-07-13 16:07:06,12,1,Coletividade e reflexões internas: professores de Psicologia e História da UFPR apontam o que pandemia tem a ensinar https://t.co/AhEgLEZdGY
1282011909676466179,2020-07-11 18:00:32,7,0,"@carolibess A data de realização da 1a fase da UFPR, no dia 10 de janeiro, foi definida em maio, portanto, bem antes da divulgação da Fuvest. Como já foi informado, até agosto, o Conselho Universitário se reunirá para confirmar ou postergar a data, de acordo com a evolução da pandemia."
1281628728733335553,2020-07-10 16:37:55,23,3,"Trabalhar de casa durante a pandemia tem causado sobrecarga nos trabalhadores, revela pesquisa da UFPR https://t.co/q3YN4X0Jzf"
1281610646996623360,2020-07-10 15:26:04,25,3,"📢 A Universidade publicou mais um edital de financiamento, com recursos próprios, focado no contexto pós-pandemia!

Desta vez o incentivo é específico para laboratórios de ensino de graduação e de educação profissional

➡️ Para mais detalhes: https://t.co/5zOJWi0Hkt https://t.co/9NoArbRgRY"
1281312432565166081,2020-07-09 19:41:04,15,1,Projeto de extensão divulga materiais online para promover saúde mental durante pandemia https://t.co/nNkZ97xU1G
1281277127988477953,2020-07-09 17:20:46,57,15,"Crise econômica causada pela pandemia será longa e rigorosa como a dos anos 30, aponta relatório feito na UFPR https://t.co/p2CDC3pZoi"
1278829750203617280,2020-07-02 23:15:46,256,39,Hospital de Clínicas da UFPR participa da fase de testes em humanos da vacina contra o coronavírus https://t.co/ub7MFBCgVA
1277752626696814592,2020-06-29 23:55:40,15,6,"Condições de trabalho de entregadores de aplicativos pioram durante pandemia, mostra pesquisa nacional https://t.co/s7JNkISF1L"
1276238561482768392,2020-06-25 19:39:19,14,1,Pesquisador da UFPR cria escala de medo da pandemia do novo coronavírus https://t.co/I8k32QwA1s
1275474314062635011,2020-06-23 17:02:28,45,14,Modelo estatístico adaptado pela UFPR indica Sul e Centro-Oeste como novos epicentros da pandemia no Brasil https://t.co/hDjdKXVUyp
1273737216116826112,2020-06-18 21:59:51,1916,224,"O DNA da UFPR é presencial

A UFPR não adotará a modalidade EAD. Nesse período de suspensão das atividades presenciais na UFPR o que se apresenta como proposta é o ERE – Ensino Remoto Emergencial, como possibilidade de atividades acadêmicas em tempo de pandemia. (segue o fio)"
1272186230772568066,2020-06-14 15:16:48,1,0,"@baddotzmaru A Universidade ainda se reunirá em agosto, para avaliar as condições da pandemia e bater o martelo na data. Fique tranquila 😉"
1271514335924412418,2020-06-12 18:46:55,9,1,Editora UFPR retoma vendas online que haviam sido suspensas devido a pandemia https://t.co/6MzkpHwhSF
1271438488051879936,2020-06-12 13:45:32,8,1,"@laurets___ Miga, a ação dos balões quem faz é a @rpcparana. Neste ano não fizeram por conta da pandemia."
1270767046335356930,2020-06-10 17:17:28,57,15,"Pesquisadores da UFPR utilizam nanotecnologia para desenvolver desinfetante eficaz por mais de 12 horas.
O produto poderá ser usado para substituir o álcool 70 contra o novo coronavírus e demais vírus e bactérias.
 https://t.co/lEZZn9MN1I"
1270382518454366209,2020-06-09 15:49:29,55,10,"Diante da situação muito grave da pandemia no País, é fundamental que as orientações dos organismos de saúde e da ciência sejam seguidas pelas autoridades em todos
os níveis #MarchaPelaVida #FrentePelaVida"
1270376900762963974,2020-06-09 15:27:10,17,1,"""Precisamos reforçar a centralidade do valor VIDA, a centralidade do SUS e a centralidade da ciência para o enfrentamento da pandemia."" Reitor @ricardo_marcelo @SBPCnet #MarchaPelaVida"
1268212559565541377,2020-06-03 16:06:51,8,1,"Rodovias brasileiras podem ser rotas de disseminação do coronavírus, dizem pesquisadores https://t.co/QWJAagtJt7"
1265710944040206337,2020-05-27 18:26:19,7,2,Saiba porque o coronavírus pode não desaparecer e o que fazer para mudar esse quadro https://t.co/yhfdL9ulCF
1263887091580182529,2020-05-22 17:38:59,56,12,Professoras da UFPR lançam livro de passatempos sobre mulheres cientistas no combate ao coronavírus; baixe gratuitamente  https://t.co/HxaChD2hQ5
1263874583888879624,2020-05-22 16:49:17,150,24,UFPR disponibilizará computadores e Internet para estudantes sem acesso digital durante pandemia https://t.co/AoIKRFhoQL
1263520916337831938,2020-05-21 17:23:56,21,10,"Será que o forno de micro-ondas tem o poder de matar o novo coronavirus? 🤔
Poderíamos usá-lo para fazer a assepsia rápida das máscaras, luvas e aventais?🤔

Os cientistas da UFPR respondem essa e outras perguntas da população sobre a Covid-19 👉https://t.co/ywA0KLKBEH https://t.co/KwtDex975g"
1263204812893626368,2020-05-20 20:27:51,1599,373,Aprovado nesta quarta (20/05) o adiamento do Vestibular UFPR 2020/2021 devido às condições decorrentes da pandemia de covid-19. A nova data da prova objetiva fica agendada para o dia 10 de janeiro de 2021. Mais em: https://t.co/TAerK6OH9s https://t.co/pb8KgPoP3k
