id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1306231882871431171,2020-09-16 14:02:04,8,3,Quarta fase do EPICOVID19-BR mostra desaceleração do coronavírus no Brasil https://t.co/dMjnZUHB9p
1306224940706861056,2020-09-16 13:34:29,2,0,UFPel Talks aborda a cultura em tempos de pandemia https://t.co/XDa54vEp78
1304116517441810435,2020-09-10 17:56:21,4,1,Pesquisa da UFPel sugere desaceleração da pandemia no RS https://t.co/jmSYf4kHZA
1303363293260677120,2020-09-08 16:03:19,3,0,Setembro Amarelo em meio à pandemia da COVID-19 https://t.co/b9m2Uj3N5V
1301983775711207427,2020-09-04 20:41:36,0,0,Colóquio do CLC discute práticas pedagógicas e administrativas na pandemia https://t.co/V2BiCAMiLA
1301540600790085632,2020-09-03 15:20:35,1,0,Pesquisa sobre coronavírus no RS inicia oitava etapa nesta sexta (4) https://t.co/MeCE56Rkd2
1299001922595287046,2020-08-27 15:12:47,3,0,"Justiça Curricular em tempos de pandemia será tema de conferência, no dia 2 https://t.co/ALaKhjtR8b"
1298677996535123979,2020-08-26 17:45:37,4,1,UFPel pesquisa impactos da mudança de hábito em relação ao consumo de energia elétrica residencial durante a pandemia https://t.co/XaFe6gfG56
1298644333948739585,2020-08-26 15:31:51,1,0,UFPel Talks discute os desafios do ensino universitário em tempos de pandemia https://t.co/HVmrIH1fti
1297925927578599425,2020-08-24 15:57:10,10,3,Pesquisa avalia alimentação e exercícios físicos na pandemia https://t.co/kwMj1BOxZH
1296423123357782018,2020-08-20 12:25:33,1,0,FaE integra pesquisa nacional sobre ensino remoto e a Política Nacional de Alfabetização (PNA) durante a pandemia https://t.co/ddCHU6G7Ih
1296418391457234944,2020-08-20 12:06:45,0,0,FaE integra organização do Seminário Virtual de Filosofia &amp; Educação: Tempos de pandemia e seus impactos https://t.co/b2FR6AZ0aH
1295729508423798784,2020-08-18 14:29:22,15,2,Estudo da UFPel avaliou os efeitos da pandemia na saúde física e mental dos gaúchos https://t.co/vrc1tW1XDM
1295699289373650944,2020-08-18 12:29:18,0,0,Transformações na comercialização e consumo de alimentos na pandemia é tema de debate https://t.co/PmWfJ6Ky62
1295381442407604226,2020-08-17 15:26:17,5,2,O Físico quer saber discute como os físicos têm atuado na pandemia https://t.co/Y9UYmr1Ckd
1292850821303083011,2020-08-10 15:50:30,0,0,Docentes da Psicologia falam sobre relação de pais e filhos na pandemia https://t.co/2BXi1H5Fbb
1292848012570525696,2020-08-10 15:39:20,7,0,Pesquisa sobre coronavírus entra na sétima etapa de testes em nove cidades do RS https://t.co/avKn3vUpaK
1291075421895786498,2020-08-05 18:15:42,1,0,Estudo investiga impactos da pandemia nas empresas de esporte e atividade física https://t.co/47SIPdV1Cv
