id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1312095741368766464,2020-10-02 18:22:56,0,0,"A campanha UFSB Solidária: Na luta contra o coronavírus quer arrecadar recursos para socorrer comunidades e grupos mais vulneráveis durante a pandemia. 
Contribua: https://t.co/iaaMcKIJCT https://t.co/Z4GqcOi4Am"
1311678239417479169,2020-10-01 14:43:56,1,0,"Comitê Emergencial divulgou 27º boletim semanal sobre a pandemia de Covid-19 no Sul da Bahia.
&gt;&gt;&gt; https://t.co/hF2H8HzyjW https://t.co/7fXcenJrby"
1311636982007824384,2020-10-01 12:00:00,1,0,"A campanha UFSB Solidária: Na luta contra o coronavírus quer arrecadar recursos para socorrer comunidades e grupos mais vulneráveis durante a pandemia. 
Contribua: https://t.co/iaaMcKIJCT https://t.co/heE04eP9v5"
1310948419104641024,2020-09-29 14:23:54,0,0,"A campanha UFSB Solidária: Na luta contra o coronavírus quer arrecadar recursos para socorrer comunidades e grupos mais vulneráveis durante a pandemia. 
Contribua: https://t.co/iaaMcKIJCT https://t.co/zW0Zs9rJCa"
1308874100673253376,2020-09-23 21:01:17,1,1,"Comitê Emergencial avalia situação no 26º boletim semanal sobre novo coronavírus no Sul da Bahia.
&gt;&gt;&gt; https://t.co/oFYMqC1URc https://t.co/bRLmj3nrrn"
1306231369496801281,2020-09-16 14:00:01,0,0,"Comitê Emergencial divulgou o 25º boletim semanal sobre a pandemia de covid-19 no Sul da Bahia. 
&gt;&gt;&gt;https://t.co/atImVy92Ip https://t.co/N7NXcI0H2e"
1300927634206076928,2020-09-01 22:44:52,2,0,"Publicada a 23ª edição do boletim semanal elaborado pela equipe do Comitê Emergencial da UFSB. Os dados se referem à pandemia de covid-19 no Sul da Bahia no período observado de 22 a 28 de agosto de 2020.
&gt;&gt;&gt;https://t.co/EkUFcVZ4yr https://t.co/KUcXKzH8UF"
1300508657562472449,2020-08-31 19:00:00,2,0,"A campanha UFSB Solidária: Na luta contra o coronavírus quer arrecadar recursos para socorrer comunidades e grupos mais vulneráveis durante a pandemia. 
Contribua: https://t.co/iaaMcKr8ej https://t.co/32ENtX7IrM"
1300501106234097666,2020-08-31 18:30:00,2,0,Pró-Reitoria de Extensão e Cultura lança programa para divulgar ações de extensão durante a pandemia. Saiba mais sobre a iniciativa e visite o site &gt;&gt;&gt;https://t.co/OVzi50TEn2 https://t.co/VvvlBscCLK
1298372077750308866,2020-08-25 21:30:00,3,0,"Pró-Reitoria de Extensão e Cultura lança programa para divulgar ações de extensão durante a pandemia.
&gt;&gt;&gt;https://t.co/ehE15qJf2k https://t.co/mZxv1TESqP"
