id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1317077528067084288,2020-10-16 12:18:47,1,1,Nutricionista do HU/UFSC explica como enfrentar risco de obesidade durante a pandemia https://t.co/9xnUYFGDQf
1316739912603967488,2020-10-15 13:57:13,9,3,"Aos mestres, com carinho: relatos sobre a arte de ensinar e os desafios da docência em tempos de pandemia https://t.co/RC7erJ66iK"
1313526498553483272,2020-10-06 17:08:16,4,4,"Palestra sobre direitos humanos durante a pandemia nas Américas, dia 19 de outubro https://t.co/XLoenqYGe3"
1311758982101561348,2020-10-01 20:04:47,3,1,Câmara de Pós-Graduação aprova ingresso excepcional no mestrado durante pandemia https://t.co/Tf1y0yBq14
1311677848424460288,2020-10-01 14:42:23,3,2,Grupo reflexivo trabalha experiências vivenciadas durante a pandemia https://t.co/V22QWZXeTn
1311676640234270721,2020-10-01 14:37:35,6,1,Colações de grau on-line são alternativa às formaturas presenciais durante a pandemia https://t.co/UbgmehVs9v
1311636529295523840,2020-10-01 11:58:12,3,3,Série de vídeos apresenta informações didáticas sobre coronavírus https://t.co/ilG77WneaW
1311378597597282310,2020-09-30 18:53:16,6,1,UFSC lança cartilha com serviços de apoio disponíveis aos estudantes durante a pandemia https://t.co/fBNJvglytD
1310584300581072900,2020-09-28 14:17:01,3,2,Projeto Acolhe CED realiza encontro virtual sobre Corporeidade e pandemia https://t.co/99s2GikPXl
1309095053621592074,2020-09-24 11:39:17,3,1,Live 'Conversas sobre direitos humanos' discute migrações e refúgios em tempos de pandemia https://t.co/46CwRWN96N
1306641825298616320,2020-09-17 17:11:02,4,2,'A internacionalização da UFSC em tempos de pandemia' é tema de roda de conversa nesta sexta https://t.co/tzEw9oz8qV
1306326965125820416,2020-09-16 20:19:53,5,2,Artigo do Necat avalia efeitos da pandemia sobre o mercado de trabalho de SC https://t.co/rU8HAUlyAb
