id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1316846307655315456,2020-10-15 21:00:00,5,0,"Como #professores de anos iniciais ou de universidades precisaram se adequar às novas mudanças impostas pela #pandemia? Quais alternativas encontradas para envolver, motivar e propiciar o desenvolvimento dos #estudantes, mesmo que à distância?

Confira em https://t.co/dE8p2gK1CB."
1314626837667098624,2020-10-09 18:00:37,13,2,"🧘‍♀ O projeto Esporte Universitário da #UFSM está ofertando atividades #online durante o período de isolamento social! 🕺

➡ Interessados(as) devem entrar em contato com os(as) monitores(as) da modalidade escolhida, via e-mail ou Instagram.

#SouUFSM #coronavírus #esporte https://t.co/I8fKcYzUYR"
1313554624704520192,2020-10-06 19:00:01,7,3,"👨🏾‍💻 Saiba as consequências do teletrabalho e do ensino à distância durante a #pandemia na matéria da @RevistaArco.

📖 Leia em https://t.co/Ab4fiRE8UI.

#UFSM #SouUFSM #coronavírus #EaD #covid19 https://t.co/vokUNerVWH"
1313162033613860865,2020-10-05 17:00:00,8,2,"🗣 Amanhã, terça-feira (06), a #UFSM realizará uma #live com a temática “Dependência de #internet em tempos de #pandemia”. 📱

➡ Será às 20h, pelo #YouTube e #Facebook da COVIDpsiq. Não perca! https://t.co/vuy17KvgDZ"
1311281139865268232,2020-09-30 12:26:00,5,1,"🤔 Você sabe quais cuidados deve adotar para acessar os prédios da #UFSM, sem portaria, durante a #pandemia?

👉 O projeto de extensão Saúde em Conto produziu um vídeo com medidas preventivas e previstas no Manual de Biossegurança da UFSM. 

+ Infos em https://t.co/ttcIF6jPFD. https://t.co/ZLQDawtLaG"
1308043303741460480,2020-09-21 14:00:00,6,1,"💧 Você sabe como se proteger ao utilizar bebedouros e garrafas d'água durante a #pandemia? 

👉 O projeto de extensão Saúde em Conto preparou um video com dicas e cuidados de como se prevenir da #Covid19 quando for beber #água. Confira! 📼 https://t.co/djV58LWbnV"
1307303435717361664,2020-09-19 13:00:02,4,1,"🤔 Você sabe como agir em #elevadores para evitar o contágio por #coronavírus? 
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
😷 O projeto Saúde em Conto preparou diversos materiais com #dicas, cuidados e formas de #prevenção em diferentes situações do cotidiano. Confira! 👀 https://t.co/Sx434I2r1G"
1305521686796791809,2020-09-14 15:00:00,7,1,"📝 A 3ª etapa da #pesquisa CovidPsiq já está disponível para quem participou das fases anteriores e também para novos(as) participantes. 

📡 O projeto também conta com lives no #Youtube e #Facebook sobre #SaúdeMental na pandemia. 

+ Infos em https://t.co/Gv8zEinH4m. https://t.co/FIttmAuM5Y"
1303777696531378176,2020-09-09 19:30:00,1,0,"🎤 O último #espetáculo do projeto CC Palco Online, ""Dançando na noite: um casal e uma pandemia"", será apresentado hoje, quarta-feira(09), às 20h, com transmissão ao vivo, pelo canal da TV Campus UFSM no #Youtube. 

+ Infos em https://t.co/7E0gd8VfnV https://t.co/7WwDGCji1y"
1303748754772652034,2020-09-09 17:35:00,8,5,"🐶 Visando preservar a vida dos animais e dos seus donos, profissionais do Hospital Veterinário Universitário da #UFSM criaram o #DisquePet COVID-19. 

☎️ O canal de atendimento busca esclarecer dúvidas sobre o novo #coronavírus nos animais.

+ Infos em https://t.co/s4CYrThMOI."
1303392658874757121,2020-09-08 18:00:00,4,1,"💉 A ansiedade por uma #vacina que coloque fim a pandemia de #Covid19 tem tomado conta de todo o planeta. 

🧐 Mas, afinal, você sabe como funciona as pesquisas para a criação de uma vacina? 

🔎 Descubra na matéria da @RevistaArco, disponível em https://t.co/FP3ptmhKjh. https://t.co/9BXthSDFkj"
1303332270531473416,2020-09-08 14:00:02,0,2,"🤷🏽‍♀️ Você sabe como agir em #bares ou #restaurantes para evitar o contágio por #coronavírus? 
⠀⠀⠀⠀⠀⠀⠀⠀⠀
😷 O projeto Saúde em Conto preparou uma série de materiais com dicas, cuidados e formas de #prevenção em diferentes situações do cotidiano. Confira! https://t.co/LtSzwCgi5k"
1301173039082557440,2020-09-02 15:00:01,5,1,"Amanhã, quinta-feira (03), a @AUGMoficial promove o webinar “#Comunicação e divulgação científica em tempos de #pandemia”, com especialistas de universidades da #AméricaDoSul. 🇦🇷🇵🇾🇺🇾🇧🇷

🤳 Participe pelo Zoom ou pelo canal da AUGM no #YouTube.

+Infos em https://t.co/kzEpW5k4Tm. https://t.co/PoNEkwcpS9"
1300863494401785856,2020-09-01 18:30:00,5,0,"💭 Iniciando a programação do #SetembroAmarelo na #UFSM, o projeto COVID Psiq nos convida a falar sobre #Luto e perda no contexto da #pandemia. 
⠀⠀⠀⠀⠀⠀⠀⠀⠀
🗓️  Quando: Hoje (1º de setembro), às 20h
📍  Onde: No https://t.co/KLWq3d9krf.

#SaúdeMental #PrecisamosFalar https://t.co/8CEMckpMtC"
1300825633560432640,2020-09-01 15:59:33,1,0,"@angelapauletti_ Olá, @angelapauletti_! Tudo bem? 😀

Nossos doguinhos estão sendo bem cuidados pelos participantes do Projeto Zelo e, como a gente, os bichinhos estão com saudades do movimento de estudantes que se tinha antes da pandemia. 😊💙🧡 https://t.co/c0k5p2aO5z"
1298986493814247425,2020-08-27 14:11:28,2,0,"💬 Acesse https://t.co/VTnRFWbV6D e saiba mais!

#FiqueEmCasa #UFSM #SouUFSM #pandemia #Coronavírus #dicas #saúde

[7/7] https://t.co/ilV4N9SEUx"
1298986490173599755,2020-08-27 14:11:27,3,0,"💬 Acesse https://t.co/VTnRFWbV6D e saiba mais!

#FiqueEmCasa #UFSM #SouUFSM #pandemia #Coronavírus #dicas #saúde

[6/7] https://t.co/6J0tNU5PPm"
1298986486465929216,2020-08-27 14:11:27,1,0,"💬 Acesse https://t.co/VTnRFWbV6D e saiba mais!

#FiqueEmCasa #UFSM #SouUFSM #pandemia #Coronavírus #dicas #saúde

[5/7] https://t.co/8vlUGlckf5"
1298986481952776192,2020-08-27 14:11:25,1,0,"💬 Acesse https://t.co/VTnRFWbV6D e saiba mais!

#FiqueEmCasa #UFSM #SouUFSM #pandemia #Coronavírus #dicas #saúde

[4/7] https://t.co/NW3OpDPiwB"
1298986477863317511,2020-08-27 14:11:24,1,0,"💬 Acesse https://t.co/VTnRFWbV6D e saiba mais!

#FiqueEmCasa #UFSM #SouUFSM #pandemia #Coronavírus #dicas #saúde

[3/7] https://t.co/FGrGgIiQzf"
1298986474164035584,2020-08-27 14:11:24,1,0,"💬 Acesse https://t.co/VTnRFWbV6D e saiba mais!

#FiqueEmCasa #UFSM #SouUFSM #pandemia #Coronavírus #dicas #saúde

[2/7] https://t.co/UZoexbXoik"
1298986470779232258,2020-08-27 14:11:23,8,1,"😷 Diante da #pandemia do #coronavírus, a indicação dos órgãos de saúde é que as pessoas evitem sair de casa, permanecendo em quarentena voluntária.

➡ A psicóloga da #UFSM/FW reuniu dicas para enfrentar esse período de isolamento social, segue o fio!

[1/7] https://t.co/w4U3akQOzK"
1295412575291625473,2020-08-17 17:30:00,3,1,"📖 O Centro de Educação da #UFSM lançará #livro que estimula o diálogo com as crianças no “novo normal” da #pandemia de #Coronavírus.

+Infos: https://t.co/YEH0tcKJBK. https://t.co/lCQGp78H1n"
1295397475805609984,2020-08-17 16:30:00,8,3,"📣 Na última semana foi lançado o Manual de Biossegurança da #UFSM, destinado à comunidade acadêmica da Instituição durante a #pandemia de #COVID19. 😷

💬 Confira em https://t.co/KLsKmGYRe1.

#Coronavírus #FiqueEmCasa #SouUFSM"
1294008323704938496,2020-08-13 20:30:00,6,1,"🎭 O CAL conta com cursos que dependem muito do fator presencial para seguirem sua grade curricular.

💬 Confira em https://t.co/uJqsnU9vlS como estudantes e professores(as) das #artes da #UFSM estão trabalhando, mesmo com o obstáculo da #pandemia causada pelo novo #coronavírus. https://t.co/WUb3GsCGvd"
1293956143979560962,2020-08-13 17:02:39,1,1,"🖥 Acompanhe agora, ao vivo, a webinar “O papel do professor no contexto da #pandemia”. 😉

📱 Acesse https://t.co/A6QDtpQxQB.

#UFSM #FiqueEmCasa #COVID19 #UFSMemREDE"
1293600637079281664,2020-08-12 17:30:00,5,2,"🖥 A #UFSM promoverá amanhã, quinta-feira (13), a webinar “O papel do professor no contexto da #pandemia”.

📍 O evento ocorrerá às 14h, com transmissão via Farol (https://t.co/5NB13GuhmO). Não perca!

#60anosUFSM #UFSMemREDE #COVID19 #FiqueEmCasa https://t.co/J20CfKZNWO"
