id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1306709449386668037,2020-09-17 21:39:44,19,3,"Em 2020, a consulta eleitoral acontece hoje, 17 de setembro, das 10h às 23h59. A novidade deste ano é que será virtual e remota, devido a pandemia de Covid-19.
Para votar, seu e-mail institucional deve estar regularizado. https://t.co/JGHByed5Qc"
1306654546618388482,2020-09-17 18:01:35,4,0,"#CIÊNCIA

Em artigo publicado no especial ""Novos Talentos da América"", pesquisadores da UFU, USP e Unicamp apresentam as implicações dos metalofármacos frente ao novo coronavírus. (Imagem: Trecho de resumo gráfico de Fernando Bergamini)

Leia: https://t.co/OZi1aoy6PI https://t.co/WAeXovsjqC"
1306643494392467456,2020-09-17 17:17:39,66,17,"Alunos e servidores da UFU escolhem reitor e vice! Devido à pandemia de Covid-19 votação é remota e on-line.
Já votou? Ainda dá tempo!
Confira: https://t.co/DKHrznYCu4 https://t.co/AkVHwuxm9h"
1301943567405985792,2020-09-04 18:01:50,8,2,"#CIÊNCIA

Pesquisadores da UFU analisaram o impacto da abertura das atividades comerciais em Uberlândia em diferentes momentos da pandemia, influência importante para o aumento dos números de óbitos e de testes positivos na cidade.

Leia mais: https://t.co/GHWuuUlep6 https://t.co/mMBoCGKSLW"
1301934216909918210,2020-09-04 17:24:40,3,0,"Confira mensagem de esclarecimento da UFU sobre o trabalho realizado pelo Hospital de Clínicas durante a pandemia:

https://t.co/GjP1zjHKoV https://t.co/vsxp0iBWlD"
1299346563060371456,2020-08-28 14:02:15,4,0,"Impacto da Covid-19 em Uberlândia é tema de estudo publicado pela UFU! Painel de Informações Municipais 2020 destaca influência da pandemia em setores como: demografia, saúde, trabalho, crédito bancário, preços e finanças públicas.
Confira: https://t.co/K9etwaYNcU https://t.co/GmO5PglSaU"
1299074670696845314,2020-08-27 20:01:51,1,0,"UFU publica Protocolo de Segurança Covid-19. Documento apresenta orientações sobre o novo coronavírus para a comunidade acadêmica.
Confira: https://t.co/abei79j3Ci https://t.co/xEHasNCfx7"
1298289393279676418,2020-08-25 16:01:27,11,2,"#CIÊNCIA

Um artigo publicado por cientistas do Laboratório de Virologia da UFU, na revista Frontiers in Microbiology, traz uma seleção de substâncias que já apresentaram atividades contra coronavírus humanos e animais. 

Leia mais: https://t.co/LVJHcRVNa2 https://t.co/HipV0eDFHh"
1295722565353209859,2020-08-18 14:01:47,6,0,"Consulta eleitoral da UFU para escolha de reitor e vice-reitor será remota e on-line. Medida é inédita e foi adotada devido à pandemia da Covid-19!
Confira: https://t.co/aLZufuafyw https://t.co/wdhFvOYB10"
1292053437048328193,2020-08-08 11:01:59,18,2,"#CIÊNCIA

Ainda no começo da pandemia de Covid-19, um grupo de pesquisadores da UFU começou a estudar o genoma do novo coronavírus. O estudo virou notícia em 24 sites internacionais por ter apontado uma particularidade do novo coronavírus.

Leia mais: https://t.co/7EKOPklrRr https://t.co/DWuxb7T5rM"
1291404024751763458,2020-08-06 16:01:27,4,0,"#CIÊNCIA

O objetivo da campanha ‘Heróis da Ciência’ é humanizar a produção científica brasileira, mostrar os impactos da pandemia de Covid-19 no cotidiano dos pesquisadores e divulgar a ciência para combater a desinformação na internet.

Leia mais: https://t.co/81JeZl3o8F https://t.co/oM1c6SWojF"
1288881677276676097,2020-07-30 16:58:32,2,0,"@Sorriasophiaf @larramooos Não há como saber, depende do cenário do nosso país frente a pandemia"
1286693015113871363,2020-07-24 16:01:35,12,5,"#CIÊNCIA

A pesquisa sobre o sequenciamento de 427 genomas do novo coronavírus foi publicada na revista Science nesta quinta-feira (23/07).

A cientista da UFU que integra o estudo é a mestranda Giulia M. Ferreira.

Leia mais: https://t.co/5trdqYy17n https://t.co/TuJEVauzoz"
1276267456294723586,2020-06-25 21:34:08,12,0,"#UFUContraOCorona

UFU divulga Relatório de Ações de Transição COVID-19. Documento apresenta resultado da pesquisa com a comunidade universitária e diretrizes para a universidade no período de pandemia.

Saiba mais:
https://t.co/Y9DNGehBcw https://t.co/LtlbM0tjaa"
1276217763351183361,2020-06-25 18:16:40,1,0,"Estes/UFU realiza pesquisa sobre situação dos estudantes durante pandemia!
O objetivo é aprimorar o planejamento das ações que, possivelmente, serão implementadas durante o período de isolamento social.
Confira: https://t.co/3QapwDM7Hw https://t.co/olbUz4ADJg"
1275821312452280331,2020-06-24 16:01:19,6,1,"#CIÊNCIA

As queimadas urbanas que incomodam, poluem e destroem matas, podem causar problemas de saúde como intoxicação, desordens cardiovasculares etc., e podem influenciar em uma piora nos pacientes com coronavírus.

Leia mais no Comunica UFU: https://t.co/4W6o8xHrDA https://t.co/2iPjiEZ7XY"
1272568172013670401,2020-06-15 16:34:30,9,1,"#CIÊNCIA

Especialistas da UFU explicam os efeitos para o corpo das substâncias usadas nos tubos de desinfecção, que estão sendo instalados pelo país. Além disso, reforçam o isolamento social para conter o avanço do coronavírus.

Mais no Comunica UFU: https://t.co/qmcfDOL2D0 https://t.co/8Ba8elEfkN"
1272529978870190081,2020-06-15 14:02:44,20,5,"UFU debate medidas de enfrentamento à Covid-19!
Impacto da pandemia e as perspectivas para a instituição estarão em pauta na edição especial do Jornal da UFU em 16 de junho. Atividade compõe iniciativa I Congresso da Andifes.
Confira: https://t.co/VVEEmcdLHt https://t.co/TbEY8COZb1"
1270023042962534400,2020-06-08 16:01:03,19,3,"#CIÊNCIA

O Laboratório Analítico em Paleontologia da UFU está oferecendo dois cursos de extensão para esse período de pandemia: “Paleontologia e o ensino de ciências” e “Paleontologia e Macroevolução”. 

Mais informações no Comunica UFU: https://t.co/czPyelRz3h https://t.co/8rGfx3QzOK"
1268588624200769536,2020-06-04 17:01:11,12,5,"Programa Virtual de Formação realiza série de eventos on-line
Primeira live acontece nesta quinta, 04/06, e traz para debate os impactos da pandemia em temas relacionados ao gênero e sexualidade
Confira: https://t.co/cAnPTNPSie https://t.co/sNBx4DkhJY"
1267866258143404038,2020-06-02 17:10:46,6,3,"#CIÊNCIA

A Liga Nacional dos Acadêmicos em Biotecnologia está realizando debates on-line com especialistas em biotecnologia  para discutir sobre a importância dessa ciência no enfrentamento à pandemia da Covid-19.

Leia mais no Comunica UFU: https://t.co/S5jBi0xHAt https://t.co/oI0OZVKUK9"
1266701327285080065,2020-05-30 12:01:45,0,1,"#INOVAÇÃO

Amanhã é o último dia de inscrições para Desafio Inovação UFU Covid-19. Sua ideia para lidar com a pandemia de coronavírus pode ser premiada. 

Saiba mais: https://t.co/xok3aXdb5J https://t.co/NsWkhcEzsS"
1266429451052744706,2020-05-29 18:01:24,2,0,"Entidades da sociedade civil lançam Frente pela Vida!
Movimento resgata valores fundamentais para o enfrentamento da pandemia, como vida, saúde, solidariedade, meio ambiente, democracia, ciência e educação.
Confira: https://t.co/Rdjz1qKrXN https://t.co/87mAAtHipt"
1266323828474556421,2020-05-29 11:01:42,3,0,"#CIÊNCIA

A Coluna de maio fala sobre questões de gênero, desafios e divulgação da ciência. Tem aplicativo que evita o atendimento ginecológico em meio a pandemia, indicação de leitura, podcast e muito mais!

Leia em: https://t.co/kLpsbVaiar https://t.co/JGvptkPPxy"
1264919513767837696,2020-05-25 14:01:27,4,2,"Novo canal de orientação sobre a Covid-19: a partir de hoje, 25/05, população poderá tirar dúvidas e receber instruções relacionadas à pandemia. 
Atendimento será feito por estudantes de Medicina, via telefone.
Confira: https://t.co/8duGYUSh5F https://t.co/OalrCzGHac"
1264874280833220608,2020-05-25 11:01:43,4,1,"#INOVAÇÃO

Última semana de inscrições para Desafio Inovação UFU Covid-19. Sua ideia para lidar com a pandemia de coronavírus pode ser premiada. 

Saiba mais: https://t.co/xok3aXdb5J https://t.co/EwErbTbOjW"
1263862484156416002,2020-05-22 16:01:12,10,1,"#CIÊNCIA

June Almeida não cursou uma faculdade, mas escreveu artigos e fez descobertas. Foi em 1964, avaliando a amostra de um garoto com resfriado, que ela mostrou ao mundo a primeira foto de um coronavírus humano.

Veja na seção Leia Cientistas: https://t.co/KNAZrurse7 https://t.co/FRsVaDAvp8"
1263505068101378048,2020-05-21 16:20:57,9,3,"#CIÊNCIA

O que a pandemia de 1918 pode nos ensinar hoje? Quais questões ela
coloca para pensarmos sobre o novo coronavírus? O historiador Jean Abreu, da UFU, responde a essas questões pelo ponto de vista da história.

Confira na seção Leia Cientistas: https://t.co/Ki7cXU0gYA https://t.co/rWN4BuDQCC"
1262474557761429505,2020-05-18 20:06:04,5,2,"A iniciativa do Webnário 'Trabalho, saneamento e demografia em tempos de pandemia' é do Centro de Estudos, Pesquisas e Projetos Econômico-sociais (Cepes/UFU). 
Link para acesso: https://t.co/Hc73VaQNPr 
Mais informações: https://t.co/Yzs6wuDRdf https://t.co/xCnFgvg4AD"
1262413127007821825,2020-05-18 16:01:58,9,0,"#CIÊNCIA

O Grupo de Pesquisa em Sistemas Complexos, em parceria com o Laboratório de Análise Numérica e Dinâmica dos Fluidos Computacional, ambos da UFU, emite nota informativa para a população sobre a pandemia.

Veja na seção Leia Cientistas: https://t.co/gvjEJyUa5o https://t.co/fQhX1dH4bB"
1262352448850726917,2020-05-18 12:00:51,7,1,"Cuidados com a pressão arterial devem ser redobrados em tempos de pandemia. É preciso ficar atento a sintomas como dor no peito, falta de ar e sudorese.
Confira: https://t.co/etLZqk3W5K https://t.co/7QnFxtKzam"
1261687935935696904,2020-05-16 16:00:19,39,3,"#CIÊNCIA

Isabela Lima foi selecionada para receber uma bolsa emergencial oferecida a quem trabalha no combate à pandemia de Covid-19. Ela integra a equipe de criação de um sensor eletroquímico para diagnósticos de Covid-19.

Acesse Comunica UFU: https://t.co/A7MIh4SWIU https://t.co/ZYsqQHRGkW"
1261627640605179904,2020-05-16 12:00:44,14,4,"#INOVAÇÃO

Inscrições abertas para Desafio Inovação UFU Covid-19. Sua ideia para lidar com a pandemia de coronavírus pode ser premiada. 

Saiba mais: https://t.co/xok3aXdb5J https://t.co/8pXwUA0gs6"
1260180471100702720,2020-05-12 12:10:11,8,0,"Instituições Federais se mobilizam contra o novo coronavírus!
Associação divulga dados que indicam a efetividade de ações que estão sendo desenvolvidas por mais de 40 IFES neste período de pandemia.
Confira: https://t.co/DzI0kB4DxO https://t.co/hTtMUhZ6aj"
1259957952515055617,2020-05-11 21:25:59,10,1,"#UFUContraOCorona

Instituições Federais se mobilizam contra o novo coronavírus. Andifes divulga dados que indicam a efetividade das instituições federais no período de pandemia.

Saiba mais:
https://t.co/M5Dw6V8qM7 https://t.co/bOM1GGYaQF"
1259151219299409927,2020-05-09 16:00:19,2,0,"#CIÊNCIA

Neste texto, o professor João Carlos de Oliveira nos mostra os papéis da mídia em meio à pandemia e como a grande quantidade de informações é recebida pelas pessoas.

Confira na seção Leia Cientistas: https://t.co/giaR8ezbZK https://t.co/JvDdl4Jice"
1258411325165834242,2020-05-07 15:00:14,32,4,"O podcast da UFU, Ciência ao Pé do Ouvido, também fala de coronavírus. O ep de maio reflete como superamos crises. O de abril respondeu: o que a ciência brasileira pode fazer contra o coronavírus? Ouça: https://t.co/SPek7BnbIx

#paCTopelavida
#FiqueEmCasacomACiência https://t.co/VHfN9sYEuY"
1258411322724757504,2020-05-07 15:00:14,27,2,"Álcool em gel caseiro é eficaz e seguro contra coronavírus? A resposta é não! Dois químicos da UFU escreveram para a seção Leia Cientistas explicando. (https://t.co/qpr3Pb4l0d)

#paCTopelavida
#FiqueEmCasacomACiência https://t.co/IDkp4hy7O5"
1258411320304640003,2020-05-07 15:00:13,28,2,"Idosos em tempos de coronavírus: o que fazer em casa? Na seção Leia Cientistas, professora da Educação Física deu dicas para manter uma rotina saudável mesmo evitando sair. (https://t.co/vUevMgWQoE)

#paCTopelavida
#FiqueEmCasacomACiência https://t.co/mXgfaJOxqA"
1258411317880373248,2020-05-07 15:00:12,30,3,"A professora Aline Santana, da Medicina Veterinária, rebateu o artigo que viralizou na internet sobre a possibilidade de cães e gatos serem infectados pelo coronavírus, o que pode resultar em abandono de animais. (https://t.co/K7l9tdhAd7)

#paCTopelavida
#FiqueEmCasacomACiência https://t.co/eOMHt2MKfg"
1258411313665134597,2020-05-07 15:00:11,29,3,"Dois físicos da UFU avaliaram quais máscaras são mais eficientes contra coronavírus. Os testes em 15 materiais mostraram a capacidade de filtrar ou não aerossóis que carregam contaminantes. (https://t.co/uYbnNoMkJk)

#paCTopelavida
#FiqueEmCasacomACiência https://t.co/x3dzP8zS0k"
