id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1314555714501836800,2020-10-09 13:18:00,2,0,"Live debate ensino remoto em tempos de pandemia

Atividade, promovida pelo projeto Pílulas de Direitos Humanos, acontece nesta sexta-feira, dia 9, às 18h.

https://t.co/c35BxY9xT4 https://t.co/ZeemquP0QH"
1314465872564477952,2020-10-09 07:21:00,2,0,"A Pró-Reitoria de Gestão de Pessoas (Progepe) abriu inscrições para a 4ª edição do concurso de fotografias, com o tema ""Por seu olhar servidor em tempos de pandemia"".

Podem participar: servidores, funcionários terceirizados e reintegrados da UNIRIO.

https://t.co/TF6VcWmknW https://t.co/RkPT0jxO6i"
1311565511210217472,2020-10-01 07:16:00,0,0,"Hoje(1), às 13h30, tem encontro da Roda de Apoio para Mulheres promovido pelo Setor de Atenção à Saúde do Trabalhador (Sast) da Pró-Reitoria de Gestão de Pessoas (Progepe) com o tema ""Sobrecarga das mulheres em tempos de pandemia"".

https://t.co/LHOKfDnSBN https://t.co/TZjBDkapz3"
1310599575145676807,2020-09-28 15:17:43,0,0,"Amanhã(29), às 17h30, tem encontro online ""Gestão integrada do patrimônio e tecnologias em tempos de pandemia"".  

O evento é promovido pelo Núcleo Multidimensional de Gestão do Patrimônio e de Documentação em Museus (NUGEP).

Inscreva-se!

https://t.co/ZDcMjrzlfC https://t.co/ZAD07NuuUl"
1306542915951435776,2020-09-17 10:38:00,2,1,"Hoje(17), às 18h30, tem Seminário do CDOC-Arremos.

Neste evento será debatida a  assistência e a mobilização em tempos de pandemia.

https://t.co/Ik5H0A4pMo https://t.co/71ekfYrLNu"
1306536876287746048,2020-09-17 10:14:00,1,0,"Dias 19, 20 e 21/10 serão realizados o 7º Colóquio de Pesquisa em Educação e Mídia (7o CPEM) e a 3ª Escola de Primavera Guaracira Gouvêa (3a Epem), com o tema Cultura digital e educação na pandemia.

Propostas de trabalhos podem ser submetidas até 4/10.

https://t.co/Ar3LAso5UE https://t.co/n3iqZM4yu8"
1305467932408000518,2020-09-14 11:26:24,4,1,"Está aberto edital de monitores para disciplinas do Projeto Saber Comum, voltado ao ensino a distância e à divulgação científica.

São 2 vagas para a disciplina “Saúde e ciência em tempos de pandemia” e 2 vagas para “Democracia, Desigualdade e Direitos”.

https://t.co/YB5weKoD6n https://t.co/vMfOdIBEGk"
1303962664088014853,2020-09-10 07:45:00,0,2,"O novo vídeo do projeto Pílulas de Direitos Humanos: diálogos em tempos de pandemia está no ar. 

Tema: Direitos para desaparecimento de pessoas.

https://t.co/jhri8QlmB3"
1303656305941458946,2020-09-09 11:27:38,25,5,ATENÇÃO: Em virtude de problemas técnicos e imprevistos relacionados à pandemia de Covid-19 o cronograma da chamada de lista de espera passa a vigorar com a redação abaixo: https://t.co/i1LwzuQZFb
1303323920200654849,2020-09-08 13:26:51,0,0,"Hoje(8), às 14h, tem sessão do curso Desafios do conhecimento em tempos de pandemia, oferecido pelo programa de Pós-Graduação em Educação (PPGEdu).

O tema desta sessão será: Juventude, precariedade e emergência de novos atores coletivos.

https://t.co/9aO5GgvkMI https://t.co/ftAYAApcL1"
1303322118877216769,2020-09-08 13:19:42,1,1,"Docentes da UNIRIO participam de projeto sobre turismo em tempos de pandemia criado em face da crise sanitária e econômica causada pela Covid-19.

O objetivo é identificar e analisar os impactos da pandemia na atividade turística.

https://t.co/HDCTIbVavE https://t.co/FDc6cw99aI"
1300958477020532736,2020-09-02 00:47:26,63,5,"A UNIRIO retoma, neste mês de setembro, as atividades acadêmicas e letivas da graduação referentes ao 1° semestre de 2020 que foram interrompidas devido à pandemia de Covid-19. 

https://t.co/FevxBfIxXH https://t.co/CIGkp9QdTz"
