id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1316110537818886151,2020-10-13 20:16:19,17,0,"Publicada a normativa que mantém suspensas as atividades presenciais até 10 de novembro na UTFPR, em decorrência da pandemia do novo coronavírus.
Saiba mais: 
https://t.co/8fOH1NMf1Y"
1309855850387865601,2020-09-26 14:02:25,2,2,"#SetembroAmarelo | Cuidados com a #saudemental podem fazer a diferença em nosso dia a dia, principalmente na pandemia do novo coronavírus.
Entenda melhor o tema na matéria especial com a psicóloga Gisele Voss e o psiquiatra Eduardo Paulucio da UTFPR.
https://t.co/BF6Ew4YcVk"
1309628828965371905,2020-09-25 23:00:19,9,0,"#Gestão | Por conta da pandemia do novo coronavírus (Covid-19), a tradicional cerimônia realizada em Brasília (DF) foi substituída pela assinatura eletrônica do termo de posse. Mandato será de quatro anos (2020-2024).

https://t.co/p8bLBd5By3"
1296589073285632002,2020-08-20 23:24:59,19,4,"#Covid19 | UTFPR segue com ações e projetos para ajudar a comunidade durante a pandemia. Já foram atendidas demandas de 60 cidades.
https://t.co/Rq72rdZ72U"
1270706829841088513,2020-06-10 13:18:11,11,1,"#Covid19 | Premiado pela Agência Espacial Europeia, estudo utiliza dados de satélite para acompanhar a situação dos países diante da pandemia 🛰
https://t.co/mBzgXmjJuA"
1268545036611919881,2020-06-04 14:07:59,22,7,"#Covid19 | A UTFPR aumenta o número de doações e pesquisas para ajudar no combate ao novo coronavírus 🖤💛 Também prepara dois laboratórios para a realização de testes de detecção da doença 🔬🧬
Veja outras ações:
https://t.co/IxH0uhG5Z8"
1263558058858471425,2020-05-21 19:51:31,8,1,"#UTFPRemAção | Diferentes iniciativas da Universidade buscam apoiar a comunidade durante a pandemia 💛🖤
https://t.co/yc5FJwRMuv"
1258465906935595009,2020-05-07 18:37:08,23,7,"No dia da Marcha Virtual pela Ciência, confira alguns resultados dos projetos desenvolvidos pela UTFPR durante a pandemia da Covid-19.

Dá um RT e faça parte desta corrente em defesa da ciência e da universidade pública.

#paCTopelavida
#FiqueEmCasacomCiência https://t.co/7O3HrBQV6J"
1258100041794891778,2020-05-06 18:23:18,33,13,"#Comunicado | Medida segue orientação das autoridades de saúde como forma de combater a disseminação do novo coronavírus.

https://t.co/DTWRSWzRne"
1255186625832857602,2020-04-28 17:26:26,12,1,"#Covid19 | RPCTV mostra o projeto da UTFPR que desenvolve trajes especiais para bombeiros, policiais, médico, enfermeiros e técnicos de saúde. A ideia é proteger esses profissionais do contágio pelo coronavírus.
https://t.co/ufTYKowc6D"
1253325190630535170,2020-04-23 14:09:45,22,5,"Mesmo em tempos de isolamento social, a UTFPR não para. São diversas frentes de atuação que criam soluções diárias para as demandas da sociedade. Conheça mais sobre as ações de enfrentamento à pandemia em https://t.co/DK7hLc0V4H https://t.co/6TkAcKgh7n"
1253019592206815232,2020-04-22 17:55:25,10,1,"#Covid19 | RPCTV mostra a câmara de descontaminação criada pela UTFPR. A instalação foi implementada há uma semana em um hospital em Medianeira para ajudar no enfrentamento ao coronavírus.
https://t.co/EBitBS5RfW"
1250131683128590336,2020-04-14 18:39:54,15,5,"#Covid19 | Na UTFPR, as atividades continuam para ajudar no combate ao coronavírus 💪
A comunidade pode contribuir com doações de recursos, insumos e até com trabalho voluntário🙌
Saiba mais:
https://t.co/ZA3RMW8mxX"
1249720720743153664,2020-04-13 15:26:53,5,2,"#Intercâmbio | São 45 vagas para mobilidade no segundo semestre de 2020. Calendário poderá sofrer ajustes por conta da pandemia da Covid-19.

https://t.co/4jiy7Dx8V0"
1247280663440642049,2020-04-06 21:50:58,3,2,"Confira o que está rolando na UTFPR e saiba as diferentes formas de se engajar no combate à pandemia 👇

https://t.co/y3zrevMPrx"
1245370998351958017,2020-04-01 15:22:38,8,0,"Decisão ocorre pela impossibilidade de manter regularidade nas atividades acadêmicas e administrativas da Universidade em função da pandemia do novo coronavírus. Saiba mais 👇

https://t.co/D4iboRcGmw"
1243592092875657220,2020-03-27 17:33:54,44,0,"#coronavirus  | UTFPR utiliza impressoras 3d para fabricar máscaras para hospitais de Guarapuava e região.
https://t.co/ZuGn826pH6"
1242890385875238914,2020-03-25 19:05:34,7,2,"Confira o posicionamento da associação de reitores sobre a pandemia do novo coronavírus 👇

https://t.co/FjQu15KNGc"
