id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1311025255805267969,2020-09-29 19:29:13,9,1,"Ocorreu na tarde desta terça (29) a primeira solenidade não presencial de outorga de grau para concluintes de graduação da Ufra. A cerimônia seguiu o rito virtual previsto pela Resolução nº 576/2020 do Consepe, em função da pandemia.

Leia mais: https://t.co/j1QWYbjNoI https://t.co/q36EtPGefh"
1300870549938360320,2020-09-01 18:58:02,5,1,"A pesquisa, que lançava periodicamente uma previsão epidemiológica para o Pará, foi conduzido por uma força-tarefa multidisciplinar, sob coordenação da UFRA. O estudo aponta tendência de estabilidade sustentável da pandemia no estado. Leia mais: https://t.co/aHgltWZEuQ https://t.co/sEiigvCAPf"
1300761074233466882,2020-09-01 11:43:01,3,0,"O documento visa orientar os servidores que precisem atuar de forma presencial, conforme a necessidade de cada setor, tendo em vista a garantia das seguranças individual e coletiva. O protocolo tem validade enquanto durar o estado de pandemia. Acesse: https://t.co/2L0O4A2mlP https://t.co/ZHgFzghMAK"
1275435466536312832,2020-06-23 14:28:06,6,3,"A metodologia adotada tem comprovada de adaptabilidade a problemas de previsão epidemiológica, já tendo sido aplicada em estudos envolvendo epidemias de Ebola, Zika e Síndrome Respiratória do Oriente Médio (MERS), um outro tipo de coronavírus.

LEIA MAIS: https://t.co/j0Y7Sgilvj https://t.co/t9ff9DH02Q"
1272584868359213056,2020-06-15 17:40:50,10,1,"O estudo busca identificar os impactos da pandemia de Covid-19 na segurança alimentar das pessoas na América do Sul, especialmente quanto ao consumo de pescado e carne.

Clique para responder ao formulário e saber mais: https://t.co/1AV6GEdXNW https://t.co/H2FrAochys"
1270012743861534721,2020-06-08 15:20:08,25,7,"Entre os dias 15 e 19 de junho, a UFRA realiza o I Congresso Virtual - Universidade Viva. Uma oportunidade para refletir sobre temas que fazem parte do contexto universitário pós-pandemia. Acompanhe a programação e faça sua inscrição gratuita no site https://t.co/kFTlD72nSE. https://t.co/ftv0M04FIc"
1263094609883824133,2020-05-20 13:09:56,41,4,"A UFRA realizou nesta terça (19) mais uma doação de alimentos ao Hospital Barros Barreto, em Belém. Os itens faziam parte do estoque do R.U. A doação de cerca de 2 toneladas é uma maneira de destinar de forma consciente os alimentos durante a pandemia.

#UfraEmCasa https://t.co/nZ7qoKEdCD"
1258044149208690689,2020-05-06 14:41:13,9,4,"Diferentes grupos de pesquisadores da UFRA, de Belém, Paragominas e Parauapebas, reuniram os resultados de diferentes estudos para desenvolver um único produto multiprofissional, buscando auxiliar o poder público no gerenciamento da pandemia.

SAIBA MAIS: https://t.co/ZrTKczRDPO https://t.co/yVwuEugiq6"
1257758959739551746,2020-05-05 19:47:58,16,0,"Ufra auxilia Prefeitura de Tomé-Açu (PA) em ação de pulverização de vias públicas para desinfecção e combate à pandemia de Covid-19. 

Saiba mais: https://t.co/AJsH8t3sTN https://t.co/BiKBCyYBAe"
1253386037784649730,2020-04-23 18:11:32,20,4,"Professor da UFRA Parauapebas e outros pesquisadores desenvolveram um índice que analisa o colapso da estrutura hospitalar brasileira frente à pandemia. O COVID-Index é atualizado semanalmente e usa dados dos sistemas público e privado de saúde.
Leia mais: https://t.co/uwZI61aeUm https://t.co/aGIb4llFho"
1248320371964751873,2020-04-09 18:42:24,11,5,"UFRA disponibiliza atendimento psicossocial remoto a servidores e divulga cartilhas informativas

Diversas medidas foram tomadas para o período de pandemia, como a abertura de canal de comunicação e a publicação de cartilhas.

Confira a matéria completa: https://t.co/2whQXVYiM9 https://t.co/p9l0MdA1iD"
1247607816296312833,2020-04-07 19:30:57,94,30,"Um grupo de voluntários está produzindo, na UFRA, viseiras faciais de proteção com a ajuda de impressora 3D. A meta é produzir 3.600 viseiras, que serão doadas a profissionais de saúde que estão na linha de frente do combate à pandemia no Pará. 

Saiba +: https://t.co/ARDmYYaCNN https://t.co/19q7btjKis"
1243918241375965187,2020-03-28 15:09:54,86,53,"Animais domésticos podem transmitir o coronavírus?

A professora Deborah Oliveira, coordenadora do curso de Medicina Veterinária da UFRA, esclarece: cães e gatos NÃO transmitem o vírus que causa a Covid-19 aos seres humanos, e vice-versa.

Saiba mais: https://t.co/E2FPJEVgwS https://t.co/YXpKoiO6Ts"
1242804103501230086,2020-03-25 13:22:43,68,30,Nota Oficial - Suspensão das atividades presenciais da UFRA por tempo indeterminado em função da pandemia da COVID-19. https://t.co/dn6cY1pash
1239939740432039936,2020-03-17 15:40:45,90,40,"A Ufra informa que estarão suspensas, no período de 19 a 27 de março, em todos os campi, as atividades acadêmicas e administrativas presenciais. O objetivo é resguardar a comunidade enquanto perdurar o estado de emergência de saúde pública decorrente do coronavírus (COVID-19). https://t.co/DiSMwQgQkE"
1238190012962942979,2020-03-12 19:47:58,34,13,"A Universidade Federal Rural da Amazônia vem desenvolvendo iniciativas locais para o combate à epidemia mundial da COVID-19, doença causada pelo novo coronavírus surgido na China no fim do ano de 2019. https://t.co/hIBnAq0K0T"
