id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1316118668338556928,2020-10-13 20:48:37,92,19,"Ao longo de quase 7 meses de pandemia do coronavírus, o Ministério da Saúde reforça a cada dia a estrutura de estados e municípios para enfrentar a Covid-19. Estes são os números do balanço mais recente das entregas feitas pela pasta. https://t.co/YBXonzqSaP"
1315456190118322176,2020-10-12 00:56:10,138,45,"#OCuidadoContinua - O @minsaude segue investindo no combate à #COVID19. Desde o início da pandemia, foram habilitados 14.646 leitos de UTI específicos para cuidar dos pacientes com #Covid19. Já são mais de R$ 2,3 bilhões investidos, em benefício de todos estados e o DF. 
#SUS https://t.co/8nvnzUXkM1"
1314369995149766657,2020-10-09 01:00:01,172,40,Divulgamos hoje os dados do Boletim Epidemiológico Semanal sobre o coronavirus. Eles apontam tendência de estabilização do número de registros de casos e redução nos registros de óbitos por Covid-19 em comparação às semanas anteriores. Confira: https://t.co/HeARnPy5eJ
1314357329719164928,2020-10-09 00:09:41,223,54,"#OCuidadoContinua | O @minsaude disponibilizará cerca de 140 milhões de doses da vacina contra a #Covid19, no 1º semestre de 2021, por meio de acordos com Oxford/AstraZeneca e o Convênio COVAX Facility. É o @govbr trabalhando em diferentes frentes no combate ao coronavírus. https://t.co/u1ILLHRwMp"
1314229703432196096,2020-10-08 15:42:33,23,6,"""Um dos aprendizados da pandemia foi a confirmação da força do #SUS"", disse Elcio Franco. Para fortalecer o atendimento aos brasileiros, o secretário também ressaltou ""a importância da regionalização da saúde"", que está em debate junto com @conasemsoficial e @ConassOficial"
1314229700571652098,2020-10-08 15:42:32,21,2,"""O SUS se mostrou como o maior programa de saúde pública do mundo, que é um direito constitucional previsto na carta magna do Brasil. Ele mostrou a sua força no enfrentamento da pandemia. Vamos continuar com os olhos no futuro e mostrando a força do SUS"", destacou Franco."
1314229699141394433,2020-10-08 15:42:32,73,18,"O secretário-Executivo Elcio Franco falou sobre o saúde, pandemia, aprendizado e comunicação durante webinário Arena de Ideias, da @InPressOficina. 
""O @minsaude se preparou, De uma maneira sinérgica, o Governo Federal tem enfrentado a pandemia"", ressaltou"
1314158600953225216,2020-10-08 11:00:01,83,24,"O @govbr intensifica o cuidado com os pacientes graves de #Covid19. 12 UFs receberam mais de 540 leitos de UTI exclusivos para o tratamento contra o coronavírus, um investimento de R$ 77,7 milhões do @minsaude. Saiba mais: https://t.co/cX9keeLR8H
#OCuidadocontinua https://t.co/jt1a9bvSGf"
1313971267712811016,2020-10-07 22:35:37,6,2,"Mesmo com a pandemia da #Covid19, o SUS continuou com o atendimento e a oferta de tratamento adequado às pacientes. Aliás, o início do tratamento do câncer de mama para pacientes que procuram atendimento no SUS está mais ágil. #OutubroRosa https://t.co/R0rmDRXk76"
1313852304844615680,2020-10-07 14:42:54,44,10,"""Hoje temos um #SUS que deu certo, que está dando certo durante a pandemia e que tem feito um trabalho excelente. Então, a gente também tem que fazer esse mesmo papel na luta contra o câncer de mama"", ressaltou o secretário Raphael Parente.
#OutubroRosa https://t.co/nMiMWLfYSR"
1312724152269238272,2020-10-04 12:00:01,144,29,"Os agentes Comunitários de Saúde (ACS) e de Combate a Endemias (ACE) são fundamentais no combate à Covid-19. São mais de 330 mil profissionais  que  fortalecem Atenção Primária do SUS, sobretudo no combate à pandemia da Covid-19 no país.
Saiba mais: https://t.co/hejZYiIPsC https://t.co/EQk63OktaF"
1311844890792218624,2020-10-02 01:46:09,108,24,"O Brasil não tem medido esforços para combater a pandemia. Graças a isso, são mais de 80% de recuperados da #Covid19 no país.

Mas #OCuidadoContinua. Por isso, é fundamental que todos façam sua parte nas medidas de prevenção. #NãoEspere https://t.co/OeMY6PEtKB"
1311705734317449217,2020-10-01 16:33:12,186,38,"Hoje é o #DiaDoIdoso. No Brasil, as pessoas idosas representam 14,3% da população (29,3 milhões). Nesta data, destacamos ainda mais a necessidade de proteção e de cuidados com essas pessoas, especialmente em meio à pandemia. Vamos cuidar sempre do bem-estar dos idosos! https://t.co/TJ6qfo4GGD"
1311066153473789952,2020-09-29 22:11:44,42,10,"#SaúdeBrasil 🎧 O #SetembroAmarelo é dedicado à saúde mental, principalmente à prevenção do suicídio. Com a pandemia, a preocupação com as emoções tem se tornado ainda maior. Ouça nosso novo podcast e entenda os sinais da depressão: https://t.co/RTQFuF2NMg https://t.co/REpGbm6OpJ"
1310394063175258112,2020-09-28 01:41:05,8,3,"Mas o Brasil e o SUS não pararam. Mesmo com a pandemia, de janeiro a julho, foram realizados 9.952 transplantes de órgãos no país.
#DoeÓrgãos"
1310394061489090566,2020-09-28 01:41:04,9,3,"Durante a pandemia de #Covid19, tornou-se um desafio para os países a manutenção das doações e a segurança das equipes de saúde e dos pacientes. 
Entenda: https://t.co/dbyuLH9JSN"
1309559037508202496,2020-09-25 18:22:59,112,28,"O @minsaude lançou a campanha de incentivo à doação de órgãos. O Brasil possui o maior sistema público de transplante de órgãos do mundo. Mesmo com a pandemia, os transplantes não pararam. Este ato salva vidas. 

#MinistérioDaSaúde #SUS #AvidaPrecisaContinuar #DoeÓrgãos https://t.co/4l6w4sksUj"
1309232207660158978,2020-09-24 20:44:17,79,25,"Em meio ás complicações causadas pela pandemia, se sentir dificuldades para se estabilizar emocionalmente, busque ajuda profissional em uma Unidade Básica de Saúde, CAPS, ambulatório ou serviço de emergência (SAMU 192, UPA, pronto-socorro ou hospital).

Cuide da sua saúde mental! https://t.co/Y0Xyr1cMA4"
1309190608540651522,2020-09-24 17:58:59,26,7,"""Mesmo no período da pandemia, não perdemos a nossa força. No período,realizamos quase 10 mil transplantes. Em vigência da pandemia nós tivemos uma redução da taxa de recusa familiar. Ano passado foi de 39.9% e esse ano teve uma redução para 37.2%"", explicou Salomão. #DoeÓrgãos https://t.co/eHwbAl3Np8"
1308921589593829376,2020-09-24 00:10:00,163,50,"O @minsaude se prepara para combater a ""quarta onda"" da pandemia, que é o adoecimento mental da sociedade provocado pelas mudanças que a #COVID19 trouxe. Serão repassados R$ 649 milhões aos municípios para a prevenção e tratamento da #saúdemental da população. https://t.co/ESlnNt1Vva"
1308874012483825667,2020-09-23 21:00:56,99,16,"#AoVivo: O @minsaude atualiza o cenário epidemiológico da #Covid19 e faz balanço de entrega de medicamentos e insumos estratégicos para combater o #coronavírus. Acompanhe e compartilhe!
https://t.co/iYuC5UnO8o"
1308579082666274816,2020-09-23 01:29:00,106,18,"Durante uma pandemia é comum estar frequentemente em estado de alerta, preocupado. Mas, se sentir dificuldades para se estabilizar emocionalmente, busque ajuda profissional em uma UBS , CAPS, ambulatório ou serviço de emergência #SetembroAmarelo https://t.co/HsqEOxcuhM"
1308561466811793408,2020-09-23 00:19:00,70,14,"#SaúdeBrasil | Pode não parecer, mas estar perto dos pequenos nesse período de pandemia pode ser um convite para uma vida mais saudável. Quer saber como? https://t.co/Ugw0uvp7C6 https://t.co/g5qVFBJAAG"
1308216947331358720,2020-09-22 01:30:00,106,23,"O #TelePSI está auxiliando profissionais de serviços essenciais a lidarem com os efeitos que a pandemia de #Covid19 pode causar em sua saúde mental. O primeiro contato é por telefone: 0800 644 6543 (opção 4).  
#SetembroAmarelo"
1308179198410981376,2020-09-21 23:00:00,97,15,O @minsaude entregou ventiladores pulmonares e Equipamentos de Proteção Individual para auxílio no combate ao #coronavírus no estado da #Bahia. A entrega faz parte da ação estratégica do @govbr de fortalecer o Brasil contra a #COVID19  . Saiba mais em https://t.co/o5b1t3JjcI https://t.co/vfANWDhKCi
1307832169193254912,2020-09-21 00:01:02,214,57,"Desde o início da pandemia, o @govbr já habilitou 13.563 leitos de UTI específicos para cuidar dos pacientes com #Covid19. 5.988 já tiveram prorrogação atendida pelo @minsaude, o que significa um custeio de mais R$ 286,9 milhões no enfrentamento ao #coronavírus no Brasil. https://t.co/NzHh2VGF1a"
1307648482941874180,2020-09-20 11:51:07,213,35,Já são 11.106 ventiladores pulmonares de UTI e de transporte  distribuídos pelo @minsaude. A entrega desses equipamentos fazem parte das medidas do Governo Federal no combate à pandemia e atendimento aos pacientes com Covid-19. Confira no mapa o balanço das entregas por estado. https://t.co/FyHbDkJlH7
1307419074713006080,2020-09-19 20:39:32,415,82,"O Sistema Único de Saúde (SUS) está presente na vida dos brasileiros. Hoje, 19 de setembro, O SUS completa 30 anos e demonstra sua força no meio da pandemia da #Covid19."
1306760844508688385,2020-09-18 01:03:58,87,15,"O secretário de Vigilância em Saúde do @minsaude, Arnaldo Medeiros, apresentou a situação epidemiológica da #Covid19 no Brasil e salientou a importância do SUS e de todos os profissionais no enfrentamento à pandemia.

https://t.co/o5b1t3rHO8 https://t.co/jzSKubYm6V"
1306686949852356608,2020-09-17 20:10:20,118,29,"#AoVivo: O @minsaude atualiza dados e ações de enfrentamento no combate ao #coronavírus no Brasil. Acompanhe:

https://t.co/vyAWKNEInE"
1306606085286105088,2020-09-17 14:49:00,0,0,"@ElzaMBLC O Ministério da Saúde trabalha de maneira incansável para cuidar da saúde dos brasileiros em combate à pandemia. Você pode acompanhar a quantidade de testes, ventiladores pulmonares, EPIs, leitos e outros insumos de cada estado acessando o link: https://t.co/azENSEx4sn"
