id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1316815662174613509,2020-10-15 18:58:13,2261,148,"Certamente. Agora, pq vão querer tocar fogo aqui se já fazemos isso tão bem e com tanto apoio interno, não faço ideia. É como falar que nos protegem de tropas armadas invadirem o Rio de Janeiro. Ou bioterroristas de espalharem coronavírus no Brasil. https://t.co/4Qow9toqfR"
1316811469716107267,2020-10-15 18:41:34,3737,498,"Julho: República Tcheca faz festa de despedida à pandemia, sem máscaras e aglomerados.
Outubro: tchecos planejam hospital de campanha pra COVID em Praga por aumento catastrófico de casos.

O vírus não sumiu, o alívio é temporário.

https://t.co/tUQKCmyCE8
https://t.co/6Cn1WRoyLN https://t.co/p0RKd46ISy"
1316785829163921408,2020-10-15 16:59:41,6512,603,"Finalmente saiu nosso livro didático sobre coronavírus e COVID. Um livro para ensino médio e fundamental, com a biologia do vírus, imunidade, a história de pandemias passadas, a dinâmica de notícias falsas, a pandemia no Brasil e análise de gráficos:
https://t.co/a5l9y84Tys"
1316459929696432128,2020-10-14 19:24:40,752,4,"@GeracaodeValor OMS = prioridade em saúde. Colocam a economia em pauta porque senão nem ouvem eles. Mas não tem como se comunicar bem em clima de guerra, quando vão distorcer tudo o que falarem pro que mais convém. Muito menos em tempo de pandemia, onde já se erra naturalmente."
1316438952618995712,2020-10-14 18:01:19,755,62,"A possibilidade de retomada econômica em uma pandemia depende de controlar essa pandemia. Se a economia for a prioridade real de alguém, o primeiro esforço teria que ser controlar a doença. https://t.co/L4H1lhg2nd"
1315857246417494017,2020-10-13 03:29:49,222,21,"@eitaagabs @NaoInviabilize COVID = doença respiratória sazonal. Deve voltar toda temporada, a não ser que a imunidade contra o novo coronavírus seja mais permanente do que é pra outros coronavírus."
1315852323965501441,2020-10-13 03:10:16,1499,136,"Sem cuidar dos problemas que deixaram a COVID matar 150 mil brasileiros, não tem vacina que devolva a normalidade. É melhor do que a cloroquina, sem dúvida. Mas reconhecer a pandemia e ter um plano federal continua sendo fundamental. Com ou sem vacina."
1315826536969314306,2020-10-13 01:27:47,701,47,A rede de laboratórios de teste que temos hoje e sistemas  como o Infogripe são fruto do nosso preparo para pandemias previsíveis. Mal saímos de uma epidemia de Zika. Bem diferente de terremotos. https://t.co/NSlTrdWn0Z
1315766430768529408,2020-10-12 21:28:57,2738,145,"Se quiser entender o rumo que a pandemia tomou no Brasil, recomendo. https://t.co/fL0ws6EKwN"
1315710963081973761,2020-10-12 17:48:32,2082,218,"Enquanto o Brasil finge que a COVID não existe e se enterra em uma crise sanitária e econômica muito pior do que poderia ser, o combate à malária na Sardenha mostra como combater uma pandemia pode ser economicamente produtivo:

Epidemics and Society
https://t.co/DgBnQ0Stdw https://t.co/xPIM1DFx3P"
1314647764958097408,2020-10-09 19:23:46,951,133,"Além de infectar bem mais gente, a COVID-19 ainda hospitaliza pessoas mais saudáveis do que a gripe. Comparando a COVID-19 com o influenza (causador da gripe), o coronavírus interna mais jovens e pessoas com menos complicações e uso de medicamentos:
https://t.co/mfYclxrR0J"
1314242250671616005,2020-10-08 16:32:24,3584,142,Amanhã vamos descobrir que máscaras funcionam e vacinas são importantes. Descubra a técnica asiática que impede o coronavírus.
1314016362986115072,2020-10-08 01:34:48,2620,105,"""Uma pandemia que afetou comunidades não-brancas e exacerbou tensões associadas com desigualdade. Muitas das nossas crianças estão sem escola em um período crítico no seu desenvolvimento social e intelectual."""
1313536401313538056,2020-10-06 17:47:37,759,93,"Jovens não têm muitas complicações de COVID, mas podem transmitir. Em julho, 15 familiares acharam legal se aglomerar. Um adolescente de 13 anos tinha coronavírus sem sintomas, 11 pegaram. Outros seis visitaram fora da casa e de máscara, nenhum pegou.
https://t.co/99271PHAd4"
1313529886724808704,2020-10-06 17:21:43,709,83,"Falamos no @XadrezVerbal que a Holanda tinha fechado fazendas de vison (um parente do furão criado pela pele de vison) pelo risco de transmissão do coronavírus entre eles. Nos EUA, não fizeram o mesmo. Agora milhares de visons tão morrendo de COVID-19.
https://t.co/KeHnSt8YRY"
1313162137863426050,2020-10-05 17:00:25,14695,1141,"""O problema com normalizar mortes é esse: permite mais mortes. Torna fácil pros horrores das mortes pelo vírus saírem do noticiário, pra divergir recursos da saúde pública e pra os políticos futuros tratarem a próxima pandemia com ainda mais displicência.""
https://t.co/qSzq1TE1MP"
1313160841819238403,2020-10-05 16:55:16,27890,2560,"Se tá incômodo, se é estranho, se dá aflição sair ou fazer algo é porque é. O mundo não tá normal. Morrerem 700 pessoas por dia de uma doença evitável não é normal. Estamos em uma pandemia. Que só vai durar mais se for ignorada."
1310983709194096642,2020-09-29 16:44:07,1441,191,"""Para as pessoas em lockdown, isso parece interminável, mas pra cientistas é só o começo."" Palavras de Martha Nelson, pesquisadora que trabalha com evolução viral, falando sobre a pandemia.
https://t.co/K7pevQpj23"
1310954228542832644,2020-09-29 14:46:59,479,26,"Já a praga de Justiniano foi uma pandemia de peste bubônica (é da peste bubônica que vem o termo peste, inclusive). Essa praga tem esse nome pq aconteceu no reinado do imperador Justiniano I (527–565 EC), que chegou a pegar a doença e se curou."
1310940284054839296,2020-09-29 13:51:34,2862,553,"Estamos perdendo a noção do que é uma calamidade. Um resumo bem direto da naturalização da COVID. Aprender a conviver com a pandemia, algo necessário daqui pra frente, é bem diferente de aceitar a pandemia como normal. Não se prega quarentena eterna, mas vigilância constante. https://t.co/3Tm0OlUNkF"
1310646182046244864,2020-09-28 18:22:55,628,37,"Dado o histórico de ação em pandemias anteriores, quem deveria ter liderado a ação anti COVID no mundo este ano seria os EUA. Quem acabou liderando (timidamente e com desconfiança justificada) foi a China. É um grande sinal da troca de hegemonia mundial pra mim."
1310636605443657730,2020-09-28 17:44:51,8760,1134,"Navio de cruzeiro alemão navegando na Grécia com ~1000 passageiros. Todos tiveram que mostrar teste negativo pra coronavírus antes de embarcar. Já são 12 casos confirmados a bordo:
https://t.co/lDTKzYSd1B"
