id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1312150367266836480,2020-10-02 22:00:00,2,2,"#COMFOR_UFABC
Ações conjugadas de formação continuada de professoras e professores do ensino superior

Educação pós-pandemia: desafios

Dia 10/11 | 17h
Profª Regimeire Maciel
Profº Fernando Cassio (UFABC)
Profº Salomão Ximenes (UFABC)

Informações: https://t.co/SlF2J4e0u7 https://t.co/r6Ij8Nk81B"
1310992227536175104,2020-09-29 17:17:58,7,2,"Núcleo da #UFABC que monitora a pandemia no âmbito da Universidade emite segundo boletim de avaliação epidemiológica. 

Confira o boletim da íntegra:
https://t.co/7VtyHSTRqN"
1309528512496312320,2020-09-25 16:21:41,4,3,"Webinário ""Alimentação: Pré e pós-pandemia e seus impactos ambientais""

Data: 03/10/2020

Horário: 15h00

Link: https://t.co/DiiTdtucko

Convidada: Professora Dra. Elizabete Campos de Lima https://t.co/OB1gZobHT1"
1308828476506427392,2020-09-23 18:00:00,2,1,"#ProjetosContraCovid | Onde tem coronavírus? Distribuição espacial e evolução da Covid-19

#NósPeloBemComum #UFABC
https://t.co/EiaunqPnMd"
1308737880945299458,2020-09-23 12:00:00,4,1,"Filosofia na pandemia: leitura e discussão da obra ""Genealogia da Moral"", do filósofo Friedrich Nietzsche.

Os encontros ocorrerão às segundas-feiras, das 19h às 21h.
Serão 11 encontros e há 100 vagas, abertas a todos os interessados.

Inscrição: https://t.co/hBjyoGO5oU https://t.co/cVE0DwzN90"
1306729650958155776,2020-09-17 23:00:01,1,1,"#IICongressoUFABC
“Enquanto a vacina não vem: aspectos epidemiológicos e de monitoramento da pandemia” foi o tema da sala de debate ocorrida no dia 26/08.
Confira a cobertura completa dessa sala e assista o debate na íntegra!
#NósPeloBemComum #UFABC

https://t.co/LPNblBCENO"
1306276667044831234,2020-09-16 17:00:01,2,2,"📹 Acompanhe ao vivo o debate | UFABC pelo bem comum: os projetos de combate à pandemia desenvolvidos por nossa comunidade - II Congresso #UFABC
#NósPeloBemComum
👉 https://t.co/5j45IS4YYK"
1306019975132569601,2020-09-16 00:00:01,3,1,"II Congresso UFABC ➡ Sala de debate: UFABC pelo bem comum: os projetos de combate à pandemia desenvolvidos por nossa comunidade

Quarta-feira, dia 16/09, às 14h.

Outras informações sobre o Congresso: https://t.co/Zwt88Jpeuw #NósPeloBemComum https://t.co/dM9m53YfC1"
1305959575703580673,2020-09-15 20:00:01,3,1,"II Congresso #UFABC | Desafios da mobilidade internacional no contexto de pandemia e de pós-pandemia
Acesse: https://t.co/GnP3Md4XBQ
#NósPeloBemComum"
1305612286661472261,2020-09-14 21:00:00,4,1,"#IICongressoUFABC 

“Dilemas na educação impostos pela pandemia” foi o tema da sala de debate ocorrida no dia 24/08. 

Acesse o site, confira a cobertura completa dessa sala e assista o debate na íntegra!

#NósPeloBemComum #UFABC
https://t.co/xiwCAjyerZ"
1305476394248409090,2020-09-14 12:00:01,2,2,"II Congresso #UFABC ➡ Sala de debate: Desafios da mobilidade internacional no contexto de pandemia e de pós-pandemia

Terça-feira, dia 15/09, às 17h.

Saiba mais: https://t.co/Zwt88JGPm4 #NósPeloBemComum https://t.co/Y7q6j4By67"
1304751612972367874,2020-09-12 12:00:00,5,1,"II Congresso #UFABC ➡ Sala de debate: UFABC pelo bem comum: os projetos de combate à pandemia desenvolvidos por nossa comunidade

Dia 16/09, às 14h.

Inscrições até o dia 14/09: https://t.co/3rPLLihSbk

Outras informações: https://t.co/Zwt88Jpeuw #NósPeloBemComum https://t.co/1BslPziqz7"
1304464726458396672,2020-09-11 17:00:01,3,1,"📹 Acompanhe ao vivo o debate: Relevância da ciência e das universidades no contexto da pandemia e da pós-pandemia - II Congresso #UFABC
Mediação: Charles Morphy (UFABC)
Participantes: Edward Brasil (UFG), Ildeu Moreira (UFRJ), Margarida Salomão(UFJF). 👉https://t.co/zVCfGpF9JD"
1304426976535486465,2020-09-11 14:30:00,3,1,"II Congresso #UFABC ➡ Sala de debate: Desafios da mobilidade internacional no contexto de pandemia e de pós-pandemia

Dia 15/09, às 17h.

Inscrições até o dia 11/09: https://t.co/5I6KQkEy0E

Outras informações sobre o Congresso: https://t.co/Zwt88JGPm4 #NósPeloBemComum https://t.co/MOZeTQAAaO"
1304117435654602759,2020-09-10 18:00:00,2,0,"#UFABC passa a monitorar as condições epidemiológicas da pandemia no contexto da sua comunidade
A Universidade Federal do ABC lançou nesta quarta-feira (9) o primeiro número do Boletim UFABC de Monitoramento da Pandemia
Saiba mais:
https://t.co/pdElgaDW8Y
#NósPeloBemComum"
1303785247281209347,2020-09-09 20:00:00,1,0,"II Congresso #UFABC | A pandemia lá fora: perspectivas da comunidade UFABC no exterior
Acesse: https://t.co/JQSqjv0I7P"
1303649349948194816,2020-09-09 11:00:00,5,2,"II Congresso UFABC ➡ Sala de debate: Relevância da ciência e das universidades no contexto da pandemia e da pós-pandemia

Sexta-feira, dia 11/09, às 14h.

Inscrições até o dia 09/09: https://t.co/Tdy7HeIPdC

Outras informações: https://t.co/Zwt88JGPm4 #NósPeloBemComum https://t.co/eda7h2ksOK"
1303422857876299777,2020-09-08 20:00:00,2,1,"II Congresso UFABC ➡ Sala de debate: A pandemia lá fora: perspectivas da comunidade UFABC no exterior

Quarta-feira, dia 09/09, às 17h.

Outras informações sobre o Congresso: https://t.co/Zwt88Jpeuw #NósPeloBemComum https://t.co/NKtMrLDlxx"
1301173040235986950,2020-09-02 15:00:02,0,0,"Ações conjugadas de formação continuada de professoras e professores do ensino superior: educação não-presencial em tempos de pandemia

Confira a programação e acesse o formulário de inscrição em: https://t.co/mB8imTwa8P https://t.co/mdHnLI2xF9"
1300463357946986504,2020-08-31 16:00:00,2,0,"#Covid_19 | O combate às fake news diante da pandemia de COVID-19
Iniciativa #UFABC
Saiba mais:
https://t.co/0tOXDdmApY
 #NósPeloBemComum"
1299089305143513088,2020-08-27 21:00:00,4,0,"ConViver ProAP - Jornada de Saúde, Esporte e lazer

Confira roda de conversa hoje, às 18hs, sobre o tema: Desigualdades na pandemia. 

Link para assistir: https://t.co/1CVAOX9R7f https://t.co/SYyncelBzG"
1299059106037329920,2020-08-27 19:00:00,3,0,"ConViver ProAP - Jornada de Saúde, Esporte e lazer

Confira roda de conversa hoje, às 16hs, sobre o tema: Roda de Conversa: “Ninguém solta a mãe de ninguém. Conversando sobre maternidade e pandemia”. 

Link para assistir: https://t.co/KAHAHl3bVI https://t.co/ABHpYCgShC"
1298953407009419264,2020-08-27 12:00:00,2,0,"#Covid_19 | Áreas precárias e intervenções territoriais
Projeto mapeia e apoia ações territoriais de combate à pandemia em áreas precárias 
Iniciativa #UFABC
Saiba mais:
https://t.co/MdIk22rK8O
 #NósPeloBemComum"
1298734920857260041,2020-08-26 21:31:49,5,1,"Acompanhe sala de debate: Enquanto a vacina não vem: aspectos epidemiológicos e de monitoramento da pandemia ➡ https://t.co/PwJTtkdVIw

II Congresso UFABC #NósPeloBemComum"
1298305728680284163,2020-08-25 17:06:21,1,1,"Projeto mapeia e apoia ações territoriais de combate à pandemia em áreas precárias

Saiba mais no site da Universidade: 
https://t.co/ZSpObEFFDJ
#NósPeloBemComum"
1297942496115404806,2020-08-24 17:03:00,2,0,"Estamos ao vivo com a sala de debate: Dilemas na educação impostos pela #pandemia 📹

II Congresso #UFABC #NósPeloBemComum https://t.co/HbjfYHxS1C"
1296779082802356228,2020-08-21 12:00:00,5,2,"II Congresso #UFABC ➡ Sala de debate: Enquanto a #vacina não vem: aspectos epidemiológicos e de monitoramento da #pandemia

Quarta-feira, dia 26/08, às 17h. Inscrições até 24/08: https://t.co/KCGrsg9JvY #NósPeloBemComum https://t.co/ijPmNf26VR"
1296477092335558662,2020-08-20 16:00:00,13,5,"II Congresso #UFABC - Sala de debate: Dilemas na educação impostos pela pandemia
Segunda-feira, dia 24/08, às 14h. 

Mediação: Paula Tiba (UFABC). Participantes: Ana Lúcia Gazzola (UFMG), Renato Janine (USP), Roberto Leher (UFRJ). Inscrições: https://t.co/wOcDg6NQ93 https://t.co/1RFhN9rhgD"
1296416691690373120,2020-08-20 12:00:00,3,1,"Ações conjugadas de formação continuada de professoras e professores do ensino superior: educação não-presencial em tempos de pandemia

Confira a programação e acesse o formulário de inscrição em: https://t.co/mB8imTezhh https://t.co/K9bFjp1pSH"
1295884434583900160,2020-08-19 00:45:00,3,2,"💬 Ontem, no II Congresso #UFABC, tivemos a sala de debate ""Os impactos da pandemia para as minorias políticas""

A atividade discutiu quem são as minorias políticas que mais estão lidando com os efeitos da pandemia em nossa sociedade. Assista: https://t.co/piUNNqtv6e"
1295739731481853952,2020-08-18 15:10:00,2,0,"Veja como foi a abertura do II CONGRESSO #UFABC, que ocorreu ontem, dia 17/08, às 14h

O Congresso, que ocorre de 17/08 a 18/09 (edição virtual), debate os impactos e dilemas da pandemia em espaços de fala, escuta e aprendizado. #NósPeloBemComum https://t.co/VcGTm4xvcJ"
1295469198462902272,2020-08-17 21:15:00,5,2,"II Congresso UFABC: Mesa de debate 💬 Desenvolvimento econômico e inovação nas cadeias produtivas globais: desafios regionais em tempos de pandemia e pós-pandemia

Quarta-feira, 19/08, 17h. A mesa será transmitida no canal da UFABC no YouTube. Inscrições: https://t.co/77Y0iFNW90 https://t.co/ZbhMiMQZ6C"
1295436483172552704,2020-08-17 19:05:00,11,3,"Quem são as minorias políticas que mais estão lidando com os efeitos da pandemia em nossa sociedade?

Veja ao vivo a 1ª sala de debate do II Congresso #UFABC: “Os impactos da pandemia para as minorias políticas”. Hoje, 17/08, às 16h: https://t.co/PkE13sTUrq"
1295405029549981696,2020-08-17 17:00:01,4,4,"🗓 Acompanhe ao vivo a Mesa de Abertura do II Congresso #UFABC
 
O evento, que ocorre de 17 de agosto a 18 de setembro (edição virtual), debate os impactos e dilemas da pandemia em espaços de fala, escuta e aprendizado. #NósPeloBemComum https://t.co/OZwwFIh2zJ"
1295380715945758723,2020-08-17 15:23:24,4,1,"Começa hoje o II Congresso #UFABC!🗓

O evento debate os impactos e dilemas da pandemia em espaços de fala, escuta e aprendizado. De 17 de agosto a 18 de setembro (edição virtual). Junte-se à nós! https://t.co/xFLraodU1z #NósPeloBemComum"
1295027543997730816,2020-08-16 16:00:01,6,2,"Jogos e curso online geram conscientização e resiliência para enfrentar a pandemia

Saiba mais no site da Universidade: https://t.co/WdZ4PN8l7y
#NósPeloBemComum"
1294029806233952256,2020-08-13 21:55:22,7,5,"Quem são as #minorias políticas que mais estão lidando com os efeitos da #pandemia em nossa sociedade? 

Junte-se à nós nesse importante debate do #IICongressoUFABC que acontece em 17/08, às 16h

📽️youtube/ufabcvideos

Inscreva-se em: 
➡️https://t.co/5c7f1NnVud

#NósPeloBemComum https://t.co/mqHy7F6mJC"
1293517589604253696,2020-08-12 12:00:00,8,6,"Alunos desenvolvem esterilizadores que inativam coronavírus em superfícies

Saiba mais no site da Universidade:  https://t.co/x1IlwOBMjR
#NósPeloBemComum"
1289346376245997568,2020-07-31 23:45:05,2,1,"Seleção de bolsistas de pós-doutorado para projeto contra a pandemia na #UFABC

Atuação exclusiva no projeto aprovado pelo Programa de Combate a Epidemias da CAPES. Inscrições até 24/08 #NósPeloBemComum https://t.co/v6f4F1LOTt"
1289169167665438721,2020-07-31 12:00:55,10,1,"#UFABCnaMídia | Programa Tarde Nacional, da @ebcnarede, conversou com o prof. José Paulo Guedes Pinto, da #UFABC, membro da Ação Covid-19, um grupo de pesquisadores que avalia a exposição de cidades e bairros do país ao novo #coronavírus. https://t.co/oUyCqBh8zi"
1286276504058564608,2020-07-23 12:26:31,3,1,"O @consorcioabc iniciou ontem (22/7) uma nova fase da campanha para divulgação da ferramenta #COVIData, desenvolvida pela #UFABC para acompanhar o andamento da pandemia de Covid-19 na região. 

Conheça e divulgue! #NósPeloBemComum https://t.co/FJmCnuXVHS"
1285659955496914947,2020-07-21 19:36:34,13,2,"📹 Coronavírus, um debate interdisciplinar - Vídeo apresenta a profa. Márcia Sperança e os profs. Acácio Almeida e Ramatis Jacino em diálogo interdisciplinar sobre a #pandemia da Covid-19. Veja no canal da Semana da #Biologia #UFABC https://t.co/exom4wOcPV"
1285167887280484356,2020-07-20 11:01:16,9,1,"Hoje, dia 20 de Julho, é o #DiadoAmigo! Sabemos que faz falta reunir os amigos, mas o momento pede cuidado e atenção. 😷 

Nestes tempos de pandemia, a conexão - ainda que virtual - pode nos manter mais próximos. Que tal fazer aquela chamada pra botar o papo em dia?💚 https://t.co/oZyT37SCYK"
1283737417963511808,2020-07-16 12:17:05,8,3,"Iniciativa da #UFABC, em parceria com o Movimento de Mulheres Olga Benário e com a Casa Helerina Preta, combate a violência contra a mulher durante a pandemia na região do ABC https://t.co/2QjsB9QCQN 

#NósPeloBemComum #GrandeABC"
1282721436524785666,2020-07-13 16:59:56,12,3,"A Plataforma Digital Plural reúne projetos de inovação social e cursos online durante a pandemia, nos quais já se inscreveram mais de 3.000 pessoas, dentre elas, educadoras e educadores das redes públicas de ensino de todo o país. #UFABC #NósPeloBemComum https://t.co/05VYdtJY5B"
1281267434448719872,2020-07-09 16:42:15,6,1,"Projeto da #UFABC busca sensibilizar a comunidade interna e externa sobre o aumento da violência doméstica, divulgando acesso a redes de proteção às mulheres como serviço essencial durante o isolamento social decorrente da pandemia. #NósPeloBemComum
https://t.co/gOQ09oclIV"
1280941203727552513,2020-07-08 19:05:56,3,0,"Projeto combate a violência doméstica na pandemia pelo acesso a redes de proteção #NósPeloBemComum 
https://t.co/fFiycAvq8e"
1280932451578150912,2020-07-08 18:31:09,0,0,"@markormilk Olá! Bem vindo à #UFABC! Os dados cadastrais ainda estão em migração para o sistema de acesso, e em virtude de dificuldades oferecidas pela condição de trabalho remoto e a pandemia de CoViD-19, o cadastros de parte dos ingressantes em sistema está em atraso."
