id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1303333711497367554,2020-09-08 14:05:46,19,5,"Está começando hoje, o Semestre Letivo Suplementar da Universidade Federal da Bahia e vai até 18/12. O período, é realizado em caráter emergencial, devido à suspensão das atividades presenciais em meio à pandemia de covid-19. 
#SLS2020UFBA #SemestreSuplementar #UFBA https://t.co/KVF2OIEidj"
1285895653034426369,2020-07-22 11:13:09,56,8,"Decisão foi tomada em reunião do Consuni, realizada em 21/07 e mantém a suspensão até o final deste ano, haja vista o fato de a pandemia encontrar-se ainda em fase aguda. https://t.co/QRPx5Ao6eQ 
#UFBA #pandemia #semestresuplementar2020 https://t.co/fjKez7PSGH"
1280100980839899136,2020-07-06 11:27:11,247,43,"""O retorno das aulas presenciais, antes de haver respaldo científico, está completamente descartado."" https://t.co/kEzc3cF7r6  #UFBA #pandemia"
1266479805677146117,2020-05-29 21:21:30,4,0,"No #CongressoVirtualUFBA2020, mesa sobre universidade e pandemia IV, com Maria José de Sena (moderadora), Alfredo Gomes, Rui Opperman, Cleuza Dias. Ao vivo em: https://t.co/dkWP2m7DpB #ufba https://t.co/48t3ZLlNZ5"
1266413872480751626,2020-05-29 16:59:30,21,3,"Debate sobre cultura audiovisual e pandemia, no #CongressoVirtualUFBA2020, com Itania Maria Mota Gomes, Juliana Freire Gutmann, Jussara Peixoto Maia, Jorge Cardoso Filho, Thiago Emanoel dos Santos e Valéria Vilas Bôas Araújo. Ao vivo em: https://t.co/CT4wMPrjek #ufba https://t.co/infQ6FLMva"
1266346516811309056,2020-05-29 12:31:51,5,0,"Debate cheio de argumentações na mesa ""Violências, mortes e confinamento para além da #pandemia: reflexões a partir de pesquisas realizadas no Laboratório de Estudos sobre o Crime e Sociedade da UFBA"" - https://t.co/lBwh714OFS  #CongressoVirtualUFBA2020 https://t.co/fI3FHbHKpA"
1266323163471917057,2020-05-29 10:59:03,17,2,"Chegamos ao último dia! Aproveite ao máximo!
🔸Acesse a programação completa em: www.congresso2020.ufba .
🔸Acompanhe as exibições ao vivo pelo:
- Facebook/congressoufba 💻
- YouTube/TV UFBA 📺
#congressovirtualufba2020 #congressoufba #pandemia #universidade https://t.co/0zjQoqoV2u"
1266008594635423752,2020-05-28 14:09:04,5,0,"Debate sobre o controle social frente à pandemia do coronavírus: atuação dos conselhos de saúde, no #CongressoVirtualUFBA2020, com Juliana Oliveira Santos, Luis Rogério Cosme Silva Santos, Marciglei Brito Morais, Heberson Sousa Silva. Assista em: https://t.co/UDfiFCvVTs #ufba https://t.co/2ixb4RdmGV"
1266004305728937984,2020-05-28 13:52:02,5,0,"Mesa gênero, raça, ciência e a pandemia da COVID-19, com Ana Paula dos Reis, Estela Aquino, Emanuele Goes, no #CongressoVirtualUFBA2020 . Veja em: https://t.co/iHXwLPGfiW https://t.co/SwCFFZKa4R"
1265998235736387584,2020-05-28 13:27:55,13,5,"Entrevista artes e afetos no mundo pós-pandemia, com o ator e escritor Gregorio Duvivier (@gduvivier), no #CongressoVirtualUFBA2020. Veja em: https://t.co/0HzxpxGOWl #ufba https://t.co/YmAFf1NL3W"
1265755592595038209,2020-05-27 21:23:44,2,0,"Mais uma da série de reflexões ""Universidade e pandemia"" com Edward Madureira (moderador), Marcus David de Resende, Demetrius David da Silva, Dácio Matheus - https://t.co/NhHPWiHveU 
#CongressoVirtualUFBA2020
#Universidade
#Pandemia
#UFBA https://t.co/BnVoF2bkRZ"
1265401895876689920,2020-05-26 21:58:16,3,0,"Mesa discute coronavírus, com Eduardo Mota, Rômulo Paes, Manoel Barral e Lúcia Pellanda, no #CongressoVirtualUFBA2020. Veja ao vivo: https://t.co/dGfgx14tJX #ufba https://t.co/QPGYZSJkt7"
1265260901604773888,2020-05-26 12:38:01,5,1,Como fica a atenção a crianças e adolescentes em situação de risco e vulnerabilidade no período da pandemia COVID-19? Veja agora na mesa https://t.co/Aq5wzTGIfx  #CongressoVirtualUFBA2020 #UFBA https://t.co/BMC3hggG43
1265258325136084992,2020-05-26 12:27:46,31,4,"Uma discussão atualíssima na mesa ""O enfrentamento à pandemia de covid-19 e a crise política no Brasil"" com os professores Carla Galvão, Vitor Sandes, Wilson Gomes, Paulo Fábio Dantas Neto, Daniel Peres https://t.co/3parT7Cieg 
#CongressoVirtualUFBA2020
#UFBA https://t.co/wb64b3iyqv"
1264926128772395009,2020-05-25 14:27:44,2,0,"Tudo sobre a ""Saúde do trabalhador na pandemia de covid-19: desafios na vigilância em saúde.  Acesse: https://t.co/MCx9zMGuhx 

#CongressoVirtualUFBA2020
#SaúdedoTrabalhadornaPandemia
#covid19
#DesafiosNaVigilânciaEmSaúde
#UFBA https://t.co/pEKoP633OK"
1264925157149286400,2020-05-25 14:23:53,4,1,"Corra p/ sala ""Direitos humanos e saúde: das vulnerabilidades ao contexto da pandemia de COVID-19"" 
https://t.co/UoO63Z2HzC 
#CongressoVirtualUFBA2020
#DireitosHumanos
#Saúde
#UFBA https://t.co/fmxhDR1OUa"
1264887619361673223,2020-05-25 11:54:43,3,0,"Como fica o sindicalismo no atual contexto da pandemia?  A mesa ""Impactos da pandemia no sindicalismo brasileiro' debate essa questão - https://t.co/eDnWhtjgiQ 
#CongressoVirtualUFBA2020
#ImpactosdaPandemia
#SindicalismoBrasileiro
#UFBA https://t.co/9XLBy2XMXo"
1263874175376265216,2020-05-22 16:47:39,10,2,"Nesta tarde, a programação do #CongressoVirtualUFBA2020 traz debates sobre Covid-19 e povos indígenas, atenção primária à saúde no enfrentamento do novo coronavírus, entre outros. Acesse: - Facebook: congressoufba 💻
- YouTube: TV UFBA 📺
- Programação www.congresso2020.ufba https://t.co/tIJWOE87v8"
