id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1316023037125292044,2020-10-13 14:28:37,2,1,"#OrgulhoUfes 👏💙
O trabalho ""A Teleodontologia como uma estratégia de biossegurança frente a pandemia do COVID-19"", de estudantes de Odontologia da Ufes, garantiu o 3º lugar na premiação dos melhores trabalhos dissertados no evento Setbio. Confira:

https://t.co/3XYdsT8lSn"
1314329531944140800,2020-10-08 22:19:14,7,0,"CIÊNCIA UFES🎙
Entrevista com o prof. da Ufes e membro do Núcleo Interinstitucional de Estudos Epidemiológicos do Espírito Santo, Etereldes Gonçalves Júnior. Ele fala sobre a matemática da Covid19, estatísticas, taxas de contágio e o impacto da volta às aulas para a pandemia. https://t.co/K3Ml0gokPi"
1306706880849469442,2020-09-17 21:29:32,0,0,"CIÊNCIA UFES🎙📻

O programa desta sexta recebe o Pró-reitor de Pesquisa e Pós-graduação da Ufes, Valdemar Lacerda Jr. Ele fala sobre o panorama dos cursos de mestrado e doutorado da Ufes em tempos de pandemia e de ensino remoto, além dos impactos na produção científica. https://t.co/K4sQHKSB94"
1304135531522150400,2020-09-10 19:11:55,6,1,"CIÊNCIA UFES🎙📻

O programa desta sexta-feira recebe o professor do Centro de Educação da Ufes, Douglas Ferrari. Ele fala sobre a situação das pessoas com deficiência diante da pandemia e sobre como as pesquisas da Ufes tem contribuído com esse debate. https://t.co/W0M0SoNxpw"
1304049630662086656,2020-09-10 13:30:34,5,1,"""Impacto da pandemia de COVID-19 na satisfação das necessidades básicas e em indicadores de saúde mental da população""
A investigação pretende estudar o impacto da pandemia na saúde mental e no estado emocional na população. 

Saiba mais e participe:
https://t.co/UYqUeeoLyp"
1301297904892743684,2020-09-02 23:16:12,17,2,"JUNTOS CONTRA A COVID-19:

Um grupo de pesquisadores da Ufes desenvolveu uma câmara que utiliza radiação ultravioleta para destruir microrganismos, inclusive o novo coronavírus. O equipamento, batizado de Covidkiller, está em uso no Centro Tecnológico. 

https://t.co/HiJSZ13b6i"
1301254508740313091,2020-09-02 20:23:45,6,1,"O período de trancamento solicitado não será contado no tempo de integralização curricular e será concedido por um período, podendo ser renovado, mediante nova solicitação, enquanto durar o estado de pandemia e o Earte. Uma vez concedido o TMP, não será permitida a sua anulação."
1300525321360494604,2020-08-31 20:06:13,3,1,"JUNTOS CONTRA A COVID-19:

O PICs Ufes é um projeto sobre as Práticas Integrativas e Complementares. Durante a pandemia, o grupo atuou com a promoção, por meio online, de técnicas como a meditação, o yoga e a arteterapia. Confira!

https://t.co/EAwcYIJs8Q"
1299450346230689792,2020-08-28 20:54:39,0,0,"JUNTOS CONTRA A COVID-19:

Desde março, a equipe psicossocial da Pró-Reitoria de Assuntos Estudantis e Cidadania (Proaeci/Ufes) tem trabalho de forma remota no atendimento a universitários enlutados ou que enfrentam desafios nesses tempos de pandemia.

https://t.co/wXHz50qF3j"
1299002420916293643,2020-08-27 15:14:46,1,0,"📍 A Prograd também realizará uma live formativa:
""Acessibilidade de estudantes com deficiência em tempos de pandemia""
3/09 - 17h
Transmissão pelo YouTube: https://t.co/oVIxgxdMIb https://t.co/NWQjM0ENjp"
1299002419511205888,2020-08-27 15:14:45,3,0,"A Prograd concluiu a série de encontros formativos com o tema Replanejamento do ensino-aprendizagem em tempos de pandemia, dirigidos aos professores da Ufes. Os encontros contaram com a participação de 1.211 docentes, dos 11 centros de ensino.

https://t.co/OavH44J2bi"
1296930465564307456,2020-08-21 22:01:33,1,0,"O projeto também resultou na cartilha educativa ""Aumentando o vínculo e a conexão entre casais durante a pandemia"", disponível no link https://t.co/ZKDUyEu4eg."
1296789853632421889,2020-08-21 12:42:48,11,2,"A Andifes anunciou que 54 das 69 universidades federais aprovaram resoluções para o retorno às atividades acadêmicas com aulas remotas nesse período de pandemia. Saiba mais:

https://t.co/Jcc94en1ks"
1295764255162142720,2020-08-18 16:47:27,6,0,"O objetivo desta publicação é o de colaborar com o debate sobre o retorno às escolas e às atividades escolares, em tempos de pandemia do coronavírus, tendo por base estudos sobre o enfrentamento à COVID-19.

Por Professora Ethel Maciel
Confira:

https://t.co/G1yRfBuyzp"
1295330360604200960,2020-08-17 12:03:18,10,1,"📍PARA PROFESSORES:
Replanejamento do ensino-aprendizagem em tempos de pandemia

📍Informações:  
18 a 26 de agosto
Dois turnos: das 10 às 12 horas e das 15 às 17 horas. 
Cada centro de ensino foi reservado um dia e horário. Confira:

https://t.co/qWKGHxPSLg"
1294389450018086914,2020-08-14 21:44:28,4,1,"JUNTOS CONTRA A COVID-19:

A campanha #FiqueEmCasaSemAedes, promovida pelo programa de extensão Aedes Zero, faz um importante alerta: mesmo durante a pandemia, é fundamental dar continuidade às ações de prevenção ao mosquito transmissor da dengue, da zika e da chikungunya. https://t.co/Zf6ko7wWLe"
1292930895104692235,2020-08-10 21:08:41,4,0,"JUNTOS CONTRA A COVID-19:
Antes da pandemia, o Era uma Vez levava presencialmente alegria e boas histórias a crianças hospitalizadas em São Mateus, onde o projeto é realizado. Com o distanciamento social, a iniciativa passou a ser feita de forma online:
https://t.co/JrmzW6YfiL"
1291855650830659585,2020-08-07 21:56:03,7,1,"JUNTOS CONTRA A COVID-19:

O projeto Café com Saberes LGBTQIA+ foi criado, durante a pandemia, para trazer orientações sobre a COVID-19. Ao longo do tempo, as discussões também passaram a incluir temas como sexualidade, genética e trabalho da comunidade LGBTQIA+. Confira! https://t.co/lcJw6PKfZU"
1291487396689846272,2020-08-06 21:32:44,14,2,"CIÊNCIA UFES🎙📟🔊

Nesta sexta, o programa recebe a professora Letícia Leal, coordenadora do Programa de Residência Médica em Medicina Veterinária da Ufes de Alegre, para falar sobre as ações do programa e os cuidados com os animais em tempos de pandemia. https://t.co/IL7OOba6bR"
1291375652919283714,2020-08-06 14:08:42,1,0,"@JenniWings Devido a pandemia e a suspensão das atividades presenciais, não há previsão de abertura de edital. Aguardamos a reformulação do calendário acadêmico e novas definições para a publicação das informações."
1291132035701125120,2020-08-05 22:00:40,7,0,"JUNTOS CONTRA A COVID-19:

Durante a pandemia, o Laboratório de Educação Física Adaptada (Laefa/Ufes) continuou o atendimento a pessoas com deficiência intelectual, autismo, cegueira ou baixa visão, adaptando as atividades para o formato on line. Confira!

https://t.co/Qn7TC2EyTW"
1291026102161485824,2020-08-05 14:59:43,0,0,"• Vivendo em tempos de COVID-19: o que posso fazer quando sou gestante; 

• Maternidade em tempos de COVID-19: como enfrentar a pandemia quando sou mãe de um bebê menor de seis meses?; 

• Uso de Equipamentos de Proteção Individual (EPI) na Odontologia frente à COVID-19."
1291026100496338945,2020-08-05 14:59:43,1,2,"Para evitar a disseminação do coronavírus e garantir segurança entre profissionais da saúde e pacientes durante a pandemia, os residentes do Programa Multiprofissional em Atenção à Saúde da Criança e do Adolescente do CCS da Ufes editaram cartilhas:

https://t.co/hDcS5MWPck"
1290380250971623426,2020-08-03 20:13:20,20,3,"Nesse período de pandemia, o curso de Terapia Ocupacional, unido ao Laboratório de Estudo, Pesquisa e Intervenção em Psicologia e Saúde e do Desenvolvimento/UFRJ, está produzindo materiais informativos na área materno-infantil, especialmente para gestantes, puérperas e familiares https://t.co/OKxzCytRMR"
1288943238364172290,2020-07-30 21:03:10,18,6,"O Laboratório de Ensino de Biologia (LEB-Ufes) realiza durante a pandemia um projeto de divulgação científica que objetiva informar a população. Para tornar o material ainda mais simples, parte do conteúdo é explicado por crianças. Confira! https://t.co/MdiT7duowb"
1288820602812477440,2020-07-30 12:55:51,6,2,"📌HOJE 
CIÊNCIA AO VIVO

FEIRA DE CIÊNCIAS ONLINE
Alternativa para o engajamento da comunidade escolar em atividades remotas em tempos de pandemia

Transmissão ao vivo: https://t.co/ht5VPy25vv
Inscreva-se no canal! https://t.co/oeRWdI3frz"
1286415385122791426,2020-07-23 21:38:22,3,0,"JUNTOS CONTRA A COVID-19: 
O MeditaUfes surgiu em 2019 e neste ano, com a pandemia, a iniciativa foi ampliada para atender também a comunidade externa. Por meio de lives no Insta, o grupo promove a prática da meditação, dá dicas e orientações

https://t.co/tk9YWSyQaf"
1286048569594609664,2020-07-22 21:20:47,3,0,"A sétima edição do Torneio de Robótica da Ufes (Trufes) terá, pela primeira vez, uma versão totalmente on-line em cumprimento às medidas decorrentes da pandemia. As inscrições para a competição científica estão abertas e se encerram em 15 de agosto.

https://t.co/9uFaLHjfxi"
1285963693084291072,2020-07-22 15:43:31,14,5,"Com a pandemia e a impossibilidade de abertura ao público, os coordenadores do Planetário de Vitória têm organizado diversas atividades virtuais voltadas para crianças da educação infantil e do ensino fundamental. Confira a programação: 

https://t.co/RYdDe2zIn4"
1285693570142425090,2020-07-21 21:50:08,9,0,"JUNTOS CONTRA A COVID-19: Projeto contribui no combate a notícias falsas

O projeto de extensão Comunicaê é voltado a levar informações às escolas para a leitura crítica da mídia. Durante a pandemia, o grupo tem atuado no combate às fake news.

https://t.co/otf08cdww8"
1283871222850301952,2020-07-16 21:08:47,12,1,"JUNTOS CONTRA A COVID-19: Produção e doação de álcool em Vitória

O Projeto Antissépticos, no campus de Maruípe, desde o início da pandemia está formulando e distribuindo antissépticos baseados em álcool 70º para órgãos governamentais e entidades de saúde.
https://t.co/XwYUkaMunv"
1283196620092387329,2020-07-15 00:28:09,32,5,"Os conselhos Universitário e de Ensino, Pesquisa e Extensão aprovaram um cronograma que prevê a definição de normas visando à aprovação de resoluções que tratam da oferta de ensino, pesquisa e extensão nas diferentes fases da pandemia.

https://t.co/YeM48VHQC1"
