id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1317107663986110466,2020-10-16 14:18:32,10,0,"E hoje o espaço funciona apenas como livraria. Durante a pandemia, o prédio está fechado, mas a administração está trabalhando em busca de uma solução para o imbróglio do café. https://t.co/nKJRy3UR95"
1313215878662705157,2020-10-05 20:33:58,18,4,"Um projeto de lei elaborado pelo Projeto Politizar, da UFG, foi aprovado pela Assembleia Legislativa de Goiás.

O documento apresenta medidas para assegurar os direitos sociais das comunidades tradicionais durante pandemia no Estado de Goiás

Saiba mais: https://t.co/SeNco0DftR https://t.co/exdJqjwTY0"
1309496742740733955,2020-09-25 14:15:27,22,3,"A proposta do estudo é usar ferramentas nanotecnológicas para produzir uma partícula que ‘mimetize’ células do organismo com as quais o coronavírus tenha maior afinidade

#orgulhodeserufg #pesquisaufg #ufgcontraacovid19 https://t.co/w7Z3s8lbgl"
1306655875592081409,2020-09-17 18:06:51,0,0,"@greendaygoias Oi! Durante a pandemia, o atendimento é feito preferencialmente por e-mail: centraldeestagios.prograd@ufg.br"
1304459321040949249,2020-09-11 16:38:32,6,0,@paulariciolli Oi! Estamos em trabalho remoto por causa da pandemia. Posso te ajudar por aqui?
1303733296862461953,2020-09-09 16:33:34,2,0,"@juligaioso Oi! A biblioteca permanece fechada durante a pandemia, mas é possível agendar atendimento presencial por e-mail. Mais informações aqui: https://t.co/HSeDKnKOxv"
1301853234127163397,2020-09-04 12:02:52,21,4,"Agendamento por e-mail 📚

Durante a pandemia, não haverá aplicação de multa e as renovações serão automáticas. Quando o ensino presencial retornar, haverá um calendário de regularização.

Saiba mais: https://t.co/KFEIe3Jott https://t.co/4CJP1ldTRN"
1297925391043235841,2020-08-24 15:55:02,38,1,"Antes de tudo, o Ensino Remoto é uma proposta de ensino emergencial, que será realizada por meio de diferentes recursos tecnológicos. Assim, garantimos o distanciamento social recomendado pelas autoridades sanitárias e de saúde diante da pandemia de Covid-19."
1296498204868059136,2020-08-20 17:23:54,6,1,"@kardashianat Oi! A biblioteca permanece fechada durante a pandemia, mas você pode agendar o atendimento presencial. Mais informações: https://t.co/v3FyrIf6G6"
1294013506061312002,2020-08-13 20:50:36,0,0,"@maritmpst Os livros com data de devolução prevista para esse período terão suas datas de vencimento reprogramadas automaticamente enquanto durar a pandemia. Para os materiais não devolvidos e que já estão em atraso, esse período não conta para cobrança de multa."
1293974589274574857,2020-08-13 18:15:57,4,0,"@CmteBittencourt Oi! As bibliotecas permanecem fechadas por causa da pandemia, mas você pode receber atendimento online ou presencial, com horário agendado."
1293227405553934337,2020-08-11 16:46:55,64,8,"Mais leitos de UTI 👩🏽‍⚕️

O novo hospital emergencial para atender a demanda da pandemia da Covid-19, o Hospital das Clínicas Covid (HCC), foi aberto nesta terça-feira, 11/08.

Saiba mais:https://t.co/7aRUjvGP9J https://t.co/zsNHgfh6O3"
1278379972932009985,2020-07-01 17:28:31,41,4,"A UFG entende que pode contribuir para auxiliar o planejamento e a gestão de políticas públicas no Brasil, ao formar uma frente ampla para o enfrentamento da pandemia. Além disso, reforça o caráter científico das pesquisas e a capacidade técnica dos pesquisadores e professores."
1278365255958134784,2020-07-01 16:30:02,43,7,"A UFG se orgulha e parabeniza os pesquisadores pelo trabalho de enfrentamento ao novo coronavírus.

Matéria completa no #JornalUFG:

https://t.co/ECtz3Jfmvp"
1278364627957698563,2020-07-01 16:27:32,244,63,"O Grupo de Modelagem da Expansão da Covid-19 em Goiás trabalha com as estimativas de avanço da pandemia no Estado e contribuem, portanto, para as ações de contenção do vírus na região. https://t.co/vRbVUrTde1"
1277680824633171968,2020-06-29 19:10:21,186,28,"Goiânia tem 6367 casos confirmados de coronavírus, registrados em 472 bairros.
⠀
5244 pessoas se recuperaram da doença, 639 seguem internadas e 305 estão em UTI. 154 óbitos. 
⠀
Informações da SMS-Goiânia na plataforma Covid Goiás, da UFG."
