id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1314178441856647169,2020-10-08 12:18:51,4,0,"A pesquisadora e professora da Universidade Federal de Lavras (UFLA), Joziana Barçante, falou sobre os benefícios e as limitações do uso de teleatendimento durante à pandemia para a equipe Covid19 DivulgAÇÃO Científica. Confira:
https://t.co/mPKmoTHkJR"
1306568702477963265,2020-09-17 12:20:28,5,1,"Ocorreu no dia 15/9 a palestra “Prevenção ao suicídio em tempos de pandemia por Covid-19: Cuidar de si, cuidando de todos”, ministrada pelo professor de psicologia, Ismael Pereira de Siqueira, do Unilavras. Palestra disponível no canal do YouTube da UFLA. https://t.co/3wIwmfLYbb"
1304086426053681152,2020-09-10 15:56:47,4,0,"#SetembroAmarelo: O Núcleo de Saúde Mental da #UFLA realiza na próxima terça-feira (15/9), às 19h, a palestra online “Prevenção ao suicídio em tempos de pandemia por Covid-19: Cuidar de si, cuidando de todos”. A transmissão online será pelo canal da UFLA no Youtube (uflabr). https://t.co/qqzwYXnvsw"
1301517076813803525,2020-09-03 13:47:06,3,0,"As cerimônias de colação de grau da UFLA serão realizadas de forma remota, enquanto durar a suspensão de eventos com aglomerações na Instituição por força da pandemia Covid-19. A previsão é para semana do dia 19/10, contudo, ainda será definido o número de sessões necessárias. https://t.co/rO9Inp4Fsk"
1300819106380341248,2020-09-01 15:33:37,13,1,"#UFLA112Anos 
Na próxima quinta-feira (3/9), às 19h, será realizada a abertura oficial das atividades em comemoração ao aniversário da UFLA. Neste ano, devido à pandemia de Covid-19, todos os eventos irão ocorrer de forma virtual. Confira a programação: https://t.co/bwbxNH3MW9"
1297903116046794752,2020-08-24 14:26:31,2,0,"Nos dias 2 e 3 de dezembro, a #UFLA realiza, em formato virtual, o XXXIII Congresso de Iniciação Científica (CIUFLA), o XXIX Congresso da Pós-Graduação e o XV Congresso de Extensão (CONEX), com o tema ""A ciência e o enfrentamento a pandemias"". Participe! https://t.co/O6XrqyXEQZ"
1296429891773181953,2020-08-20 12:52:27,4,0,"Nesta quinta-feira (20/8), às 16h, o Comitê Especial de Emergência para Enfrentamento à Covid-19 realizará uma transmissão ao vivo para falar sobre as mudanças na rotina da UFLA em decorrência da pandemia. Participe! https://t.co/s0NNMcTKGi"
1294363165850054656,2020-08-14 20:00:01,9,0,"Rebobina Aí! (14/08/2020) - A UFLA desenvolveu uma cabine de desinfecção humana para auxiliar no combate ao coronavírus. Quer saber mais sobre essa e outras notícias? Então, Rebobina aí! https://t.co/vIWeXCZVqx"
1291826447150022657,2020-08-07 20:00:00,1,0,"A Praec instituiu o Programa Emergencial Integrado (PEI), com auxílios alimentação e moradia voltados para estudantes em situação de vulnerabilidade social durante a pandemia. Quer saber mais sobre essa e outras notícias? Então, Rebobina aí! https://t.co/lqd099bP0b"
1289214189274140672,2020-07-31 14:59:49,14,0,"#UFLA112anos
A #UFLA celebra seus 112 anos no dia 5 de setembro. Neste ano, devido à pandemia de Covid-19, não será possível a realização dos eventos de forma presencial – as ações em comemoração ao aniversário ocorrerão de forma virtual. Saiba mais: https://t.co/JU6txgh7F8"
1286301232194347011,2020-07-23 14:04:46,2,0,"📽️ O reitor da #UFLA, professor João Chrysóstomo de Resende Júnior, participa na sexta-feira (24/7), às 15h, de uma live promovida pelo Sind-proifes sobre os desafios para o retorno às aulas no contexto da pandemia de Covid-19. Participe! https://t.co/1pTVhIpnHM https://t.co/gw1oRYuzCs"
1285201174875049984,2020-07-20 13:13:32,67,3,"Saudades da alegria e da energia de vocês, uflanianos(as)! ❣️

A pandemia de Covid-19 alterou nossa rotina e estamos impedidos de retomar as atividades letivas presenciais. Foi necessário nos reencontrarmos por meio dos recursos digitais, mas nada substitui nossa convivência. https://t.co/SAFKFViExj"
1283758881710182402,2020-07-16 13:42:23,9,0,A pandemia causada pelo novo coronavírus reacende alerta sobre a invasão de espécies exóticas em nossos ecossistemas. O professor Rafael Dudeque Zenni (DBI/UFLA) participou do estudo global sobre cenários de invasões biológicas. Leia a matéria na íntegra: https://t.co/7wcnq8N9vc
1279142872281989121,2020-07-03 20:00:00,15,0,"Rebobina Aí! (03/07/2020)
O MEC autorizou a substituição de disciplinas presenciais por atividades com recursos digitais enquanto durar a pandemia. Com a decisão, a UFLA avaliará mudanças no Estudo Remoto Emergencial, junto com a graduação e a pós. https://t.co/NhKg0yYxuV"
1272515369606041601,2020-06-15 13:04:40,1,0,"Na quarta-feira (17/6), das 8h às 10h30, vamos debater a 
""Realidade e Futuro das Universidades"". A programação da #UFLA faz parte do 1º Congresso da @Andifes , que discute reflexos da pandemia. Participe! https://t.co/c6F37uD5tc"
1270710833455087623,2020-06-10 13:34:06,0,0,"Triagens via teleatendimento para casos do novo coronavírus, realizados por estudantes do curso de medicina da Universidade Federal de Lavras e coordenado pela docente da Instituição Mirian Graciano, foi destaque no jornal EPTV 1ª edição. Saiba mais: https://t.co/coJm4zs1v8"
1267834359052148736,2020-06-02 15:04:01,4,0,"'Como a tecnologia pode ajudar o mundo em meio à pandemia' será o tema de uma mesa-redonda nessa quinta-feira (4/6) #COVID19 #computação
https://t.co/Y6CzhFDNHc"
1266032744397758469,2020-05-28 15:45:02,10,1,Equipe de professores e estudantes do Departamento de Ciências da Saúde (DSA) da UFLA está trabalhando junto com a Prefeitura Municipal de Lavras em uma busca ativa para estimar o número de infectados com o novo coronavírus no município. Saiba mais: https://t.co/hxDJVpxqrM
1265649136734474242,2020-05-27 14:20:43,5,3,"Já está no ar o Painel Coronavírus - Lavras/MG, uma plataforma, atualizada diariamente pela equipe da Vigilância Epidemiológica, para consultar como está a situação da pandemia de Covid-19 na cidade. Saiba mais: 
https://t.co/EUY0tDIsEg"
1265281045471137793,2020-05-26 13:58:03,5,0,"O Estudo Remoto Emergencial é uma estratégia educacional exclusiva para o período de pandemia, em que o distanciamento social é necessário como medida de prevenção. Saiba mais: https://t.co/b90xZ0fsrj"
1263841761748832257,2020-05-22 14:38:51,0,0,@igor_oliveira Vem conhecer (pós-pandemia)! &lt;3
1263206827099127808,2020-05-20 20:35:51,13,1,"#coronavirus 
Medidas de distanciamento social são seguidas por 84% da população de Lavras, aponta pesquisa da UFLA com a Prefeitura
https://t.co/06TIdsqcJy"
1261343152830439426,2020-05-15 17:10:16,1,0,"Muitos são os desafios para a #UFLA nesse cenário de pandemia.
A nova diretoria executiva da Instituição (Gestão 2020-2024) fala à comunidade sobre os primeiros passos de gestão e os direcionamentos para o futuro. https://t.co/BKAnvct78e"
1258732096262209536,2020-05-08 12:14:52,9,2,#coronavírus https://t.co/LzRVgJ6OjS
1258731868855455746,2020-05-08 12:13:58,4,3,"As máscaras confeccionadas em casa são capazes de reduzir a probabilidade de transmissão do novo #coronavírus, mas é preciso usá-las corretamente.

Saiba mais no próximo tweet --------&gt; https://t.co/lgjz6SQswT"
1258081239136862209,2020-05-06 17:08:36,7,0,"Doações da #UFLA ao Banco de Alimentos de Lavras beneficiam mais de 900 famílias. As hortaliças eram, antes, destinadas ao Restaurante Universitário, que está fechado por causa da pandemia do novo #coronavírus. https://t.co/8zrQukjItA"
1255918805529899009,2020-04-30 17:55:51,3,0,"O projeto Minuto da Saúde da #UFLA iniciou uma pesquisa destinada aos profissionais da saúde sobre o enfrentamento à pandemia de Covid-19. O formulário é on-line, simples e rápido.  Saiba mais: https://t.co/oREOo3urNM"
1253356243231612928,2020-04-23 16:13:09,20,5,"O Ministério da Saúde recomenda o uso de máscaras por todas as pessoas para diminuir o risco de contaminação pelo novo #coronavírus. Veja como a probabilidade de contágio diminui quando seu uso é feito por todos de forma correta, cobrindo completamente a boca e o nariz: https://t.co/oreQjB14GW"
1253339227716083715,2020-04-23 15:05:32,10,3,"#Coronavírus
Uma pesquisa da #UFLA e da Prefeitura de Lavras está levantando informações sobre a adoção de medidas de distanciamento social para prevenção e enfrentamento à pandemia da Covid-19 na cidade e na região.  Participe! https://t.co/RU8nixF90f https://t.co/xCnpVyZShP"
1251145266587041795,2020-04-17 13:47:31,2,1,"Como explicar às crianças sobre o #coronavírus?
As equipes da Brinquedoteca Universitária do curso de Pedagogia e do do Grupo de Pesquisa sobre Formação Docente e Práticas Pedagógicas, do Departamento de Educação (DED/UFLA), ajudam na tarefa!
https://t.co/nCH7a7VxhW"
1250062572113584132,2020-04-14 14:05:16,4,1,"Inbatec/UFLA dará suporte a ideias e inovações contra a pandemia do #Coronavírus.  O auxílio é desde a modelagem do negócio até a prototipagem da ideia para a participação em editais, chamadas públicas e privadas. Saiba mais: https://t.co/FFSSFgAie4"
1247571987691700224,2020-04-07 17:08:35,1,0,"Animais podem transmitir o novo #coronavírus? Confira a explicação da mestranda em Ciências Veterinárias da #UFLA Josiane Aparecida Martiniano de Pádua.
https://t.co/n0GpPg9TZm"
1247551703777509382,2020-04-07 15:47:59,1,1,"#MinutoDaSaúde 
Como usar máscaras pra prevenir a contaminação pelo novo #coronavírus? A professora do Departamento de Ciências da Saúde (DSA/UFLA) Ellen Kris Fagundes e Souza explica sobre o assunto https://t.co/lKvXcPpINz"
1239609656688939008,2020-03-16 17:49:07,61,22,"#coronavirus Comunicado sobre a suspensão das atividades de ensino presencial na UFLA a partir do dia 23 de março
https://t.co/aWo07HYIAa"
1238531717188763648,2020-03-13 18:25:46,2,0,"Constituído Comitê Especial para prevenção ao novo #coronavírus – acompanhe definições da primeira reunião
https://t.co/KPsQ8SVD7H"
1237803486710030336,2020-03-11 18:12:03,4,1,"Informações atualizadas sobre o novo #coronavírus 
https://t.co/aWo07HYIAa"
1237740497952804865,2020-03-11 14:01:45,1,0,"Na terça-feira (10/3), o @minsaude divulgou a confirmação de 34 casos de infecção pelo novo coronavírus (COVID-19) no Brasil. Fique atento às medidas importantes para prevenir a transmissão: https://t.co/aWo07HYIAa"
1233403543614349313,2020-02-28 14:48:14,9,1,"UFLA informa sobre medidas para prevenção da infecção pelo novo #coronavírus
https://t.co/xk9lERAmpV #saúde https://t.co/fhtX8MzjlT"
