id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1316353224757125120,2020-10-14 12:20:40,52,12,"Liga das Atléticas dribla a pandemia e promove competição on-line: https://t.co/BEtwbA0Gcz

InterUFMG será realizado em novembro com foco em e-sports. As inscrições terminam no dia 23 de outubro. https://t.co/IAQ082Bgw8"
1314609569230974983,2020-10-09 16:52:00,13,3,"Como pensar o turismo em meio à pandemia?

Para Márcia Lousada, profa. do curso de Turismo da UFMG, é importante fazer uma reflexão crítica sobre possíveis impactos da reabertura para os territórios, para a saúde dos trabalhadores e para suas comunidades: https://t.co/M2OVKthPaT https://t.co/B7FrBpUIOz"
1314544639484067841,2020-10-09 12:33:59,122,27,"UFMG, Ufop, UFV e IFMG unem-se para apoiar comunidades afetadas pelo desastre de Mariana 👉 https://t.co/cmHbQ82feL

Edital inédito vai destinar R$ 2 milhões para financiar projetos de extensão em interface com a pesquisa, com foco na Agenda 2030 e no combate à pandemia. https://t.co/w2Cxrsythd"
1314208930252300289,2020-10-08 14:20:00,38,7,"Heloisa Starling e Lilia Schwarcz contam a história da gripe espanhola, a ‘bailarina da morte’: https://t.co/fhCzn1a7GD

Em livro publicado pela Companhia das Letras, as autoras evidenciam o diálogo entre a pandemia de 1918 e a atual. https://t.co/WbIMdq0hDR"
1314179451043876865,2020-10-08 12:22:52,21,3,"Qual o efeito da covid-19 na dinâmica da criminalidade? Como ela interfere nos padrões de policiamento? E como impacta o sistema prisional e a justiça penal? 

Em nova coluna na @ufmgeducativa, pesquisadoras do Crisp discutem segurança pública e pandemia: https://t.co/RRjhZZ45FD https://t.co/BjAPw62SOi"
1313178892094500864,2020-10-05 18:07:00,11,1,"Especialista em mídia e comunicação fala sobre solidariedade digital em tempos de pandemia: https://t.co/YUS2FQxuZm

Conferência será ministrada pela pesquisadora Myria Georgiou nesta quarta, 7, no canal de Programa de Pós-Graduação em Comunicação Social da UFMG no YouTube. https://t.co/mMX4zHbeNR"
1311675325340880898,2020-10-01 14:32:21,10,0,"Medo? Solidão? Ansiedade? Saudade? O que você tem sentido durante a pandemia e como anda sua saúde mental neste período? 

Essas questões orientam o quarto episódio da série 'Enquanto isso...', produzida pela TV UFMG: https://t.co/hCBxlMUIZr https://t.co/74D2SXQzr4"
1309213261502525441,2020-09-24 19:29:00,6,3,"O segundo episódio da série “Enquanto isso…”, da TV UFMG, mostra como a vida parece ter sido pausada em março.

Afinal, com a pandemia do novo coronavírus, muitos sonhos e objetivos tiveram que ser interrompidos ou adiados.

Assista ao episódio em https://t.co/iLKx7Pufud https://t.co/7e2rdCcLVN"
1308883337675759623,2020-09-23 21:38:00,19,4,"93 anos: UFMG em números

Atualizado a cada ano, vídeo institucional destaca as ações da Universidade no enfrentamento da pandemia de covid-19.

Inscreva-se e assista no canal da UFMG no YouTube ▶️

https://t.co/oxExQVgSb1"
1308488989263814657,2020-09-22 19:31:00,8,2,"Em algum momento, o retorno ao que tem sido chamado de novo normal vai se materializar. Mas o que fazer enquanto isso?

É o que investiga nova série da TV UFMG!

Com 10 episódios, ‘Enquanto isso...’ vai abordar bem-estar e saúde mental durante a pandemia: https://t.co/JCkQLulkym https://t.co/ofpaAQHfm5"
