id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1308549137344811008,2020-09-22 23:30:00,8,2,"Ei, assunto sério! 👉🏼 Estudo matemático, realizado por professores da UFMS, projeta para o hoje o pico da pandemia da Covid-19 no Mato Grosso do Sul. 📈📉 Retweet e saiba mais: https://t.co/RPR4NZOCex"
1285585824466137089,2020-07-21 14:42:00,2,0,"Vem de #Live! 🖥️ Amanhã, 22, a Liga Acadêmica em Psicologia da Saúde, em parceria com o projeto Com-vida UFMS, realizará encontro on-line sobre “Saúde mental dos estudantes em meio à pandemia”. #Participe: https://t.co/MwOmsbs7k3"
1277984272121573376,2020-06-30 15:16:08,1,0,"@amavissi Olá,como forma de enfrentamento à pandemia, estamos funcionando por meio de atendimento remoto. Entre em contato com a secretaria acadêmica da FAENG pelo Whatsapp (67) 3345-7452"
1268165538800209921,2020-06-03 13:00:00,10,0,"Com recomendações para saúde mental durante o período de isolamento social, a UFMS promove “Rodas de conversa QuarenTEMA: Ansiedade e estresse em tempo de pandemia”. O evento acontece no dia 8 de junho às 19h. Para se inscrever, acesse https://t.co/yrgjSgWHcl ."
1267893750552055814,2020-06-02 19:00:01,2,1,"Confira o projeto que começou com a frase “E se a gente se reunir e compartilhar informações, atividades e mensagens durante a pandemia da Covid-19?”. A plataforma on-line de troca de informações faz parte do edital ""UFMS contra Coronavírus"". Veja: https://t.co/0H5dTbGaCV"
1265734523041353729,2020-05-27 20:00:01,3,1,"Professores e estudantes do Campus de Aquidauana desenvolvem plataforma para facilitar compras em empreendimentos locais durante a pandemia. A finalização do projeto, aprovado no edital ""UFMS contra o Coronavírus"", está prevista para agosto. Leia mais: https://t.co/ED01PaYe4L"
1265357037149360128,2020-05-26 19:00:01,3,0,"O ""Fórum virtual de regentes e coralistas"" discute estratégias de canto-coral a distância e a realização de ensaios on-line. O projeto é uma das propostas do edital de enfrentamento ao coronavírus da UFMS. Confira: https://t.co/L4mY5UtlwW"
1264994647270621185,2020-05-25 19:00:01,5,1,"Se liga ai no “Quintal de Leituras: brincando de ler”, um projeto bilíngue de incentivo à leitura para crianças que faz parte do edital “UFMS contra o coronavírus”. Confira: https://t.co/2yBdzPNEDk"
1263841975750590465,2020-05-22 14:39:42,30,7,Dá uma olhada nas dicas do Capi de como usar a máscara para se proteger do novo coronavírus https://t.co/TnUHOjABWf
1254918691432562690,2020-04-27 23:41:45,14,0,"Mais um projeto está sendo desenvolvido com objetivo de compreender o atual momento em que estamos vivendo. Dessa vez, a iniciativa irá avaliar o nível de estresse da população em decorrência do coronavírus: https://t.co/3PDG6puU01"
1253422127526469633,2020-04-23 20:34:57,17,0,Estudantes da Faculdade de Medicina (Famed) irão analisar a atuação da Atenção Primária à Saúde na cidade de Campo Grande durante pandemia causada pela Covid-19. O projeto foi selecionado no edital “UFMS Contra o Coronavírus”. https://t.co/1J411VaVHD
1253409334932860928,2020-04-23 19:44:07,13,0,"O projeto de extensão que ensina dança de salão para a comunidade interna e externa optou por não interromper as atividades durante a pandemia da covid-19. Ao invés disso,  as aulas passaram a ser ministradas em vídeo, confira: https://t.co/kb7DPYifb2"
1249772540345618433,2020-04-13 18:52:47,8,1,"Nossa plataforma de ideias, ações e projetos de pesquisa, extensão e inovação relacionados ao enfrentamento do coronavírus tem captado ótimas ações como essa aqui👇 acesse:  https://t.co/aWD8yv3siv"
1242181671321063427,2020-03-23 20:09:23,8,0,"O atendimento presencial de todas as bibliotecas da UFMS está suspenso a partir de hoje, 23. A medida é em decorrência da Emergência em Saúde Pública de Importância Internacional, combate à evolução da pandemia Covid-19. Saiba mas: https://t.co/WCoDaUgb3G https://t.co/2YW9MbTksw"
1242117359327948802,2020-03-23 15:53:50,17,0,"""Com o aumento considerável das possibilidades de difusão do coronavírus no Brasil e no Mato Grosso do Sul, precisamos demonstrar nossa capacidade de solidariedade, articulação, serenidade e de comprometimento"".  Reitor, professor Marcelo Turine: 
https://t.co/HqltKEuZgt"
1238964429032652802,2020-03-14 23:05:13,18,10,Criamos uma página especial que reúne todas as medidas de proteção da nossa comunidade universitária em relação ao coronavírus. Atualizaremos constantemente a seção 'Perguntas e Respostas' para facilitar o entendimento de todos. Confiram lá: https://t.co/LUqhbVN3q6
1238587767631884288,2020-03-13 22:08:30,33,0,"A UFMS criou um comitê operativo emergencial para lidar com a situação do coronavírus. Em sua 1ª reunião, o comitê, formado por diversos especialistas, decidiu pela manutenção das atividades letivas e pela realização do concurso público deste domingo https://t.co/Cx5K9kWFEW"
1238238939712032770,2020-03-12 23:02:23,29,7,"Pessoal, agora o papo é serio. Vocês já sabem as medidas preventivas corretas contra o coronavírus? 
Agora não é o momento para se alarmar, entretanto a prevenção é primordial! 
Compartilhe esta imagem e vamos todos nos atentar às recomendações do @minsaude! https://t.co/4B24XjZ8mU"
