id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1316351980542087173,2020-10-14 12:15:43,0,0,"Durante a pandemia o Nupsi também está atendendo de forma individualizada e on-line a discentes de graduação e pós-graduação, além de realizar a escuta, o acolhimento e dar orientações a docentes, de forma individual e em grupo. 
Para saber mais, acesse: https://t.co/qwwwRT0GLy"
1310689879320342529,2020-09-28 21:16:33,13,2,Você tem uma ideia inovadora para ajudar na prevenção ou combate à Covid-19? O Programa de Ações Emergenciais da Ufopa lançou edital de fomento a projetos que auxiliem no enfrentamento da pandemia. As ações devem ser aplicáveis à comunidade acadêmica e à sociedade do oeste do PA. https://t.co/zmkcpcq8hu
1303756339752165383,2020-09-09 18:05:08,35,28,"Infelizmente, continua o abandono de filhotes na Ufopa e, desde o início da pandemia, algumas gatas pegaram cria, o que ocasionou o aumento do número de animais nos espaços da Universidade.
Esse não é o local adequado para os animais viverem. Eles precisam de um lar responsável! https://t.co/OaxSKf6a39"
1300892925207941121,2020-09-01 20:26:57,3,0,"Vamos dialogar sobre as transformações que a universidade está enfrentando e enfrentará após a pandemia? 

Para saber mais, acesse: https://t.co/SM88dJ2X5p https://t.co/Cn2JLRsxMY"
1288489235415289862,2020-07-29 14:59:07,7,2,"Mas, além de ser bastante útil no atual cenário da pandemia, a nova ferramenta também poderá ajudar a diminuir a carga de fungos e bactérias nos ambientes pós-Covid. Alérgicos a fungos (mofo) agradecem! 😁
Saiba mais: https://t.co/zkKrzpkcqw"
1286706087471853568,2020-07-24 16:53:31,6,0,"Os esforços de prevenção e combate ao coronavírus (Covid-19) continuam. O isolamento social deve continuar sendo praticado. 
Para conferir a Instrução Normativa que prorroga as atividades remotas na Ufopa, acesse: https://t.co/JzsdLjkf7E https://t.co/bhnpTp7NmS"
1284112483125518336,2020-07-17 13:07:28,3,0,A Ufopa está coletando informações da comunidade acadêmica para auxiliar no monitoramento da pandemia e dar suporte às decisões do Comitê Permanente de Crise para Enfrentamento da Covid-19 para o planejamento de retorno gradual às atividades acadêmicas e administrativas.
1284112480621527040,2020-07-17 13:07:27,10,7,"Estudante e servidor, quais as suas condições de moradia, acesso à internet, estado de saúde, estudo e trabalho durante a pandemia?

📍 Responda o questionário até 3 de agosto.

Acesse: https://t.co/Vz2FJSTnmx https://t.co/w0vofCZA0M"
1281574102600425473,2020-07-10 13:00:51,16,2,"Você já sentiu orgulho da Ufopa hoje? 🥰
Alunos do Campus Itaituba da Ufopa já produziram dez totens para álcool em gel para auxiliar no combate à pandemia do novo coronavírus. Os suportes foram doados a postos de saúde e canteiros de obras em Itaituba e ao RU, em Santarém.
+ https://t.co/HtP9cwgqso"
1280171009312788480,2020-07-06 16:05:27,34,8,"Em reunião conjunta do Consad e do Consepe da Ufopa, foi aprovada a oferta do Período Letivo Especial (PLE) para estudantes concluintes dos cursos de graduação durante a emergência de saúde pública decorrente do novo coronavírus (Covid-19). https://t.co/UYS8llrKVg"
