id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1313555864205357058,2020-10-06 19:04:57,4,0,"Ágora Cecultiana - Universidade pública: democracia, pandemia e orçamento. Que fazer?
https://t.co/foihfLdbv8 https://t.co/1wGs4OxQMa"
1313460125743673347,2020-10-06 12:44:31,4,1,"Universidade pública: democracia, pandemia e orçamento. Que fazer? https://t.co/qYvQDAA614 https://t.co/8LyDL6efLt"
1310930599469821952,2020-09-29 13:13:05,2,0,Aula Magna da UFRB debate realidade do ensino remoto com pandemia https://t.co/kng74pHJao https://t.co/UwHLEkMLG0
1306305733840048132,2020-09-16 18:55:31,1,0,"UFRB cria cartilha sobre saúde mental e qualidade de vida em tempos de pandemia
https://t.co/DVobnkgu6C https://t.co/IPwfVvruPT"
1294116789312458752,2020-08-14 03:41:00,6,1,"II Ciclo Internacional de Debates Educação em tempos de pandemia: qualidade e inclusão
https://t.co/WrZfgEknP0 https://t.co/OcqDhAIB31"
1285981489209974784,2020-07-22 16:54:14,7,2,UFRB assina nota conjunta para manutenção das bolsas FAPESB durante o período de pandemia https://t.co/6OiTxf0Ili https://t.co/N1GCSIc1HM
1283834266674180102,2020-07-16 18:41:56,1,0,"Capitalismo, Trabalho e Direitos em Tempos de pandemia https://t.co/cVnjUfUTbf https://t.co/TfjQ9Eyulv"
1283485014391390208,2020-07-15 19:34:08,1,0,CISO.UFRB in lives - Saúde mental: auto cuidado juvenil na pandemia https://t.co/300efaNZyt https://t.co/ayljzm1WQ4
1281195481146810375,2020-07-09 11:56:20,1,0,Lives do Cecult - Teatro em tempos de pandemia: impasses e experiências https://t.co/kkHCs4RXji https://t.co/EUW6DfcFUh
1280927421852717058,2020-07-08 18:11:10,1,0,"Trincheiras de Ideias em Debate - Novas e velhas configurações do trabalho, tecnologia, aplicativos e pandemia https://t.co/NFcnvw9KBJ https://t.co/JWK4KFjMiq"
1280525877399498753,2020-07-07 15:35:34,2,0,Docentes da UFRB orientam sobre a prática de atividade física em tempos de pandemia https://t.co/Ubse7ZEsh8 https://t.co/SNWl8zJ5XZ
1277595059307847680,2020-06-29 13:29:33,0,0,"Trincheiras de Ideias em Debate - A crise civilizatória pelo espelho da pandemia: capital, meio ambiente e exclusões https://t.co/5jk88KWCQJ https://t.co/A7v9j5ry8B"
1273968567638253569,2020-06-19 13:19:10,6,1,UFRB oferece atendimento psicológico online para estudantes durante pandemia https://t.co/AVaYfdNY0D https://t.co/4WK9SjVBBM
1273222325975080960,2020-06-17 11:53:52,6,0,Saúde mental e autocuidado em tempos de pandemia https://t.co/YVbmdI1BuF https://t.co/3Jnn7rxc6Z
1272662223828086785,2020-06-15 22:48:13,6,1,"UFRB recebe R$1,8 mi para combate à pandemia do novo coronavírus Covid-19 https://t.co/ru6llu9GMj https://t.co/1d82FKJe0u"
1271429904903667713,2020-06-12 13:11:26,3,0,Acesso e permanência ao ensino superior em contexto de pandemia https://t.co/LPyFnfyWIf https://t.co/z2IKqULAdu
1270786430630006785,2020-06-10 18:34:29,3,0,"Mulheres Negras na política na era da pandemia na Diáspora negra
https://t.co/V7ViiCQunZ https://t.co/3kuBNhdnzh"
1270419038229991425,2020-06-09 18:14:36,14,4,Alunos da UFRB criam animação acessível em Libras sobre o novo coronavírus https://t.co/gFWxUhSqEW https://t.co/RHoB4Er8p9
1268961801271738370,2020-06-05 17:44:04,3,1,UFRB disponibiliza e-books gratuitos com temas sobre a pandemia do coronavírus https://t.co/NjzP0PAStC https://t.co/wWsDODTutY
1268643956901982213,2020-06-04 20:41:04,2,1,Lives do Cecult - Solidariedade social em tempos de pandemia da Covid-19 https://t.co/fNaLDX004h https://t.co/VdYwgBKLp4
1268513713490968580,2020-06-04 12:03:31,4,0,Problemas urbanos e desigualdades sociais em tempos de pandemia https://t.co/OCPYUlyGH8 https://t.co/QrTu5gubPI
1268158369820561408,2020-06-03 12:31:31,12,3,Pesquisadores da UFRB desenvolvem aplicativo para monitorar coronavírus https://t.co/eI6FIJ4MYU https://t.co/77JNbaXob1
1268154295553265664,2020-06-03 12:15:19,1,0,CISO.UFRB in lives - Redes de trocas quilombolas em tempos de pandemia https://t.co/yt3rE3VVeA https://t.co/XvQ8gKnkNY
1266068530170146821,2020-05-28 18:07:14,2,0,"Invisibilidade e Distanciamento Virtual: Mulheres e violência de gênero. Antes, durante e pós pandemia. https://t.co/VMhPYFhgQQ https://t.co/qlU7PWwdEX"
1265964711348240384,2020-05-28 11:14:42,2,0,Lives do Cecult - Quem cuida de quem? Desafios das mães-pesquisadoras em meio à pandemia https://t.co/t4yjbvaY5Y https://t.co/BtbOQSRJuO
1265639439449165824,2020-05-27 13:42:11,4,0,Projeto da UFRB cria materiais audiovisuais para colaborar no enfrentamento da pandemia https://t.co/kTCziO9Cgf https://t.co/1qwblK7spB
1264900969848078337,2020-05-25 12:47:46,0,0,Ciclo de Lives do CCS - Estresse e pandemia numa perspectiva neurocientífica https://t.co/aie0oKjQIJ https://t.co/f4AG8Dqh5H
1262349735429656576,2020-05-18 11:50:04,2,0,CISO Inter Cursos lives - Evolução do coronavírus e medidas preventivas https://t.co/2SthfqHGUg https://t.co/AZEBAMJDmh
1261264192075685889,2020-05-15 11:56:31,1,0,Ciclo de Lives do CCS -Isolamento social fora do armário: os desafios dos LGBTs diante da pandemia https://t.co/I3gHfaXmab https://t.co/uVI2K9i8ky
1261264004766408706,2020-05-15 11:55:46,0,0,Ciclo de Lives do CCS - A pandemia da COVID-19 e as desigualdades em saúde no Brasil e no mundo https://t.co/4z8DxltOBv https://t.co/siR4DXCKqE
1260902448643932160,2020-05-14 11:59:04,0,0,Ciclo de Lives do CCS - O cuidado com as crianças em tempos de pandemia https://t.co/GJWWhufUHQ https://t.co/sRUJNAhxAG
1260895074080239616,2020-05-14 11:29:46,2,0,CISO.UFRB in lives Importância do SUS na pandemia https://t.co/JGeh2bQ7cS https://t.co/RCzIMrbMN4
1260542303774617603,2020-05-13 12:07:59,0,0,CISO.UFRB in lives Combate do coronavírus nas favelas de Salvador https://t.co/VvNuRJ3VFW https://t.co/siGRqgQ1L8
1259808824451641344,2020-05-11 11:33:24,0,0,"CISO INTER CURSO ""O Serviço Social no enfrentamento da pandemia"" https://t.co/7y9GMPuRIY https://t.co/yuhF7Yn1tF"
1259104257879478272,2020-05-09 12:53:42,2,0,Ciclo de Lives do CCS - Gestão e rede de cuidado: reflexões e possibilidades de atuação (de)frente a pandemia https://t.co/bbUPJTNl6Q https://t.co/2nyzbw7Ypo
1258096098188701702,2020-05-06 18:07:38,1,0,UFRB promove ciclo de lives sobre o novo coronavírus CoVid-19 https://t.co/VQYKogOB1B https://t.co/EpwVgGPj4s
1258088643941617666,2020-05-06 17:38:01,1,0,Ciclo de Lives do CCS - Saúde mental em tempo de pandemia https://t.co/qAlcm3Kp6t https://t.co/XPjNqmuizu
1257998753556037632,2020-05-06 11:40:49,2,2,UFRB cria cartilha sobre saúde mental em tempos de coronavírus https://t.co/7Z0sRAlAeP https://t.co/Jv5EquyBBY
1257366998859886602,2020-05-04 17:50:27,0,0,Lives do Cecult - Fake news na pandemia: os riscos da pós-verdade https://t.co/pqFr33nmEV https://t.co/jO5OR9Ybfs
1256374019990978566,2020-05-02 00:04:43,6,2,Conversa com a Direção do CETENS sobre a pandemia da COVID-19 https://t.co/2h3pQ7zxdV https://t.co/4hNs6qj3BK
1255915530319540224,2020-04-30 17:42:50,1,0,Lives do Cecult - Educação Digital em tempos de pandemia: limites e possibilidades https://t.co/BucdVWv97y https://t.co/LhFncttD8z
1250399057471778816,2020-04-15 12:22:21,2,1,UFRB produz vídeos com informações em Libras sobre o novo coronavírus https://t.co/BbWquHkvWS https://t.co/zExJ7cPDSJ
1244995572559478785,2020-03-31 14:30:50,3,0,"UFRB produz série de podcasts sobre novo coronavírus, vida e políticas públicas https://t.co/fK2V6avlKZ https://t.co/877r98Bzg9"
1243279948477075456,2020-03-26 20:53:33,3,0,UFRB divulga plano de contingência sobre coronavírus CoVid-19 https://t.co/yXXHN4IrTb https://t.co/hDezpm8wWY
1240292106507358208,2020-03-18 15:00:56,1,0,UFRB lança hotsite com informações sobre a pandemia do coronavírus https://t.co/xdjDb5AYZe https://t.co/kz0MHcVBaR
1240264073650069508,2020-03-18 13:09:32,4,0,UFRB divulga medidas adotadas diante da pandemia do coronavírus https://t.co/fC2TMgzDNC https://t.co/J7EXr0PJG8
1240263988350521345,2020-03-18 13:09:12,5,0,UFRB participa de reunião do Governo sobre o novo coronavírus COVID-19 https://t.co/OtjlEjBzcU https://t.co/p9rXbhFrD7
1238614593485918210,2020-03-13 23:55:06,6,1,Nota da Reitoria da UFRB sobre a pandemia do coronavírus COVID-19 https://t.co/uR9HbMHFdO https://t.co/A6ectL6zCa
1237746987006648322,2020-03-11 14:27:32,3,1,"Medidas simples podem ajudar a evitar a contaminação. A transmissão do coronavírus costuma ocorrer pelo ar ou por contato pessoal com secreções contaminadas. Por isso, é importante reforçar os cuidados. Fique ligado para mais dicas de saúde! https://t.co/MQG8HTAWFg"
1237746957977882624,2020-03-11 14:27:25,6,3,"Medidas simples podem ajudar a evitar a contaminação. A transmissão do coronavírus costuma ocorrer pelo ar ou por contato pessoal com secreções contaminadas. Por isso, é importante reforçar os cuidados. Fique ligado para mais dicas de saúde! https://t.co/l2M2iB9HUq"
1235253334778548226,2020-03-04 17:18:39,2,0,"Dia 06/03, às 10h, tem transmissão ao vivo da Mesa Temática ""SARS, MERS e a nova pandemia de coronovírus"" no Facebook da UFRB https://t.co/FhclbIC5Q4. A atividade faz parte da programação do Reencôncavo Saúde https://t.co/nieNi2ORTK https://t.co/41YW30GpR2"
