id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1314578894121504769,2020-10-09 14:50:06,19,0,"Reportagem do @jornaldaufrgs apresenta pesquisas que buscam compreender como as mudanças no mundo estão aparecendo nas atividades oníricas. Ainda, texto do UFRGS Ciência sobre 'O que você está sonhando durante a pandemia?'
https://t.co/a1MTS4Yekg
Ilustração de Caroline Sant’Anna. https://t.co/bvIIbdA01I"
1313912254971154434,2020-10-07 18:41:07,7,1,"Pesquisa da UFRGS em parceria com o @HCPA_ revela impactos na vida e na rotina de pacientes com doenças raras durante a pandemia. Foram coletados dados de 1.466 participantes de todo o país.
https://t.co/b8QCfJKLmV
#UFRGSMobilizada
#OrgulhodeSerUFRGS https://t.co/CAyRL89sbx"
1312121149493403648,2020-10-02 20:03:54,3,0,"@dudamaino_ Olá. O Vestibular acontecerá quando for possível e servirá de ingresso em 2021. No momento, por causa da pandemia, apenas não é possível definir essa data. https://t.co/KY4LpuJINM"
1311776349556805632,2020-10-01 21:13:48,9,3,"Hospital de Clínicas lança publicação sobre os nove meses de enfrentamento da covid-19

Obra destaca estratégias e ações desenvolvidas e o reconhecimento da contribuição das pessoas engajadas no combate ao novo coronavírus: https://t.co/HVijkGdmVa

#UFRGSMobilizada https://t.co/pQbLJFM6o8"
1310935786162921475,2020-09-29 13:33:42,7,0,"Pesquisa mede as mudanças de estilo de vida durante a pandemia. Os achados da primeira rodada foram publicados na ‘Revista de Psiquiatría y Salud Mental’.
Segunda rodada está aberta para a sua participação! https://t.co/tKj4DnGmc0
@EstiloVidaCovid 
Foto: Sérgio Louruz/SMAMS PMPA https://t.co/viTrBJuzwh"
1310925397316579328,2020-09-29 12:52:25,6,0,Controvérsias Nupergs debate direitos civis e sociais no combate à pandemia: https://t.co/jcY0z5b8rv https://t.co/6989xsPQNc
1310538397967175681,2020-09-28 11:14:37,0,0,"@gabriphant A Universidade está em trabalho remoto, devido à pandemia. Qual setor deseja contatar?"
1306977419178455045,2020-09-18 15:24:33,13,4,Confere o material que o Núcleo de Apoio ao Estudante (NAE/UFRGS) preparou para facilitar os estudos em tempos de pandemia - https://t.co/6rpISHglHE https://t.co/K70yXfxqbp
1306685650838618115,2020-09-17 20:05:10,121,18,"Iniciação Científica produz pesquisas em diversas áreas sobre a pandemia de Covid-19 - Alunas da graduação contam a experiência e os resultados das investigações nas áreas de empreendedorismo e de saúde no SIC: https://t.co/rOFVy6Mlgu

#SalãoUFRGS2020 #SalãoUFRGSVirtual https://t.co/SLeBSOPGoJ"
1306285975291736064,2020-09-16 17:37:00,6,0,@guilhermsuminsk @ufrgs Olá. Boa tarde. O vestibular está adiado por causa da pandemia. Aguarde as atualizações e acompanhe nosso perfil @ufrgsnoticias
1305845613830057984,2020-09-15 12:27:10,28,7,Pesquisa da UFRGS e da UFCSPA sobre influência da pandemia no consumo de álcool e drogas convida participantes - https://t.co/0nVZarZjFI https://t.co/7hoIrc5aUS
1305625256565014528,2020-09-14 21:51:33,17,2,"Saiba como foi a Abertura do Salão UFRGS 2020

📚Salão UFRGS estreia com relatos de vivências estudantis na pandemia: https://t.co/sm0ohBwmLJ
#SalãoUFRGS2020 #SalãoUFRGSVirtual https://t.co/ANXJofUKY6"
1305610066691788806,2020-09-14 20:51:11,2,0,"@isammlara Olá. Diante da pandemia, a data do vestibular segue adiada e será publicada apenas quando isso for possível. Atualizações serão amplamente divulgadas. https://t.co/KY4Lpus7We"
1305549939901169664,2020-09-14 16:52:16,8,2,"Acompanhe a conferência “A ciência no combate à pandemia de covid-19 no Rio Grande do Sul”, com Pedro Hallal (foto): https://t.co/YSl8XZM6pr ou https://t.co/1qXYWpDPzf

#SalãoUFRGS2020 #SalãoUFRGSVirtual
https://t.co/4mjJnBA3GE https://t.co/YuaWlbvM2q"
1305547024692121605,2020-09-14 16:40:41,2,0,Perdeu a abertura do Salão UFRGS? Foi muito especial ver o relato de três estudantes sobre os impactos da pandemia em áreas diferentes. Veja a íntegra no canal do Youtube da @ufrgstv :https://t.co/ALJihjpTDc
1305527390433677312,2020-09-14 15:22:40,8,1,"Fim da Cerimônia de Abertura do Salão UFRGS 2020 - Às 14h tem a conferência do pesquisador e reitor da @UFPel Pedro Hallal (em https://t.co/1qXYWpDPzf), com o tema “A ciência no combate à pandemia de COVID-19 no Rio Grande do Sul”

#SalãoUFRGS2020 #SalãoUFRGSVirtual"
1305489893750169601,2020-09-14 12:53:40,5,0,"@pedrogobbato Olá. O Vestibular está confirmado, mas, devido à pandemia, uma data será confirmada assim que for possível e seguro. https://t.co/KY4Lpus7We"
1305481374619570176,2020-09-14 12:19:49,11,6,"Participe da segunda etapa da pesquisa que investiga como a pandemia afeta a vida das pessoas no RS. 
https://t.co/Tn56diBA2B
https://t.co/UkK3g3cgkA
#UFRGSMobilizada https://t.co/oI8mvqlNz5"
1304808332646068226,2020-09-12 15:45:23,14,6,"Entrevista com Pedro Hallal, conferencista desta segunda-feira do #SalãoUFRGS2020 - Reitor da UFPEL e coordenador de uma das mais amplas pesquisas sobre covid-19 no mundo afirma: “As universidades têm sido gigantes frente à pandemia de coronavírus”: https://t.co/ndAihBfwQd https://t.co/TVmBEH1KaR"
1304484225035440130,2020-09-11 18:17:30,48,20,"#SetembroAmarelo 💛
Estamos vivendo um período atípico e é normal que você não consiga fazer tudo aquilo que fazia antes. Não se cobre demais! E lembre-se de ser generoso consigo mesmo: valorize as coisas legais que tem conseguido fazer mesmo em meio a uma pandemia. https://t.co/5ye4xzS16y"
1303801031227256833,2020-09-09 21:02:43,2,2,Os desafios da terminalidade na pandemia da covid-19 é o título de curso online. A Liga Acadêmica de Enfermagem realiza a capacitação nos dias 15 e 17 de setembro. A atividade é gratuita e aberta ao público. https://t.co/dQOckN3JUK https://t.co/i5awUomULG
1303799845132607489,2020-09-09 20:58:01,9,3,"Agende-se
O pesquisador e reitor da @UFPel Pedro Hallal realiza a conferência online "" A ciência no combate à pandemia de covid-19 no Rio Grande do Sul"". Evento do SIC do Salão UFRGS
&gt; Evento lá no Facebook: https://t.co/EzFUnCUCrZ
#SalãoUFRGS2020 #SalãoUFRGSVirtual https://t.co/ypc8bKLmaq"
1303428528415924230,2020-09-08 20:22:32,7,1,"Qual é o teu jeito de reinventar a vida na pandemia?
A Ponto UFRGS quer saber o que tem sido feito para ressignificar esse momento de tantas incertezas.

Acompanhe no Instagram: https://t.co/wlGX4VrXVg

#salãoufrgs2020 #salãoufrgsvirtual #PontoUFRGS https://t.co/8aMp23Yf77"
1303343215597232129,2020-09-08 14:43:32,6,0,"@carolhentgess @caieradott O Vestibular 2021 ainda não tem data de realização nem de inscrições, devido à pandemia."
1303319292918849538,2020-09-08 13:08:28,7,0,"Ensino em tempos de pandemia é tema de evento online dia 10. A atividade será na quinta-feira, a partir das 15 horas, com transmissão no canal do GEPPEM: https://t.co/Wdy9yuB25c. 
#UFRGSMobilizada https://t.co/SiReZZ7AV5"
1301546578428276745,2020-09-03 15:44:20,51,16,"Ferramenta desenvolvida na UFRGS permite identificar focos de disseminação do novo coronavírus.
CityZoom Analytics utiliza base de dados de pessoas infectadas para identificar ambientes de maior incidência dentro da cidade.
https://t.co/tGiaUD8E13
#UFRGSCiência
#UFRGSMobilizada https://t.co/scxg6AGbhL"
