id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1317106486334660611,2020-10-16 14:13:51,15,1,"Curso de extensão presta homenagem a Aritana Yawalapiti. Liderança do Xingu faleceu no mês de agosto, aos 71 anos, em decorrência da COVID-19. Desde o início da pandemia, 158 etnias foram afetadas.
https://t.co/ag5A70bX12

#ufrj https://t.co/71I1IzZWvC"
1316808841087123456,2020-10-15 18:31:07,11,1,"as formas de ensino e, mais recentemente, atuando nas aulas remotas. Também conduziram pesquisas, muitas delas direcionadas ao combate ao novo coronavírus, reforçando ainda mais a relevância social da UFRJ em temas tão cruciais para a sociedade. (+) https://t.co/c5fCFQWsaq"
1316808831511523328,2020-10-15 18:31:05,34,4,"Surpreendidos pela pandemia, os professores não mediram esforços para continuar presentes nas vidas dos seus alunos, de diferentes maneiras e em todos os segmentos da educação. Na Universidade, seguiram orientando, conduzindo projetos de extensão, debatendo ativamente (+) https://t.co/QzZkDgbye3"
1311710797199007745,2020-10-01 16:53:19,56,11,"Hospital Universitário: avanço na estrutura e destaque no atendimento. Parcerias e doações contribuíram para que o HUCFF desenvolvesse sua estrutura e se destacasse no atendimento durante pandemia. https://t.co/bnSPUJIpNt

#ufrj #hospitaluniversitário https://t.co/6SVl0f0fa8"
1303802200112664577,2020-09-09 21:07:22,13,3,"Nesta quarta-feira, 9/9, a Prefeitura Universitária (PU) emitiu nota em que anuncia a suspensão das linhas especiais criadas para atender à comunidade universitária envolvida no combate ao coronavírus na UFRJ. https://t.co/Iys07EWaad 

#ufrj #transporte #prefeiturauniversitária https://t.co/iYXO1a79Wj"
1303059015686127616,2020-09-07 19:54:13,46,14,"Depois da solenidade de comemoração dos 100 anos, você pode assistir com a gente ao documentário “Centenária: a Universidade do Brasil entre duas pandemias”.

Acesse https://t.co/CH0GTghhWO

Participe usando as hashtags #UFRJFaz100anos e #SerUFRJ.

 #NossaHistoriaSeuFuturo https://t.co/z5X6k3a5Tf"
1303015491699716101,2020-09-07 17:01:16,291,94,"Assista ao documentário ""Centenária: A Universidade do Brasil entre duas pandemias"" que conta os 100 anos da UFRJ em 18 minutos https://t.co/yeg8yzG6M9

Conte pra gente o que achou usando as hashtags #UFRJFaz100anos e 
#SerUFRJ

#NossaHistoriaSeuFuturo https://t.co/X0ylsarMdg"
1302350757933584386,2020-09-05 20:59:51,46,15,"No dia 8/9, teremos um dia repleto de atividades com arte, os desafios para a ciência e o mundo pós-pandemia e as entregas dos títulos de honoris causa para Nísia Trindade e Noca da Portela. https://t.co/uiThJP6IZj"
1301985666084081667,2020-09-04 20:49:07,7,2,"Às 17h30, a última mesa, com o tema “A universidade do futuro: a ciência e o mundo pós-pandemia”. Os convidados: a reitora, Denise Carvalho; o vice-reitor, Carlos Frederico Leão Rocha; Débora Diniz; Paulo Artaxo; Silvio Almeida; e a mediadora da mesa, Tatiana Roque. https://t.co/Z8KTxFizfG"
1301985652515495936,2020-09-04 20:49:03,5,3,"Ainda no dia 7, às 19h30, teremos o lançamento do documentário “Centenária: a Universidade do Brasil entre duas pandemias”, uma produção do @forumufrj especialmente para os 100 anos. https://t.co/WQAEcdvm88"
1301605802265006081,2020-09-03 19:39:40,76,20,"Para celebrar seu centenário, a Universidade realizará dois dias de intensa programação virtual, em respeito às regras de isolamento social impostas pela pandemia da COVID-19. https://t.co/AIJn1qRQbd

#ufrj #ufrjfaz100anos https://t.co/vFNCGt3L7l"
