id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1316354094030782465,2020-10-14 12:24:07,1,0,"Pessoal!

É hoje, das 14h30 às 17h30, o minicurso Teleatendimento de Nutrição: uma estratégia de assistência na atenção primária à saúde em tempos de pandemia.

Inscrições gratuitas, pelo Sigaa👉🏽 https://t.co/M3EiAmMIda

#ufrn"
1316353342596100097,2020-10-14 12:21:08,6,3,"Dica da @SBPCnet:

A Mostra “As Ciências e a Pandemia de Covid-19″, que visa estimular e ajudar a promover e difundir iniciativas audiovisuais de divulgação e conscientização sobre a pandemia de coronavírus no Brasil, está com inscrições abertas até 16/10! https://t.co/ZBcD9SHBoN"
1316117687089721344,2020-10-13 20:44:43,4,0,"Pessoal!

Amanhã (14) acontece o minicurso Teleatendimento de Nutrição: uma estratégia de assistência na atenção primária à saúde em tempos de pandemia, de forma remota, das 14h30 às 17h30.

Inscrições ➡️https://t.co/0jCXzaFsGI

#ufrn"
1316075199754915840,2020-10-13 17:55:53,2,0,"Em tempos de pandemia, o Departamento de Artes (Deart) promove o I Ciclo de Conversas Perspectivas em Arte Contemporânea: gênero e invisibilidades, dias 16 e 26 de outubro e 6 de novembro, às 18h, no Google Meet.

Participe👉https://t.co/fhQnygm71j

#ufrn"
1314534208879169537,2020-10-09 11:52:32,4,0,"O que vocês vão fazer neste feriado prolongado?

Não esquecer que o invisível coronavírus continua rondando.

Cuidar-se é preciso💪🏼 https://t.co/ia4SzLRLaZ"
1313576932597006337,2020-10-06 20:28:40,5,0,"Pesquisa de professores e doutorando da UFRN revela a atuação das Universidades Públicas durante pandemia do novo coronavírus.

Reúne 69 instituições federais em todas as cinco regiões do Brasil 👉🏽 https://t.co/TDEY6vE3jz

#ufrn"
1313181538822037505,2020-10-05 18:17:31,2,0,"Com debate sobre trabalho infantil e impactos durante a pandemia, o Núcleo de Estudos sobre Trabalho Infantil (Netin), em parceria com o @TRT21RN, lança quinta-feira (8) o seu primeiro E-book, às 15h30.

Participe👉https://t.co/MrDrXpmKmf

#ufrn https://t.co/zX5d8liOEL"
1311749491473739776,2020-10-01 19:27:04,5,3,"Hoje é o Dia Mundial do Idoso👏🏼🏆👏🏼

Para comemorar, o projeto Inclusão Digital para Idosos – Proeidi, do @metropoledigi, realiza sábado (3), 15h, evento sobre os impactos que a pandemia e o isolamento social vêm causando à população da terceira idade👉🏽 https://t.co/SqhXteAkD1"
1311680562059530241,2020-10-01 14:53:10,2,0,"Olhem que legal essa iniciativa do Dase/Proae, diante da ansiedade frequente nos dias atuais.

A pandemia e o retorno às aulas em novo formato podem ter relação com a vivência de sintomas ansiosos.

Participem! As vagas são limitadas!

#ufrn #dase https://t.co/E0sfcExfoB"
1311039209776521220,2020-09-29 20:24:40,17,1,"Se liga!

Que a partir de amanhã (30)  o Google Meet volta a restringir o serviço que, desde o início da pandemia da covid-19, estava disponível em sua versão mais completa que permitia a utilização do serviço de forma ilimitada.

Acompanhe os detalhes👉🏽 https://t.co/InS9MfbCzM https://t.co/QPaf81sajb"
1310669180421758977,2020-09-28 19:54:18,1,1,"O Núcleo de Educação da Infância (NEI) realiza quinzenalmente ações do projeto “Ciranda de sons e tons na pandemia: por uma educação estética”, para que as crianças apreciem estética e cultural, nas diversas linguagens artísticas👉🏽 https://t.co/L7XBuzidMx

#ufrn"
1309102706481598467,2020-09-24 12:09:41,3,0,"realizando pesquisa para avaliar os impactos da pandemia de covid-19 sobre o trabalho, a saúde e os hábitos da população. 

Contamos detalhes aqui👉🏽 https://t.co/F9SfgajHIu

#ufrn"
1308149096541282307,2020-09-21 21:00:23,5,1,"Pesquisa da UFRN indica que durante a pandemia houve um aumento da participação dos homens na divisão das tarefas do lar. 

Atividades, entretanto, que continuam sobrecarregando majoritariamente as mulheres👉https://t.co/sMYLUsO2Gg

#ufrn"
1306201948719394816,2020-09-16 12:03:07,9,5,"Bom dia, malta 👐🏼

A Proae divulgou uma lista de contatos de responsáveis por diversos setores para auxiliar os estudantes durante a pandemia.

Para conferir 👉🏽https://t.co/WoPrYHwAPb👍🏼 https://t.co/x7sGtiRBM0"
1304520013789966337,2020-09-11 20:39:42,31,3,"Fim de semana chegando, eis o que o nosso RU (Restaurante Universitário) aprontou para vocês se jogarem na cozinha😋😉😍

Muito bom fim de semana a todos🙌🏼

E não esqueçam de se cuidar e espantar esse mau coronavírus 💪🏼 https://t.co/7PMfr3qKQ8"
1303774069700071430,2020-09-09 19:15:35,2,1,"A Coordenação Pedagógica de Educação a Distância (Sedis/#UFRN), promoverá, a partir do dia 16 a série de webinars: Como estamos vivendo em tempos de pandemia: vamos conversar sobre nós?▶️https://t.co/FF7hKYLXtD"
1303410959625719810,2020-09-08 19:12:43,3,0,"Conheça o Pequeno Manual para os Cientistas Viverem o Mundo Pós-pandemia da Covid-19➡️https://t.co/88ZJcqonGP

#ufrn #ufpe https://t.co/GSwKzuqIM0"
1301980708215369728,2020-09-04 20:29:25,5,1,"Para marcar o Dia Mundial da Segurança do Paciente 2020, dias  16 e 17 têm o simpósio Lições aprendidas durante a pandemia de Covid-19 para melhoria da qualidade, da segurança do paciente e dos profissionais na Rede Ebserh👉🏽 https://t.co/fWSXBrR9Hj"
1301895322826932224,2020-09-04 14:50:07,7,1,"Por que os fumantes correm mais risco de contrair o novo coronavírus, de adoecer e de apresentar formas agravadas de covid-19?

Vídeo alerta para relação entre tabagismo e agravamento da doença 👉🏽 https://t.co/fO0BCFtugm

#ufrn #covid19 https://t.co/l9zuEzq23w"
1301259191819132928,2020-09-02 20:42:22,7,2,"👏Desde o início da pandemia de covid-19 no Brasil, a Funpec vem realizando diversas doações de equipamentos de proteção individual (EPI). 

Dessa vez, doou 510 protetores faciais, os faces shields, a 5 setores da UFRN.

Contamos aqui➡️https://t.co/1gY4qcMf79

#ufrn #covid19"
1300896585128333315,2020-09-01 20:41:30,7,4,"Olha a dica da Escola Agrícola de Jundiaí (EAJ):

“Celular é mais sujo que sola de sapato”.

E ensina como limpar e se proteger do novo coronavírus:

#ufrn #celular #eaj https://t.co/7ynWIseY9X"
1299410154358702086,2020-08-28 18:14:57,15,7,"O bravo Hospital Universitário Ana Bezerra (HUAB) também não mediu esforços para enfrentar a covid-19.

Seis meses após o início das ações, a unidade presta contas 
das medidas e realizações na luta contra o novo coronavírus.

Contamos aqui👉🏽 https://t.co/Kf3Gn6yUGZ

#ufrn"
1298674291798671361,2020-08-26 17:30:54,2,0,"A #UFRN foi convidada pela @UFPel para discutir os Desafios do ensino universitário em tempos de pandemia, amanhã (26), 18h, no projeto de lives UFPel Talks.

A pró-reitoria Maria das Vitórias de Sá compartilhará nossa experiência do ensino remoto👉🏽 https://t.co/Yl2TQhDeK1"
1298338581375856640,2020-08-25 19:16:54,1,0,"O preenchimento do questionário leva cerca de 10 minutos e pode ser respondido através deste link👉https://t.co/xSSsBp5tcH

#pandemia #ice #covid #pesquisa"
