id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1316746959307276288,2020-10-15 14:25:13,5,0,"Em artigo publicado no Portal da UFRRJ, o professor Aristóteles Berino reflete sobre o exercício da docência na pandemia de Covid-19. #DiadosProfessores #15out #UFRRJ
https://t.co/9KZErmADt5"
1316445483301244931,2020-10-14 18:27:16,1,1,"O CEA/UFFRJ recebe hoje às 16:30h o professor Ildeu Moreira, presidente da SBPC, para tratar da luta em defesa da ciência nesse contexto da pandemia. Participe, dê sua opinião, registre seu depoimento por meio do nosso canal do YouTube: https://t.co/Kzo6JgMe67"
1313108696449323008,2020-10-05 13:28:04,22,6,Reportagem do UOL Notícias reúne estudos de instituições públicas de ensino superior sobre a eficiência de medidas de isolamento social no combate à pandemia de covid-19. A Rural é uma das instituições que desenvolveu pesquisas sobre o tema. https://t.co/DxL7kvH51P
1308875811148136449,2020-09-23 21:08:05,4,2,Posso fazer retransmissão de eventos online nas minhas redes sociais livremente? veja a orientação do projeto Direito em tempos de pandemia em nosso canal no YouTube https://t.co/2V0hrF0zcN via @YouTube
1302990038796570624,2020-09-07 15:20:08,3,3,"Como requerer pensão por morte para filhos? | Veja a resposta do projeto Direito em tempos de pandemia, do Instituto Multidisciplinar.  https://t.co/Usk9auiajV via @YouTube"
1301184994728181763,2020-09-02 15:47:32,22,8,"Redes sociais do PET Floresta debatem questões socioambientais durante a pandemia. Entre as iniciativas desenvolvidas no Facebook e no Instagram, destaca-se a divulgação de #cartilhas. +"
1296509902236655617,2020-08-20 18:10:23,13,2,"Nossa arma é a informação! Acesse os canais de comunicação da UFRRJ. 

Notícias, orientações institucionais e ações realizadas durante a pandemia estão no site: https://t.co/E7lBL7qhMM https://t.co/kljLXuUhb4"
1293554754459709446,2020-08-12 14:27:41,1,1,Docentes da UFRRJ integram projeto sobre turismo em tempos de pandemia. https://t.co/50sK7pk7GQ https://t.co/4ISTk2CCZC
1292116569691164673,2020-08-08 15:12:51,0,0,"O Grupo de Pesquisa de Estudos Sociais em Hospitalidade e Lazer, vinculado ao Departamento de Economia Doméstica e Hotelaria, está realizando pesquisa sobre rotinas técnicos administrativos e docentes em contexto da pandemia, o impacto no cotidiana e nas práticas de consumo."
1292116567967379457,2020-08-08 15:12:50,2,0,"Pesquisa investiga práticas de consumo dos servidores durante a pandemia
https://t.co/Qaolr6rD59"
1291744993019924481,2020-08-07 14:36:20,84,28,Professor da Rural apresenta trabalho com mapas sobre a pandemia no RJ. https://t.co/P7LYFBw9Sx https://t.co/VofuQuZlm5
1291065358170968064,2020-08-05 17:35:42,0,0,"O documento apresenta conflitos e violações de direitos ocorridos no contexto das medidas emergenciais de enfrentamento da pandemia, entre abril e junho de 2020. Foi dado maior destaque aos municípios de Seropédica, Nova Iguaçu e Três Rios, que abrigam câmpus da Universidade."
1290733047806033922,2020-08-04 19:35:13,86,24,IQ/UFRRJ participa de pesquisa sobre novo teste para coronavírus. https://t.co/xsGyIkTV1p https://t.co/3oM6p0is1B
1290645157696753669,2020-08-04 13:45:59,3,2,"Esta cerimônia em modo remoto é exclusivamente para atendimento aos discentes que realizaram o agendamento de colação de grau extraordinária, que seria no dia 24/03, e foi suspensa devido à pandemia. 

Saiba mais: https://t.co/UPFK99A7Ud"
1290328407973273600,2020-08-03 16:47:20,2,0,Demissão durante a pandemia? Ouça as orientações do projeto Direito em tempos de pandemia sobre o que pode e o que não pode https://t.co/fVcw69Wn8J via @YouTube
1289259032855941120,2020-07-31 17:58:01,9,3,"O excesso de reuniões de trabalho por videochamadas durante a pandemia tem gerado relatos de exaustão mental cada vez mais recorrentes.

Saiba mais sobre esse fenômeno em: https://t.co/iQ5bzu6RYl"
1283425397078667265,2020-07-15 15:37:14,3,1,A pesquisa tem o intuito de coletar informações sobre a realidade e situações vivenciadas pelos estudantes nesse período de isolamento social em função da pandemia de Covid-19
1283076854505705473,2020-07-14 16:32:15,8,2,"O DAPA convida toda a comunidade acadêmica para o webinar ""Trabalho informal e a pandemia"". 

O webinar será transmitido no Facebook do DAPA https://t.co/lRrZPBwhaa, no dia 15 de julho , às 18h. A live também será publicada no IG TV @dapadireitoufrrj. https://t.co/AuVlXHTNlo"
1280488366971240456,2020-07-07 13:06:31,1,0,O boletim é uma publicação da iniciativa Comunicação e Alimentação desenvolvida pelo projeto de extensão Comunicação e Conscientização durante a pandemia de Covid-19.
1278007710013960193,2020-06-30 16:49:16,8,2,"Em novo vídeo, projeto de extensão Música, Imagens e Ciência na Trajetória dos Homens-Macaco!  provoca reflexão sobre o crescimento da fome no mundo devido a pandemia de Covid-19. Confira:
https://t.co/UiA7pVCClf"
1275842020968407041,2020-06-24 17:23:36,4,3,"A Prograd comunica que a colação de grau será realizada em modo remoto no menor prazo possível. Ela é voltada aos discentes que realizaram o agendamento de colação de grau extraordinária, que seria no dia 24/03, e foi suspensa devido a pandemia.

https://t.co/FecG8hBRlH"
1273593248418758656,2020-06-18 12:27:47,1,0,"De acordo com Suelen Geozi, membro titular no Cepe, o perfil auxiliará nos debates sobre Estudos Continuados Emergenciais (ECE) que se desenvolvem nos órgãos colegiados e subsidiará o desenvolvimento de políticas educacionais não-excludentes em tempos de pandemia."
1273593198414348289,2020-06-18 12:27:35,1,0,O objetivo da pesquisa é traçar um perfil dos estudantes da UFRRJ para melhor entendimento das condições de moradia durante o período de isolamento social decorrente da pandemia de Covid-19.
1273378883455332355,2020-06-17 22:15:58,3,0,"A Universidade Federal Rural do Rio de Janeiro (UFRRJ) foi citada pelo projeto Feira de Agricultura Familiar (FAF), que tem auxiliado agricultores familiares da Baixada Fluminense na comercialização de seus produtos durante o período de pandemia."
1273378881827934210,2020-06-17 22:15:58,0,0,"Andifes lança vídeo com ações das Universidades durante a pandemia
https://t.co/riGikLyKa5"
1272925222161842176,2020-06-16 16:13:17,5,4,"O segundo número do Boletim sobre Sistemas Populares de Abastecimento Alimentar apresenta a experiência de agricultoras urbanas da Serra da Misericórdia, no Complexo da Penha, durante a pandemia de #Covid19.  
https://t.co/ChZmnvVyud"
1271538966953672711,2020-06-12 20:24:48,3,0,"""Como os idosos podem se exercitar durante esse período de pandemia?"" 
O professor do Departamento de Educação Física e Desportos da UFRRJ, Bruno Ramalho, ensina como fazer.

https://t.co/CsnabKjcJi"
1270760312027918336,2020-06-10 16:50:42,2,0,"O projeto ‘Ações de educação popular em saúde em período de pandemia  pela Covid-19’, está promovendo diversas ações que visam o combate às fake news, que cada vez mais vem sendo disseminadas na sociedade.
https://t.co/EjTAJo0i1X"
