id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1314632606663815168,2020-10-09 18:23:32,2,0,Pesquisa da UFSCar analisa condições e perspectivas para a Educação Infantil e a infância em tempos de pandemia: https://t.co/9l30bDxRLh
1311349818841862148,2020-09-30 16:58:55,1,0,Pesquisa da UFSCar investiga fatores comportamentais e experiências vivenciadas durante a pandemia de Covid-19: https://t.co/PIyx4CEcju
1306959975324045312,2020-09-18 14:15:14,4,1,Pesquisa busca voluntários para avaliar a relação dos profissionais da Saúde com o luto durante a pandemia. https://t.co/rzCeGcVgIq
1306269041288413184,2020-09-16 16:29:43,1,0,Pesquisa analisa percepções de familiares de crianças com síndrome de Down e autismo sobre o ensino na pandemia: https://t.co/MZahPjvVqg
1305506865179131905,2020-09-14 14:01:06,1,1,Pesquisa busca voluntários para investigar apoio comunitário a pessoas com deficiências durante a pandemia. https://t.co/PjYhFOA8tC https://t.co/Qyxj9ZEkX4
1301900404867977219,2020-09-04 15:10:19,3,0,UFSCar e UFABC lançam projeto para conscientização e resiliência no enfrentamento da pandemia de Covid-19: https://t.co/giLshYUloM https://t.co/SMClhRzxCM
1300801801063665664,2020-09-01 14:24:51,4,4,Pesquisa busca voluntários para investigar apoio comunitário a pessoas com deficiências durante a pandemia. https://t.co/kBrX9lLM2Z https://t.co/7h7UasuFZV
1298711592473772037,2020-08-26 19:59:07,1,0,Pesquisa analisa percepções de familiares de crianças com síndrome de Down e autismo sobre o ensino na pandemia: https://t.co/MZahPjek1G
1296883275177308160,2020-08-21 18:54:02,1,0,Livro aborda a Educação Infantil no contexto da pandemia. Lançamento será em 26/8. Saiba mais em https://t.co/PfzWeEUUuD
1296526431023923207,2020-08-20 19:16:04,1,1,Hospital Universitário da UFSCar realiza mais de 3 mil atendimentos por telemedicina desde o início da pandemia. https://t.co/eQtTAgWyrI https://t.co/fkLVxnUh7Q
1296471985099362304,2020-08-20 15:39:43,6,2,Pesquisa busca voluntários para avaliar a relação dos profissionais da Saúde com o luto durante a pandemia.https://t.co/CvGqakr9yQ
1296124891801047040,2020-08-19 16:40:29,1,0,Pesquisa da UFSCar investiga fatores comportamentais e experiências vivenciadas durante a pandemia de Covid-19: https://t.co/z9xPtAv2Id
1292864607934185472,2020-08-10 16:45:17,5,1,Estudo busca voluntários para análise dos impactos da pandemia de Covid-19 na saúde dos trabalhadores. https://t.co/mKbw8UAEPM https://t.co/42u9X0rYva
1290691382278066176,2020-08-04 16:49:40,4,0,"Com a pandemia, aumenta número de acessos ao Portal de Cursos Abertos da UFSCar. Saiba mais em https://t.co/dLRUs6Vk9k https://t.co/vqVGjIBuwx"
1288522173016137729,2020-07-29 17:10:00,0,0,Pesquisa da UFSCar busca voluntários para avaliar a relação dos profissionais da Saúde com o luto durante a pandemia. https://t.co/4n2bQ2gpl5 https://t.co/ChjNH4fSEH
1286353391824908289,2020-07-23 17:32:02,1,0,Estudo busca voluntários para análise dos impactos da pandemia de Covid-19 na saúde dos trabalhadores. https://t.co/VoZYTkl5Zv
1285998040621383680,2020-07-22 18:00:00,4,2,"Logo mais, às 16 horas! #live #discurso #pandemia #covid19 #coronavírus #ufscaroficial https://t.co/SPlCbAF1HN"
1285979212680179714,2020-07-22 16:45:11,7,2,"Logo mais, às 14 horas!  #live #coronavírus #covid19 #trilhadanatureza #ufscaroficial https://t.co/cxHcIfFqmK"
1285616320617361427,2020-07-21 16:43:11,4,0,Unidade Saúde Escola da UFSCar já atendeu remotamente 68 pacientes com disfunção física desde o início da pandemia. https://t.co/t39u2vGXPS https://t.co/dOWZQpsrY6
1284164562175000578,2020-07-17 16:34:24,3,0,"Crise e crítica no âmbito da pandemia é tema de live que acontece hoje, às 14 horas, na página do Facebook do #LEEDiMUFSCar: https://t.co/QK8Q0PCEEt https://t.co/Q7ppiVBFkb"
1283082555051380736,2020-07-14 16:54:54,3,1,"Agora, às 14 horas, ocorre a live sobre ""CTS em tempos de pandemia: Economia solidária, inovação, política e saúde"": https://t.co/rRkDrWFmwT"
1272604917769711616,2020-06-15 19:00:30,4,0,UFSCar restringe acesso ao fragmento do Cerrado do Campus São Carlos durante a pandemia. https://t.co/4yQiTTMQ0s
1272564148271042560,2020-06-15 16:18:30,3,0,Pesquisa da UFSCar analisa trabalho docente durante o isolamento social devido à pandemia da Covid-19. Saiba mais em https://t.co/AKu91sEw6y
1270773840080252930,2020-06-10 17:44:27,6,4,InformaSUS da UFSCar publica cartilha sobre a pandemia em línguas indígenas e entrevista sobre desgaste no trabalho. https://t.co/pRClS2KkF3
