id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1313180128768331788,2020-10-05 18:11:55,1,0,"O objetivo é que o conteúdo possa apoiar as escolas nos cuidados com os brinquedos, objetos essenciais para o aprendizado na infância, e que no atual momento de pandemia requerem cuidados para o uso seguro. 
A cartilha pode ser acessada pelo link: https://t.co/jwn5rk5b63"
1308524814102077440,2020-09-22 21:53:21,3,0,"O G1 Zona da Mata publicou uma matéria sobre pesquisa conjunta da UFJF e UFSJ a respeito do uso de EPIs por profissionais da saúde durante pandemia.

Para ler a matéria completa, acesse: https://t.co/8HT5xzMyjW https://t.co/HhQDnLdkhs"
1304110977617666050,2020-09-10 17:34:20,3,0,"Por intermédio do projeto ''UFSJ na prevenção à Covid-19'', a Universidade recebeu doações de 15 termômetros infravermelho (sem contato) e de 100 máscaras próprias para segurança durante a pandemia. 

Confira matéria completa em nosso site:

https://t.co/YZENGtOryu"
1301981364665954304,2020-09-04 20:32:01,4,0,"Listamos os contatos mais frequentes para dúvidas e acompanhamentos virtuais no período da pandemia, de assuntos como matrículas, Sisu, auxílios, dentre outros.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
Sentiu falta de algo? Ajude-nos a tornar a lista ainda mais completa."
1301269545362034689,2020-09-02 21:23:30,3,0,"Os dois auxílios são de fluxo contínuo e serão vigentes durante as restrições em decorrência da pandemia.

Para saber como pedir os auxílios, acesse: https://t.co/t11Ncb9M50"
1301269543449485320,2020-09-02 21:23:30,3,0,"2. Auxílio emergencial: destina-se aos discentes que não são beneficiados pelo Pase, mas que nesse momento encontram dificuldades socioeconômicas derivadas da pandemia. O auxilio tem o valor de R$408 ao mês."
1301269539229925378,2020-09-02 21:23:29,13,1,"Para atender os seus estudantes durante o período de pandemia, a UFSJ criou dois novos auxílios, destinados a atender estudantes que se encontram em situação de vulnerabilidade socioeconômica em função da pandemia de Covid-19. 

Segue o fio🧶 https://t.co/DnzEMhVw6R"
1297994589161304065,2020-08-24 20:30:00,1,0,"""Proex assegura espaços de atuação no cenário da pandemia""

Confira, em nosso Facebook, a matéria sobre as atividades desenvolvidas pela ProEx UFSJ nos primeiros cem dias de nova gestão da Reitoria: https://t.co/6wUnoPWGTh https://t.co/00CRfUMXzc"
1288882051785998337,2020-07-30 17:00:02,5,1,"@UfalOficial @ufmg A pesquisa que investiga um novo tratamento para o coronavírus é tema de uma matéria publicada no portal G1. Este é um projeto da UFSJ em parceria com a @ufmg e a @unifalmgOFICIAL 

Acesse:  https://t.co/gCKF6lCTrx    https://t.co/koYs25MzSX"
1288557406918713344,2020-07-29 19:30:00,4,1,"O Núcleo de Pesquisa e Intervenção nas Políticas sobre Drogas da UFSJ lança o ""Nupid na Rede"". A iniciativa que surge no contexto da pandemia e intensifica a divulgação científica e os debates sobre políticas públicas acerca das drogas.
Siga o @ nupidnarede no Instagram! https://t.co/31MTyYFhPY"
1287809982813974529,2020-07-27 18:00:00,7,0,"A UFSJ lançou o projeto ""UFSJ na prevenção à Covid-19"", que busca, junto às empresas, doações de termômetros infravermelhos e outros equipamentos que serão utilizados pela Universidade nas ações de enfrentamento da pandemia.

Leia: https://t.co/u3aWGaa5jE https://t.co/GXWZau5SUb"
1287779787147079686,2020-07-27 16:00:01,5,1,"O objetivo da cartilha é diminuir os riscos aos quais a comunidade acadêmica está exposta diariamente, durante a pandemia. A cartilha apresenta orientações individuais que podem ser aplicadas tanto no ambiente doméstico quanto no ambiente laboral.

Acesse: https://t.co/dCuNKV1ids https://t.co/1M5ApannPa"
1282755424253407233,2020-07-13 19:15:00,6,0,"Vicente de Paula Leão, Pró-reitor adjunto de Ensino de Graduação, fala em entrevista à TV UFSJ dos três possíveis cenários em relação ao ensino na Universidade por razão da pandemia.
Assista: https://t.co/l7eRBFo0MJ"
1281302101629587459,2020-07-09 19:00:01,5,1,"O Grupo de Alfabetização de Pessoas Idosas da UFSJ não parou. Durante a pandemia, os encontros presenciais continuam suspensos, mas as atividades seguem de forma remota.
Acesse a matéria do portal Noticias Gerais e conheça o projeto: https://t.co/Rj1QuOr00N https://t.co/TIzK3Hs7kd"
