id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1294302768216317952,2020-08-14 16:00:01,4,0,A primeira experiência da UFV no oferecimento remoto de disciplinas durante a pandemia da Covid-19 – o Período Especial de Outono (PEO) – foi debatida por professores e estudantes. https://t.co/0s4mIH79oI.
1288122821864902664,2020-07-28 14:43:07,13,0,"O curso de História da UFV completou 20 anos de criação, neste mês, e, diante da pandemia da Covid-19, o Departamento de História (DHI) preparou uma programação especial on-line para celebrar a data. https://t.co/5cosyGs2hS"
1285326521079562241,2020-07-20 21:31:37,7,0,"A UAES da UFV voltará a agendar consultas, a partir da segunda quinzena de agosto. O espaço estava funcionando, desde abril, como Unidade Covid-19, para atender somente pacientes com sintomas de contaminação do novo coronavírus. https://t.co/13FhFhLPLl"
1281243580263206913,2020-07-09 15:07:28,32,5,"UFV lança canal institucional de podcasts. Primeiro episódio tem como tema A Física no gerenciamento da pandemia e conta com a participação do professor Sílvio Ferreira Junior, do Departamento de Física. https://t.co/R4OsqX783n https://t.co/gFWk7LALBX"
1273676856735281152,2020-06-18 18:00:01,7,0,Pró-Reitoria de Extensão e Cultura abre chamada de R$350 mil para enfrentamento da pandemia e geração de emprego e renda: https://t.co/PGkvwhmcvS. https://t.co/UPPwlwZvO6
1270113876042846212,2020-06-08 22:02:00,29,2,A UFV já realizou mais de mil testes RT-PCR para detecção do novo coronavírus (SARS-CoV-2) e tem divulgado um boletim diário com a atualização dos números de amostras concluídas e as que se encontram em análise nos laboratórios do campus Viçosa: https://t.co/1YLlHg4BjU. https://t.co/DDa9fAreiz
1261351240929366016,2020-05-15 17:42:25,6,0,Chamada da UFV de apoio ao combate à pandemia seleciona seis propostas: https://t.co/2vGCuQ5JSr. https://t.co/gLA9wmMn9a
1260196601009786881,2020-05-12 13:14:17,21,6,Andifes divulga dados de contribuições das Instituições Federais de Ensino Superior para combate ao novo coronavírus. https://t.co/A5KA8KYaNb https://t.co/yF4EzUhMLf
1258504003639545857,2020-05-07 21:08:30,35,15,"Em apoio a #MarchaVirtualpelaCiência o professor Fabrício Valente gravou este vídeo comentando a importância das instituições de pesquisa brasileiras que estão atuando no enfrentamento da pandemia.
#paCTopelavida #fiqueEMCASAcomciência https://t.co/EfB8c7MPUN"
1258417227730161667,2020-05-07 15:23:42,57,14,"O professor Davi Lelis, do Departamento de Direito da UFV, participa da Marcha Virtual pela Ciência falando sobre o direito fundamental à vida neste momento de pandemia.
#paCTopelavida #fiqueEMCASAcomaciência https://t.co/xaDXZIbM6w"
1258414214433120261,2020-05-07 15:11:43,80,23,"A UFV colocou toda a sua estrutura de pesquisa à disposição da sociedade para combater o coronavírus. Juntos vamos passar por essa fase difícil.
#paCTopelavida #fiqueEMCASAcomciência #MarchaVirtualpelaCiencia"
1258411139978887168,2020-05-07 14:59:30,13,6,"#MarchaVirtualpelaCiência: Neste vídeo, o professor Luiz Augusto Nero, do Departamento de Veterinária da UFV, fala da ciência como aliada para enfrentar crises como a do novo coronavírus.
#paCTopelavida #fiqueEMCASAcomaciência 
@SBPCnet @MarchaMinas https://t.co/IRDiJP9Hoo"
1257683341211467779,2020-05-05 14:47:29,7,0,UFV analisa desafios enfrentados por instituições filantrópicas para idosos em Minas Gerais diante da pandemia. https://t.co/zmOtYc9wgO https://t.co/6XNxlmZPbI
1253319598083956736,2020-04-23 13:47:32,15,2,Projeto de Extensão do Departamento de Direito da UFV realiza orientações jurídicas virtuais relacionadas à pandemia: https://t.co/WHOqvPWdgg. https://t.co/GtqIFUsqW7
1250776149887782918,2020-04-16 13:20:47,54,15,"Os laboratórios da UFV credenciados pela Fundação Ezequiel Dias (Funed) para realizar testes de detecção do novo coronavírus (SARS-CoV-2) começaram seus trabalhos nessa quarta-feira (15), com recursos próprios da Universidade. https://t.co/23aAFGt1WJ https://t.co/l3Fn7ojzv8"
1246080535312678919,2020-04-03 14:22:05,274,39,UFV irá doar três mil litros de álcool para contenção do coronavírus em Viçosa. https://t.co/nOm3vHQbfr https://t.co/GeirjpShhT
1245757660449984513,2020-04-02 16:59:05,155,44,"Cinco Laboratórios da UFV estão entre os 19 credenciados pela Funed para realizar testes de detecção do coronavírus. A expectativa é a de que sejam realizados em torno de 200 testes por dia, liberando os resultados em até 48 horas. https://t.co/StJ4w2jaoq https://t.co/QsKQatKdwv"
1244608768194891776,2020-03-30 12:53:48,60,15,Coronavírus e saúde mental: como manter o equilíbrio diante da pandemia? Psicólogas da UFV dão dicas para lidar com o excesso de informações e as emoções geradas pelo isolamento. https://t.co/iJyo5WtgNq https://t.co/8pYAQQOtpY
1242444058225717252,2020-03-24 13:32:01,323,66,UFV poderá realizar testes para detecção do coronavírus: https://t.co/5lMEHO9C9A. https://t.co/vbWBjNzOHZ
1233360902818320384,2020-02-28 11:58:48,59,4,UFV intensifica ações de orientação para prevenção do coronavírus: https://t.co/qmncxGyOVk https://t.co/dLvdV7b8vc
