id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1317074310176165889,2020-10-16 12:06:00,33,7,"Pesquisa busca entender ressignificações de mundo geradas pela pandemia entre a comunidade acadêmica

Iniciativa estuda as relações pessoais na continuidade da formação educacional e da atuação profissional em situações emergenciais: https://t.co/xKUEZcarne https://t.co/7OUtbyzqiL"
1315050223027150848,2020-10-10 22:03:00,65,7,"Projeto avalia melhorias nos espaços escolares do DF para a retomada em tempos de pandemia

Equipe da Faculdade de Arquitetura e Urbanismo (FAU) da UnB irá medir e avaliar o conforto térmico e a qualidade do ar em salas de aula: https://t.co/Biinr7F2Mg https://t.co/PbHR0TdWST"
1314623149137420294,2020-10-09 17:45:57,138,36,"Como fica o Vestibular de 2020?

Com a excepcionalidade causada pela pandemia de covid-19, seleção será substituída por avaliação que utiliza as notas do Enem. Entenda também como ficam as convocações de processos seletivos em andamento: https://t.co/mjSit7dcFB https://t.co/oOjuyiRyho"
1314213828708638722,2020-10-08 14:39:28,7,0,"@nathaliebelem Bom dia, Nathalie. Em função da pandemia do novo coronavírus, todos os nossos processos seletivos estão suspensos desde março. Ainda não há data específica para lançamento de novos editais e para a convocação dos aprovados no PAS para o 2º semestre de 2020."
1313109153980743682,2020-10-05 13:29:53,26,5,"Pesquisa pretende identificar impacto da pandemia entre mulheres no DF

Projeto vai mapear disseminação local da covid-19 a partir de notificações de casos entre população feminina: https://t.co/zdAQHHt7ck https://t.co/xcihoG43wG"
1310985302312448000,2020-09-29 16:50:27,1,0,"@_LordedasTrevas Olá. Nossos processos seletivos estão temporariamente suspensos devido à pandemia. Assim que for possível, novos editais serão lançados na página do Cebraspe: https://t.co/NwI3ltsAKf"
1310981519175974912,2020-09-29 16:35:25,71,17,"Grupo da UnB e do IFB desenvolve aparato de ventilação para combater a covid-19 nos hospitais.

Equipamento faz filtragem do ar para diminuir a circulação de partículas do novo coronavírus e as chances de contágio. https://t.co/kSLwOOdvCQ

Foto: Tatiana Fortes https://t.co/wvUCqGHGIS"
1310655521855340548,2020-09-28 19:00:01,30,1,"UnB realiza inspeção em laboratórios que seguem em funcionamento durante a pandemia. 

Após as visitas, são elaborados relatórios técnicos. Ao todo já foram feitos 86, sendo 45 em laboratórios de pesquisa. https://t.co/JUwQr8Ubmp https://t.co/hnLtPZOga4"
1310552838456717314,2020-09-28 12:12:00,21,5,"Projeto leva informações a produtores do campo sobre manejo de animais durante a pandemia.

Professores e residentes do Hospital Veterinário da UnB ofereceram orientações por videoconferências. Cartilhas com temas discutidos também serão distribuídas. https://t.co/nwAyUp07eR https://t.co/1y6GdqTfTI"
1309266363525988352,2020-09-24 23:00:00,10,2,"[Artigo | UnB Notícias] 

O estresse tóxico reforça a pandemia. https://t.co/o65HrUGn75

* O conteúdo dos artigos é de responsabilidade do autor, expressa sua opinião sobre assuntos atuais e não representa a visão da UnB."
1309221064782667777,2020-09-24 20:00:00,4,0,"19ª edição do Boletim Coes apresenta novos dados sobre a pandemia e impacto na comunidade internacional.

Brasil atinge a marca de 4,5 milhões de pessoas infectadas pelo novo coronavírus. https://t.co/85kjP10QYq https://t.co/0Lpl40TW8o"
1309198415901978624,2020-09-24 18:30:00,4,2,"Participe de pesquisa do Programa de Pós-Graduação em Transportes sobre o impacto da pandemia na mobilidade de Brasília. 

Como o tempo que você economizou com deslocamentos impactou a sua vida como estudante ou trabalhador(a)?

Acesse: https://t.co/ugrOQyye5a https://t.co/HKvjvDdgvR"
1308046071025680391,2020-09-21 14:11:00,12,2,"Confira a Mostra de Cursos do Decanato de Ensino de Graduação na Semana Universitária! Neste ano, em função da pandemia, o evento acontecerá de modo remoto. Acesse o site https://t.co/Q2MmWuiTye e participe das atividades."
