id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1313100229907034112,2020-10-05 12:54:25,0,0,"#JornalismonaPandemia | Pesquisadores da UNIFAP participam de E-book sobre Jornalismo na pandemia.

Saiba mais: https://t.co/7Kj62wjf7A https://t.co/3VsAOXkZFR"
1311343223462408194,2020-09-30 16:32:42,0,0,"#UFSCar | O Programa de Pós-graduação em Enfermagem da Universidade Federal de São Carlos (PPGCAR) convida a todos para participar  da pesquisa intitulada “Relações intergeracionais e apoio social na pandemia do novo coronavírus”.

Saiba mais: https://t.co/NSUmUvmbXH https://t.co/DkWCLkZb7n"
1303739953977856000,2020-09-09 17:00:02,1,0,"#UFSM | Pesquisadores da Universidade de Santa Maria divulgam a 3ª etapa de estudo com o tema ‘COVIDPsiq – Monitoramento da evolução da sintomatologia pós-traumática, depressão e ansiedade durante a pandemia de COVID-19 em brasileiros’. 

Saiba mais: https://t.co/LWpMZqd3KG https://t.co/jUCpkfSQEn"
1301160443831083013,2020-09-02 14:09:58,1,0,#DICASDANUTRI | Nutricionista da UNIFAP traz 5 dicas de alimentação saudável na pandemia. Saiba mais: https://t.co/9KrTHPFgp0 https://t.co/yQlOuLTFFX
1297904465782153218,2020-08-24 14:31:53,0,0,#NORMASEDUCACIONAIS | Lei flexibiliza quantidade de dias letivos para instituições de ensino na pandemia. Saiba mais: https://t.co/bIhWwdrVTz https://t.co/4dqq96uycE
1295733166834057216,2020-08-18 14:43:55,0,0,#PESQUISACOVID_19 | Pesquisadores da UFMG e UFAL desenvolvem pesquisa sobre tratamentos odontológicos na pandemia. Saiba mais: https://t.co/5PfoQInWAR https://t.co/qahcM4L7zx
1293942032361291778,2020-08-13 16:06:35,1,1,"#Webinar | “O papel do professor no contexto da pandemia” ocorre nesta quinta-feira, 13. Saiba mais: https://t.co/A58Z22AAxe https://t.co/MVYmxQZA5k"
1292849869435150344,2020-08-10 15:46:43,4,0,#EVENTOS | UNIFAP promove eventos virtuais durante a pandemia. Saiba mais: https://t.co/JvhkCft5ow https://t.co/Zx6KATKuf6
1276162421774843905,2020-06-25 14:36:45,2,3,#DOESANGUE | Junho Vermelho | HEMOAP realiza coletas durante a pandemia. Saiba mais: https://t.co/LilhkVTjwD https://t.co/yKnObTVV7B
1273989637015588866,2020-06-19 14:42:53,0,0,"#CORONAVÍRUS | “Heróis da COVID-19” mostra atuação de profissionais não reconhecidos no dia a dia. Hoje, a homenagem é para os profissionais de Delivery! “Na pandemia, cresceram os serviços de entrega, com a dedicação dos profissionais de delivery"". https://t.co/Zgr9HzJd1e"
