id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1317095449329807364,2020-10-16 13:30:00,2,1,"Seguimento dos pacientes após a #covid19 será o tema do webinário com o professor da EPM/Unifesp Paulo Abrão. Evento on-line acontece hoje, às 11h: https://t.co/9TzjjVSsfp. #unifesp #somosunifesp #unifespsp #epmunifesp #unifespcoronavírus #webináriounifesp #coronavírus https://t.co/DpmJoxe4n7"
1316733061548122112,2020-10-15 13:30:00,2,0,"Com especialistas do Brasil, Espanha e Canadá, webinário debaterá acerca das repercussões psicossociais provocadas pela #pandemia de #covid19. Evento on-line ocorre hoje, às 11h: https://t.co/9TzjjVSsfp. #unifesp #somosunifesp #unifespcoronavírus #saúdemental #mentalhealth https://t.co/ujjpjcqaHA"
1316483922805448704,2020-10-14 21:00:00,3,1,"⚠️Atenção, estudantes!
Já está disponível o questionário de avaliação do semestre em #ADE. A sua participação é muito importante para sabermos sobre as experiências de ensino e aprendizagem durante este período de pandemia: https://t.co/HPJwHgWdJ6. #unifesp #somosunifesp https://t.co/BWoJDqDzsp"
1316476370021646343,2020-10-14 20:30:00,2,1,"Webinário com o professor da @usponline Renato Janine Ribeiro irá tratar das oportunidades perdidas durante o período de #pandemia de #covid19. Evento on-line acontece hoje, a partir das 18h: https://t.co/LZsl9KmihP. #unifesp #somosunifesp #unifespcoronavírus #coronavírus #vida https://t.co/uO2n7J85LJ"
1314958878958784513,2020-10-10 16:00:02,2,0,"O professor da EPM/#Unifesp Paulo Abrão discorrerá acerca da temática Seguimento dos #pacientes após a #covid19. Evento on-line acontece no dia 16 de outubro, a partir das 11h: https://t.co/ARHKzPjEb4. #somosunifesp #unifespsp #epmunifesp #unifespcoronavírus #webináriounifesp https://t.co/QlfBw2Obp6"
1314913575845031939,2020-10-10 13:00:01,6,0,"O professor da @usponline Renato Janine Ribeiro estará no webinário discorrendo sobre as oportunidades perdidas, tanto no aspecto humano como sociais e políticos, durante o período de #pandemia da #covid19: https://t.co/T9e53cpatm. #unifesp #somosunifesp #unifespcoronavírus #vida https://t.co/1xJTm7DWFI"
1314620565479661569,2020-10-09 17:35:41,7,1,"Neste evento, especialistas do Brasil, Espanha e Canadá discorrem sobre as repercussões psicossociais provocadas pela #pandemia de #covid19. O webinário internacional ocorrerá no dia 15/10, às 11h: https://t.co/idvtixBuY9. #unifesp #somosunifesp #unifespcoronavírus #saúdemental https://t.co/uoV6vlaJxR"
1314561339881390082,2020-10-09 13:40:21,4,1,"Palestra irá abordar acerca da percepção que a comunidade universidade tem da #covid19 e estratégias para propiciar um retorno seguro das atividades presenciais de pesquisa. Hoje, a partir das 11h: https://t.co/9TzjjVSsfp. #unifesp #somosunifesp #unifespcoronavírus #webinário https://t.co/b06puxMTK9"
1313871718012710913,2020-10-07 16:00:02,9,0,"Em nota técnica, pesquisadores avaliam que imunidade de rebanho é pouco provável no Brasil. A taxa considerada mínima para o alcance desse tipo de imunização é de 60% da população local: https://t.co/mQFitPER9c. #unifesp #somosunifesp #unifespcoronavírus #imunidadederebanho https://t.co/N2Vy6DFtYS"
1313478114127872005,2020-10-06 13:56:00,5,2,"O webinário do IEAC/#Unifesp tem por objetivo homenagear o professor Elisaldo Carlini. Evento no dia 7 abordará o pioneirismo no trato com as #drogas psicotrópicas, além de reflexões, como a situação atual de dependentes químicos em meio a uma #pandemia: https://t.co/pLE2FynbK1. https://t.co/FyEtDDLUq2"
1312784545876504576,2020-10-04 16:00:00,3,1,"Intitulado #Covid19: percepção comunitária e retorno seguro das atividades presenciais de #pesquisa, #WebinárioUnifesp com o professor Elbert E. N. Macau acontece no dia 9/10, às 11h: https://t.co/NiNWpa7e43. #unifesp #somosunifesp #unifespcoronavírus #coronavírus #retornoseguro https://t.co/Atz2gTguQp"
1312022020675137536,2020-10-02 13:30:00,3,1,"O #webinário com a professora Jaquelina Sonoe Ota Arakaki trará reflexões acerca do aprendizado adquirido durante a #pandemia na área da #Pneumologia. Evento ocorre hoje, a partir das 11h: https://t.co/9TzjjVAQQP. #unifesp #somosunifesp #unifespcoronavírus #unifespsp #epmunifesp https://t.co/GjsgZgl3Vz"
1311297245736849413,2020-09-30 13:30:00,5,2,"O que aprendemos com a #pandemia provocada pelo novo #coronavírus? A professora da EPM/#Unifesp Jaquelina Sonoe Ota Arakaki trará reflexões da área da #Pneumologia, no dia 2 de outubro, às 11h: https://t.co/faSVK9kuOf. #somosunifesp #unifespcoronavírus #unifespsp #webinário https://t.co/6cB8LDKbXa"
1310690992568270848,2020-09-28 21:20:58,3,0,"Webinário abordará questões relativas à ética na pesquisa, especialmente, em torno da #covid19. Evento acontece no dia 30/9, às 18h: https://t.co/F8oBuIWALb. #unifesp #somosunifesp #unifespguarulhos #eflchunifesp #coronavírus #webináriounifesp #ieac https://t.co/LJMAG5ZR6T"
1309557278668918785,2020-09-25 18:16:00,6,0,"Docente da #Unifesp desenvolve estratégia para amenizar o impacto da #pandemia em aulas práticas. O trabalho apresenta o conceito de Laboratório de Aprendizagem Móvel, que utiliza #smartphones como ferramentas didáticas: https://t.co/tJZb1ZLrY9. #somosunifesp #unifespdiadema https://t.co/61zTzG51j2"
1309485306069102592,2020-09-25 13:30:00,2,0,"A palestra tem como foco abordar acerca da #pesquisa colaborativa e estudos clínicos em #covid19 na terapia intensiva. Evento on-line com a professora Flávia Ribeiro Machado acontece hoje, às 11h: https://t.co/oErfKfA4N7. #unifesp #somosunifesp #unifespcoronavírus #unifespsp #epm https://t.co/LMjX8jum7W"
1308866224902696960,2020-09-23 20:30:00,1,1,"Webinário do IEAC/#Unifesp com o professor Sérgio Adorno, da @usponline, acontece logo mais, às 18h. Acesse a sala virtual: https://t.co/LZsl9K4GTf. #somosunifesp #unifespcoronavírus #violência #democracia #pandemia #covid19 #webináriounifesp https://t.co/ntm3EIJeV2"
1307711117188308994,2020-09-20 16:00:01,7,2,"O #webinário com a professora Flávia Ribeiro Machado discutirá #pesquisa colaborativa e estudos clínicos em #covid19 na terapia intensiva. Evento on-line ocorre no dia 25/9, às 11h: https://t.co/UL274GOthe. #unifesp #somosunifesp #unifespcoronavírus #unifespsp #epmunifesp https://t.co/N8kcGqR7fF"
1307348727510659077,2020-09-19 16:00:00,4,1,"Tendo em vista o contexto da #pandemia, webinário com o professor da @usponline Sérgio Adorno abordará como o ódio, a intolerância e a #violência podem colocar em risco o sistema democrático. Dia 23/9, às 18h: https://t.co/B34yTBbWEf. #unifesp #somosunifesp #democracia #covid19 https://t.co/HwvnzVR0GJ"
1306948591609507845,2020-09-18 13:30:00,5,2,"Intitulada Produção e expressão de recombinantes da #proteína S do #SarsCoV2, palestra virtual com o professor da EPM/#Unifesp Sérgio Schenkman, acontece a partir das 11h. 
💻 Acesse: https://t.co/oErfKfitox.
#somosunifesp #unifespcoronavírus #unifespsp #epmunifesp #coronavírus https://t.co/acqTfYqLSJ"
1306329510170820609,2020-09-16 20:30:00,3,0,"O professor da EPM/#Unifesp Paulo Bertolucci estará no #webinário tratando sobre as alterações comportamentais a partir do prisma da #neurociência. Evento on-line acontece hoje, às 18h: https://t.co/LZsl9KmihP. #somosunifesp #unifespsp #epmunifesp #unifespcoronavírus #ieac https://t.co/HdSRL6McfH"
1305521695042797570,2020-09-14 15:00:02,2,1,"Palestra virtual com Sérgio Schenkman, professor da EPM/#Unifesp, tratará da produção e expressão de recombinantes da #proteína S do novo #coronavírus, denominado #SarsCoV2. Dia 18/9, às 11h: https://t.co/zQzc5jAh1O. #somosunifesp #unifespcoronavírus #unifespsp #epmunifesp https://t.co/4yQ9aXqrjv"
1304766713972568064,2020-09-12 13:00:00,7,5,"O #webinário com o professor da EPM/#Unifesp Paulo Bertolucci abordará as alterações comportamentais a partir do prisma da #neurociência. Evento on-line acontece no dia 16/9, às 18h: https://t.co/jo9ibYtse9. #somosunifesp #unifespsp #epmunifesp #unifespcoronavírus #ieac https://t.co/LgJCUBNlvx"
1304411875577217025,2020-09-11 13:30:00,3,0,"Palestra on-line discutirá a ocorrência e persistência do #SARSCoV2 em águas residuais e o risco de disseminação em ambientes marinhos e costeiros. Evento ocorre hoje, às 11h: https://t.co/oErfKfitox. #unifesp #somosunifesp #unifespcoronavírus #unifespbs #webnáriounifesp #mar https://t.co/eXNxGfENHO"
1303792795635781632,2020-09-09 20:30:00,5,1,"#WebnárioUnifesp com Helena Nader e Luiz Eugênio de Mello analisará os investimentos públicos e privados realizados, em amplo espectro, no combate à pandemia. Hoje, às 18h: https://t.co/oErfKfitox. #unifesp #somosunifesp #unifespcoronavírus #unifespsp #epm #covid19 #ciência https://t.co/mOTJJyvYBX"
