id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1314307288128200724,2020-10-08 20:50:50,5,2,"Você sabia que, assim como os animais e plantas, as línguas também correm risco de extinção? 🗣💬

Na #Charla de hoje, o doutor em língua Guaraní Miguel Ángel Verón Gomez fala sobre este problema.

Assista: https://t.co/I6q6M9jno2

Obs: a entrevista foi gravada antes da pandemia. https://t.co/MFFYKl5Cqx"
1310565510610857984,2020-09-28 13:02:21,3,0,"#AgendaUNILA | Acontece nesta quarta (30), às 19h, a live ""As morais da história: epidemias e pandemias no Brasil"" 

🌎 A atividade é organizada pelo projeto de extensão ALOC-UNILA.

➡ Mais detalhes: https://t.co/R2PeibpiLZ https://t.co/V0DZ6nfOZ9"
1309470455833726976,2020-09-25 12:31:00,3,0,"Comunidade acadêmica desenvolve projetos on-line durante o período de pandemia. 💻

Objetivo é continuar com a produção de conteúdos e a interação com a comunidade, mesmo com o distanciamento social.

Leia: https://t.co/Br3ftDQR8A https://t.co/hOWrGerRjD"
1304522814641393666,2020-09-11 20:50:50,9,3,"#Coronavírus | Pesquisadores da UNILA alertam para alta ocupação de UTIs em Foz do Iguaçu. 

Número de leitos de terapia intensiva mais que dobrou desde o início da pandemia e ocupação continua no limite.

Leia mais: https://t.co/x5xhzc67at https://t.co/DSgA6MctlH"
1304072838853390338,2020-09-10 15:02:47,4,0,"No mês de setembro, o Coletivo de Saúde Mental da UNILA debate a questão dos impactos dos marcadores sociais de classe, raça/etnia e gênero na saúde mental das pessoas durante a pandemia e possíveis estratégias de promoção da saúde. 💛

Acesse: https://t.co/AAWe1D7eOr https://t.co/mSjZ6xm67w"
1301277538661076997,2020-09-02 21:55:16,22,4,Laboratórios da UNILA já realizaram mais de 5 mil exames que detectam anticorpos para o novo coronavírus https://t.co/1ZeZYtSz8U
1298642417999130624,2020-08-26 15:24:14,1,0,"#AgendaUNILA | O tema da live de hoje (26) é: ""Me formei na pandemia, e agora?""

A atividade é organizada pelo Centro Acadêmico de Medicina e começa às 19h. 

O evento faz parte da 4ª Semana Acadêmica de Medicina da UNILA (4º SAMU). 

Mais informações: https://t.co/lE7bIjP339 https://t.co/0P3N6pEhIp"
1296071700363251718,2020-08-19 13:09:07,12,3,"Em 2020, a UNILA completa dez anos.

E, em sua primeira década, soma-se a tantas outras universidades públicas no combate à pandemia de covid-19.

Confira, no vídeo, a atuação da UNILA no enfrentamento ao coronavírus.

https://t.co/VejYso1Orh"
1293533319255265281,2020-08-12 13:02:30,16,4,"Nesta pandemia, a arte, em seus diferentes campos, continua sendo nossa companheira. Ela nos ajuda a seguir.  🥁🎞📚💃🏾

Gratidão a quem atua na arte. Não é simples fazer arte no Brasil de hoje! Fazer arte é resistir. 😍 https://t.co/LF2dtce5FT"
1291439546467520513,2020-08-06 18:22:36,9,3,"Vocês se lembram que ontem citamos alguns números do combate à pandemia em Foz do Iguaçu?

Pois bem, hoje vamos mostrar as carinhas por trás deste trabalho.

Clique no link e conheça os nossos heróis: https://t.co/48DeowDMFf"
1291343920677425153,2020-08-06 12:02:37,6,1,"#AgendaUNILA | Prepara-se para as lives de hoje! 

18h: ""Interculturalidade na pesquisa e na pós-graduação"" (https://t.co/vo3h3jSCAo)

19h: ""Arte e autoconhecimento: como redescobrir a criatividade em tempos de pandemia?"" (https://t.co/QJFIHQgw4Y) https://t.co/utkrvaNrZp"
1291104369828659204,2020-08-05 20:10:43,14,2,"Conheças as ações que a UNILA vem desempenhando no enfrentamento ao novo coronavírus:

https://t.co/9nkWXCRfyf"
