id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1317120010544947200,2020-10-16 15:07:36,2382,256,"Faltando um mês pras eleições, Covas diz que vai pagar uma renda emergencial pra SP. Durante quase sete meses de pandemia, nenhuma palavra sobre isso, enquanto a fome e o desespero batiam à porta. É muita hipocrisia!"
1316851722904535045,2020-10-15 21:21:31,7960,1038,"Muita gente já viu o vídeo do Russomanno humilhando uma jovem trabalhadora, caixa de supermercado. Pois bem, ele fez outro parecido há poucas semanas, já na pandemia. É assim que ele ""cuida"" das pessoas? https://t.co/QB66T2pw4k"
1316719723573370882,2020-10-15 12:37:00,6096,676,"Com a pandemia, 42 maiores bilionários brasileiros aumentaram patrimônio em R$ 200 bilhões.

800 mil pessoas em SP podem chegar à extrema pobreza e viver com renda menor do que R$89 quando acabar o auxílio emergencial.

Entendeu por que uma renda solidária em SP é tão urgente?"
1316670055619481605,2020-10-15 09:19:38,1612,125,Os motoristas de transporte escolar ficaram abandonados na pandemia. A prefeitura não garantiu auxílio e Bolsonaro vetou o projeto federal. Me reuni com eles pra assumir nosso compromisso com a universalização do Transporte Escolar Gratuito em SP. #ViraSP50 https://t.co/dPPWtnNuIJ
1316463893829619712,2020-10-14 19:40:25,3231,356,ABSURDO! Desde ontem temos demissões coletivas no Metrô de SP. Um serviço fundamental que vem sendo destruído e sucateado há anos. Trabalhadores que colocaram sua vida em risco durante a pandemia agora são demitidos. BolsoDória segue atacando os trabalhadores!
1316047023339077634,2020-10-13 16:03:55,6544,697,"EFEITO BOLSONARO:

Pesquisa mostra que quanto mais eleitores bolsonaristas nas cidades, mais houve contaminados e mortos durante a pandemia.

Esse é o preço de ter um presidente ""e daí, não sou coveiro"" e ""é só uma gripezinha""."
1315777711474905090,2020-10-12 22:13:47,57549,6966,"“Record grava seis produtos durante a pandemia, incluindo reality shows, novelas e programas. E tem A Fazenda ao vivo.”

“Record cancela debate entre candidatos a prefeito em SP. Diz que é impossível seguir protocolos sanitários.""

Faz sentido pra você?

#QueremosDebate"
1315072778110930944,2020-10-10 23:32:37,3472,332,"150 mil mortos no Brasil. 

Desemprego recorde de 13,8%. 

Minha solidariedade a cada uma das famílias que teve que enfrentar a dor e o terror dessa pandemia. 

Como prefeito, vou evitar que essa tragédia se perpetue na maior cidade do país. Saiba mais em https://t.co/bIFJkN35cQ."
1314948186176397312,2020-10-10 15:17:32,13244,1082,"O programa de saúde de Russomanno é bolsonarista raiz: simplesmente não cita o coronavírus e a pandemia. Faltou só colocar um ""E daí? Não sou coveiro!"""
1314947870668271616,2020-10-10 15:16:17,52,2,"@dequinhabraga Desde o início da pandemia, defendemos o isolamento social,  uma renda solidária para garanti-lo de forma ampla e testagem em massa e monitoramento em tempo real da doença. Teve um Café Com Boulos especial sobre o tema: https://t.co/QwGTpJ2fAp"
1314918749909258240,2020-10-10 13:20:34,4132,372,"Pesquisa mostra que desempregados, trabalhadores de lojas, mercados serviços como telemarketing são quem mais se infectou pela covid durante a pandemia em São Paulo. Justamente as pessoas que, sem outra opção, passavam o dia na rua ouvindo Covas e Dória falando ""fique em casa""."
1314631452580081666,2020-10-09 18:18:57,476,47,“O pós pandemia vai ser uma tragédia em São Paulo se o poder público se omitir. Podemos ter uma convulsão social se não tivermos um programa da prefeitura pra garantir o básico pra que as pessoas possam sobreviver.” #ViradaComBoulos50 #RendaSolidária
1314624927144783874,2020-10-09 17:53:01,734,64,"“Quem mais se deu mal com tudo isso que tá acontecendo no país foram as mulheres. Elas foram as mais prejudicadas pela pandemia, pela reforma trabalhista e por todas as ações desse desgoverno.” #ViradaComBoulos50"
1314198698289704961,2020-10-08 13:39:20,2009,178,"Pesquisa mostra que 82% dos paulistanos defendem que as aulas deveriam voltar somente ano que vem ou depois da vacina. Ninguém confia na capacidade dos governantes de monitorar e cuidar da população frente ao coronavírus. Esse é o preço do abandono de Covas, Dória e Bolsonaro."
1313956184525811718,2020-10-07 21:35:41,669,83,"“Quando eu decidi ser candidato, fui conversar com auditores, presidente do tribunal de contas, chamei economistas. Tive que olhar umas 5 vezes pra planilha pra acreditar que, em plena pandemia, São Paulo tem 17 bilhões de reais PARADOS em caixa.” #BoulosNaForum #Eleicoes2020"
