id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1284094717534363654,2020-07-17 11:56:52,1980,428,"Sete ex-ministros da Saúde: “Que o governo federal assuma suas responsabilidades intransferíveis! Que o Ministério da Saúde seja devolvido à saúde pública! Que se ponha fim à omissão no enfrentamento da pandemia!”
https://t.co/nIl9KR09Fn"
1279434313080201216,2020-07-04 15:18:05,3152,521,"‘Uma loucura', diz ex-presidente colombiano Juan Manuel Santos (centro-direita) e Nobel da Paz sobre ações de Bolsonaro na pandemia. Ele acha que os presidentes da região deveriam chamar Bolsonaro ""à sensatez"". 
https://t.co/AsUQepInlu"
1269426577579937793,2020-06-07 00:30:55,55817,7329,Só há duas maneiras de melhorarmos os números da pandemia: escondendo os óbitos ou afastando Bolsonaro. Quantos crimes ele precisará cometer para encararmos a verdade? Temos um fascista na presidência!
1263956445734764545,2020-05-22 22:14:34,103524,17952,"“Tem que vender essa porra (Banco do Brasil) logo” (Guedes).
“Aproveitar a pandemia para ir passando a boiada (destruição da Amazônia)” (Salles)
“Eu, por mim, botava esses vagabundos todos na cadeia. Começando no STF” (Weintraub)
Baita equipe!!"
1262731663429242880,2020-05-19 13:07:43,7925,1219,"A diferença entre uma mulher porreta e um banana: 
Por reação ao coronavírus, primeira-ministra da Nova Zelândia é a mais popular em 100 anos @estadao:  https://t.co/JKBw6rkBY7"
1257812852116783113,2020-05-05 23:22:07,5075,1022,"Horas antes da divulgação do recorde de mortes (600), WSJ noticiava estudo de que o Brasil já tinha se tornado o epicentro global da pandemia. https://t.co/Ntw8h2U1FH"
1249780526136864768,2020-04-13 19:24:31,2820,294,"Fernando Haddad concede entrevista às 16h45, nesta segunda-feira, ao canal CNN Brasil. Ele vai tratar da conjuntura política e da crise do coronavírus. #EquipeHaddad"
1248035943896023041,2020-04-08 23:52:11,19266,1852,Bolsonaro precisou de três semanas para se solidarizar com as famílias das vítimas do coronavírus no Brasil.
1245717209873293315,2020-04-02 14:18:21,4766,741,"MP da Morte foi substituída pela MP do Coma. Coma não induzido, mas inadvertidamente produzido. Vai ser difícil a economia se recuperar depois da pandemia. Perda de renda da classe média, seguida de crise nos serviços. Oposição precisa apresentar alternativa urgente!"
1245444869830725632,2020-04-01 20:16:10,4522,1118,Política alucinada de Bolsonaro corta bolsa de pesquisa de cientista que estudava o novo coronavírus.  https://t.co/xeF39WL4uI
1244966754436202497,2020-03-31 12:36:19,1527,361,"O governo precisa cuidar de quem cuida. Faltam insumos para proteger os profissionais de saúde que estão na linha de frente do combate à pandemia.  
https://t.co/24VI7HH2UI"
1243330163959619585,2020-03-27 00:13:05,14648,2694,"Bolsonaro sugere que, como o brasileiro já vive no esgoto e não pega nada, ele deve ser imune ao coronavírus! Retire-se, Bolsonaro! https://t.co/GPuYxuFbTe"
1241811149961732101,2020-03-22 19:37:04,9201,1332,"DESCOBRIRAM: 
Para presidente da Eurasia, Bolsonaro é líder mundial mais ineficaz na resposta a coronavírus @estadao:  https://t.co/BsiMjZWQeL"
1241710096926867456,2020-03-22 12:55:31,91697,11777,Itália importa guerrilheiros contra o coronavírus: médicos cubanos. https://t.co/8xGtkP8Fbi
1240600483879956480,2020-03-19 11:26:19,3837,632,Atitude que deveria nos inspirar!Combate ao coronavírus sela cooperação entre israelenses e palestinos https://t.co/zb2iR9pEQF
1240248854416687104,2020-03-18 12:09:04,13715,2104,"Médicos cubanos se dizem prontos e felizes para atuar contra o coronavírus. Obrigado, companheiros, pela humildade e solidariedade!! https://t.co/QUaSUtIcKg via @UOLNoticias @UOL"
1238072168388481025,2020-03-12 11:59:41,19713,2530,"O maior problema do coronavírus é logístico: velocidade de propagação e tempo de internação nos casos mais graves. Sem governo, como estamos, tudo se tornará mais difícil por semanas ou meses."
1141783151942832128,2019-06-20 19:01:31,2783,505,"“Nacionalismo míope à existência de problemas globais- como a degradação ambiental, as migrações ou as pandemias- somado a alinhamentos automáticos a governantes estrangeiros, na base ideológica, podem isolar o Brasil e condená-lo à insignificância.”
https://t.co/q1JUhfJEL5"
